ID	NUMBER	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS	SEMANTICFIELD	LOANS	HAPAXES	MISSING	LOANPC	HAPPC
Bowern-2011-204-22	22	*bone	BODY	1394	BONE	bone	BODY	1	4	0	0.008	0.033
Bowern-2011-204-23	23	boomerang/throwing stick	MANUFACTURE	135	BOOMERANG	boomerang/throwing stick	MANUFACTURE	0	0	28	0	0
Bowern-2011-204-24	24	bottom grinding stone	MANUFACTURE	2459	GRINDSTONE	bottom grinding stone	MANUFACTURE	1	2	26	0.01	0.021
Bowern-2011-204-25	25	*breast	BODY	1402	BREAST	breast	BODY	1	9	0	0.008	0.073
Bowern-2011-204-26	26	$breathe	BODY	1407	BREATHE	breathe	BODY	0	12	5	0	0.102
Bowern-2011-204-27	27	*burn	ENVIRONMENT	2102	BURN	burn	ENVIRONMENT	1	7	0	0.008	0.057
Bowern-2011-204-28	28	chew	BODY	321	CHEW	chew	BODY	1	8	7	0.009	0.069
Bowern-2011-204-29	29	$child	HUMAN	2099	CHILD	child	HUMAN	1	12	1	0.008	0.098
Bowern-2011-204-30	30	climb	MOTION	1102	CLIMB	climb	MOTION	0	5	5	0	0.042
Bowern-2011-204-31	31	*cloud	ENVIRONMENT	1489	CLOUD	cloud	ENVIRONMENT	2	8	16	0.019	0.075
Bowern-2011-204-32	32	*cold	QUALITY	1287	COLD	cold	QUALITY	1	6	0	0.008	0.049
Bowern-2011-204-33	33	*come	MOTION	1446	COME	come	MOTION	1	6	0	0.008	0.049
Bowern-2011-204-34	34	$cook	IMPACT	1100	COOK (SOMETHING)	cook	IMPACT	4	10	2	0.033	0.083
Bowern-2011-204-35	35	correct/true	QUALITY	1725	CORRECT (RIGHT)	correct/true	QUALITY	2	13	7	0.017	0.112
Bowern-2011-204-36	36	$count	MENTAL	1420	COUNT	count	MENTAL	0	12	10	0	0.106
Bowern-2011-204-37	37	cry	MENTAL	1839	CRY	cry	MENTAL	0	6	1	0	0.049
Bowern-2011-204-38	38	$cut/hack	IMPACT	1432	CUT	cut/hack	IMPACT	1	8	1	0.008	0.066
Bowern-2011-204-39	39	$day	TIME	1225	DAY (NOT NIGHT)	day	TIME	0	8	0	0	0.065
Bowern-2011-204-40	40	*die/be dead	STATE	2101	BE DEAD OR DIE	die/be dead	STATE	2	16	1	0.016	0.131
Bowern-2011-204-41	41	$dig	IMPACT	1418	DIG	dig	IMPACT	0	6	1	0	0.049
Bowern-2011-204-42	42	digging stick	MANUFACTURE	339	DIGGING STICK	digging stick	MANUFACTURE	2	3	28	0.021	0.032
Bowern-2011-204-43	43	dingo/wolf	FAUNA/FLORA	2461	WOLF-LIKE ANIMAL	dingo/wolf	FAUNA	2	2	26	0.021	0.021
Bowern-2011-204-44	44	$dirty	QUALITY	1230	DIRTY	dirty	QUALITY	1	13	1	0.008	0.107
Bowern-2011-204-45	45	*dog	FAUNA/FLORA	2009	DOG	dog	FAUNA	4	6	0	0.033	0.049
Bowern-2011-204-46	46	dream	MENTAL	2455	DREAMING OR DREAM	dream	MENTAL	1	5	5	0.008	0.042
Bowern-2011-204-47	47	*drink	BODY	1401	DRINK	drink	BODY	0	4	0	0	0.033
Bowern-2011-204-48	48	*dry	QUALITY	1398	DRY	dry	QUALITY	1	13	1	0.008	0.107
Bowern-2011-204-49	49	$dull/blunt	QUALITY	379	BLUNT	dull/blunt	QUALITY	0	8	12	0	0.072
Bowern-2011-204-50	50	$dust	ENVIRONMENT	2	DUST	dust	ENVIRONMENT	1	12	4	0.008	0.101
Bowern-2011-204-51	51	*ear	BODY	1247	EAR	ear	BODY	0	3	0	0	0.024
Bowern-2011-204-52	52	*earth/soil	ENVIRONMENT	1228	EARTH (SOIL)	earth/soil	ENVIRONMENT	5	4	2	0.041	0.033
Bowern-2011-204-53	53	*eat	BODY	1336	EAT	eat	BODY	2	8	0	0.016	0.065
Bowern-2011-204-54	54	*egg	FAUNA/FLORA	744	EGG	egg	FAUNA	5	5	0	0.041	0.041
Bowern-2011-204-55	55	*eye	BODY	1248	EYE	eye	BODY	1	6	1	0.008	0.049
Bowern-2011-204-56	56	faeces	BODY	675	FAECES (EXCREMENT)	faeces	BODY	0	4	13	0	0.036
Bowern-2011-204-57	57	$fall	MOTION	1280	FALL	fall	MOTION	0	10	0	0	0.081
Bowern-2011-204-58	58	$far	QUALITY	1406	FAR	far	QUALITY	3	4	2	0.025	0.033
Bowern-2011-204-59	59	$fat/grease	BODY	323	FAT (ORGANIC SUBSTANCE)	fat/grease	BODY	1	4	5	0.008	0.034
Bowern-2011-204-60	60	$father	KINSHIP	1217	FATHER	father	KINSHIP	0	2	1	0	0.016
Bowern-2011-204-61	61	$fear	MENTAL	1419	FEAR (BE AFRAID)	fear	MENTAL	2	8	5	0.017	0.068
Bowern-2011-204-62	62	*feather	FAUNA/FLORA	1201	FEATHER	feather	FAUNA	1	11	3	0.008	0.092
Bowern-2011-204-63	63	*fire	ENVIRONMENT	221	FIRE	fire	ENVIRONMENT	0	5	0	0	0.041
Bowern-2011-204-64	64	*fish	FAUNA/FLORA	227	FISH	fish	FAUNA	2	4	0	0.016	0.033
Bowern-2011-204-65	65	$flow	MOTION	2003	FLOW	flow	MOTION	3	8	10	0.027	0.071
Bowern-2011-204-66	66	$flower	ENVIRONMENT	239	FLOWER	flower	ENVIRONMENT	2	3	0	0.016	0.024
Bowern-2011-204-67	67	*fly	MOTION	1441	FLY (MOVE THROUGH AIR)	fly	MOTION	0	11	1	0	0.09
Bowern-2011-204-68	68	$fog	ENVIRONMENT	249	FOG	fog	ENVIRONMENT	2	6	7	0.017	0.052
Bowern-2011-204-69	69	*foot	BODY	1301	FOOT	foot	BODY	0	7	0	0	0.057
Bowern-2011-204-70	70	$fruit	FAUNA/FLORA	1507	FRUIT	fruit	FLORA	1	6	0	0.008	0.049
Bowern-2011-204-71	71	*good	QUALITY	1035	GOOD	good	QUALITY	3	11	1	0.025	0.09
Bowern-2011-204-72	72	$grass	ENVIRONMENT	606	GRASS	grass	ENVIRONMENT	0	10	10	0	0.088
Bowern-2011-204-73	73	grow	STATE	479	GROW	grow	STATE	1	8	5	0.008	0.068
Bowern-2011-204-74	74	*hair	BODY	1040	HAIR	hair	BODY	2	13	0	0.016	0.106
Bowern-2011-204-75	75	*hand	BODY	1277	HAND	hand	BODY	0	8	0	0	0.065
Bowern-2011-204-76	76	$he/she	GRAMMAR	2642	HE OR SHE	he/she	GRAMMAR	2	5	0	0.016	0.041
Bowern-2011-204-77	77	*head	BODY	1256	HEAD	head	BODY	4	5	0	0.033	0.041
Bowern-2011-204-78	78	*hear	MENTAL	1408	HEAR	hear	MENTAL	0	3	1	0	0.025
Bowern-2011-204-79	79	$heavy	QUALITY	1210	HEAVY	heavy	QUALITY	0	4	2	0	0.033
Bowern-2011-204-80	80	hide	MOTION	2486	HIDE	hide	MOTION	0	7	4	0	0.059
Bowern-2011-204-81	81	$hit	IMPACT	353	STRIKE	hit	IMPACT	2	9	1	0.016	0.074
Bowern-2011-204-82	82	$hold	OTHER	1448	HOLD	hold	OTHER	0	12	6	0	0.103
Bowern-2011-204-83	83	house	MANUFACTURE	1252	HOUSE	house	MANUFACTURE	3	8	0	0.024	0.065
Bowern-2011-204-84	84	$how?	GRAMMAR	1239	HOW	how?	GRAMMAR	0	11	4	0	0.092
Bowern-2011-204-85	85	*I	GRAMMAR	1209	I	I	GRAMMAR	5	2	0	0.041	0.016
Bowern-2011-204-86	86	$if	GRAMMAR	1459	IF	if	GRAMMAR	0	12	13	0	0.109
Bowern-2011-204-87	87	$in/inside	LOCATION	1606	INSIDE	in/inside	LOCATION	0	9	3	0	0.075
Bowern-2011-204-88	88	$intestines	BODY	1991	INTESTINES	intestines	BODY	0	10	1	0	0.082
Bowern-2011-204-89	89	itch	BODY	148	ITCH	itch	BODY	0	8	9	0	0.07
Bowern-2011-204-90	90	kangaroo/deer	FAUNA/FLORA	2456	LARGE WILD HERBIVORE	kangaroo/deer	FAUNA	5	8	0	0.041	0.065
Bowern-2011-204-91	91	*kill	IMPACT	1417	KILL	kill	IMPACT	1	8	0	0.008	0.065
Bowern-2011-204-92	92	*know/be knowledgeable	MENTAL	1410	KNOW (SOMETHING)	know/be knowledgeable	MENTAL	0	8	1	0	0.066
Bowern-2011-204-93	93	$lake	ENVIRONMENT	624	LAKE	lake	ENVIRONMENT	5	13	1	0.041	0.107
Bowern-2011-204-94	94	$laugh	MENTAL	1355	LAUGH	laugh	MENTAL	0	11	2	0	0.091
Bowern-2011-204-95	95	*leaf	ENVIRONMENT	628	LEAF	leaf	ENVIRONMENT	5	8	0	0.041	0.065
Bowern-2011-204-96	96	$left	LOCATION	244	LEFT	left	LOCATION	0	8	3	0	0.067
Bowern-2011-204-97	97	$leg/foot	BODY	2098	FOOT OR LEG	leg/foot	BODY	1	14	1	0.008	0.115
Bowern-2011-204-98	98	*lie down	MOTION	215	LIE DOWN	lie down	MOTION	0	8	1	0	0.066
Bowern-2011-204-99	99	lightning	ENVIRONMENT	1654	LIGHTNING	lightning	ENVIRONMENT	3	17	6	0.026	0.145
Bowern-2011-204-100	100	$live/be alive	BODY	1422	BE ALIVE	live/be alive	BODY	0	7	10	0	0.062
Bowern-2011-204-101	101	*liver	BODY	1224	LIVER	liver	BODY	0	8	1	0	0.066
Bowern-2011-204-102	102	*long	QUALITY	1203	LONG	long	QUALITY	1	12	1	0.008	0.098
Bowern-2011-204-103	103	*louse	FAUNA/FLORA	1392	LOUSE	louse	FAUNA	0	3	3	0	0.025
Bowern-2011-204-104	104	lung	BODY	688	LUNG	lung	BODY	2	13	5	0.017	0.11
Bowern-2011-204-105	105	*man/male	HUMAN	2106	MALE PERSON	man/male	HUMAN	7	9	0	0.057	0.073
Bowern-2011-204-106	106	*meat/flesh	FAUNA/FLORA	2615	FLESH OR MEAT	meat/flesh	FAUNA	4	7	1	0.033	0.057
Bowern-2011-204-107	107	*moon	ENVIRONMENT	1313	MOON	moon	ENVIRONMENT	2	5	0	0.016	0.041
Bowern-2011-204-108	108	mosquito	FAUNA/FLORA	1509	MOSQUITO	mosquito	FAUNA	3	13	4	0.025	0.109
Bowern-2011-204-109	109	$mother	KINSHIP	1216	MOTHER	mother	KINSHIP	3	5	1	0.025	0.041
Bowern-2011-204-110	110	*mouth	BODY	674	MOUTH	mouth	BODY	0	4	0	0	0.033
Bowern-2011-204-111	111	*name	HUMAN	1405	NAME	name	HUMAN	1	5	3	0.008	0.042
Bowern-2011-204-112	112	nape	BODY	1347	NAPE (OF NECK)	nape	BODY	2	14	14	0.018	0.128
Bowern-2011-204-113	113	$near/close	QUALITY	1942	NEAR	near/close	QUALITY	1	14	3	0.008	0.117
Bowern-2011-204-114	114	*neck	BODY	1333	NECK	neck	BODY	1	10	3	0.008	0.083
Bowern-2011-204-115	115	*new	QUALITY	1231	NEW	new	QUALITY	2	9	1	0.016	0.074
Bowern-2011-204-116	116	*night	TIME	1233	NIGHT	night	TIME	0	3	1	0	0.025
Bowern-2011-204-117	117	*no/not	GRAMMAR	2279	NO OR NOT	no/not	GRAMMAR	0	13	6	0	0.111
Bowern-2011-204-118	118	*nose	BODY	1221	NOSE	nose	BODY	3	3	1	0.025	0.025
Bowern-2011-204-119	119	$old	QUALITY	1229	OLD	old	QUALITY	2	4	1	0.016	0.033
Bowern-2011-204-120	120	*one	NUMBER	1493	ONE	one	NUMBER	3	14	0	0.024	0.114
Bowern-2011-204-121	121	open/uncover	OTHER	1156	OPEN	open/uncover	OTHER	2	9	6	0.017	0.077
Bowern-2011-204-122	122	$other	GRAMMAR	197	OTHER	other	GRAMMAR	0	5	7	0	0.043
Bowern-2011-204-123	123	painful/sick	BODY	2103	PAINFUL OR SICK	painful/sick	BODY	2	16	5	0.017	0.136
Bowern-2011-204-124	124	*person/human being	HUMAN	683	PERSON	person/human being	HUMAN	2	3	1	0.016	0.025
Bowern-2011-204-125	125	pound/beat	IMPACT	2133	STRIKE OR BEAT	pound/beat	IMPACT	0	12	8	0	0.104
Bowern-2011-204-126	126	*rain	ENVIRONMENT	2108	RAINING OR RAIN	rain	ENVIRONMENT	0	5	2	0	0.041
Bowern-2011-204-127	127	*red	COLOUR	156	RED	red	COLOUR	0	11	0	0	0.089
Bowern-2011-204-128	128	$right	LOCATION	1019	RIGHT	right	LOCATION	1	12	4	0.008	0.101
Bowern-2011-204-129	129	*road/path	MANUFACTURE	2457	PATH OR ROAD	road/path	MANUFACTURE	0	2	0	0	0.016
Bowern-2011-204-130	130	*root	FAUNA/FLORA	670	ROOT	root	FLORA	1	4	1	0.008	0.033
Bowern-2011-204-131	131	$rope	MANUFACTURE	1218	ROPE	rope	MANUFACTURE	6	7	2	0.05	0.058
Bowern-2011-204-132	132	$rotten	QUALITY	1728	ROTTEN	rotten	QUALITY	2	10	2	0.017	0.083
Bowern-2011-204-133	133	*sand	ENVIRONMENT	671	SAND	sand	ENVIRONMENT	1	14	1	0.008	0.115
Bowern-2011-204-134	134	*say	MENTAL	1458	SAY	say	MENTAL	0	0	16	0	0
Bowern-2011-204-135	135	$scratch	IMPACT	1436	SCRATCH	scratch	IMPACT	1	4	5	0.008	0.034
Bowern-2011-204-136	136	*see	MENTAL	1409	SEE	see	MENTAL	1	6	2	0.008	0.05
Bowern-2011-204-137	137	$sharp	QUALITY	1396	SHARP	sharp	QUALITY	0	8	4	0	0.067
Bowern-2011-204-138	138	$shoot	IMPACT	1172	SHOOT	shoot	IMPACT	4	6	6	0.034	0.051
Bowern-2011-204-139	139	$short	QUALITY	1645	SHORT	short	QUALITY	3	17	2	0.025	0.14
Bowern-2011-204-140	140	shoulder	BODY	1482	SHOULDER	shoulder	BODY	2	16	4	0.017	0.134
Bowern-2011-204-141	141	shy/ashamed	MENTAL	487	SHY	shy/ashamed	MENTAL	2	3	18	0.019	0.029
Bowern-2011-204-142	142	*sit	STATE	1416	SIT	sit	STATE	0	9	1	0	0.074
Bowern-2011-204-143	143	*skin	BODY	763	SKIN	skin	BODY	1	6	0	0.008	0.049
Bowern-2011-204-144	144	$sky	ENVIRONMENT	1732	SKY	sky	ENVIRONMENT	1	6	0	0.008	0.049
Bowern-2011-204-145	145	*sleep	BODY	1585	SLEEP	sleep	BODY	3	5	0	0.024	0.041
Bowern-2011-204-146	146	*small	QUALITY	1246	SMALL	small	QUALITY	6	12	1	0.049	0.098
Bowern-2011-204-147	147	*smoke	ENVIRONMENT	778	SMOKE (EXHAUST)	smoke	ENVIRONMENT	2	8	0	0.016	0.065
Bowern-2011-204-148	148	$snake	FAUNA/FLORA	730	SNAKE	snake	FAUNA	3	4	6	0.026	0.034
Bowern-2011-204-149	149	$sniff/smell	BODY	1586	SMELL (PERCEIVE)	sniff/smell	BODY	1	9	3	0.008	0.075
Bowern-2011-204-150	150	$spear	MANUFACTURE	945	SPEAR	spear	MANUFACTURE	6	11	7	0.052	0.095
Bowern-2011-204-151	151	spearthrower	MANUFACTURE	2677	SPEARTHROWER	spearthrower	MANUFACTURE	2	0	28	0.021	0
Bowern-2011-204-152	152	spider	FAUNA/FLORA	843	SPIDER	spider	FAUNA	4	8	4	0.034	0.067
Bowern-2011-204-153	153	$spit	BODY	1440	SPIT	spit	BODY	0	10	7	0	0.086
Bowern-2011-204-154	154	$split	IMPACT	1437	SPLIT	split	IMPACT	0	9	3	0	0.075
Bowern-2011-204-155	155	$squeeze	IMPACT	1414	SQUEEZE	squeeze	IMPACT	2	7	2	0.017	0.058
Bowern-2011-204-156	156	$stab/pierce	IMPACT	1434	STAB	stab/pierce	IMPACT	2	9	10	0.018	0.08
Bowern-2011-204-157	157	*stand	STATE	1442	STAND	stand	STATE	1	5	4	0.008	0.042
Bowern-2011-204-158	158	*star	ENVIRONMENT	1430	STAR	star	ENVIRONMENT	1	8	0	0.008	0.065
Bowern-2011-204-159	159	steal	OTHER	713	STEAL	steal	OTHER	0	4	5	0	0.034
Bowern-2011-204-160	160	stick/wood	ENVIRONMENT	1295	STICK	stick/wood	FLORA	0	6	4	0	0.05
Bowern-2011-204-161	161	*stone	ENVIRONMENT	857	STONE	stone	ENVIRONMENT	0	3	1	0	0.025
Bowern-2011-204-162	162	$suck	BODY	1421	SUCK	suck	BODY	2	7	3	0.017	0.058
Bowern-2011-204-163	163	sweat	BODY	2458	PERSPIRE OR SWEAT	sweat	BODY	2	6	15	0.019	0.056
Bowern-2011-204-164	164	$swell	BODY	1573	SWELL	swell	BODY	1	7	0	0.008	0.057
Bowern-2011-204-165	165	*swim	MOTION	1439	SWIM	swim	MOTION	0	11	1	0	0.09
Bowern-2011-204-166	166	*tail	BODY	1220	TAIL	tail	BODY	1	7	3	0.008	0.058
Bowern-2011-204-167	167	*that	GRAMMAR	78	THAT	that	GRAMMAR	1	6	4	0.008	0.05
Bowern-2011-204-168	168	thatch/roof	MANUFACTURE	2100	THATCH OR ROOF	thatch/roof	MANUFACTURE	0	9	13	0	0.082
Bowern-2011-204-169	169	$they	GRAMMAR	817	THEY	they	GRAMMAR	1	4	0	0.008	0.033
Bowern-2011-204-170	170	$thick	QUALITY	1244	THICK	thick	QUALITY	1	15	1	0.008	0.123
Bowern-2011-204-171	171	$thin	QUALITY	2308	THIN	thin	QUALITY	1	15	1	0.008	0.123
Bowern-2011-204-172	172	$think	MENTAL	1415	THINK (REFLECT)	think	MENTAL	2	11	2	0.017	0.091
Bowern-2011-204-173	173	*this	GRAMMAR	1214	THIS	this	GRAMMAR	1	6	4	0.008	0.05
Bowern-2011-204-174	174	$thou	GRAMMAR	1215	THOU	thou	GRAMMAR	0	1	0	0	0.008
Bowern-2011-204-175	175	$three	NUMBER	492	THREE	three	NUMBER	1	7	1	0.008	0.057
Bowern-2011-204-176	176	throat	BODY	1346	THROAT	throat	BODY	4	9	7	0.034	0.078
Bowern-2011-204-177	177	$throw	IMPACT	1456	THROW	throw	IMPACT	1	4	1	0.008	0.033
Bowern-2011-204-178	178	thunder	ENVIRONMENT	1150	THUNDER	thunder	ENVIRONMENT	2	13	3	0.017	0.108
Bowern-2011-204-179	179	$tie up/fasten	IMPACT	1094	FASTEN	tie up/fasten	IMPACT	0	10	1	0	0.082
Bowern-2011-204-180	180	*tongue	BODY	1205	TONGUE	tongue	BODY	0	2	0	0	0.016
Bowern-2011-204-181	181	*tooth	BODY	1380	TOOTH	tooth	BODY	0	2	0	0	0.016
Bowern-2011-204-182	182	top grinding stone	MANUFACTURE	2459	GRINDSTONE	top grinding stone	MANUFACTURE	3	2	26	0.031	0.021
Bowern-2011-204-183	183	$turn	OTHER	1588	TURN	turn	OTHER	0	11	3	0	0.092
Bowern-2011-204-184	184	*two	NUMBER	1498	TWO	two	NUMBER	0	8	0	0	0.065
Bowern-2011-204-185	185	$vomit	BODY	1278	VOMIT	vomit	BODY	1	6	0	0.008	0.049
Bowern-2011-204-186	186	*walk	MOTION	1443	WALK	walk	MOTION	0	12	4	0	0.101
Bowern-2011-204-187	187	*water	ENVIRONMENT	948	WATER	water	ENVIRONMENT	2	5	0	0.016	0.041
Bowern-2011-204-188	188	we-excl [pl]	GRAMMAR	1130	WE (EXCLUSIVE)	we-excl	GRAMMAR	2	3	15	0.019	0.028
Bowern-2011-204-189	189	*we-incl [pl]	GRAMMAR	1131	WE (INCLUSIVE)	we-incl	GRAMMAR	2	3	0	0.016	0.024
Bowern-2011-204-190	190	$wet	QUALITY	1726	WET	wet	QUALITY	4	10	0	0.033	0.081
Bowern-2011-204-191	191	*what?	GRAMMAR	1236	WHAT	what?	GRAMMAR	0	6	3	0	0.05
Bowern-2011-204-192	192	$when?	GRAMMAR	1238	WHEN	when?	GRAMMAR	0	11	3	0	0.092
Bowern-2011-204-193	193	$where?	GRAMMAR	1237	WHERE	where?	GRAMMAR	1	11	2	0.008	0.091
Bowern-2011-204-194	194	*white	COLOUR	1335	WHITE	white	COLOUR	1	10	0	0.008	0.081
Bowern-2011-204-195	195	*who?	GRAMMAR	1235	WHO	who?	GRAMMAR	1	5	2	0.008	0.041
Bowern-2011-204-196	196	$wife	KINSHIP	1199	WIFE	wife	KINSHIP	3	12	3	0.025	0.1
Bowern-2011-204-197	197	$wind	ENVIRONMENT	960	WIND	wind	ENVIRONMENT	1	4	1	0.008	0.033
Bowern-2011-204-198	198	$wing	BODY	1257	WING	wing	BODY	0	6	1	0	0.049
Bowern-2011-204-199	199	winnow	MANUFACTURE	2462	WINNOWING	winnow	MANUFACTURE	2	0	26	0.021	0
Bowern-2011-204-200	200	*woman/female	HUMAN	2105	FEMALE PERSON	woman/female	HUMAN	2	6	0	0.016	0.049
Bowern-2011-204-201	201	$work	OTHER	2281	WORKING OR WORK	work	OTHER	17	11	3	0.142	0.092
Bowern-2011-204-202	202	yawn	BODY	1028	YAWN	yawn	BODY	0	7	6	0	0.06
Bowern-2011-204-203	203	*yellow	COLOUR	1424	YELLOW	yellow	COLOUR	3	16	1	0.025	0.131
Bowern-2011-204-204	204	*you	GRAMMAR	1213	YOU	you	GRAMMAR	0	2	0	0	0.016
