ID	NUMBER	ITALIAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	WORD_LENGTH	POS	ACCURACY_LD_MEAN	LD_RT_MEAN	ACCURACY_NAMING_MEAN	NAMING_RT_MEAN	LD_RT_ZSCORE	NAMING_RT_ZSCORE	AUDITORY_MEAN	GUSTATORY_MEAN	HAPTIC_MEAN	OLFACTORY_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_STRENGTH_MIN	PERCEPTUAL_STRENGTH_MEAN	VECTOR_MAGNITUDE
Vergallito-2020-1121-319	319	eccellenza	excellence			10	n	1	642.2	1	509.9285714	0.1071758993	-0.4348768446	2.75	2.19	1.35	1.75	3.33	v	17.41424802	3.33	1.35	2.274	5.322828196
Vergallito-2020-1121-320	320	eccezionale	outstanding			11	a	0.9666666667	620.8965517	1	555.3076923	0.110372558	0.1505402418	3.5	2.59	2.09	2.13	3.96	v	13.10441486	3.96	2.09	2.854	6.598840807
Vergallito-2020-1121-321	321	eccitato	aroused			8	a	0.9666666667	612.1724138	1	546.8888889	-0.05395163063	0.03278302184	3.68	0.44	2.37	0.7	4.12	v	32.53757737	4.12	0.44	2.262	6.067726098
Vergallito-2020-1121-322	322	eccitazione	excitement			11	n	0.9666666667	607.3793103	1	545.7777778	-0.01751748892	-0.01725573352	3.42	1.35	3.05	1.47	4.05	v	20.23988006	4.05	1.35	2.668	6.433101896
Vergallito-2020-1121-323	323	edificio	building	3396	BUILDING	8	n	0.9666666667	611.4137931	1	591.9642857	0.07827185593	0.2821511316	0.93	0.04	3.11	0.7	4.79	v	49.63427377	4.79	0.04	1.914	5.828610469
Vergallito-2020-1121-324	324	egoista	selfish			7	a	0.9666666667	614.5517241	1	468.5384615	-0.1319522674	-0.7899019417	3.4	0.05	0.53	0.12	3.51	v	45.46649146	3.51	0.05	1.522	4.917102806
Vergallito-2020-1121-325	325	elefante	elephant	1290	ELEPHANT	8	n	0.9666666667	603.2413793	1	484.1538462	-0.053156057	-0.6799718853	3.74	0.16	3.12	2.19	4.88	v	33.49893542	4.88	0.16	2.818	7.235889717
Vergallito-2020-1121-326	326	elegante	elegant			8	a	1	613.6333333	1	520.3571429	-0.1435795325	-0.3069678632	1.88	0.91	1.54	0.96	4.6	v	37.31041456	4.6	0.91	1.978	5.368025708
Vergallito-2020-1121-327	327	elemento	item	2981	ITEM	8	n	0.9666666667	632.3103448	1	518	0.08392569794	-0.2726024791	1.45	1.16	2.27	1.23	3.27	v	22.49466951	3.27	1.16	1.876	4.561447139
Vergallito-2020-1121-328	328	elettrodomestico	appliance			16	n	1	801.2666667	1	645.3571429	1.197646877	0.7631127303	3.95	0.14	4.02	0.68	4.82	v	34.38648053	4.82	0.14	2.722	7.448308533
Vergallito-2020-1121-329	329	elicottero	helicopter	2580	HELICOPTER	10	n	0.9	693.962963	1	527.6296296	0.2348343299	-0.2558896265	4.48	0.02	2.29	0.35	4.7	v	39.52702703	4.7	0.02	2.368	6.894011894
Vergallito-2020-1121-330	330	emicrania	headache	3625	HEADACHE	9	n	0.9333333333	698.9642857	1	581.4814815	0.5235485579	0.1377219177	1.02	0.07	1.7	0.04	1.05	h	42.78350515	1.7	0.04	0.776	2.244860797
Vergallito-2020-1121-331	331	entusiasmare	thrill			12	v	0.8333333333	849	1	710.7407407	1.378382612	1.060989102	3.38	1.32	1.45	1.16	3.27	a	20.98298677	3.38	1.16	2.116	5.225686558
Vergallito-2020-1121-332	332	entusiasmo	zest			10	n	0.9666666667	649.4482759	1	564.0357143	0.14898434	0.1676758818	3.77	0.32	0.79	0.21	3.67	a	40.63926941	3.77	0.21	1.752	5.334079115
Vergallito-2020-1121-333	333	erba	grass	606	GRASS	4	n	1	590.5	1	502.3214286	-0.242272343	-0.4703408957	1.05	0.91	4.32	3.47	4.7	v	26.2283737	4.7	0.91	2.89	7.397560409
Vergallito-2020-1121-334	334	eroina	heroin			6	n	1	649.7	1	502.6153846	0.1033338817	-0.5306532701	1	1.54	2.14	1.45	3.63	v	26.94672131	3.63	1	1.952	4.819813274
Vergallito-2020-1121-335	335	erotico	erotic			7	a	0.9666666667	641.4482759	1	506.6153846	0.09089696328	-0.3329938749	3.63	1.67	3.74	2.26	4.51	v	17.96331436	4.51	1.67	3.162	7.44319152
Vergallito-2020-1121-336	336	errore	mistake	1293	MISTAKE	6	n	1	635.6333333	1	480.2592593	0.05572112708	-0.5885786695	3.07	1	0.96	0.72	3.32	v	28.66593164	3.32	0.72	1.814	4.784067307
Vergallito-2020-1121-337	337	esecuzione	execution			10	n	1	710.4666667	0.9642857143	595.5416667	0.4761132144	0.4090204208	2.75	0	0.86	0.28	4.04	v	50.94577554	4.04	0	1.586	4.970120723
Vergallito-2020-1121-338	338	esercito	army	1561	ARMY	8	n	1	621.4666667	1	547.9642857	-0.01294549439	-0.1489477517	3.88	0.11	0.79	0.39	4.75	v	46.77419355	4.75	0.11	1.984	6.197192913
Vergallito-2020-1121-339	339	esercizio	exercise			9	n	1	589.1666667	1	577.9285714	-0.2188636763	0.2357067651	2.14	0.25	1.89	0.49	3.71	v	40.80188679	3.71	0.25	1.696	4.713639783
Vergallito-2020-1121-340	340	estasi	ecstasy			6	n	0.8	785.75	1	508.9642857	0.9386698993	-0.279767309	3.02	2.19	2.16	2.02	3.49	v	11.41304348	3.49	2.02	2.576	5.902762065
Vergallito-2020-1121-341	341	esterno	outdoors			7	a	0.9666666667	635.5172414	1	555.0384615	-0.02217600872	-0.0198145133	2.19	0.32	1.58	0.84	4.23	v	42.68558952	4.23	0.32	1.832	5.098372289
Vergallito-2020-1121-342	342	esultante	elated			9	a	0.9666666667	738.2413793	1	563.3076923	0.5813266643	0.08562420443	4.39	0.21	0.77	0.23	4.26	a	42.39350913	4.39	0.21	1.972	6.173297336
Vergallito-2020-1121-343	343	evento	event			6	n	0.9333333333	627.8571429	1	552.6206897	-0.06119362715	-0.07124195343	3.21	0.82	0.84	0.98	3.7	v	30.15706806	3.7	0.82	1.91	5.131520243
Vergallito-2020-1121-344	344	evidente	plain			8	a	0.9	676.9259259	1	500.5384615	0.2438845813	-0.2877644313	2.37	0.98	1.35	1.11	4.23	v	32.37051793	4.23	0.98	2.008	5.246408295
