ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Total
Chan-2019-128-116	116	4000	3526	FOUR THOUSAND	4
Chan-2019-128-117	117	5000	3527	FIVE THOUSAND	3
Chan-2019-128-118	118	6000	3792	SIX THOUSAND	1
Chan-2019-128-119	119	7000	3528	SEVEN THOUSAND	2
Chan-2019-128-120	120	7776	3529	SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX	4
Chan-2019-128-121	121	8000	3793	EIGHT THOUSAND	2
Chan-2019-128-122	122	9000	3530	NINE THOUSAND	2
Chan-2019-128-123	123	10000	2078	TEN THOUSAND	7
Chan-2019-128-124	124	46656	3531	FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX	1
Chan-2019-128-125	125	100000	3532	ONE HUNDRED THOUSAND	3
Chan-2019-128-126	126	1000000	3533	ONE MILLION	7
Chan-2019-128-127	127	2000000	3794	TWO MILLION	1
Chan-2019-128-128	128	10000000	3597	TEN MILLION	1
