ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	DSS_ID	URL	GLOSS	OCCURRENCES	OMEGAWIKI
Bulakh-2013-870-71	76c368f0-ee42-42c7-a0d9-5dc846815171	BRANCH	71	239	http://semshifts.iling-ran.ru/show-meaning.html?id=239	branch, twig	9	6343
Bulakh-2013-870-72	cdb5747a-1065-4f2d-a2cd-7c79bcb44723	BRAVE	72	241	http://semshifts.iling-ran.ru/show-meaning.html?id=241	brave	19	1016033
Bulakh-2013-870-73	NAN		73	242	http://semshifts.iling-ran.ru/show-meaning.html?id=242	brave person	3	NAN
Bulakh-2013-870-74	729dc7d9-8fc2-48a0-96fe-38d086add5ec	BREAD	74	244	http://semshifts.iling-ran.ru/show-meaning.html?id=244	bread	4	5910
Bulakh-2013-870-75	c56b408f-dc19-4f96-a356-5f817cac02ee	BREATHE	75	246	http://semshifts.iling-ran.ru/show-meaning.html?id=246	breathing	4	5998
Bulakh-2013-870-76	4ca9c24d-e6cb-44b9-921a-69d54584d4fe	BRIBE (1)	76	247	http://semshifts.iling-ran.ru/show-meaning.html?id=247	bribe	3	517028
Bulakh-2013-870-77	4f62d2b2-7f88-4a55-b328-2b68f4551190	BRIDE	77	249	http://semshifts.iling-ran.ru/show-meaning.html?id=249	bride	4	5565
Bulakh-2013-870-78	NAN		78	253	http://semshifts.iling-ran.ru/show-meaning.html?id=253	brilliant, glaring	7	NAN
Bulakh-2013-870-79	1146afcd-f9d6-4eae-9862-21501f82e159	BUD	79	262	http://semshifts.iling-ran.ru/show-meaning.html?id=262	bud (of a flower)	3	693943
Bulakh-2013-870-80	1146afcd-f9d6-4eae-9862-21501f82e159	BUD	80	263	http://semshifts.iling-ran.ru/show-meaning.html?id=263	bud (on a twig)	5	693943
Bulakh-2013-870-81	946a6320-b435-449f-9bcc-f318f66fd5ed	BULL	81	264	http://semshifts.iling-ran.ru/show-meaning.html?id=264	bull	6	432142
Bulakh-2013-870-82	a140534e-b182-443a-812c-68786932a04e	BULLET	82	265	http://semshifts.iling-ran.ru/show-meaning.html?id=265	bullet	5	483313
Bulakh-2013-870-83	4432ad78-7768-49dc-983e-d974b54b8998	BUTTOCKS	83	272	http://semshifts.iling-ran.ru/show-meaning.html?id=272	buttock	7	356264
Bulakh-2013-870-84	2ba09fe9-fdd2-4213-9a72-c543fd7354c7	BY HEART	84	274	http://semshifts.iling-ran.ru/show-meaning.html?id=274	by heart	3	1139186
Bulakh-2013-870-85	c2e7ac4a-e053-4deb-adcd-b100474f5935	CALM	85	275	http://semshifts.iling-ran.ru/show-meaning.html?id=275	calm	7	1505685
Bulakh-2013-870-86	f2c78364-c7ce-496e-adf1-08e69cd92a45	CAMEL	86	276	http://semshifts.iling-ran.ru/show-meaning.html?id=276	camel	3	8069
Bulakh-2013-870-87	34ac6fe1-574c-44e4-91ff-9eeb08aadaba	BE ABLE	87	278	http://semshifts.iling-ran.ru/show-meaning.html?id=278	can, to be able	11	419859
Bulakh-2013-870-88	058658cf-18b3-4251-8f72-7781667ead6e	CAPE	88	281	http://semshifts.iling-ran.ru/show-meaning.html?id=281	cape	5	684108
Bulakh-2013-870-89	e2279f1f-e690-43ad-9755-485488a0113e	CAT	89	288	http://semshifts.iling-ran.ru/show-meaning.html?id=288	cat	7	5446
Bulakh-2013-870-90	cf96473d-886c-4f98-94bf-c2a12aaedec3	CATTLE	90	292	http://semshifts.iling-ran.ru/show-meaning.html?id=292	cattle	3	511
Bulakh-2013-870-91	cb0fc0f1-5cf5-47b6-95cc-e81b0c995a6e	HOLE	91	298	http://semshifts.iling-ran.ru/show-meaning.html?id=298	cavity, hollow	3	6857
Bulakh-2013-870-92	0d959e22-eb5f-4164-a139-297b3d6ecc51	CENTER	92	302	http://semshifts.iling-ran.ru/show-meaning.html?id=302	centre	7	155907
Bulakh-2013-870-93	b17fd9b7-adda-487d-aeca-dcd76612974d	CHAPTER	93	310	http://semshifts.iling-ran.ru/show-meaning.html?id=310	chapter (of a book)	3	356636
Bulakh-2013-870-94	04e2d1f8-3e80-4b3e-8028-041d72e3c972	CHEAP	94	313	http://semshifts.iling-ran.ru/show-meaning.html?id=313	cheap	5	8184
Bulakh-2013-870-95	0aeb6ecd-addc-4011-94e5-c761c8d8716f	CHEEK	95	314	http://semshifts.iling-ran.ru/show-meaning.html?id=314	cheek	11	7034
Bulakh-2013-870-96	adb42c2d-5489-426c-92d8-9534af7e06ca	CHEST	96	317	http://semshifts.iling-ran.ru/show-meaning.html?id=317	chest (body part)	10	6532
