ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Wu-2020-150-119	119	laugh	1355	LAUGH	119
Wu-2020-150-120	120	cut	1432	CUT	120
Wu-2020-150-121	121	ash	646	ASH	121
Wu-2020-150-122	122	close			122
Wu-2020-150-123	123	wing	1257	WING	123
Wu-2020-150-124	124	six	1703	SIX	124
Wu-2020-150-125	125	shoulder	1482	SHOULDER	125
Wu-2020-150-126	126	smell	2124	SMELL	126
Wu-2020-150-127	127	stick	1295	STICK	127
Wu-2020-150-128	128	human being	683	PERSON	128
Wu-2020-150-129	129	green	1425	GREEN	129
Wu-2020-150-130	130	dull	379	BLUNT	130
Wu-2020-150-131	131	seven	1704	SEVEN	131
Wu-2020-150-132	132	single			132
Wu-2020-150-133	133	eight	1705	EIGHT	133
Wu-2020-150-134	134	many	1198	MANY	134
Wu-2020-150-135	135	far	1406	FAR	135
Wu-2020-150-136	136	he	1211	HE	136
Wu-2020-150-137	137	breasts	1402	BREAST	137
Wu-2020-150-138	138	day	1225	DAY (NOT NIGHT)	138
Wu-2020-150-139	139	the			139
Wu-2020-150-140	140	title			140
Wu-2020-150-141	141	yellow	1424	YELLOW	141
Wu-2020-150-142	142	near	1942	NEAR	142
Wu-2020-150-143	143	nine	1483	NINE	143
Wu-2020-150-144	144	full	1429	FULL	144
Wu-2020-150-145	145	this	1214	THIS	145
Wu-2020-150-146	146	lie	1411	LIE (REST)	146
Wu-2020-150-147	147	dig	1418	DIG	147
Wu-2020-150-148	148	where	1237	WHERE	148
Wu-2020-150-149	149	rat	1490	RAT	149
Wu-2020-150-150	150	every	98	ALL	150
