ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	DUTCH	IMAGE_AGREEMENT	IMAGEABILITY	AoA_DUTCH	CONCEPT_FAMILIARITY	LETTERS_NUMBER	SYLLABLE_NUMBER	NAMING_RT	OBJECTIVE_VC	SUBJECTIVE_VC	WF_LOG
Shao-2016-327-247	247	Table	1775	TABLE	Tafel	3,84	6,67	2,27	4,47	5	2	1170	126	4,69	1,92
Shao-2016-327-248	248	Vase	3746	VASE	Vaas	3,55	6	3,2	3,2	4	1	1107	59	2,43	0,66
Shao-2016-327-249	249	Cloud	1489	CLOUD	Wolk	5,52	6,39	2,2	3,97	4	1	1038	64	3,86	0,74
Shao-2016-327-250	250	Scissors	356	SHEARS	Schaar	6,06	6,61	2,53	4	6	1	797	50	1,46	0,8
Shao-2016-327-251	251	Caravan			Caravan	6,13	6,3	4,6	2,73	7	3	1120	95	4,37	0,71
Shao-2016-327-252	252	Hedgehog	1797	HEDGEHOG	Egel	6,13	6,52	2,87	2,73	4	2	988	126	4,34	-0,24
Shao-2016-327-253	253	Bucket	2052	BUCKET	Emmer	4,39	6,52	2,53	3,21	5	2	1239	112	3,14	0,83
Shao-2016-327-254	254	Dog	2009	DOG	Hond	4,81	6,39	1,8	3,76	4	1	1191	98	3,97	2,23
Shao-2016-327-255	255	Labrador			Labrador	5,39	6,06	5,33	3,76	8	3	745	53	2	2,23
Shao-2016-327-256	256	Cart	122	CART	Kar	3,9	5,42	2,6	2,97	3	1	1359	80	4,6	0,83
Shao-2016-327-257	257	Castle	1938	FORTRESS	Kasteel	5,48	6,52	3,07	2,6	7	2	1234	67	5,34	1,44
Shao-2016-327-258	258	Christmas tree			Kerstboom	5,58	6,76	2,93	3,1	9	2	1028	91	4,57	0,58
Shao-2016-327-259	259	Chicken	1318	CHICKEN	Kip	5,35	6,39	1,97	4,38	3	1	1052	116	3,17	1,58
Shao-2016-327-260	260	Ladder	1464	LADDER	Ladder	6,16	6,45	3,73	3	6	2	1012	79	3,17	0,99
Shao-2016-327-261	261	Ant	587	ANT	Mier	6	6,33	2,6	2,8	4	1	995	95	2,86	0,4
Shao-2016-327-262	262	Mouse	1491	MOUSE	Muis	5,03	6,55	2,27	3,47	4	1	1191	82	3,49	1,05
Shao-2016-327-263	263	Nose	1221	NOSE	Neus	5,77	6,64	1,8	4,13	4	1	898	86	3,66	1,85
