ID	NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Auderset-2023-209-165	165	nine	nueve	1483	NINE
Auderset-2023-209-166	166	ten	diez	1515	TEN
Auderset-2023-209-167	167	fifteen	quince	1709	FIFTEEN
Auderset-2023-209-168	168	twenty	veinte	1710	TWENTY
Auderset-2023-209-169	169	poor	pobre	1674	POOR
Auderset-2023-209-170	170	rich	rico	712	RICH
Auderset-2023-209-171	171	cold	frío	1287	COLD
Auderset-2023-209-172	172	hot	caliente	1286	HOT
Auderset-2023-209-173	173	big.SG	grande.SG		
Auderset-2023-209-174	174	big.PL	grande.PL		
Auderset-2023-209-175	175	small.SG	pequeño.SG, chico.SG		
Auderset-2023-209-176	176	small.PL	pequeño.PL, chico.PL		
Auderset-2023-209-177	177	long.SG	largo.SG		
Auderset-2023-209-178	178	long.PL	largo.PL		
Auderset-2023-209-179	179	good	bueno	1035	GOOD
Auderset-2023-209-180	180	sweet	dulce	717	SWEET
Auderset-2023-209-181	181	salty	salado	1091	SALTY
Auderset-2023-209-182	182	bitter	amargo	887	BITTER
Auderset-2023-209-183	183	tasty, delicious	sabroso	1813	TASTY
Auderset-2023-209-184	184	wide	ancho	1243	WIDE
Auderset-2023-209-185	185	new	nuevo	1231	NEW
Auderset-2023-209-186	186	lazy	flojo	1564	LAZY
Auderset-2023-209-187	187	ugly	feo	1548	UGLY
Auderset-2023-209-188	188	jealous	celoso	2821	JEALOUS
Auderset-2023-209-189	189	near	cerca de, está cerca	1942	NEAR
Auderset-2023-209-190	190	far	lejos, está lejos	1406	FAR
Auderset-2023-209-191	191	heavy	pesado	1210	HEAVY
Auderset-2023-209-192	192	raw	crudo	1959	RAW
Auderset-2023-209-193	193	smooth	liso	1234	SMOOTH
Auderset-2023-209-194	194	slow	despacio	701	SLOW
Auderset-2023-209-195	195	yesterday	ayer	1174	YESTERDAY
Auderset-2023-209-196	196	year	año	1226	YEAR
Auderset-2023-209-197	197	now, today	ahora, hoy	1376	NOW
Auderset-2023-209-198	198	night	noche	1233	NIGHT
Auderset-2023-209-199	199	night time	de noche		
Auderset-2023-209-200	200	day	día	1260	DAY (24 HOURS)
Auderset-2023-209-201	201	day time	de día	1225	DAY (NOT NIGHT)
Auderset-2023-209-202	202	half, middle	mitad		
Auderset-2023-209-203	203	money	dinero	1559	MONEY
Auderset-2023-209-204	204	work	trabajo	984	WORK (LABOUR)
Auderset-2023-209-205	205	word	palabra	1599	WORD
Auderset-2023-209-206	206	fault, blame, sin	culpa	134	FAULT
Auderset-2023-209-207	207	dream	sueño	1920	DREAM (SOMETHING)
Auderset-2023-209-208	208	when	cuándo	1238	WHEN
Auderset-2023-209-209	209	song, music	canción, música	1096	SONG
