MERGER	ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	LATIN	CATEGORY	GLOSS
	Leibniz-1768-128-58	256	FOOD	58	cibus	Necessitates	food
	Leibniz-1768-128-59	731	DRINK FLUID	59	potus	Necessitates	drink
	Leibniz-1768-128-6	1703	SIX	6	6	Nomina numeralia	six
	Leibniz-1768-128-60	1368	BREAD	60	panis	Necessitates	bread
	Leibniz-1768-128-61	948	WATER	61	aqua	Necessitates	water
	Leibniz-1768-128-62	635	MILK FLUID	62	lac	Necessitates	milk
	Leibniz-1768-128-63	1524	WINE	63	vinum	Necessitates	wine
	Leibniz-1768-128-64	941	MEAD	64	medo	Necessitates	mead
	Leibniz-1768-128-65	653	PLANT, VEGETATION	65	herba	Necessitates	plant
	Leibniz-1768-128-66	605	GRAIN	66	frumentum	Necessitates	grain
	Leibniz-1768-128-67	1320	APPLE	67	pomum	Necessitates	apple
	Leibniz-1768-128-68	1274	SALT	68	sal	Necessitates	salt
	Leibniz-1768-128-69	227	FISH	69	piscis	Necessitates	fish
	Leibniz-1768-128-7	1704	SEVEN	7	7	Nomina numeralia	seven
	Leibniz-1768-128-70	1169	OX	70	bos	Necessitates	ox
	Leibniz-1768-128-71	744	EGG	71	ovis	Necessitates	eggs
	Leibniz-1768-128-72	615	HORSE	72	equus	Necessitates	horse
	Leibniz-1768-128-73	1895	CLOTHES	73	vestis	Necessitates	clothing
	Leibniz-1768-128-74	580	FUR	74	pellis	Necessitates	pelt
	Leibniz-1768-128-75	1252	HOUSE	75	domus	Necessitates	house
	Leibniz-1768-128-76	122	CART	76	currus	Necessitates	cart, chariot
	Leibniz-1768-128-77	1535	SWORD	77	gladius	Necessitates	sword
	Leibniz-1768-128-78	994	BOW	78	arcus	Necessitates	bow
	Leibniz-1768-128-79	977	ARROW	79	sagitta	Necessitates	arrow
	Leibniz-1768-128-8	1705	EIGHT	8	8	Nomina numeralia	eight
	Leibniz-1768-128-80	945	SPEAR	80	lancea	Necessitates	lance, spear
	Leibniz-1768-128-81	1566	GUN	81	bombarda	Necessitates	cannon, gun
	Leibniz-1768-128-82	1944	GOD	82	deus	Naturalia	god
	Leibniz-1768-128-83	683	PERSON	83	homo	Naturalia	man, human being
	Leibniz-1768-128-84	1565	HEAVEN	84	coelum	Naturalia	heaven
	Leibniz-1768-128-85	1343	SUN	85	sol	Naturalia	sun
	Leibniz-1768-128-86	1313	MOON	86	luna	Naturalia	moon
	Leibniz-1768-128-87	1430	STAR	87	stella	Naturalia	star
	Leibniz-1768-128-88	27	AIR	88	aër	Naturalia	air
	Leibniz-1768-128-89	658	RAIN, PRECIPATION	89	pluvia	Naturalia	rain
	Leibniz-1768-128-9	1483	NINE	9	9	Nomina numeralia	nine
	Leibniz-1768-128-90	1150	THUNDER	90	tonitru	Naturalia	thunder
	Leibniz-1768-128-91	1654	LIGHTNING	91	fulgur	Naturalia	lightning
	Leibniz-1768-128-92	1489	CLOUD	92	nubes	Naturalia	cloud
2	Leibniz-1768-128-93	617	ICE	93	gelu	Naturalia	frost
	Leibniz-1768-128-94	609	HAIL	94	grando	Naturalia	hail
	Leibniz-1768-128-95	784	SNOW	95	nix	Naturalia	snow
2	Leibniz-1768-128-96	617	ICE	96	glacies	Naturalia	ice
	Leibniz-1768-128-97	221	FIRE	97	ignis	Naturalia	fire
	Leibniz-1768-128-98	612	HEAT	98	calor	Naturalia	heat
	Leibniz-1768-128-99	630	LIGHT RADIATION	99	lux	Naturalia	light
