ID	NUMBER	NUMBER_IN_TABLE	ENGLISH	POS	SEMANTIC_GROUP	EXPERIMENT	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huttenlocher-1979-225-200	200	29	cut	verb	random A	3.B	151	1432	CUT
Huttenlocher-1979-225-201	201	30	find	verb	random A	3.B	151	719	FIND
Huttenlocher-1979-225-202	202	31	play	verb	random B	3.B	151	1413	PLAY
Huttenlocher-1979-225-203	203	32	count	verb	random B	3.B	151	1420	COUNT
Huttenlocher-1979-225-204	204	33	pick	verb	random B	3.B	151	2148	PICK
Huttenlocher-1979-225-205	205	34	cry	verb	random C	3.B	151	1839	CRY
Huttenlocher-1979-225-206	206	35	move	verb	random C	3.B	151	765	MOVE
Huttenlocher-1979-225-207	207	36	look	verb	random C	3.B	151	1819	LOOK
Huttenlocher-1979-225-208	208	37	rub	verb	random D	3.B	151	1449	RUB
Huttenlocher-1979-225-209	209	38	shut	verb	random D	3.B	151	1046	SHUT
Huttenlocher-1979-225-210	210	39	think	verb	random D	3.B	151	2271	THINK
Huttenlocher-1979-225-211	211	40	tear	verb	random E	3.B	151	1735	TEAR (SHRED)
Huttenlocher-1979-225-212	212	41	hurt	verb	random E	3.B	151	2411	HURT (SOMEBODY)
Huttenlocher-1979-225-213	213	42	catch	verb	random E	3.B	151	702	CATCH
Huttenlocher-1979-225-214	214	43	blow	verb	random F	3.B	151	176	BLOW (WITH MOUTH)
Huttenlocher-1979-225-215	215	44	come	verb	random F	3.B	151	1446	COME
Huttenlocher-1979-225-216	216	45	make	verb	random F	3.B	151	734	MAKE
Huttenlocher-1979-225-217	217	46	work	verb	random G	3.B	151	1086	WORK (ACTIVITY)
Huttenlocher-1979-225-218	218	47	keep	verb	random G	3.B	151	1477	KEEP
Huttenlocher-1979-225-219	219	48	read	verb	random G	3.B	151	724	READ
Huttenlocher-1979-225-220	220	49	cook	verb	random H	3.B	151	1100	COOK (SOMETHING)
Huttenlocher-1979-225-221	221	50	need	verb	random H	3.B	151	2339	NEED (SOMETHING)
Huttenlocher-1979-225-222	222	51	give	verb	random H	3.B	151	1447	GIVE
Huttenlocher-1979-225-223	223	52	fix	verb	random I	3.B	151	3074	FIX
Huttenlocher-1979-225-224	224	53	try	verb	random I	3.B	151	1812	TRY
Huttenlocher-1979-225-225	225	54	grow	verb	random I	3.B	151	479	GROW
