ID	NUMBER	PAGE	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wang-2004-471-83	249	244	stepmother	继母	236	STEPMOTHER
Wang-2004-471-84	254	244	cattle	牛	1153	CATTLE
Wang-2004-471-85	259	245	maggot	蛆	2640	LARVA
Wang-2004-471-86	263	244	horn	角	1393	HORN (ANATOMY)
Wang-2004-471-87	264	244	hoof	蹄	152	HOOF
Wang-2004-471-88	268	244	horse	马	615	HORSE
Wang-2004-471-89	271	244	horse mane	马鬃		MANE
Wang-2004-471-90	271	244	mare	母马	938	MARE
Wang-2004-471-91	274	244	sheep (general)	羊	2684	CAPRINE (GOAT OR SHEEP)
Wang-2004-471-92	284	244	pig	猪	1337	PIG
Wang-2004-471-93	289	244	dog	狗	2009	DOG
Wang-2004-471-94	291	244	cat	猫	1208	CAT
Wang-2004-471-95	293	244	chicken	鸡	1318	CHICKEN
Wang-2004-471-96	304	244	tiger	老虎	846	TIGER
Wang-2004-471-97	306	244	dragon	龙	2038	DRAGON
Wang-2004-471-98	308	244	monkey	猴子	1350	MONKEY
Wang-2004-471-99	310	244	leopard; panther	豹子	1139	LEOPARD
Wang-2004-471-100	314	244	muntjac; barking deer	鹿子	3152	MUNTJACS
Wang-2004-471-101	316	244	musk	麝香		
Wang-2004-471-102	319	244	hedgehog	刺猬	1797	HEDGEHOG
Wang-2004-471-103	320	244	mouse	老鼠	2139	MUROID (MOUSE OR RAT)
Wang-2004-471-104	326	244	bird	鸟	937	BIRD
Wang-2004-471-105	327	244	bird's nest	鸟窝	539	NEST
Wang-2004-471-106	340	244	pheasant	野鸡	3060	PHEASANT
Wang-2004-471-107	342	244	turtledove	斑鸠	1853	DOVE
Wang-2004-471-108	347	244	cuckoo	布谷鸟	2934	CUCKOO
Wang-2004-471-109	347	244	snake	蛇	730	SNAKE
Wang-2004-471-110	349	245	frog	青蛙	503	FROG
Wang-2004-471-111	351	245	fish	鱼	227	FISH
Wang-2004-471-112	352	245	scale	鳞	266	SCALE
Wang-2004-471-113	353	245	worm	虫	1219	WORM
Wang-2004-471-114	356	245	louse	虱子	1392	LOUSE
Wang-2004-471-115	360	245	mosquito	蚊子	1509	MOSQUITO
Wang-2004-471-116	364	245	leech	蚂蟥	949	WATER LEECH
Wang-2004-471-117	365	245	ant	蚂蚁	587	ANT
Wang-2004-471-118	367	245	bee	蜂蜜	665	BEE
Wang-2004-471-119	372	245	tree	树	906	TREE
Wang-2004-471-120	375	245	root	根	670	ROOT
Wang-2004-471-121	376	245	leaf	叶子	628	LEAF
Wang-2004-471-122	378	245	fruit	水果		
Wang-2004-471-123	382	245	willow	柳树	818	WILLOW
Wang-2004-471-124	385	245	pine	松树	1740	PINE
Wang-2004-471-125	387	245	resin, colophony	松香	664	RESIN
Wang-2004-471-126	388	245	pine torches	宋明		
Wang-2004-471-127	389	245	bamboo	竹子	1927	BAMBOO
Wang-2004-471-128	390	245	cane, vine	藤子	343	VINE
Wang-2004-471-129	391	245	thorn; splinter	刺儿	124	THORN
Wang-2004-471-130	392	245	peach	杯子	2043	PEACH
Wang-2004-471-131	395	245	persimmon	柿子	2044	PERSIMMON
Wang-2004-471-132	397	245	Chinese chestnut	板栗		
Wang-2004-471-133	403	245	paddy rice	水稻		
Wang-2004-471-134	403	245	paddy rice	谷	3390	WILD RICE
Wang-2004-471-135	404	245	glutinous rice	糯米	2750	GLUTINOUS RICE
Wang-2004-471-136	405	245	seed	种子	714	SEED
Wang-2004-471-137	406	245	(rice) seedling	种	3050	SEEDLING
Wang-2004-471-138	407	245	ear; spike	穗	3244	EAR (OF GRAIN)
Wang-2004-471-139	408	245	rice straw	稻草	3391	RICE STRAW
Wang-2004-471-140	410	245	wheat	小麦	1077	WHEAT
Wang-2004-471-141	411	245	barley	大麦	932	BARLEY
Wang-2004-471-142	413	245	buckwheat	荞麦	2040	BUCKWHEAT
Wang-2004-471-143	414	245	wheat straw	麦秸		
Wang-2004-471-144	419	245	hemp	麻		HEMP
Wang-2004-471-145	420	245	vegetable	蔬菜	924	VEGETABLES
Wang-2004-471-146	423	245	onion, scallion	葱	2366	ONION
Wang-2004-471-147	424	245	garlic	蒜	2368	GARLIC
Wang-2004-471-148	425	245	ginger	姜	2500	GINGER
Wang-2004-471-149	430	245	pea; bean	豆	2574	BEAN OR PEA
Wang-2004-471-150	437	246	mushroom	蘑菇	641	MUSHROOM
Wang-2004-471-151	439	246	rice	米	926	RICE
Wang-2004-471-152	443	246	meat	肉	634	MEAT
Wang-2004-471-153	445	246	grease, fat	脂肪	323	FAT (ORGANIC SUBSTANCE)
Wang-2004-471-154	446	246	vegetable oil	清油	2555	OIL (FROM PLANTS)
Wang-2004-471-155	448	246	seed of Chinese prickly ash	花椒	3395	SICHUAN PEPPER
Wang-2004-471-156	450	246	egg	蛋	744	EGG
Wang-2004-471-157	451	246	soup	汤	1547	SOUP
Wang-2004-471-158	452	246	alcoholic beverage	酒	404	ALCOHOL (FERMENTED DRINK)
Wang-2004-471-159	454	246	tea	茶	1373	TEA
Wang-2004-471-160	456	246	medicine	药	1372	MEDICINE
Wang-2004-471-161	457	246	chaff; bran	糠	2363	CHAFF (HUSK)
Wang-2004-471-162	461	246	thread	线	1161	THREAD
Wang-2004-471-163	462	246	cloth	布	1616	CLOTH
Wang-2004-471-164	479	246	shoe	鞋	1381	SHOE
Wang-2004-471-165	481	246	comb	梳子	1475	COMB
Wang-2004-471-166	484	246	earrings	耳环	770	EARRING
Wang-2004-471-167	490	246	pillow	枕头	1044	PILLOW
Wang-2004-471-168	493	246	straw or palm-bark rain cape	蓑衣	1662	CAPE
Wang-2004-471-169	494	246	house	房子	1252	HOUSE
Wang-2004-471-170	509	246	tile	瓦	3404	TILE
Wang-2004-471-171	511	246	[wood]	木头		WOOD
Wang-2004-471-172	512	246	plank; board	木板	1227	BOARD
Wang-2004-471-173	513	246	pillar	柱子	2045	COLUMN
Wang-2004-471-174	514	246	door	门	1567	DOOR
Wang-2004-471-175	522	246	garden (plot)	园子	586	GARDEN
Wang-2004-471-176	526	246	bed	床	1663	BED
Wang-2004-471-177	534	246	firewood	柴	10	FIREWOOD
Wang-2004-471-178	544	246	cooking stove; kitchen range	灶	859	STOVE
Wang-2004-471-179	548	246	bamboo food steamer	蒸笼	3431	RICE STEAMER
Wang-2004-471-180	551	246	ladle	勺子	2657	LADLE
Wang-2004-471-181	555	246	chopsticks	筷子	1987	CHOPSTICKS
Wang-2004-471-182	559	246	kettle; pot	壶	854	KETTLE
Wang-2004-471-183	560	246	vat; jar	缸	270	JUG
Wang-2004-471-184	576	246	interest	利斯	2062	INTEREST
Wang-2004-471-185	578	246	needle	针	1382	NEEDLE (FOR SEWING)
Wang-2004-471-186	580	246	nail; tack	钉子	502	NAIL (TOOL)
Wang-2004-471-187	585	246	key	钥匙	1472	KEY
Wang-2004-471-188	586	246	stick	棍子	1295	STICK
Wang-2004-471-189	597	246	whip	鞭子	2630	WHIP
Wang-2004-471-190	602	246	boat; ship	船	1844	BOAT
Wang-2004-471-191	605	246	axe	斧头	677	AXE
Wang-2004-471-192	607	247	chisel	鑿子	1979	CHISEL
Wang-2004-471-193	608	247	saw	锯子	1948	SAW
Wang-2004-471-194	615	247	plougshare	铧		
Wang-2004-471-195	617	247	hoe (large)	锄头	284	HOE
Wang-2004-471-196	619	247	rope	绳子	1218	ROPE
Wang-2004-471-197	623	247	fertilizer; manure	肥料	2057	DUNG (ANIMAL FAECES)
Wang-2004-471-198	624	247	sickle	剪刀	341	SICKLE
Wang-2004-471-199	626	247	trip-hammer for hulling rice	碓（水碓）		
Wang-2004-471-200	629	247	sieve; sifter	篩子	3353	SIEVE (TOOL)
Wang-2004-471-201	630	247	winnowing fan	簸箕	2051	DUSTPAN
Wang-2004-471-202	637	247	arrow	箭	977	ARROW
Wang-2004-471-203	647	247	paper	纸	648	PAPER
Wang-2004-471-204	651	247	speech; words; language	语	2799	LANGUAGE OR WORD
Wang-2004-471-205	659	247	drum	鼓	908	DRUM
Wang-2004-471-206	669	247	ghost, spirit	鬼	1175	GHOST
Wang-2004-471-207	673	247	(soul); spirit	灵魂	53	SPIRIT
Wang-2004-471-208	687	247	name	名字	1405	NAME
Wang-2004-471-209	695	247	trace; track	痕迹		
Wang-2004-471-210	698	247	shadow	影子	1388	SHADE
Wang-2004-471-211	699	247	dream	梦	2374	DREAM
Wang-2004-471-212	703	247	direction; orientation	方向	3427	DIRECTION
Wang-2004-471-213	710	247	left	左边	244	LEFT
Wang-2004-471-214	713	247	back, behind	后边	1686	BEHIND
Wang-2004-471-215	714	247	outside	外边	762	OUTSIDE
Wang-2004-471-216	722	247	the upper part; up reaches; above	上方（地势，河流）	2379	UP OR ABOVE
Wang-2004-471-217	738	247	today	今天	1283	TODAY
Wang-2004-471-218	739	247	yesterday	昨天	1174	YESTERDAY
Wang-2004-471-219	752	247	at night; in the evening	晚上		EVENING
Wang-2004-471-220	767	247	the 12 animals representing the 12 years	属相		
Wang-2004-471-221	771	247	month	月	1370	MONTH
Wang-2004-471-222	781	247	next year	名年	515	NEXT YEAR
Wang-2004-471-223	797	247	one	一	1493	ONE
Wang-2004-471-224	798	247	two	二	1498	TWO
Wang-2004-471-225	799	247	three	三	492	THREE
Wang-2004-471-226	800	247	four	四	1500	FOUR
Wang-2004-471-227	801	247	five	五	493	FIVE
Wang-2004-471-228	802	247	six	六	1703	SIX
Wang-2004-471-229	803	248	seven	七	1704	SEVEN
Wang-2004-471-230	804	248	eight	八	1705	EIGHT
Wang-2004-471-231	805	248	nine	九	1483	NINE
Wang-2004-471-232	806	248	ten	十	1515	TEN
Wang-2004-471-233	808	248	twelve	十二	1707	TWELVE
Wang-2004-471-234	824	248	hundred	百	1634	HUNDRED
Wang-2004-471-235	826	248	thousand	千	1843	THOUSAND
Wang-2004-471-236	832	248	a half	一半	816	HALF
Wang-2004-471-237	839	248	classifier [sheet of paper]	张（纸）		SHEET (CLASSIFIER)
Wang-2004-471-238	842	248	classifier [birds]	只（鸟）	2081	CHICKEN (CLASSIFIER)
Wang-2004-471-239	845	248	classifier [grain]	厘（米）	2086	GRAIN (CLASSIFIER)
Wang-2004-471-240	848	248	classifier [tree]	棵（树）	2721	TREE (CLASSIFIER)
Wang-2004-471-241	852	248	classifier [handfull]	把（菜）	1966	BUNCH
Wang-2004-471-242	864	248	classifier [clothes]	件（衣服）	2088	CLOTHING (CLASSIFIER)
Wang-2004-471-243	876	248	classifier [back of firewood]	背（柴）		
Wang-2004-471-244	881	248	classifier [sack of rice]	袋（米）		
Wang-2004-471-245	889	248	classifier [room]	间（房）		
Wang-2004-471-246	894	248	classifier [weight unit]	两		
Wang-2004-471-247	899	248	classifier [length unit]	庹	81	FATHOM
Wang-2004-471-248	910	248	day	天	1260	DAY (24 HOURS)
Wang-2004-471-249	914	248	a year old	岁	1789	AGE
Wang-2004-471-250	916	248	step	步	1158	STEP
Wang-2004-471-251	928	248	I	我	1209	I
Wang-2004-471-252	931	248	you	你	1215	THOU
Wang-2004-471-253	934	248	he	他	2642	HE OR SHE
Wang-2004-471-254	964	248	big	大	1202	BIG
Wang-2004-471-255	966	248	wide	粗	1244	THICK
Wang-2004-471-256	968	248	high	高	2790	HIGH OR TALL
Wang-2004-471-257	969	248	low; short	低（矮）	2484	SMALL (NOT TALL)
Wang-2004-471-258	972	248	long	长	1203	LONG
Wang-2004-471-259	974	248	far	远	1406	FAR
Wang-2004-471-260	975	248	near	近	1942	NEAR
Wang-2004-471-261	976	248	wide	宽	1243	WIDE
Wang-2004-471-262	977	248	narrow	窄	1267	NARROW
Wang-2004-471-263	980	248	thick	厚	1244	THICK
Wang-2004-471-264	982	248	deep	深	1593	DEEP
Wang-2004-471-265	985	248	empty	空	1624	EMPTY
Wang-2004-471-266	987	248	many	多	1198	MANY
Wang-2004-471-267	990	248	round	圆	1395	ROUND
Wang-2004-471-268	994	248	smooth	平	1234	SMOOTH
Wang-2004-471-269	999	248	slanting; learning	偏	3075	SLANTED
Wang-2004-471-270	1002	248	vertical, be standing	竖	2375	VERTICAL
Wang-2004-471-271	1003	248	straight	直	1404	STRAIGHT
Wang-2004-471-272	1004	248	curved; crooked; bent	弯	1698	CURVED
Wang-2004-471-273	1005	248	black	黑	163	BLACK
Wang-2004-471-274	1006	248	white	白	1335	WHITE
Wang-2004-471-275	1007	248	red	红	156	RED
Wang-2004-471-276	1008	249	yellow	黄	1424	YELLOW
Wang-2004-471-277	1013	249	dark	暗	706	DARK
Wang-2004-471-278	1014	249	heavy	重	1210	HEAVY
Wang-2004-471-279	1015	249	light	轻	1052	LIGHT (WEIGHT)
Wang-2004-471-280	1018	249	early	早	672	EARLY
Wang-2004-471-281	1019	249	late	晚	477	LATE
Wang-2004-471-282	1020	249	sharp	尖；锋利	1396	SHARP
Wang-2004-471-283	1023	249	muddy; turbid	浑浊	537	TURBID
Wang-2004-471-284	1028	249	dry	干	1398	DRY
Wang-2004-471-285	1031	249	watery/thin (porridge)	稀（粥）	207	SPARSE
Wang-2004-471-286	1035	249	soft	软	1856	SOFT
Wang-2004-471-287	1045	249	correct; right	对	1725	CORRECT (RIGHT)
Wang-2004-471-288	1047	249	real	真	1657	TRUE
Wang-2004-471-289	1048	249	fraud	假	3069	FALSE
Wang-2004-471-290	1050	249	new	新	1231	NEW
Wang-2004-471-291	1051	249	used, old	旧	2113	OLD (USED)
Wang-2004-471-292	1052	249	good	好	1035	GOOD
Wang-2004-471-293	1053	249	bad (things)	坏	1292	BAD
Wang-2004-471-294	1057	249	tender young (plant)	嫩（植物）		
Wang-2004-471-295	1062	249	hot	热	1286	HOT
Wang-2004-471-296	1063	249	cold	冷	1287	COLD
Wang-2004-471-297	1064	249	lukewarm	温（水）		
Wang-2004-471-298	1068	249	easy	容易	686	EASY
Wang-2004-471-299	1069	249	fragrant (smell)	相	376	FRAGRANT
Wang-2004-471-300	1070	249	stinking; smelly	臭	42	STINKING
Wang-2004-471-301	1072	249	sour	酸	1906	SOUR
Wang-2004-471-302	1074	249	bitter	苦	887	BITTER
Wang-2004-471-303	1076	249	salty	咸	1091	SALTY
Wang-2004-471-304	1078	249	astringent; like unripe	涩		
Wang-2004-471-305	1083	249	rich	富	712	RICH
Wang-2004-471-306	1089	249	dead	死	1625	DEAD
Wang-2004-471-307	1094	249	loud	响	377	LOUD
Wang-2004-471-308	1124	249	cliffy; precipitous	陡峭	2717	STEEP
Wang-2004-471-309	1126	249	love; like	爱	1117	LIKE
Wang-2004-471-310	1129	249	press (with palm of finger)	按	1913	PRESS
Wang-2004-471-311	1131	249	pull up (weeds)	拔（草）	2066	PULL UP (RICE SEEDLINGS)
Wang-2004-471-312	1132	249	to rake (the fields)	耙（田）	3127	RAKE (SOMETHING)
Wang-2004-471-313	1141	249	bind; tie up	绑	2891	TIE UP (TETHER)
Wang-2004-471-314	1148	249	have eaten one's fill	饱	106	SATIATED
Wang-2004-471-315	1149	249	hug	抱	928	EMBRACE
Wang-2004-471-316	1151	249	carry (a child on the back)	背	465	CARRY ON BACK
Wang-2004-471-317	1151	249	carry (shoulder)	背	413	CARRY ON SHOULDER
Wang-2004-471-318	1155	250	close (the mouth)	闭（口）	2063	CLOSE (EYES)
Wang-2004-471-319	1156	250	to plait	编（辫子）	3295	BRAID (VERB)
Wang-2004-471-320	1158	250	change	变化	2857	CHANGE (BECOME DIFFERENT)
Wang-2004-471-321	1160	250	to be ill	病	1847	SICK
Wang-2004-471-322	1161	250	patch (clothing)	补（依附）	2243	REPAIR
Wang-2004-471-323	1168	250	step on; tread	踩	575	TREAD
Wang-2004-471-324	1169	250	hide	藏（东西)	602	HIDE (CONCEAL)
Wang-2004-471-325	1171	250	to poke; insert	播（牌子）	3071	INSERT
Wang-2004-471-326	1172	250	transplant (rice seedling); insert	播（种）	2064	SCATTER (SEEDS)
Wang-2004-471-327	1174	250	unseam (clothing)	拆衣服		
Wang-2004-471-328	1186	250	stir-fry; stir	炒	2162	STIR FRY
Wang-2004-471-329	1188	250	weigh (food)	称（粮食）	1098	WEIGH
Wang-2004-471-330	1194	250	fill (a bowl with rice)	盛（饭）	2006	FILL
Wang-2004-471-331	1198	250	eat	吃	1336	EAT
Wang-2004-471-332	1212	250	put on (the shoes)	穿（鞋）	158	PUT ON
Wang-2004-471-333	1218	250	blow (the trumpet)	吹（喇叭）	176	BLOW (WITH MOUTH)
Wang-2004-471-334	1225	250	twist (hemp fivers)	搓（绳）	3236	TWIST (TOGETHER)
Wang-2004-471-335	1234	250	fight	打架	1423	FIGHT
Wang-2004-471-336	1240	250	to bet	打赌		
Wang-2004-471-337	1248	250	to thunder	打雷	2378	THUNDER (VERB)
Wang-2004-471-338	1252	250	wear (a hat)	戴（帽子）	3428	WEAR (ON HEAD)
Wang-2004-471-339	1254	250	wear (a bracelet)	戴（手镯 ）		
Wang-2004-471-340	1256	250	to block (the wind)	挡（风）	2762	BLOCK (THE WAY)
Wang-2004-471-341	1263	250	get; acquire	得到	694	GET
Wang-2004-471-342	1264	250	wait	等待	1590	WAIT (FOR)
Wang-2004-471-343	1265	250	earth quake	地震		
Wang-2004-471-344	1269	250	to burn	燃烧	2102	BURN
Wang-2004-471-345	1274	250	to drop	掉（下)	750	DROP
Wang-2004-471-346	1287	250	read	读	724	READ
Wang-2004-471-347	1298	250	be hungry	饿	1533	BE HUNGRY
Wang-2004-471-348	1318	250	fly	飞	1441	FLY (MOVE THROUGH AIR)
Wang-2004-471-349	1319	250	divide; share (things)	分（东西）	1119	DIVIDE
Wang-2004-471-350	1332	250	pull (a quilt over oneself)	盖（被）		
Wang-2004-471-351	1339	250	cut (meat)	割（肉）	2156	CUT (WITH KNIFE)
Wang-2004-471-352	1343	250	be on the other side of (a river)	隔（河）		
Wang-2004-471-353	1345	250	give	给	1447	GIVE
Wang-2004-471-354	1347	250	plough; till	耕	1921	PLOUGH
Wang-2004-471-355	1348	251	to hook	钩	1071	HOOK
Wang-2004-471-356	1357	251	to pen in (sheep)	关（羊）		
Wang-2004-471-357	1360	251	kneel	跪	66	KNEEL
Wang-2004-471-358	1370	251	drink	喝	1401	DRINK
Wang-2004-471-359	1383	251	to change	换	1264	CHANGE
Wang-2004-471-360	1384	251	wave; wield	挥动	978	WAVE
Wang-2004-471-361	1385	251	return	回	581	COME BACK
Wang-2004-471-362	1405	251	squeeze (for milk)	济（奶）	93	DRAW MILK
Wang-2004-471-363	1412	251	pick up (food with chopstick) [fasten the belt]	系（腰带）		
Wang-2004-471-364	1413	251	pick up (food with chopstick)	夹（菜）	371	PICK UP
Wang-2004-471-365	1414	251	pick up	捡		GATHER
Wang-2004-471-366	1416	251	scissor	剪	2155	CUT (WITH SCISSORS)
Wang-2004-471-367	1419	251	exchange	交换	2509	EXCHANGE
Wang-2004-471-368	1422	251	to water/sprinkle/irrigate	浇（水）	3078	IRRIGATE
Wang-2004-471-369	1425	251	teach	教	709	TEACH
Wang-2004-471-370	1438	251	lift (the lid)	揭（盖子）	501	LIFT
Wang-2004-471-371	1432	251	to bark	叫（狗）	1206	BARKING
Wang-2004-471-372	1442	251	to borrow (money)	借（钱）	1823	BORROW
Wang-2004-471-373	1443	251	to borrow (tools)	借（工具）		
Wang-2004-471-374	1444	251	soak; steep	浸泡	2069	SOAK (VERB)
Wang-2004-471-375	1452	251	live; reside	居住	363	DWELL (LIVE, RESIDE)
Wang-2004-471-376	1454	251	to saw	锯	1948	SAW
Wang-2004-471-377	1461	251	open	开（门）	1156	OPEN
Wang-2004-471-378	1462	251	(water) be boiling	开（水）	792	BOIL (OF LIQUID)
Wang-2004-471-379	1474	251	roast in fire	烤（火）		ROAST (SOMETHING)
Wang-2004-471-380	1477	251	to cough	咳？	879	COUGH
Wang-2004-471-381	1478	251	be thirsty	渴	847	THIRSTY
Wang-2004-471-382	1485	251	cry (verb or noun?, should be made clear later on)	哭	1839	CRY
Wang-2004-471-383	1487	251	pull; tug	拉	1455	PULL
Wang-2004-471-384	1489	251	peppery	辣	544	SPICY
Wang-2004-471-385	1493	251	old	老的	1229	OLD
Wang-2004-471-386	1502	251	(water flow)	流水		
Wang-2004-471-387	1506	251	to leak	漏（水）	2253	DRIP (EMIT LIQUID)
Wang-2004-471-388	1513	251	be numb	麻木	2216	BECOME NUMB
Wang-2004-471-389	1516	251	buy	买	1869	BUY
Wang-2004-471-390	1517	251	sell	卖	1571	SELL
Wang-2004-471-391	1521	251	(birds)cry/chirp	鸣（鸟）		
Wang-2004-471-392	1523	251	close (the mouth) lightly	抿着（嘴）		
Wang-2004-471-393	1525	251	stroke; touch	摸	1892	TOUCH
Wang-2004-471-394	1526	251	whet (a knife)	磨（刀）	251	SHARPEN (SOMETHING)
Wang-2004-471-395	1527	252	grind (flour)	磨（面）	1033	GRIND
Wang-2004-471-396	1533	252	twist (a tower)	拧（毛巾）	3199	TWIST (AROUND)
Wang-2004-471-397	1535	252	vomit/throw up	呕吐	1278	VOMIT
Wang-2004-471-398	1536	252	(people) crawl	爬（人）	96	CRAWL
Wang-2004-471-399	1546	252	compensate	赔偿		
Wang-2004-471-400	1552	252	chop (firewood)	劈（柴）	155	CHOP
Wang-2004-471-401	1553	252	float	漂浮	1574	FLOAT
Wang-2004-471-402	1561	252	cut/rip open	剖	1432	CUT
Wang-2004-471-403	1562	252	pave; lay	铺	2071	LAY (VERB)
Wang-2004-471-404	1566	252	ride	骑	367	RIDE
Wang-2004-471-405	1568	252	pull/lead (a cow) along	牵（牛）	43	LEAD (GUIDE)
Wang-2004-471-406	1569	252	to owe (money)	欠（钱）	369	OWE
Wang-2004-471-407	1574	252	cut up (vegetable)	切（菜）	2149	CHOP (INTO PIECES)
Wang-2004-471-408	1580	252	fully recover (from an illness)	痊愈（病）	1978	RECOVER
Wang-2004-471-409	1587	252	heat up (cold rice)	热（饭）	1341	HEAT UP
Wang-2004-471-410	1596	252	piss; pee	撒（尿）	592	PISS
Wang-2004-471-411	1597	252	scatter (seeds)	撒（种）	2064	SCATTER (SEEDS)
Wang-2004-471-412	1601	252	seep [sweep]	扫	230	SWEEP
Wang-2004-471-413	1602	252	kill	杀	1417	KILL
Wang-2004-471-414	1604	252	dry (clothes) in the sun	晒（衣服）	3364	DRY IN SUN
Wang-2004-471-415	1611	252	shoot (an arrow)	射（箭）	1172	SHOOT
Wang-2004-471-416	1613	252	stretch out (the arm)	伸	214	STRETCH
Wang-2004-471-417	1634	252	to comb	梳	2070	COMB (VERB)
Wang-2004-471-418	1635	252	lose (a game)	输	1660	LOSE
