ID	NUMBER	PICTURE	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ITALIAN	SPANISH	GERMAN	WESTERNFLEMISH	FRENCH	H_INDEX_ENGLISH	MODAL_NAME_ENGLISH	VALID_RESPONSES_ENGLISH	NUMBER_DIFFERENT_RESPONSES_ENGLISH	UNKNOWN_RESPONSES_ENGLISH	VISUAL_COMPLEXITY_ENGLISH	H_INDEX_ITALIAN	MODAL_NAME_ITALIAN	VALID_RESPONSES_ITALIAN	NUMBER_DIFFERENT_RESPONSES__ITALIAN	UNKNOWN_RESPONSES__ITALIAN	IDIOSYNCRATIC_RESPONSES__ITALIAN	VISUAL_COMPLEXITY__ITALIAN	H_INDEX_SPANISH	MODAL_NAME_SPANISH	VALID_RESPONSES_SPANISH	NUMBER_DIFFERENT_RESPONSES_SPANISH	UNKNOWN_RESPONSES_SPANISH	IDIOSYNCRATIC_RESPONSES_SPANISH	VISUAL_COMPLEXITY_SPANISH	H_INDEX_GERMAN	MODAL_NAME_GERMAN	VALID_RESPONSES_GERMAN	NUMBER_DIFFERENT_RESPONSES_GERMAN	UNKNOWN_RESPONSES_GERMAN	IDIOSYNCRATIC_RESPONSES_GERMAN	VISUAL_COMPLEXITY_GERMAN	H_INDEX_WESTERNFLEMISH	MODAL_NAME_WESTERNFLEMISH	VALID_RESPONSES_WESTERNFLEMISH	NUMBER_DIFFERENT_RESPONSES_WESTERNFLEMISH	UNKNOWN_RESPONSES_WESTERNFLEMISH	IDIOSYNCRATIC_RESPONSES_WESTERNFLEMISH	VISUAL_COMPLEXITY_WESTERNFLEMISH	H_INDEX_FRENCH	MODAL_NAME_FRENCH	VALID_RESPONSES_FRENCH	NUMBER_DIFFERENT_RESPONSES_FRENCH	UNKNOWN_RESPONSES_FRENCH	IDIOSYNCRATIC_RESPONSES_FRENCH	VISUAL_COMPLEXITY_FRENCH
Dunabeitia-2018-750-566	566	PICTURE_566	4023	VIOLIN	violin	violino	violín	geige	viool	violon	0.848617608	84.375000	96	4	3	2.98	0.645706835	89.58333333	96	4	2	2	2.575757576	0.388508824	93.87755102	98	3	0	2	2.58	0.80490336	85.71428571	98	4	0	2	2.9	0.967244541	77.5862069	96.66666667	3	1.666666667	1.666666667	3.2	0.512753111	90.81632653	98	3	1	1	2.555555556
Dunabeitia-2018-750-565	565	PICTURE_565	2246	BELL	bell	campana	campana	glocke	bel	cloche	0.0	100.0	100	1	0	2.404040404	0.721928095	80	100	2	0	0	2.202020202	0	100	100	1	0	0	2.06	0.194391858	97	100	2	0	0	2.37	0.79732651	75.86206897	96.66666667	2	1.666666667	1.666666667	2.516666667	0.14257333	97.97979798	99	2	0	1	2.363636364
Dunabeitia-2018-750-564	564	PICTURE_564	1378	SPOON	spoon	cucchiaio	cuchara	loeffel	lepel	cuillère	0.0	100.0	100	1	0	1.56	0.826746372	74	100	2	0	0	1.46	0.529360865	88	100	2	0	0	1.37	0	100	100	1	0	0	1.6	0	100	95	1	1.666666667	3.333333333	1.3	0	100	100	1	0	0	1.262626263
Dunabeitia-2018-750-563	563	PICTURE_563	1185	VULTURE	vulture	avvoltoio	buitre	geier	gier	vautour	1.896860205	51.11111111	90	6	8	3.98	1.757250262	58.62068966	87	6	10	3	3.39	1.152085131	78.65168539	89	5	7	4	3.42	1.060710669	78.35051546	97	4	0	3	3.87	1.573599204	64.81481481	90	5	3.333333333	6.666666667	4.066666667	1.601758913	65.2173913	92	5	6	2	3.535353535
Dunabeitia-2018-750-562	562	PICTURE_562	4010	TOASTER	toaster	tostapane	tostadora	toaster	broodrooster	grille-pain	0.529360865	88.0	100	2	0	2.0	0.658570024	88.65979381	97	4	2	1	1.98	0.592904561	89	100	3	0	0	1.95	0	100	100	1	0	0	2.15	0.635509738	87.93103448	98.30508475	3	0	1.694915254	2.372881356	0.33228663	93.87755102	98	2	1	1	1.848484848
Dunabeitia-2018-750-561	561	PICTURE_561	2247	CATERPILLAR	caterpillar	bruco	oruga	raupe	rups	chenille	0.0	100.0	91	1	4	3.1	0.768746129	84.375	96	3	2	2	2.71	1.020478216	76.53061224	98	3	1	1	2.72	0	100	99	1	0	1	3.05	0	100	98.33333333	1	0	1.666666667	3.433333333	0.194391858	97	100	2	0	0	2.565656566
Dunabeitia-2018-750-560	560	PICTURE_560	2766	WATERMELON	watermelon	anguria	sandía	melone	watermeloen	pastèque	0.705469041	80.80808081	99	2	1	2.72	0.40217919	92	100	2	0	0	2.02	0.327444919	94	100	2	0	0	2.323232323	0.970950594	60	100	2	0	0	2.67	0.934849024	64.9122807	96.61016949	2	3.389830508	0	2.966101695	0	100	98	1	0	2	2.191919192
Dunabeitia-2018-750-56	56	PICTURE_56	981	ELBOW	elbow	gomito	codo	ellenbogen	elleboog	coude	0.195909271	96.96969697	99	2	1	2.13	0.0	100	95	1	2	3	2.03030303	0	100	99	1	0	1	1.91	0	100	97	1	0	3	2.35	0	100	96.66666667	1	1.666666667	1.666666667	2.266666667	0	100	99	1	0	1	1.744897959
Dunabeitia-2018-750-559	559	PICTURE_559	496	CUCUMBER	cucumber	cetriolo	pepino	gurke	komkommer	concombre	0.972349602	81.72043011	93	4	4	2.6	0.439496987	90.90909091	99	2	0	1	2.22	0.945112877	79.16666667	96	3	4	0	2.25	0.595467051	85.56701031	97	2	1	2	2.67	0.787667201	82.75862069	98.30508475	3	1.694915254	0	2.796610169	0.758407344	86.73469388	98	4	1	1	2.252525253
Dunabeitia-2018-750-558	558	PICTURE_558	3092	LIGHTER	lighter	accendino	mechero	feuerzeug	aansteker	briquet	0.0	100.0	97	1	2	2.52	0.0	100	96	1	3	1	2.16	0	100	98	1	0	2	2.04	0	100	90	1	8	2	2.43	0.396627773	92.15686275	85	2	13.33333333	1.666666667	2.833333333	0.144899618	97.93814433	97	2	2	1	2.04040404
Dunabeitia-2018-750-557	557	PICTURE_557	522	WOLF	wolf	lupo	lobo	wolf	wolf	loup	0.626632998	88.42105263	95	3	1	3.383838384	0.242292189	96	100	2	0	0	2.93	0.337576423	94.94949495	99	3	0	1	3.05	0.41381685	91.66666667	96	2	0	4	3.28	0.362051252	93.10344828	96.66666667	2	1.666666667	1.666666667	3.65	0.144899618	97.93814433	97	2	0	3	3.090909091
Dunabeitia-2018-750-556	556	PICTURE_556	395	PILL	pill	pillola	pastilla	pille	pil	pilule	0.615954233	87.75510204	98	3	1	1.76	0.843946973	84.375	96	4	2	2	1.63	1.583945255	47.42268041	97	4	0	3	1.64	1.273761033	69.3877551	98	4	0	2	1.59	0.222284831	96.42857143	94.91525424	2	0	5.084745763	1.372881356	1.469719409	52.57731959	97	3	1	2	1.363636364
Dunabeitia-2018-750-555	555	PICTURE_555	1322	BREAKFAST	breakfast	colazione	desayuno	fruehstueck	ontbijt	petit-déjeuner	0.993275742	72.16494845	97	3	1	3.34	0.69417035	88.17204301	93	4	1	6	3.06	0.382542669	94	100	3	0	0	3.04	1.234363978	77.17391304	92	6	0	8	3.55	0	100	90	1	0	10	3.766666667	1.037672393	77.89473684	95	4	1	4	3.03030303
Dunabeitia-2018-750-554	554	PICTURE_554			puppet	marionetta	marioneta	marionette	marionet	pantin	0.291548959	95.83333333	96	3	1	2.89	0.981152234	58.06451613	93	2	4	3	2.89	1.504723282	58.33333333	96	5	3	1	2.79	1.537824849	64.51612903	93	6	1	6	2.97	1.830717559	54.34782609	77.96610169	6	8.474576271	13.55932203	3.474576271	0.998159232	52.52525253	99	2	0	1	2.636363636
Dunabeitia-2018-750-553	553	PICTURE_553	3460	BEACH	beach	spiaggia	playa	bucht	strand	plage	2.481986811	50.54945055	91	10	4	2.878787879	2.245718998	53.33333333	90	9	2	8	3	0.816987122	85.41666667	96	4	0	4	2.65	2.021956079	43.01075269	93	6	0	7	2.95	1.915569282	54.71698113	88.33333333	6	1.666666667	10	3.316666667	2.173967684	51.13636364	88	8	3	9	2.686868687
Dunabeitia-2018-750-552	552	PICTURE_552	1320	APPLE	apple	mela	manzana	apfel	appel	pomme	0.0	100.0	97	1	3	2.39	0.0	100	99	1	0	1	2.050505051	0	100	100	1	0	0	2.13	0	100	99	1	0	1	2.4	0	100	100	1	0	0	2.466666667	0	100	100	1	0	0	1.87755102
Dunabeitia-2018-750-551	551	PICTURE_551	864	PUMPKIN	pumpkin	zucca	calabaza	kuerbis	pompoen	citrouille	0.0	100.0	98	1	2	2.61	0.0	100	100	1	0	0	1.98	0	100	99	1	1	0	2.16	0	100	98	1	0	2	2.44	0	100	98.33333333	1	1.666666667	0	2.583333333	0.797890249	83.67346939	98	3	0	2	2.202020202
Dunabeitia-2018-750-550	550	PICTURE_550			wool	gomitoli	lana	wolle	wol	pelote de laine	1.553309503	69.3877551	98	6	1	2.89	0.698757815	85.71428571	98	3	2	0	2.575757576	1.553595211	48.97959184	98	4	1	1	2.67	0.896463973	76.04166667	96	3	0	4	2.88	1.461496906	71.92982456	95	6	1.666666667	3.333333333	3.1	1.613456095	48.45360825	97	4	1	2	2.555555556
Dunabeitia-2018-750-55	55	PICTURE_55	1388	SHADE	shadow	ombra	sombra	schatten	schaduw	ombre	0.0	100.0	98	1	2	2.33	0.0	100	99	1	1	0	1.89	0	100	100	1	0	0	1.97	0	100	94	1	3	3	2.21	0	100	93.22033898	1	1.694915254	5.084745763	2.254237288	0	100	97	1	2	1	1.97979798
Dunabeitia-2018-750-549	549	PICTURE_549	730	SNAKE	snake	serpente	serpiente	schlange	slang	serpent	0.00	100.0	100	1	0	2.36	0.43488962	93	100	3	0	0	2.14	0.195909271	96.96969697	99	2	0	1	2.26	0	100	97	1	0	3	2.4	0	100	94.91525424	1	1.694915254	3.389830508	2.762711864	0	100	97	1	0	3	2.131313131
Dunabeitia-2018-750-548	548	PICTURE_548			gun	pistola	asesino	gangster	overvaller	tueur	3.032810634	27.5862069	87	12	3	2.82	3.469282832	20.23809524	84	14	11	5	2.87	2.631381641	36.95652174	92	10	3	5	2.99	3.119843528	22.22222222	81	12	0	19	2.94	3.208455581	24.52830189	88.33333333	11	3.333333333	8.333333333	3.416666667	2.776438754	39.75903614	83	13	3	14	2.797979798
Dunabeitia-2018-750-547	547	PICTURE_547	1793	BAT	bat	pipistrello	murciélago	fledermaus	vleermuis	chauve-souris	0.0	100.0	99	1	1	3.44	0.0	100	96	1	4	0	3.193877551	0	100	100	1	0	0	3.09	0	100	99	1	0	1	3.6	0	100	98.33333333	1	1.666666667	0	3.933333333	0	100	100	1	0	0	3.060606061
Dunabeitia-2018-750-546	546	PICTURE_546	1567	DOOR	door	porta	puerta	tuer	deur	porte	0.0	100.0	100	1	0	1.96	0.0	100	100	1	0	0	1.76	0	100	100	1	0	0	1.66	0.141440543	98	100	2	0	0	1.86	0	100	98.33333333	1	1.666666667	0	1.983050847	0	100	100	1	0	0	1.595959596
Dunabeitia-2018-750-545	545	PICTURE_545			knickers	mutande	braga	unterhose	onderbroek	culotte	1.61588038	58.58585859	99	5	0	2.55	1.288788171	63.63636364	99	3	0	1	2.19	0	100	99	1	0	1	2.18	1.795052132	59.79381443	97	6	0	3	2.65	1.266129723	63.63636364	93.22033898	3	1.694915254	5.084745763	2.881355932	0	100	98	1	0	2	2.181818182
Dunabeitia-2018-750-544	544	PICTURE_544			doctor	dottore	médico	arzt	dokter	médecin	0.0	100.0	98	1	1	2.84	0.994030211	54.54545455	99	2	1	0	2.737373737	0.881290899	70	100	2	0	0	2.81	0.768281409	77.55102041	98	2	0	2	3.17	0.362051252	93.10344828	98.30508475	2	0	1.694915254	3.372881356	1.124845155	70	100	4	0	0	2.777777778
Dunabeitia-2018-750-543	543	PICTURE_543	1402	BREAST	breast	seno	pecho	brust	borst	sein	1.529237139	45.16129032	93	3	6	2.12	0.88371226	81.25	96	3	3	1	1.7	1.539243823	47.47474747	99	4	0	1	1.64	1.135287352	78.78787879	99	5	0	1	1.91	0.418684311	91.52542373	98.33333333	2	1.666666667	0	1.86440678	0.345752087	94.79166667	96	3	3	1	1.474747475
Dunabeitia-2018-750-542	542	PICTURE_542	185	FIREPLACE	fireplace	camino	chimenea	kamin	haard	cheminée	0.0	100.0	98	1	0	2.6	0.290715865	94.89795918	98	2	1	1	2.39	0.58312655	90.81632653	98	4	2	0	2.28	0.951095784	83.83838384	99	5	0	1	2.61	1.579013207	37.03703704	91.52542373	3	1.694915254	6.779661017	3.016949153	0.441605765	92.85714286	98	3	0	2	2.232323232
Dunabeitia-2018-750-541	541	PICTURE_541	1381	SHOE	shoe	scarpa	zapato	schuh	schoen	chaussure	0.327444919	94.0	100	2	0	2.98	0.0	100	99	1	0	1	2.4	0	100	100	1	0	0	2.48	0.396623283	93.81443299	97	3	0	3	2.92	0.216396932	96.55172414	96.66666667	2	1.666666667	1.666666667	2.966666667	0.14372617	97.95918367	98	2	0	2	2.565656566
Dunabeitia-2018-750-540	540	PICTURE_540	4079	LIGHTHOUSE	lighthouse	faro	faro	leuchtturm	vuurtoren	phare	0.144899618	97.93814433	97	2	2	2.77	0.247935838	95.87628866	97	2	2	1	2.31	0.141440543	98	100	2	0	0	2.32	0.327444919	94	100	2	0	0	2.54	0.746584207	85.18518519	90	3	1.666666667	8.333333333	2.93220339	0.14372617	97.95918367	98	2	1	1	2.303030303
Dunabeitia-2018-750-54	54	PICTURE_54	1961	NECKLACE	necklace	collana	collar	kette	ketting	collier	1.410146458	62.62626263	99	4	0	2.34	0.0	100	98	1	1	1	2.04	0.43488962	93	100	3	0	0	1.77	1.385630996	55.10204082	98	3	1	1	2.11	2.047992902	38.18181818	91.66666667	5	1.666666667	6.666666667	2.183333333	0.543564443	87.5	96	2	0	4	1.636363636
Dunabeitia-2018-750-539	539	PICTURE_539			astronaut	astronauta	astronauta	astronaut	astronaut	astronaute	0.819020247	80.0	95	3	5	3.22	0.0	100	96	1	2	2	2.84	0	100	100	1	0	0	2.95	0.14372617	97.95918367	98	2	0	2	3.37	0.790501384	76.27118644	98.33333333	2	1.666666667	0	3.666666667	0.859275981	71.71717172	99	2	0	1	3.070707071
