ID	NUMBER	ENGLISH	LEXIBANK_GLOSS_ENGLISH	LEXIBANK_GLOSS_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gravina-2014-717-103	103	caterpillar	caterpillar	chenille // chenille (sorte de)	2247	CATERPILLAR
Gravina-2014-717-104	104	catfish	catfish	poisson-chat, silure // silure	3777	CATFISH
Gravina-2014-717-105	105	centipede	centipede // millipede	iule ; mille-pattes // iule, mille-pattes // mille-pattes // mille-pattes(esp.)	1974	CENTIPEDE
Gravina-2014-717-106	106	chaff	chaff	déchets de mil battu // résidus végétaux ; menue paille	2363	CHAFF (HUSK)
Gravina-2014-717-107	107	chair	chair	chaise	1476	CHAIR
Gravina-2014-717-108	108	chameleon	chameleon	caméléon // chaméléon	1555	CHAMELEON
Gravina-2014-717-109	109	charcoal	charcoal	charbon // charbon de bois	1188	CHARCOAL
Gravina-2014-717-110	110	cheek	cheek	joue // la joue	1730	CHEEK
Gravina-2014-717-111	111	chest	chest	poitrine // thorax	1592	CHEST
Gravina-2014-717-112	112	chew	chew	mâcher // mâcher la viande // ruminer; mâcher	321	CHEW
Gravina-2014-717-113	113	chick	chick	poussin	2512	CHICK
Gravina-2014-717-114	114	chicken	chicken	poulet	1318	CHICKEN
Gravina-2014-717-115	115	chief	chief	chef	301	CHIEFTAIN
Gravina-2014-717-116	116	child	child	enfant	2099	CHILD
Gravina-2014-717-117	117	red pepper, hot pepper	red pepper, hot pepper	piment, poivron rouge	919	CHILI PEPPER
Gravina-2014-717-118	118	chin	chin	menton	1510	CHIN
Gravina-2014-717-119	119	clan	clan	clan // clan,descendant	302	CLAN
Gravina-2014-717-120	120	claw	claw	griffe // griffe,ongle	72	CLAW
Gravina-2014-717-121	121	clay	clay	argile // potopoto ; argile	1399	CLAY
Gravina-2014-717-122	122	clitoris	clitoris	clitoris	3257	CLITORIS
Gravina-2014-717-123	123	cloth	cloth	pagne; vêtements // tissu	1616	CLOTH
Gravina-2014-717-124	124	clothes	clothes	habit // vêtement // vêtements // vêtements, habits	1895	CLOTHES
Gravina-2014-717-125	125	cloud	cloud	nuage	1489	CLOUD
Gravina-2014-717-126	126	fellow-wife	fellow-wife	co-épouse	3636	CO-WIFE
Gravina-2014-717-127	127	cockroach	cockroach	cafard // cafard(esp.) // cancrelat	1575	COCKROACH
Gravina-2014-717-128	128	cold	(be) cold (objects) // cold	(être) froid // froid	1287	COLD
Gravina-2014-717-129	129	cold weather	cold weather	temps froid	3694	COLD WEATHER
Gravina-2014-717-130	130	come	come	venir	1446	COME
Gravina-2014-717-131	131	return	return	ramener; revenir; repeter // rentrer // rentrer ; retourner // retourner // retourner; tourner (ici) // revenir // rétourner	581	COME BACK
Gravina-2014-717-132	132	cook	cook // cook (v)	(faire) cuire, cuisiner // cuire // faire cuire	1100	COOK (SOMETHING)
Gravina-2014-717-133	133	cooking pot (earthenware)	cooking pot (earthenware)	marmite (en terre)	3653	COOKING POT
Gravina-2014-717-134	134	corpse	corpse	cadavre	767	CORPSE
Gravina-2014-717-135	135	cotton	cotton	coton	1850	COTTON
Gravina-2014-717-136	136	cough (v)	cough (v)	tousser	879	COUGH
Gravina-2014-717-137	137	courtyard	courtyard	cour // cour_intérieure_de_la_concession	4	COURTYARD
Gravina-2014-717-138	138	cover	cover	couvrir // couvrir légèrement // couvrir; tôler; lisser // se couvrir	761	COVER
Gravina-2014-717-139	139	cow	cow	boeuf // bovin, vache // vache // vache; boeuf	1007	COW
Gravina-2014-717-140	140	crab	crab	crabe	2348	CRAB
Gravina-2014-717-141	141	crawl	crawl	marcher à quatre pattes // ramper // ramper (enfant) // ramper, marcher quatre pattes // ramper, marcher à quatre pattes	96	CRAWL
Gravina-2014-717-142	142	cricket	cricket	grillon	2354	CRICKET
Gravina-2014-717-143	143	crocodile	crocodile	cayman crocodile // crocodile	1857	CROCODILE
Gravina-2014-717-144	144	squat	squat	s'accroupir	296	CROUCH
Gravina-2014-717-145	145	crow	crow	corbeau // corbeau(esp.)	913	CROW
Gravina-2014-717-146	146	crowd	crowd	foule	2023	CROWD
Gravina-2014-717-147	147	cup	cup	gobelet // gobelet, coupe, tasse // tasse // verre	476	CUP
Gravina-2014-717-148	148	curse	curse	maudire	8	CURSE
Gravina-2014-717-149	149	cut	cut	couper // couper; abattre // diviser; couper // fendre une fois ; taper pour couper avec une lame	1432	CUT
Gravina-2014-717-150	150	darkness	darkness	obscurité	11	DARKNESS
Gravina-2014-717-151	151	daughter	daughter	fille	1357	DAUGHTER
Gravina-2014-717-152	152	dawn	dawn	aube // l’aube	729	DAWN
Gravina-2014-717-153	153	day	day	jour // jour; moment // journée	1225	DAY (NOT NIGHT)
Gravina-2014-717-154	154	day after tomorrow	day after tomorrow	après-demain // après-demain ; surlendemain; aprés-demain	1179	DAY AFTER TOMORROW
Gravina-2014-717-155	155	day before yesterday	day before yesterday	avant hier, il y a quelque temps ; l´autre jour // avant-hier	1180	DAY BEFORE YESTERDAY
Gravina-2014-717-156	156	death	death	(la) mort // la mort // mort	910	DEATH
Gravina-2014-717-157	157	debt	debt	dette	1914	DEBT
Gravina-2014-717-158	158	deceive	deceive	a) flatter avec l´intention de persuader la personne de te donner qqch. b) tromper // induire // tromper	3230	DECEIVE
Gravina-2014-717-159	159	God (supreme being)	God (supreme being)	Dieu (être suprême)	3231	DEITY
Gravina-2014-717-160	160	demon, evil spirit	demon, evil spirit	démon, esprit mauvais	1973	DEMON
Gravina-2014-717-161	161	desert	desert	desert // désert // terrain désertique	3687	DESERT
Gravina-2014-717-162	162	dew	dew	rosée	1977	DEW
Gravina-2014-717-163	163	die	die	mourir	1494	DIE
Gravina-2014-717-164	164	(be) different	(be) different	(être) différent	2504	DIFFERENT
Gravina-2014-717-165	165	(be) difficult	(be) difficult	(être) difficile	584	DIFFICULT
Gravina-2014-717-166	166	dig	dig	creuser // creuser, enterrement // piocher	1418	DIG
Gravina-2014-717-167	167	diminish	diminish	diminuer, réduire	1184	DIMINISH
Gravina-2014-717-168	168	drive away	drive away	chasser // chasser ; écarter	30	DISPEL
Gravina-2014-717-169	169	dog	dog	chien	2009	DOG
Gravina-2014-717-170	170	donkey	donkey	ane // âne	1862	DONKEY
Gravina-2014-717-171	171	door	door // doorway	entrée, seuil // entrée; porte // porte // porte; seuil	1567	DOOR
Gravina-2014-717-172	172	dove	dove // pigeon	colombe // pigeon // pigeon de Guinée // tourterelle	1853	DOVE
Gravina-2014-717-173	173	down	down	en bas	1326	DOWN
Gravina-2014-717-174	174	drink	drink	boire // boire sans avaler // boire une boisson	1401	DRINK
Gravina-2014-717-175	175	drip	drip	dégoutter, égoutter // goutter // tomber en gouttes // égoutter // égoutter, pleurer un peu	808	DRIP (FALL IN GLOBULES)
Gravina-2014-717-176	176	drizzle	drizzle	pleuvoir en goutelettes // pluie fine, bruine // tomber en petites gouttes	1016	DRIZZLE
Gravina-2014-717-177	177	(be) drunk	(be) drunk	(être) soûl	1463	DRUNK
Gravina-2014-717-178	178	dry	dry	saison sèche, comme à la // se sécher // sec // secher // sécher	1398	DRY
Gravina-2014-717-179	179	dry season	dry season	saison sèche // saison_sèche	452	DRY SEASON
Gravina-2014-717-180	180	duck	duck	canard	1360	DUCK
Gravina-2014-717-181	181	dust	dust	poussière // poussière nuageuse // poussière par terre // terre poussiéreuse	2	DUST
Gravina-2014-717-182	182	eagle	eagle	aigle	1905	EAGLE
Gravina-2014-717-183	183	ear	ear	oreille	1247	EAR
Gravina-2014-717-184	184	early	early	de_bon_matin // tôt // tôt, de bonne heure	672	EARLY
Gravina-2014-717-185	185	earring	earring	boucle d'oreille	770	EARRING
Gravina-2014-717-186	186	earthworm	earthworm	ver de terre	2350	EARTHWORM
Gravina-2014-717-187	187	east	east	Est // est	1877	EAST
Gravina-2014-717-188	188	eat	eat	mangeant (poudre) // manger // manger (de liquide) // manger, ronger, user; manger sans croquer	1336	EAT
Gravina-2014-717-189	189	egg	egg	oeuf // œuf	744	EGG
Gravina-2014-717-190	190	eggshell	eggshell	coquille d'oeuf // coquille d'œuf	3857	EGGSHELL
Gravina-2014-717-191	191	eight	eight // eight (8)	huit // huit (8)	1705	EIGHT
Gravina-2014-717-192	192	eighteen (18)	eighteen (18)	dix-huit (18)	1713	EIGHTEEN
Gravina-2014-717-193	193	eighty (80)	eighty (80)	quatre-vingts (80)	1722	EIGHTY
Gravina-2014-717-194	194	elbow	elbow	coude	981	ELBOW
Gravina-2014-717-195	195	elephant	elephant	éléphant	1290	ELEPHANT
Gravina-2014-717-196	196	eleven (11)	eleven (11)	onze (11)	1706	ELEVEN
Gravina-2014-717-197	197	surround	surround	encercle // entourer	3274	ENCIRCLE
Gravina-2014-717-198	198	enemy	enemy	enemie // ennemi // rival	1358	ENEMY
Gravina-2014-717-199	199	enough	enough	assez // assez, suffisamment // suffisament // suffisant	1881	ENOUGH
Gravina-2014-717-200	200	escape	escape	s'echapper // s’échapper; s'esquiver de // échapper, prendre la clé des champs // échapper, s'évader	1615	ESCAPE
Gravina-2014-717-201	201	evening	evening	soir	1629	EVENING
Gravina-2014-717-202	202	everywhere	everywhere	coulant partout // everywhere // n'importe où // partout // un peu partout	2999	EVERYWHERE
Gravina-2014-717-203	203	ewe	ewe	brebis	1345	EWE
Gravina-2014-717-204	204	explain	explain	expliquer	1626	EXPLAIN
Gravina-2014-717-205	205	eye	eye	oeil // oeil; oeil ; vision // œil	1248	EYE
Gravina-2014-717-206	206	eyebrow	eyebrow	sourcil // surcil	1173	EYEBROW
Gravina-2014-717-207	207	eyelash	eyelash	cil	1540	EYELASH
Gravina-2014-717-208	208	face	face	visage	1560	FACE
Gravina-2014-717-209	209	fade	fade	fade // faner // perdre l'éclat, se faner // perdre l`éclat, se faner // se délaver (tissu)	2704	FADE (LOOSE COLOR)
Gravina-2014-717-210	210	excrement	excrement	excrément // selles	675	FAECES (EXCREMENT)
Gravina-2014-717-211	211	fall	fall	tomber	1280	FALL
Gravina-2014-717-212	212	family	family	famille // famille (foyer)	194	FAMILY
Gravina-2014-717-213	213	far	far	loin // loin, éloigné // éloigné	1406	FAR
Gravina-2014-717-214	214	farmer	farmer	cultivateur	979	FARMER
Gravina-2014-717-215	215	fat	fat	graisse // gras // gras ; gros	323	FAT (ORGANIC SUBSTANCE)
Gravina-2014-717-216	216	father	father	papa // père	1217	FATHER
Gravina-2014-717-217	217	father-in-law	father-in-law	beau-père	1055	FATHER-IN-LAW
Gravina-2014-717-218	218	fear	(be) afraid // fear	(avoir) peur // avoir peur // craindre	1419	FEAR (BE AFRAID)
Gravina-2014-717-219	219	feather	feather	plume	1201	FEATHER
Gravina-2014-717-220	220	goat	goat	chèvre	2476	FEMALE GOAT
Gravina-2014-717-221	221	feast	feast	festin // fête	131	FESTIVAL
Gravina-2014-717-222	222	few	few	peu // peu (de) // peu; en petite quantité	1242	FEW
Gravina-2014-717-223	223	field	field	champ // champ, petit	212	FIELD
Gravina-2014-717-224	224	fifteen (15)	fifteen (15)	quinze (15)	1709	FIFTEEN
Gravina-2014-717-225	225	fifty (50)	fifty (50)	cinquante (50)	1717	FIFTY
Gravina-2014-717-226	226	fight	fight	combattre // lutter // se battre, combattre	1423	FIGHT
Gravina-2014-717-227	227	fill	fill	remplir // se rassasier; remplir	2006	FILL
Gravina-2014-717-228	228	find	find	trouver	719	FIND
Gravina-2014-717-229	229	finger	finger	doigt	1303	FINGER
Gravina-2014-717-230	230	fingernail	fingernail	ongle	1258	FINGERNAIL
Gravina-2014-717-231	231	finish	finish	finir // finir, accomplir // terminer; finir	1766	FINISH
Gravina-2014-717-232	232	fire	fire	feu // feu; courant électrique	221	FIRE
Gravina-2014-717-233	233	fireplace	fireplace	foyer	185	FIREPLACE
Gravina-2014-717-234	234	firewood	firewood	bois brûler // bois de chauffage // bois à brûler	10	FIREWOOD
Gravina-2014-717-235	235	fish	fish	poisson // poisson en général // poisson sp. // poisson(esp.)	227	FISH
Gravina-2014-717-236	236	fisherman	fisherman	pêcheur	1858	FISHERMAN
Gravina-2014-717-237	237	fishhook	fishhook	hameçon	1074	FISHHOOK
Gravina-2014-717-238	238	fishing net	fishing net	filet (générique) // filet de pêche // filet de pêche, "épervier"	388	FISHNET
Gravina-2014-717-239	239	five	five // five (5)	cinq // cinq (5)	493	FIVE
Gravina-2014-717-240	240	flame	flame	flamme	889	FLAME
Gravina-2014-717-241	241	flea	flea	insecte_puce // puce // puce(esp.)	232	FLEA
Gravina-2014-717-242	242	flesh	flesh	chair	2259	FLESH
Gravina-2014-717-243	243	flour	flour	farine	1594	FLOUR
Gravina-2014-717-244	244	flow	flow	couler	2003	FLOW
Gravina-2014-717-245	245	flower	flower	fleur	239	FLOWER
Gravina-2014-717-246	246	flute	flute	flute // flutte // flûte // flûte; flûte jouée par les jeunes hommes, traditionnellement en faisant la cour aux filles // pipeau	777	FLUTE
Gravina-2014-717-247	247	fly (n)	fly (n)	mouche	1504	FLY (INSECT)
Gravina-2014-717-248	248	foam	foam	mousse // écume	1768	FOAM
Gravina-2014-717-249	249	fog	fog	brouillard // brouillard sec // brouillard, brume // brume	249	FOG
Gravina-2014-717-250	250	follow	follow	suivre	1085	FOLLOW
Gravina-2014-717-251	251	food	food	aliments, nourriture // boule de mil, repas // nourriture // nourriture (Cf.: |fv{-nday}) // nourriture(type); feuille_haricot // repas	256	FOOD
Gravina-2014-717-252	252	foot	foot	pied // pied ; jambe	1301	FOOT
Gravina-2014-717-253	253	forbid	forbid	intedire // interdire	83	FORBID
Gravina-2014-717-254	254	forehead	forehead	front // front,nuque	123	FOREHEAD
Gravina-2014-717-255	255	forest	forest	forêt	420	FOREST
Gravina-2014-717-256	256	forget	forget	oublier	1523	FORGET
Gravina-2014-717-257	257	forty (40)	forty (40)	quarante (40)	1716	FORTY
Gravina-2014-717-258	258	four (4)	four (4)	quatre (4) // quatre (4)s	1500	FOUR
Gravina-2014-717-259	259	fourteen (14)	fourteen (14)	quatorze (14)	2451	FOURTEEN
Gravina-2014-717-260	260	friend	friend	ami // ami(e) // ami, camarade // mon ami	1325	FRIEND
Gravina-2014-717-261	261	frighten	frighten	effrayer // faire peur	252	FRIGHTEN
Gravina-2014-717-262	262	frog	frog	grenouille // grenouille(esp.) // rainette	503	FROG
Gravina-2014-717-263	263	fry	fry	frire	991	FRY
Gravina-2014-717-264	264	full	full	plein // rempli // rempli ; plein	1429	FULL
Gravina-2014-717-265	265	gather	gather	cueillir // cueillir; ramasser; récolter // ramasser // rassembler // rassembler, ramasser // récolter	7	GATHER
Gravina-2014-717-266	266	gift	gift	cadeau // cadeau (Cf.: |fv{masalaka}) // cadeau, don // don	2982	GIFT
Gravina-2014-717-267	267	giraffe	giraffe	girafe	3089	GIRAFFE
Gravina-2014-717-268	268	girl	girl	(petite) fille, fillette // (petite) fille, fillette,vierge	1646	GIRL
Gravina-2014-717-269	269	give	give	donner	1447	GIVE
Gravina-2014-717-270	270	bear (child), give birth	bear (child), give birth	accoucher // accoucher, donner naissance	1195	GIVE BIRTH
Gravina-2014-717-271	271	gnaw	gnaw	ronger // ronger; manger	2706	GNAW
Gravina-2014-717-272	272	go	go	aller // aller (beaucoup) // aller, marcher, partir // déplacer; marcher; partir // se mettre en route	695	GO
Gravina-2014-717-273	273	gold	gold	or	1369	GOLD
Gravina-2014-717-274	274	(be) good	(be) good // good	(être) bien // (être) bon // bien // bon // bon; bien	1035	GOOD
Gravina-2014-717-275	275	granary	granary	grenier // grénier	3657	GRANARY
Gravina-2014-717-276	276	grandfather	grandfather	grand-père	1383	GRANDFATHER
Gravina-2014-717-277	277	grandmother	grandmother	grand-mère // grandmère	1496	GRANDMOTHER
Gravina-2014-717-278	278	grandson	grandson	petit fils // petit-fils	1618	GRANDSON
Gravina-2014-717-279	279	grass	grass	(herbe) // fourrage; fourrage ; herbes coupées pour les animaux domestiques // herbe // herbe ; fourage	606	GRASS
Gravina-2014-717-280	280	grasshopper	grasshopper	criquet // criquet migrateur // sauterelle	607	GRASSHOPPER
Gravina-2014-717-281	281	grave	grave	grave // tombe // tombe, tombeau // tombeau // trou pour cuire des pots (deCol); tombe	1773	GRAVE
Gravina-2014-717-282	282	gravel	gravel	gravier	3028	GRAVEL
Gravina-2014-717-283	283	(be) green	(be) green	(être) vert	1425	GREEN
Gravina-2014-717-284	284	greet	greet	accueillir // saluer	3552	GREET
Gravina-2014-717-285	285	grind	grind	broyer // grincer // moudre // écraser	1033	GRIND
Gravina-2014-717-286	286	grinding stone	grinding stone	pierre moudre // pierre à moudre // pierre à moudre**	2459	GRINDSTONE
Gravina-2014-717-287	287	groan (with pain)	groan (with pain)	gémir (de douleur)	716	GROAN
Gravina-2014-717-288	288	groundnut	groundnut	arachide	595	GROUNDNUT (PEANUT)
Gravina-2014-717-289	289	guinea fowl	guinea fowl	pintade	456	GUINEA FOWL
Gravina-2014-717-290	290	gun	gun	fusil	1566	GUN
Gravina-2014-717-291	291	hail	hail	grêle	609	HAIL
Gravina-2014-717-292	292	hair	hair	cheveu // cheveux // cheveux; poils // poil // poils	1040	HAIR
Gravina-2014-717-293	293	hair (of head)	hair (of head)	cheveux (de tête)	2648	HAIR (HEAD)
Gravina-2014-717-294	294	half	half	demi // moitié	816	HALF
Gravina-2014-717-295	295	hand	hand	main	1277	HAND
Gravina-2014-717-296	296	handle	handle	manche // manche d'un outil // poignée, manche, anse	1254	HANDLE
Gravina-2014-717-297	297	(be) hard	(be) hard	(être) dur	1884	HARD
Gravina-2014-717-298	298	hare	hare	le lapin // lièvre	1190	HARE
Gravina-2014-717-299	299	harmattan	harmattan	harmattan	451	HARMATTAN
Gravina-2014-717-300	300	hat	hat	chapeau // chapeau (pour les hommes) // chapeau; bonnet	771	HAT
Gravina-2014-717-301	301	hatch	hatch	couvée // éclore	3116	HATCH (OUT)
Gravina-2014-717-302	302	hawk	hawk	épervier // épervier (oiseau) // épervier, faucon	307	HAWK
Gravina-2014-717-303	303	head	head	tête	1256	HEAD
Gravina-2014-717-304	304	hear	hear	entendre	1408	HEAR
Gravina-2014-717-305	305	heart	heart	coeur // coeur; colère // cœur	1223	HEART
Gravina-2014-717-306	306	(be) heavy	(be) heavy	(être) lourd	1210	HEAVY
Gravina-2014-717-307	307	heel	heel	talon	980	HEEL
Gravina-2014-717-308	308	help	help	aide // aider // aider ; aller au secours ; se presser, se précipiter	1897	HELP
Gravina-2014-717-309	309	hen	hen	poule // poule, coq	1514	HEN
Gravina-2014-717-310	310	here	here	(|fi{destination}) vers ici // (|fi{lieu}) ici // ici // lɑè // voici	136	HERE
Gravina-2014-717-311	311	heron	heron	héron // héron ; marabout // héron cendré	758	HERON
Gravina-2014-717-312	312	hill	hill	colline // colline, monticule	614	HILL
Gravina-2014-717-313	313	hip	hip	hanche	1745	HIP
Gravina-2014-717-314	314	hippopotamus	hippopotamus	hippopotame	3145	HIPPOPOTAMUS
