ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_FREQUENCY_PM	GERMAN_VALENCE_MEAN_FEMALE_YOUNG	GERMAN_VALENCE_MEAN_MALE_YOUNG	GERMAN_VALENCE_MEAN_FEMALE_OLD	GERMAN_VALENCE_MEAN_MALE_OLD	GERMAN_VALENCE_MEAN_YOUNG	GERMAN_VALENCE_MEAN_OLD	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_FEMALE_YOUNG	GERMAN_AROUSAL_MEAN_MALE_YOUNG	GERMAN_AROUSAL_MEAN_FEMALE_OLD	GERMAN_AROUSAL_MEAN_MALE_OLD	GERMAN_AROUSAL_MEAN_YOUNG	GERMAN_AROUSAL_MEAN_OLD	GERMAN_AROUSAL_MEAN	GERMAN_DOMINANCE_MEAN_FEMALE_YOUNG	GERMAN_DOMINANCE_MEAN_MALE_YOUNG	GERMAN_DOMINANCE_MEAN_FEMALE_OLD	GERMAN_DOMINANCE_MEAN_MALE_OLD	GERMAN_DOMINANCE_MEAN_YOUNG	GERMAN_DOMINANCE_MEAN_OLD	GERMAN_DOMINANCE_MEAN	GERMAN_IMAGEABILITY_MEAN_FEMALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_MALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_FEMALE_OLD	GERMAN_IMAGEABILITY_MEAN_MALE_OLD	GERMAN_IMAGEABILITY_MEAN_YOUNG	GERMAN_IMAGEABILITY_MEAN_OLD	GERMAN_IMAGEABILITY_MEAN	GERMAN_EGO_MEAN_FEMALE_YOUNG	GERMAN_EGO_MEAN_MALE_YOUNG	GERMAN_EGO_MEAN_FEMALE_OLD	GERMAN_EGO_MEAN_MALE_OLD	GERMAN_EGO_MEAN_YOUNG	GERMAN_EGO_MEAN_OLD	GERMAN_EGO_MEAN	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_MALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_MALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_OLD	GERMAN_AGE_RELEVANCE_MEAN	GERMAN_VALENCE_SELF_MEAN	GERMAN_VALENCE_OTHER_MEAN	GERMAN_RELEVANCE_SELF_OTHER_MEAN
Gruehn-2008-200-123	123	mitfuehlend	compassionate			457	6.083	5.333	5.917	5	5.708	5.458	5.583	3.167	2.833	2.75	3.75	3	3.25	3.125	4.917	4.833	5.167	4.083	4.875	4.625	4.75	3.75	4.25	4.917	3.333	4	4.125	4.063	6.083	5.25	6.25	4.833	5.667	5.542	5.604	3.333	3.167	3.917	3.917	3.25	3.917	3.583	5.938	6.188	1.083
Gruehn-2008-200-124	124	moralisch	moral			8.094	3.25	3.083	3.667	3.917	3.167	3.792	3.479	4.917	5	4.5	4.182	4.958	4.348	4.66	5.083	4.5	3.75	4	4.792	3.875	4.333	2.833	3.083	3.833	2.833	2.958	3.333	3.146	3.833	3.333	3.75	4.417	3.583	4.083	3.833	4	4.083	3.917	3.5	4.042	3.708	3.875	4.563	4.563	1.208
Gruehn-2008-200-125	125	muede	tired	1757	TIRED	18.234	3	3	2.667	3	3	2.833	2.917	3	2.333	1.583	1.917	2.667	1.75	2.208	2.167	2.083	2.25	2.25	2.125	2.25	2.188	6.333	6.333	5.583	6.083	6.333	5.833	6.083	3.5	3.583	2.75	3	3.542	2.875	3.208	4.167	4.167	4.167	3.667	4.167	3.917	4.042	2.375	2.938	2
Gruehn-2008-200-126	126	mutig	brave	3	BRAVE	7.053	5.25	5.583	6.083	5.917	5.417	6	5.708	4.75	4.417	4.583	4.917	4.583	4.75	4.667	5.5	5.5	5.417	5.083	5.5	5.25	5.375	4.818	5.75	5.167	5	5.304	5.083	5.191	4.417	4.5	5.583	4.333	4.458	4.958	4.708	2.083	2.25	2.167	2.5	2.167	2.333	2.25	5.75	5.375	1.833
Gruehn-2008-200-127	127	nachgiebig	compliant			446	3.583	3.833	4.25	4.167	3.708	4.208	3.958	2.5	2.833	2.75	3	2.667	2.875	2.771	3.833	4.333	4.083	3.75	4.083	3.917	4	2.833	2.75	3.917	2.917	2.792	3.417	3.104	4	4.167	4.667	4.5	4.083	4.583	4.333	3.417	3.583	3.833	3.667	3.5	3.75	3.625	3.625	5	1.125
Gruehn-2008-200-128	128	naiv	naive			6.803	3.667	3.75	3.667	2.917	3.708	3.292	3.5	2.833	3.333	3.167	3	3.083	3.083	3.083	1.917	1.917	2.417	2.583	1.917	2.5	2.208	3.25	3.833	3.364	3	3.542	3.174	3.362	3.333	2.583	1.75	2.25	2.958	2	2.479	2.833	2.417	2.583	2.583	2.625	2.583	2.604	2.063	2.313	1.833
Gruehn-2008-200-129	129	neidisch	jealous	2821	JEALOUS	2.827	1.5	1.917	1.583	1.75	1.708	1.667	1.688	6.083	5.583	4.667	4.833	5.833	4.75	5.292	2.583	2.667	3.667	3	2.625	3.333	2.979	3.917	4.25	3.917	4.333	4.083	4.125	4.104	3.167	3	1.75	1.417	3.083	1.583	2.333	2.75	2.417	2.583	2.75	2.583	2.667	2.625	1.5	1.75	1.417
Gruehn-2008-200-130	130	nervoes	nervous	3975	NERVOUS	12.178	2.25	1.917	1.917	2.167	2.083	2.042	2.063	6	5.75	6	5.583	5.875	5.792	5.833	2.583	2.167	3	2.364	2.375	2.696	2.532	4.75	5.417	5.455	4.583	5.083	5	5.043	3.167	2.917	2.583	2.75	3.042	2.667	2.854	3	2.583	3.167	2.5	2.792	2.833	2.813	2.5	2.688	2
Gruehn-2008-200-131	131	neutral	neutral			4.311	3.583	4	5	4.75	3.792	4.875	4.333	3.583	3.75	3.667	3.75	3.667	3.708	3.688	3.833	3.833	3.583	3.833	3.833	3.708	3.771	2.636	2.083	3	3.167	2.348	3.083	2.723	3.25	3	5.583	4.25	3.125	4.917	4.021	3.167	3.333	3.333	3.583	3.25	3.458	3.354	3.1	3.938	1.5
Gruehn-2008-200-132	132	normal	normal			22.15	3.417	3.833	4.833	4.917	3.625	4.875	4.25	3.167	3.833	2.833	3.333	3.5	3.083	3.292	3.75	4.083	3.417	4.417	3.917	3.917	3.917	1.833	2.167	3.083	2.917	1.1	3	2.5	4	4	5.417	5.333	4	5.375	4.688	3.083	2.917	3.167	3.5	3	3.333	3.167	3.938	4.188	1.833
Gruehn-2008-200-133	133	offen	open-minded			93.39	6.25	5.917	6.5	6.167	6.083	6.333	6.208	2.417	2.417	3.167	3.583	2.417	3.375	2.896	5.167	4.833	4.167	3.833	4.1	4	4.5	3.083	3.75	5.167	4	3.417	4.583	4	6	5.833	6.167	5.5	5.917	5.833	5.875	1.917	1.75	2.583	2.917	1.833	2.75	2.292	6	6	1.333
Gruehn-2008-200-134	134	ordentlich	tidy			16.065	4.333	4.917	6.333	6.25	4.625	6.292	5.458	4.417	4.083	3.25	2.833	4.25	3.042	3.646	5.5	5.167	5.5	5.667	5.333	5.583	5.458	4.833	5.083	5.833	4.583	4.958	5.208	5.083	3.833	4.417	5.75	5	4.125	5.375	4.75	3.5	3.75	3.75	3.583	3.625	3.667	3.646	5.438	4.688	2
Gruehn-2008-200-135	135	passiv	passive			2.308	2.5	2.75	3	3	2.625	3	2.813	2.833	3.333	2.75	2.25	3.083	2.5	2.792	2.083	1.583	3.083	2.25	1.833	2.667	2.25	2.5	3.333	4.083	3.417	2.917	3.75	3.333	2.5	3.333	2.273	2.75	2.917	2.522	2.723	3.75	3.833	3.917	3.833	3.792	3.875	3.833	2.5	2.625	1.792
Gruehn-2008-200-136	136	planlos	unsystematic			711	2.833	2.667	1.917	2	2.75	1.958	2.354	2.667	3.667	4.25	3.167	3.167	3.708	3.438	1.667	2	2.5	2.083	1.833	2.292	2.063	4	4.333	3.25	3.417	4.174	3.333	3.745	2.583	3.083	2.167	2.25	2.833	2.208	2.521	2.75	2.083	2.583	2.667	2.417	2.625	2.521	2.063	2.375	2
Gruehn-2008-200-137	137	praktisch	practical			37.952	5.083	4.917	6	5.833	5	5.913	5.447	3.5	3.333	3.667	4.5	3.417	4.083	3.75	5.417	5.75	5.25	5.545	5.583	5.391	5.489	3	2.667	5.25	4.583	2.833	4.917	3.875	4.75	4.333	6.333	4.583	4.542	5.458	5	3.25	2.75	2.917	2.667	3	2.792	2.896	5.75	5.688	1.917
Gruehn-2008-200-138	138	puenktlich	punctual			10.712	4.667	4.75	6.455	6.5	4.708	6.478	5.574	4.167	4.083	3.25	3.167	4.125	3.208	3.667	5.083	5.417	5.75	5.667	5.25	5.708	5.479	4.25	4.333	5.75	4.333	4.292	5.042	4.667	5	4.083	6.25	5.667	4.542	5.958	5.25	3.917	3.5	3.417	3.917	3.708	3.667	3.688	6.125	6.063	1.167
Gruehn-2008-200-139	139	raffiniert	cunning	2335	CUNNING	2.74	5.417	5.417	3.167	2.917	5.417	3.042	4.229	4.167	4.333	5.25	5.583	4.25	5.417	4.833	5.75	5.833	6	4.5	5.792	5.25	5.521	3.667	3.333	3.833	3.455	3.5	3.652	3.574	4.083	4.083	2.083	2.25	4.083	2.167	3.125	2.5	2.083	2.727	2.75	2.292	2.739	2.511	5.75	5	1.917
Gruehn-2008-200-140	140	rastlos	restless			1.033	2.167	2.917	2.5	3.25	2.542	2.875	2.708	6.083	6.167	5.917	5.75	6.125	5.833	5.979	3.417	3.583	3.417	3.667	3.5	3.542	3.521	4.083	3.417	4.417	4.75	3.75	4.583	4.167	3.75	3.833	2.417	2.833	3.792	2.625	3.208	2.167	1.917	2.25	2.167	2.042	2.208	2.125	3.063	3.25	2
Gruehn-2008-200-141	141	rational	rational			2.434	3.833	5.083	5.5	5.667	4.458	5.583	5.021	3.917	3.5	3.75	4	3.708	3.875	3.792	5.667	5.917	4.75	5.75	5.792	5.25	5.521	2.167	2.833	3.583	3.333	2.5	3.458	2.979	4.25	5	5.182	5.917	4.625	5.565	5.085	2.75	2.833	3.25	3.333	2.792	3.292	3.042	5.375	5.188	2
Gruehn-2008-200-142	142	reif	mature			08.03	5.583	5.5	5.5	5.5	5.542	5.5	5.521	2.667	2.75	3.667	2.727	2.708	3.217	2.957	5.333	5.083	4.167	4.75	5.208	4.458	4.833	3.417	3.583	4.75	3.75	3.5	4.25	3.875	4.833	4.667	5.75	5.333	4.75	5.542	5.146	4.167	3.75	4.25	4	3.958	4.125	4.042	5.813	6	1.875
Gruehn-2008-200-143	143	reizbar	irritable			287	2.25	2.167	1.75	2.667	2.208	2.208	2.208	6.5	6.083	5.75	5.833	6.292	5.792	6.042	2.917	2.917	4.083	2.667	2.917	3.375	3.146	2.75	3.25	4.167	4.167	3	4.167	3.583	3.917	3.833	2.833	3.583	3.875	3.208	3.542	2.833	2.75	3.5	2.833	2.792	3.167	2.979	2.063	2.063	1.25
Gruehn-2008-200-144	144	reserviert	reserved			7.966	2.5	2.833	3.833	3.75	2.667	3.792	3.229	4.417	4.333	3.583	3.667	4.375	3.625	4	4	3.917	4.75	4.5	3.958	4.625	4.292	3.333	2.333	4.417	3.417	2.833	3.917	3.375	2.75	2.75	3.667	3.75	2.75	3.708	3.229	3.583	3.833	3.5	3.25	3.708	3.375	3.542	2.813	2.5	1.333
Gruehn-2008-200-145	145	resolut	resolute			812	4.667	4.333	5.167	5.167	4.5	5.167	4.833	4.917	4.833	5.25	5.75	4.875	5.5	5.188	5.75	5.333	5.667	5.417	5.542	5.542	5.542	4.833	2.667	5.5	4.636	3.75	5.087	4.404	4.25	2.833	4.583	4.75	3.542	4.667	4.104	3.333	3.417	3.545	2.667	3.375	3.087	3.234	4.8	4.267	1.583
Gruehn-2008-200-146	146	ruhig	calm	258	CALM	40.225	5.25	4.833	5.583	5.833	5.042	5.708	5.375	1.583	2	1.75	1.833	1.792	1.792	1.792	5.083	5.083	4.167	4.583	5.083	4.375	4.729	4.417	4.417	5.25	3.25	4.417	4.25	4.333	4.167	5	5.333	5.417	4.583	5.375	4.979	3.917	4.083	4	4	4	4	4	5.25	5.063	1.875
Gruehn-2008-200-147	147	sachlich	factual			7.392	4.083	4.25	5.364	5.833	4.167	5.609	4.872	4.083	4	3.417	3.667	4.042	3.542	3.792	5.833	5.75	5.667	5.917	5.792	5.792	5.792	3	3	4.917	3.167	3	4.042	3.521	4.25	5	6	5.917	4.625	5.958	5.292	2.917	3.083	3.25	3.583	3	3.417	3.208	5.438	5.438	1.583
Gruehn-2008-200-148	148	sanft	gentle	1954	GENTLE	11.89	6.25	6.167	6.417	5.583	6.208	6	6.104	1.917	2	2.25	2.167	1.958	2.208	2.083	4.667	4.667	4	4.25	4.667	4.125	4.396	4.917	4.5	4.727	4.083	4.708	4.391	4.553	5.833	5.417	4.917	4.5	5.625	4.708	5.167	3.25	3.083	3.333	3.5	3.167	3.417	3.292	5.688	5.75	1.75
Gruehn-2008-200-149	149	scheu	bashful			2.788	3.5	3.833	3.917	3.833	3.667	3.875	3.771	4.75	4.167	3.5	2.667	4.458	3.083	3.771	2.5	1.917	2.636	2.833	2.208	2.739	2.468	4.667	4.417	4.5	4.833	4.542	4.667	4.604	2.917	2.5	3	2.083	2.708	2.542	2.625	3.417	3.083	3.25	3.167	3.25	3.208	3.229	2.75	2.875	1.75
Gruehn-2008-200-150	150	schlaefrig	sleepy	3620	SLEEPY	886	2.917	3.083	3.727	2.833	3	3.261	3.128	2	2.25	1.75	1.75	2.125	1.75	1.938	2.75	2.167	2.083	2.333	2.458	2.208	2.333	5.5	6.083	5.667	5.333	5.792	5.5	5.646	3.167	3.667	2.25	2.75	3.417	2.5	2.958	3.917	3.833	3.667	3.583	3.875	3.625	3.75	2.313	2.563	2
Gruehn-2008-200-151	151	schuechtern	shy	487	SHY	4.11	3.917	3.833	3.667	3.333	3.875	3.5	3.688	4.333	4.583	3.75	2.917	4.458	3.333	3.896	2.75	2.083	2.833	2.75	2.417	2.792	2.604	4.333	5.167	4.417	4.667	4.75	4.542	4.646	4.167	3.583	2.333	2.417	3.875	2.375	3.125	3.167	2.583	2.75	3	2.875	2.875	2.875	3	3.188	1.625
Gruehn-2008-200-152	152	schuldig	guilty	1682	GUILTY	21.776	2.167	2.167	2.917	2.667	2.167	2.792	2.479	6	6	6.083	5.75	6	5.917	5.958	2.667	2.417	3.917	3.083	2.542	3.5	3.021	4.083	3.917	3.333	3.583	4	3.458	3.729	1.833	1.833	1.417	1.833	1.833	1.625	1.729	2.917	2.917	3.083	3.333	2.917	3.208	3.063	1.667	2.2	1.75
Gruehn-2008-200-153	153	schwach	weak	1601	WEAK	21.652	2.333	2.75	3.25	2.583	2.542	2.917	2.729	3.5	3.917	3	3.182	3.708	3.087	3.404	1.917	1.667	2.5	2.417	1.792	2.458	2.125	5.182	5.417	4.583	4.25	5.304	4.417	4.851	2.25	2.583	2.25	1.667	2.417	1.958	2.188	4.083	4.25	3.75	3.6	4.167	3.682	3.935	1.75	2.625	2
Gruehn-2008-200-154	154	schweigsam	silent			1.221	3.083	3.083	4	4.083	3.083	4.042	3.563	3.833	3.5	3.083	2.909	3.667	3	3.34	3.917	4.25	4.333	4.25	4.083	4.292	4.188	4.667	4.083	4.75	4.75	4.375	4.75	4.563	3.083	3.583	3.455	3.833	3.333	3.652	3.489	3.917	3.417	3.667	4.083	3.667	3.875	3.771	3.267	2.938	1.333
Gruehn-2008-200-155	155	sehnsuechtig	longing			2.079	4.583	5	4.417	5.083	4.792	4.75	4.771	3.75	4.083	4.833	4.083	3.917	4.458	4.188	2.167	2.333	3.167	3.083	2.25	3.125	2.688	4.417	5.333	3.667	3.583	4.875	3.625	4.25	4.917	5.167	3.25	4.167	5.042	3.708	4.375	2.083	2.25	2.167	2.583	2.167	2.375	2.271	4.563	4.5	1.917
Gruehn-2008-200-156	156	sensibel	sensitive			4.887	6.25	5.167	4.917	4.5	5.708	4.708	5.208	3.083	3.167	3.333	3.636	3.125	3.478	3.298	4	3.167	3.333	3.583	3.583	3.458	3.521	3.25	3.417	4.75	3.167	3.333	3.958	3.646	6.333	5.667	5.364	4.583	6	4.957	5.489	3.083	2.917	3.083	2.636	3	2.87	2.936	5.188	5.25	1.625
Gruehn-2008-200-157	157	sentimental	sentimental			1.715	4.667	3.917	4.083	3.417	4.292	3.75	4.021	3.25	4.083	3.5	4	3.667	3.739	3.702	2.667	2.333	2.917	3	2.5	2.958	2.729	3.917	3	4.75	2.333	3.458	3.542	3.5	5.25	4.583	4.583	3.583	4.917	4.083	4.5	3.417	3.583	3.5	3.583	3.5	3.542	3.521	4	4.063	2
Gruehn-2008-200-158	158	sinnlich	sensual			2.453	6.75	6.333	5.667	5.75	6.542	5.708	6.125	2	2.25	3.583	4.583	2.125	4.083	3.104	3.917	3.75	3.167	3.917	3.833	3.542	3.688	5.5	5.833	5.333	5	5.667	5.167	5.417	5.917	5.5	4.667	4.75	5.708	4.708	5.208	2.583	2.167	2.083	2.5	2.375	2.292	2.333	5.938	6.125	1.583
Gruehn-2008-200-159	159	skeptisch	sceptical			20.367	3.75	4	4.083	4.75	3.875	4.417	4.146	4.833	5.167	4.583	4.5	5	4.542	4.771	4.917	5.167	4.25	4.583	5.042	4.417	4.729	4.25	4.667	3.333	3.182	4.458	3.261	3.872	4.5	4.583	5.25	4.083	4.542	4.667	4.604	3.417	3.417	3.75	3.364	3.417	3.565	3.489	5	4.938	1.667
Gruehn-2008-200-160	160	sorgfaeltig	careful			14.091	5.167	4.75	6.273	6	4.958	6.13	5.532	4.667	4.917	3.833	4.5	4.792	4.167	4.479	5.917	5.75	5.667	6.083	5.833	5.875	5.854	2.833	4.75	4	3.75	3.792	3.875	3.833	5.5	4.417	6.25	5.917	4.958	6.083	5.521	3.75	3.833	3.75	4	3.792	3.875	3.833	5.75	5.5	1.875
Gruehn-2008-200-161	161	spontan	spontaneous			10.838	6.083	5.667	6.167	5.417	5.875	5.792	5.833	2.833	3.083	4.333	4.917	2.958	4.625	3.792	4.75	4.417	3.75	3.667	4.583	3.708	4.146	3.083	3.417	4.917	3.5	3.25	4.208	3.729	5.417	5.333	6.083	4.5	5.375	5.292	5.333	1.667	1.333	1.833	1.75	1.5	1.792	1.646	6.188	6.188	1.625
Gruehn-2008-200-162	162	stark	strong	785	STRONG	143.985	5.583	5.417	5.833	5.667	5.5	5.75	5.625	3.917	3.417	4.333	4.75	3.667	4.542	4.104	6.25	6.5	5.083	5.75	6.375	5.417	5.896	6.333	6.25	6.167	5.091	6.292	5.652	5.979	5.083	4.917	4.583	4.083	5	4.333	4.667	1.917	1.75	2.417	1.417	1.833	1.917	1.875	6.25	5.875	1.917
Gruehn-2008-200-163	163	still	silent	48	BE SILENT	31.137	3.1	4.417	4.5	4.5	4.208	4.5	4.354	3	2.5	1.667	2	2.75	1.833	2.292	3.833	3.1	3.75	3.5	3.917	3.625	3.771	5	4.667	4.917	4.091	4.833	4.522	4.681	3.333	3.417	3.75	3.667	3.375	3.708	3.542	3.583	3.75	3.333	3.667	3.667	3.5	3.583	3.938	3.75	1.833
Gruehn-2008-200-164	164	stolz	proud	174	PROUD	32.344	4.917	4.667	3.917	4.25	4.792	4.083	4.438	3.583	4.417	3.833	3.917	4	3.875	3.938	5.167	5.167	5.167	4.667	5.167	4.917	5.042	5	5.583	4.833	5.333	5.292	5.083	5.188	5.083	4.75	3.909	4.083	4.917	4	4.468	2.917	3.5	2.417	3.083	3.208	2.75	2.979	4.688	4.063	1.833
Gruehn-2008-200-165	165	streng	strict			21.551	3	2.5	2.667	3.417	2.75	3.042	2.896	5.75	6	6.417	5.417	5.875	5.917	5.896	5.417	5.75	5.75	5.5	5.583	5.625	5.604	5	6.083	5	5	5.542	5	5.271	4.333	3.917	4.167	3.5	4.125	3.833	3.979	3.5	4	3.833	3.833	3.75	3.833	3.792	3.813	3.188	1.167
Gruehn-2008-200-166	166	stur	stubborn	3634	STUBBORN	3.625	2.75	2.167	1.833	2.083	2.458	1.958	2.208	5.5	5.5	5.083	4.75	5.5	4.917	5.208	4.833	4	3.917	2.667	4.417	3.292	3.854	4.75	3.75	4.583	3.818	4.25	4.217	4.234	3.5	3.75	2.917	3.083	3.625	3	3.313	3.833	3.667	4	4	3.75	4	3.872	2.688	2.188	1.167
Gruehn-2008-200-167	167	subjektiv	subjective			2.23	4.167	4.083	5	3.333	4.125	4.167	4.146	4	4.167	3.333	4.333	4.083	3.833	3.958	3.909	3.75	4.917	3.75	3.826	4.333	4.085	1.583	1.333	2.167	1.333	1.458	1.75	1.604	4.5	4.167	5.333	3.583	4.333	4.458	4.396	3	3	3.083	2.583	3	2.833	2.917	4	3.375	1.333
Gruehn-2008-200-168	168	taktvoll	tactful			19.11	5.1	5.5	6.5	6.167	5.75	6.333	6.042	3.417	3.333	2.75	3.167	3.375	2.958	3.167	5	5.333	4.917	5.5	5.167	5.208	5.188	3.083	3.667	5.167	3.455	3.375	4.348	3.851	6.083	4.1	6.25	5.5	5.542	5.875	5.708	3.667	3.583	3.75	4	3.625	3.875	3.75	5.688	5.75	1.083
Gruehn-2008-200-169	169	tolerant	tolerant			1.533	6.083	6.083	6.667	6.083	6.083	6.375	6.229	2.25	2.333	2.583	2.75	2.292	2.667	2.479	5.083	4.917	5.083	5.583	5	5.333	5.167	2.75	2.5	4.5	3.333	2.625	3.917	3.271	6.083	5.1	6.333	6.5	6.042	6.417	6.229	2.167	2.167	3.833	3.417	2.167	3.625	2.896	6.375	6.438	1.083
Gruehn-2008-200-170	170	traege	sluggish			3.315	1.833	2.417	2.083	2.167	2.125	2.125	2.125	2.25	2.75	2.5	2.583	2.5	2.542	2.521	2.167	2.583	2.833	2.25	2.375	2.542	2.458	4.455	3.917	4.5	3.75	4.174	4.125	4.149	1.417	2.833	2.667	1.417	2.125	2.042	2.083	3.5	3.25	3.333	3.917	3.375	3.625	3.5	2	2.25	2
Gruehn-2008-200-171	171	traurig	sad	699	SAD	16.905	2.667	2.667	1.909	2.917	2.667	2.435	2.553	3.583	3.667	4.583	3.75	3.625	4.167	3.896	2.25	1.917	2.727	2.5	2.083	2.609	2.34	6.455	6.417	6.182	6.167	6.435	6.174	6.304	3.167	3.167	2.333	2.583	3.167	2.458	2.813	3.667	3.167	3.917	3.667	3.417	3.792	3.604	1.938	2.75	2
Gruehn-2008-200-172	172	treu	loyal			10.535	6.583	5.833	6.833	6.583	6.208	6.708	6.458	2.25	3.167	2.417	3.083	2.708	2.75	2.729	4.167	5.167	4.75	4.75	4.667	4.75	4.708	3.917	2.75	4.333	4.167	3.333	4.25	3.792	6.25	5.333	6.167	5.917	5.792	6.042	5.917	3.583	3.75	4.167	3.917	3.667	4.042	3.854	5.438	6.188	1.083
Gruehn-2008-200-173	173	ueberheblich	contemptuous			1.285	1.75	1.75	1.833	1.917	1.75	1.875	1.813	5.333	5.5	5.417	5.583	5.417	5.5	5.458	4.167	3.5	4.083	2.917	3.833	3.5	3.667	4.75	3.833	4.5	4.727	4.292	4.609	4.447	2.75	2.917	1.583	1.917	2.833	1.75	2.292	2.083	2.083	2.167	2.083	2.083	2.125	2.104	2	1.625	1.083
Gruehn-2008-200-174	174	ueberrascht	surprised	1572	SURPRISED	34.34	5.083	4.667	4.417	4.25	4.875	4.333	4.604	4	4	4.167	4.917	4	4.542	4.271	3.333	2.25	2.818	3.25	2.792	3.043	2.915	6.167	5.833	5	4.545	6	4.783	5.404	3.667	3.417	3.167	3.167	3.542	3.167	3.354	3.167	3	3	3.25	3.083	3.125	3.104	5.063	4.688	1.958
Gruehn-2008-200-175	175	umsichtig	prudent			911	5.667	5.333	6.667	6	5.5	6.333	5.917	3.583	3.5	3.167	3.833	3.542	3.5	3.521	5.083	5.75	5.583	5.417	5.417	5.5	5.458	2.1	3.833	4.5	3.667	3.417	4.083	3.75	5.333	5	6.25	5.833	5.167	6.042	5.604	3.333	3.5	3.833	3.75	3.417	3.792	3.604	5.438	5.688	1.333
Gruehn-2008-200-176	176	unangenehm	unpleasant	26	UNPLEASANT	6.313	1.75	1.417	1.417	2.091	1.583	1.739	1.66	5.75	4.833	5.333	4.455	5.292	4.913	5.106	2.667	2.833	4.167	2.667	2.75	3.417	3.083	3.25	3.583	4.583	3.75	3.417	4.167	3.792	1.667	2.083	2	2.167	1.875	2.083	1.979	3	3.083	2.917	2.75	3.042	2.833	2.938	1.813	1.313	1
Gruehn-2008-200-177	177	ungestuem	impetuous			1.9	3.75	3.5	3.167	3.417	3.625	3.292	3.458	3.917	5.5	5.417	5.167	4.708	5.292	5	2.917	2.583	3.5	3	2.75	3.25	3	5.083	4.583	5.667	5.417	4.833	5.542	5.188	3.083	3.333	2.5	2.5	3.208	2.5	2.854	2.25	1.417	1.583	1.75	1.833	1.667	1.75	3.563	3.5	1.083
Gruehn-2008-200-178	178	unnahbar	unapproachable			1.2	2.833	2.5	2.667	2.583	2.667	2.625	2.646	5	4.583	5	4.5	4.792	4.75	4.771	4.583	3.75	4.417	3.917	4.167	4.167	4.167	4.182	3.333	4.75	4.5	3.739	4.625	4.191	2.833	3.333	2.25	3.417	3.083	2.833	2.958	2.917	2.833	3.25	3.5	2.875	3.375	3.125	2.438	2.25	1
Gruehn-2008-200-179	179	unruhig	jittery			5.352	2.25	2.333	2.5	3	2.292	2.75	2.521	5.917	5.5	5.833	5.583	5.708	5.708	5.708	2.333	2.333	4.167	2.917	2.333	3.542	2.938	5	4.417	4.667	5.167	4.708	4.917	4.813	4.083	3.75	2.333	3.5	3.917	2.917	3.417	2.667	2.25	2.583	2.583	2.458	2.583	2.521	2.25	2.563	1.833
Gruehn-2008-200-180	180	unsicher	unsure			10.756	2.417	2.417	2.833	2.667	2.417	2.75	2.583	5.455	5.5	5.273	4.583	5.478	4.913	5.196	2.5	1.75	2.333	2.25	2.125	2.292	2.208	3.417	4.917	4	3.273	4.167	3.652	3.915	3.917	3.5	2.333	2.75	3.708	2.542	3.125	2.667	2.667	3	3.75	2.667	3.375	3.021	1.75	2.5	1.917
Gruehn-2008-200-181	181	veraergert	angry	1826	ANGRY	8.487	2.333	2	2.636	2.75	2.167	2.696	2.426	6.25	5.917	6.333	5.917	6.083	6.125	6.104	3	2.5	3.091	2.667	2.75	2.87	2.809	5.417	5.833	4.75	5.333	5.625	5.042	5.333	2.667	2.583	1.75	2.583	2.625	2.167	2.396	3.25	3.167	3.25	2.917	3.208	3.083	3.146	1.938	1.875	1.583
Gruehn-2008-200-182	182	vergnuegt	pleased			4.203	6.667	6.25	6.5	6	6.458	6.25	6.354	2.25	2.5	2.5	2.75	2.375	2.625	2.5	4.833	4.583	3.917	4.083	4.708	4	4.354	5.833	6.167	6.25	6.083	6	6.167	6.083	5.75	5.5	5.5	4.917	5.625	5.208	5.417	2.833	2.25	2.75	2.25	2.542	2.5	2.521	6.188	5.688	1.958
Gruehn-2008-200-183	183	verlegen	sheepish			13.944	3.583	3.583	3.25	3.25	3.583	3.25	3.417	4.25	4.333	4.333	3.667	4.292	4	4.146	2.75	2.083	2.917	3	2.417	2.958	2.688	4	5.083	4.333	3.917	4.565	4.125	4.34	3.583	2.75	2.167	2.833	3.167	2.5	2.833	3.083	2.333	2.5	3	2.708	2.75	2.729	3.063	3.5	1.75
Gruehn-2008-200-184	184	verletzlich	vulnerable			21.6	3.75	3.5	3.5	3	3.625	3.25	3.438	4.833	4.833	4.917	4.833	4.833	4.875	4.854	1.917	1.667	3.364	3.083	1.792	3.217	2.489	3.667	4.167	4.417	3.917	3.917	4.167	4.042	5.083	4.5	4.917	4.333	4.792	4.625	4.708	3.333	3.083	3.333	3.25	3.208	3.292	3.25	2.5	3.375	1.833
