ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_FREQUENCY_PM	GERMAN_VALENCE_MEAN_FEMALE_YOUNG	GERMAN_VALENCE_MEAN_MALE_YOUNG	GERMAN_VALENCE_MEAN_FEMALE_OLD	GERMAN_VALENCE_MEAN_MALE_OLD	GERMAN_VALENCE_MEAN_YOUNG	GERMAN_VALENCE_MEAN_OLD	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN_FEMALE_YOUNG	GERMAN_AROUSAL_MEAN_MALE_YOUNG	GERMAN_AROUSAL_MEAN_FEMALE_OLD	GERMAN_AROUSAL_MEAN_MALE_OLD	GERMAN_AROUSAL_MEAN_YOUNG	GERMAN_AROUSAL_MEAN_OLD	GERMAN_AROUSAL_MEAN	GERMAN_DOMINANCE_MEAN_FEMALE_YOUNG	GERMAN_DOMINANCE_MEAN_MALE_YOUNG	GERMAN_DOMINANCE_MEAN_FEMALE_OLD	GERMAN_DOMINANCE_MEAN_MALE_OLD	GERMAN_DOMINANCE_MEAN_YOUNG	GERMAN_DOMINANCE_MEAN_OLD	GERMAN_DOMINANCE_MEAN	GERMAN_IMAGEABILITY_MEAN_FEMALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_MALE_YOUNG	GERMAN_IMAGEABILITY_MEAN_FEMALE_OLD	GERMAN_IMAGEABILITY_MEAN_MALE_OLD	GERMAN_IMAGEABILITY_MEAN_YOUNG	GERMAN_IMAGEABILITY_MEAN_OLD	GERMAN_IMAGEABILITY_MEAN	GERMAN_EGO_MEAN_FEMALE_YOUNG	GERMAN_EGO_MEAN_MALE_YOUNG	GERMAN_EGO_MEAN_FEMALE_OLD	GERMAN_EGO_MEAN_MALE_OLD	GERMAN_EGO_MEAN_YOUNG	GERMAN_EGO_MEAN_OLD	GERMAN_EGO_MEAN	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_MALE_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_FEMALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_MALE_OLD	GERMAN_AGE_RELEVANCE_MEAN_YOUNG	GERMAN_AGE_RELEVANCE_MEAN_OLD	GERMAN_AGE_RELEVANCE_MEAN	GERMAN_VALENCE_SELF_MEAN	GERMAN_VALENCE_OTHER_MEAN	GERMAN_RELEVANCE_SELF_OTHER_MEAN
Gruehn-2008-200-41	41	diskret	discreet			3.877	4.917	4.5	6	5.75	4.708	5.875	5.292	3.833	3.333	2.833	3.083	3.583	2.958	3.271	4.75	5.333	5.25	5.083	5.042	5.167	5.104	2.417	2.083	3.667	3.417	2.25	3.542	2.896	5.25	4.417	6	5.667	4.833	5.833	5.333	3.417	3.667	3.833	3.667	3.542	3.75	3.646	5.5	6	1.292
Gruehn-2008-200-42	42	dominant	dominant			.94	2.25	2.417	2.917	3.333	2.333	3.125	2.729	6.083	5.5	5.583	5.917	5.792	5.75	5.771	5.75	6.333	5.667	5.917	6.042	5.792	5.917	5.5	5.75	5.083	5	5.625	5.042	5.333	3.667	3.583	3.917	3.583	3.625	3.75	3.688	2.833	3.167	3	3.083	3	3.042	3.021	3.813	2.375	1
Gruehn-2008-200-43	43	dumm	dumb	1518	STUPID	11.779	1.75	2.083	2.167	1.5	1.917	1.833	1.875	2.833	3.75	3.583	3.167	3.292	3.375	3.333	1.75	2.167	2.167	2.083	1.958	2.125	2.042	4.083	5.25	5.25	5.167	4.667	5.208	4.938	1.167	1.5	1.333	1.25	1.333	1.292	1.313	3.083	2.75	2.75	3.167	2.917	2.958	2.938	1.188	1.313	1.792
Gruehn-2008-200-44	44	egoistisch	egoistic			1.002	2.25	2.5	1.833	1.833	2.375	1.833	2.104	5.75	6.083	6.083	4.667	5.917	5.375	5.646	5.333	4.583	5.417	4.75	4.958	5.083	5.021	3.273	4.667	4	3.417	4	3.708	3.851	3.75	3.833	2	3.083	3.792	2.542	3.167	2.667	2.333	2.417	2.5	2.5	2.458	2.479	2.625	1.625	1.292
Gruehn-2008-200-45	45	ehrgeizig	ambitious			3.261	5.083	4.75	4.333	4.5	4.917	4.417	4.667	5.25	5.25	5.167	5.455	5.25	5.304	5.277	6.5	5.75	5.917	5.25	6.125	5.583	5.854	3	4.083	4.167	4.25	3.565	4.208	3.894	5.667	4.5	4	4.917	5.083	4.458	4.771	1.667	1.5	1.917	2.25	1.583	2.083	1.833	5.625	4.625	1.833
Gruehn-2008-200-46	46	ehrlich	honest	1120	HONEST	13.411	6.75	6.083	6.833	6.583	6.417	6.708	6.563	2.667	2.583	2.5	2.818	2.625	2.652	2.638	5.917	5.75	5.333	5.833	5.833	5.583	5.708	3.833	2.917	4.833	3.333	3.375	4.083	3.729	6.083	5.833	6.667	6.167	5.958	6.417	6.188	3.667	3.167	3.25	3.417	3.417	3.333	3.375	6.188	6.625	1.333
Gruehn-2008-200-47	47	eigenwillig	willful			1.424	3.667	3.25	4.5	3.417	3.458	3.958	3.708	4.333	4.333	4.583	5.083	4.333	4.833	4.583	4.833	5.083	4.417	4.25	4.958	4.333	4.646	3.25	2.917	4.417	3.167	3.083	3.792	3.438	5.667	5	5.5	4.167	5.333	4.833	5.083	2.667	3.667	3.25	3.917	3.167	3.583	3.375	4.688	3.875	1.333
Gruehn-2008-200-48	48	einfallslos	unimaginative			701	1.833	2	2.167	2.083	1.917	2.125	2.021	3.333	4.167	4.167	2.75	3.75	3.458	3.604	2	2.182	3.083	2.167	2.087	2.625	2.362	3.25	3.667	3.083	2.091	3.458	2.609	3.043	2.083	2.083	2	2.333	2.083	2.167	2.125	3	2.75	3.083	3.167	2.875	3.125	3	1.5	2	1.917
Gruehn-2008-200-49	49	einfuehlsam	empathic			1.49	6.833	6.167	6.75	6.333	6.5	6.542	6.521	2	2.583	3	3.417	2.292	3.208	2.75	5.167	4.75	4.583	4.833	4.958	4.708	4.833	2.364	2.833	4	3.417	2.609	3.708	3.17	6.167	6.25	6.25	5.417	6.208	5.833	6.021	3.25	3.083	3.5	3.917	3.167	3.708	3.438	6.063	6.375	1.083
Gruehn-2008-200-50	50	einsam	lonely			10.456	2	1.917	2.833	3	1.958	2.917	2.438	4.667	4.167	4.083	3.167	4.417	3.625	4.021	2.5	2	2.167	2.833	2.25	2.5	2.375	4.75	6.417	4.417	4.667	5.583	4.542	5.063	2.25	3	3.667	2.75	2.625	3.208	2.917	4.333	4.167	4.167	4.333	4.25	4.25	4.25	1.75	3	2
