ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Koelle-1854-280-121a	121a	Gold (brass)	Gold (brass)		
Koelle-1854-280-121b	121b	silver	silver	759	SILVER
Koelle-1854-280-122	122	Iron	Iron	621	IRON
Koelle-1854-280-123	123	Stone	Stone	857	STONE
Koelle-1854-280-124	124	Hoe	Hoe	284	HOE
Koelle-1854-280-125	125	Axe	Axe	677	AXE
Koelle-1854-280-126	126	Book	Book	963	BOOK
Koelle-1854-280-127	127	Ink	Ink	2643	INK
Koelle-1854-280-128	128	Sun	Sun	1343	SUN
Koelle-1854-280-129	129	Moon (? full)	Moon	1313	MOON
Koelle-1854-280-130	130	New Moon	New Moon	3691	NEW MOON
Koelle-1854-280-131	131	Day	Day	1225	DAY (NOT NIGHT)
Koelle-1854-280-132	132	Night	Night	1233	NIGHT
Koelle-1854-280-133	133	Dry Season	Dry Season	452	DRY SEASON
Koelle-1854-280-134	134	Rainy Season	Rainy Season	453	RAINY SEASON
Koelle-1854-280-135	135	Rain	Rain (water)	658	RAIN (PRECIPITATION)
Koelle-1854-280-136	136	Dew	Dew	1977	DEW
Koelle-1854-280-137	137	Coal	Coal	2658	COAL
Koelle-1854-280-138	138	Smoke	Smoke	778	SMOKE (EXHAUST)
Koelle-1854-280-139	139	Soap	Soap	788	SOAP
Koelle-1854-280-140	140	Sand	Sand	671	SAND
Koelle-1854-280-141	141	Canoe	Canoe	1970	CANOE
Koelle-1854-280-142	142	Bench, Chair	Bench, Chair		
Koelle-1854-280-142a	142a	Bench, Chair (for men)	Bench, Chair (for men)		
Koelle-1854-280-142b	142b	Bench, Chair (for women)	Bench, Chair (for women)		
Koelle-1854-280-143	143	Needle	Needle	1382	NEEDLE (FOR SEWING)
Koelle-1854-280-143b	143b	Needle (for ornament)	Needle (for ornament)		
Koelle-1854-280-144	144	Thread	Thread	1161	THREAD
Koelle-1854-280-145	145	Rope	Rope	1218	ROPE
Koelle-1854-280-146	146	Chain (Fetters?)	Chain (Fetters ?)	1627	CHAIN
Koelle-1854-280-146b	146b	Chain (for neck)	Chain (Fetters ?) (for neck)		
Koelle-1854-280-147	147	Drum	Drum	908	DRUM
Koelle-1854-280-148	148	Tree	Tree	906	TREE
Koelle-1854-280-149	149	Firewood	Firewood	10	FIREWOOD
Koelle-1854-280-149a	149a	dry wood//(dry)	Firewood (dry wood)	10	FIREWOOD
Koelle-1854-280-150	150	Walking-stick	Walking-stick	1296	WALKING STICK
Koelle-1854-280-151	151	Leaf	Leaf (grass)	628	LEAF
Koelle-1854-280-152	152	Root	Root//Root (stump)	670	ROOT
Koelle-1854-280-153	153	Palm-tree	Palm-tree	1181	PALM TREE
Koelle-1854-280-153b	153b	Palm-tree (a young one)	Palm-tree (a young one)		
Koelle-1854-280-154	154	Palm-oil	Palm-Oil		
Koelle-1854-280-155	155	Guinea-Corn (bearing like Maize)	Guinea-Corn (bearing like Maize)	347	SORGHUM
Koelle-1854-280-156	156	Kuskus (bearing like Oats)	Kuskus (bearing like Oats)		
Koelle-1854-280-157	157	Cotton	Cotton	1850	COTTON
Koelle-1854-280-158	158	Cotton-plant (a Shrub)	Cotton-plant (a Shrub)		
Koelle-1854-280-159	159	Cotton-tree	Cotton-tree		
Koelle-1854-280-160	160	Camwood	Camwood		
Koelle-1854-280-161	161	Rice (uncooked)	Rice (uncooked)	3289	UNCOOKED RICE
Koelle-1854-280-161a	161a	Rice (cooked)	Rice (Cooked)	1191	COOKED RICE
Koelle-1854-280-162	162	Yam	Yam//Yam (wild)	410	YAM
Koelle-1854-280-163	163	Cassada	Cassada//Cassada (wild)	925	CASSAVA
Koelle-1854-280-164	164	Ground-nut	Ground-nut	2364	PEANUT
Koelle-1854-280-165	165	Pepper	Pepper	1385	PEPPER
Koelle-1854-280-166	166	Onion	Onion	2366	ONION
Koelle-1854-280-167	167	Maize	Maize	506	MAIZE
Koelle-1854-280-168	168	Beans	Beans	832	BEAN
Koelle-1854-280-169	169	Farm	Farm	201	FARM
Koelle-1854-280-170	170	Forest	Forest	420	FOREST
Koelle-1854-280-171	171	Horse	Horse	615	HORSE
Koelle-1854-280-172	172	Mare	Mare	938	MARE
Koelle-1854-280-173	173	Cow	Cow	1007	COW
Koelle-1854-280-174	174	Bull	Bull	1008	BULL
Koelle-1854-280-175	175	Milk	Milk	635	MILK
Koelle-1854-280-175a	175a	Milk (of cows)	Milk (of cows)	3911	COW MILK
Koelle-1854-280-175c	175c	Milk (of women)	Milk (of women)	3912	BREAST MILK
Koelle-1854-280-175d	175d	Milk (fresh)	Milk (fresh)		
Koelle-1854-280-175e	175e	Milk (sour)	Milk (sour)		
Koelle-1854-280-176	176	Butter	Butter	1245	BUTTER
Koelle-1854-280-176a	176a	Butter (melted)	Butter (melted)		
Koelle-1854-280-177	177	Ewe (Sheep)	Ewe (Sheep)//Ewe	1345	EWE
Koelle-1854-280-177a	177a	sheep	Sheep	1331	SHEEP
Koelle-1854-280-178	178	Ram (Sheep)	Ram (Sheep)	1344	RAM
Koelle-1854-280-179	179	Goat	Goat	1502	GOAT
Koelle-1854-280-180	180	Buck	Buck		
Koelle-1854-280-181	181	Cat	Cat	1208	CAT
Koelle-1854-280-182	182	Rat	Rat	1490	RAT
Koelle-1854-280-183	183	Pig	Pig	1337	PIG
Koelle-1854-280-184	184	Bat	Bat	1793	BAT
Koelle-1854-280-184a	184a	Bat (large)	Bat (large)		
Koelle-1854-280-185	185	Pigeon	Pigeon	1853	DOVE
Koelle-1854-280-185a	185a	Pigeon (wild)	Pigeon (wild)		
Koelle-1854-280-185b	185b	Pigeon (domestic)	Pigeon (domestic)		
Koelle-1854-280-185c	185c	Pigeon (tame)	Pigeon (tame)		
Koelle-1854-280-186	186	Parrot	Parrot	882	PARROT
Koelle-1854-280-187	187	Fowl (Hen)	Fowl (Hen)	265	FOWL
Koelle-1854-280-188	188	Cock	Cock	1511	ROOSTER
Koelle-1854-280-189	189	Egg	Egg	744	EGG
Koelle-1854-280-190	190	Bird	Bird	937	BIRD
Koelle-1854-280-191	191	Fish	Fish	227	FISH
Koelle-1854-280-192	192	Serpent	Serpent	730	SNAKE
Koelle-1854-280-193	193	Scorpion	Scorpion	1538	SCORPION
Koelle-1854-280-194	194	Mosquito	Mosquito	1509	MOSQUITO
Koelle-1854-280-195	195	Butterfly	Butterfly	1791	BUTTERFLY
Koelle-1854-280-196	196	Spider	Spider	843	SPIDER
Koelle-1854-280-197	197	Wasp	Wasp	1517	WASP
Koelle-1854-280-198	198	Bee	Bee	665	BEE
Koelle-1854-280-199	199	Honey	Honey	942	HONEY
Koelle-1854-280-200	200	Lion	Lion	1386	LION
Koelle-1854-280-201	201	Leopard	Leopard	1139	LEOPARD
Koelle-1854-280-202	202	Elephant	Elephant	1290	ELEPHANT
Koelle-1854-280-203	203	Ivory	Ivory	3800	IVORY
Koelle-1854-280-204	204	Alligator	Alligator	1581	ALLIGATOR
Koelle-1854-280-205	205	Monkey	Monkey	1350	MONKEY
Koelle-1854-280-206	206	Chamelion	Chamelion	1555	CHAMELEON
Koelle-1854-280-207	207	Lizard (the common one)	Lizard (the common one)	632	LIZARD
Koelle-1854-280-207a	207a	Lizard (male)	Lizard (the common one) (male)		
Koelle-1854-280-208	208	The large red-headed Lizard	The large red-headed Lizard		
Koelle-1854-280-208a	208a	Lizard (female)	The large red-headed Lizard (female)		
Koelle-1854-280-209	209	Toad	Toad	894	TOAD
Koelle-1854-280-210	210	Frog	Frog	503	FROG
Koelle-1854-280-211	211	Dog	Dog	2009	DOG
Koelle-1854-280-212	212	Great, large	Great, large	1202	BIG
Koelle-1854-280-213	213	Little, small	Little, small	1246	SMALL
Koelle-1854-280-214	214	White	White	1335	WHITE
Koelle-1854-280-215	215	Black	Black	163	BLACK
Koelle-1854-280-216	216	White Man	White Man//witch	2839	WHITE MAN
Koelle-1854-280-217	217	Black Man (Negro)	Black Man (Negro)	2806	BLACK MAN
Koelle-1854-280-218	218	Good	Good	1035	GOOD
Koelle-1854-280-219	219	Bad	Bad	1292	BAD
Koelle-1854-280-220	220	Old	Old	1229	OLD
Koelle-1854-280-220a	220a	Old (of persons)//(persons)	Old (of persons)//Old (persons)//Old (of men)//Old (of things)	2112	OLD (AGED)
Koelle-1854-280-221	221	New (Young)	New (young)	1207	YOUNG
Koelle-1854-280-221a	221a	young		1207	YOUNG
Koelle-1854-280-221c	221c	New (of things)	New	1231	NEW
Koelle-1854-280-222	222	Sick	Sick	1847	SICK
Koelle-1854-280-223	223	Well	Well	1364	HEALTHY
Koelle-1854-280-224	224	Hot	Hot	1286	HOT
Koelle-1854-280-225	225	Cold	Cold	1287	COLD
Koelle-1854-280-226	226	Wet	Wet	1726	WET
Koelle-1854-280-227	227	Dry	Dry	1398	DRY
Koelle-1854-280-228	228	Greedy	Greedy	2018	GREEDY
Koelle-1854-280-229	229	Stupid	Stupid	1518	STUPID
Koelle-1854-280-230	230	Rich	Rich	712	RICH
Koelle-1854-280-231	231	Poor	Poor	1674	POOR
Koelle-1854-280-232	232	Straight	Straight	1404	STRAIGHT
Koelle-1854-280-233	233	Crooked (Bent)	Crooked (Bent)//Crooked (bent)	297	CROOKED
Koelle-1854-280-233a	233a	Crooked (of men)			
Koelle-1854-280-234	234	I go	I go		
Koelle-1854-280-235	235	I come	I come		
Koelle-1854-280-236	236	I run	I run		
Koelle-1854-280-237	237	I stop	I stop		
Koelle-1854-280-238	238	I sit down	I sit down		
Koelle-1854-280-239	239	I lie down	I lie down		
Koelle-1854-280-240	240	I breathe	I breathe		
Koelle-1854-280-241	241	I cough			
Koelle-1854-280-241a	241a	cough	cough		
Koelle-1854-280-242	242	I sneeze	I sneeze		
Koelle-1854-280-243	243	I snore	I snore		
Koelle-1854-280-244	244	I laugh	I laugh		
Koelle-1854-280-245	245	I weep	I weep		
Koelle-1854-280-246	246	I kneel	I kneel		
Koelle-1854-280-247	247	I dream	I dream		
Koelle-1854-280-248	248	I sleep	I sleep		
Koelle-1854-280-249	249	I die	I die		
Koelle-1854-280-250	250	I fall	I fall		
Koelle-1854-280-251	251	I rise	I rise		
Koelle-1854-280-252	252	I speak	I speak		
Koelle-1854-280-253	253	I hear	I hear		
Koelle-1854-280-254	254	I beg	I beg		
Koelle-1854-280-255	255	I bathe (wash myself)	I bathe (wash myself)		
Koelle-1854-280-256	256	I see	I see		
Koelle-1854-280-257	257	I take	I take		
Koelle-1854-280-258	258	I buy	I buy		
Koelle-1854-280-259	259	I sell	I sell		
Koelle-1854-280-260	260	I love thee			
Koelle-1854-280-261	261	I give thee	I give thee		
Koelle-1854-280-262	262	I eat rice (yam)	I eat rice		
Koelle-1854-280-262b	262b	I eat yam	I eat yam		
Koelle-1854-280-262c	262c	I eat yams	I eat yams		
Koelle-1854-280-262d	262d	I eat corn	I eat corn		
Koelle-1854-280-263	263	I drink water	I drink water		
Koelle-1854-280-264	264	I cook meat	I cook meat		
Koelle-1854-280-265	265	I kill a fowl	I kill a fowl		
Koelle-1854-280-266	266	I cut a tree	I cut a tree		
Koelle-1854-280-267	267	I flog a child	I flog a child		
Koelle-1854-280-268	268	I catch a fish	I catch a fish		
Koelle-1854-280-269	269	I break a stick	I break a stick		
Koelle-1854-280-270	270	I call a slave	I call a slave		
Koelle-1854-280-271	271	I cover a pot	I cover a pot		
Koelle-1854-280-272	272	I sew a shirt (cloth)	I sew a shirt		
Koelle-1854-280-272a	272a	I sew	I sew		
Koelle-1854-280-273	273	I pray to God (beg God)	I pray to god (beg god)		
Koelle-1854-280-273a	273a	I pray			
Koelle-1854-280-274	274	I play	I play		
Koelle-1854-280-275	275	I do not play	I do not play		
Koelle-1854-280-276	276	I dance	I dance		
Koelle-1854-280-277	277	I do not dance	I do not dance		
Koelle-1854-280-278	278	Yesterday	Yesterday	1174	YESTERDAY
Koelle-1854-280-279	279	To-day	To-day	1283	TODAY
Koelle-1854-280-280	280	To-morrow	To-morrow	1329	TOMORROW
