ID	NUMBER	CONCEPT	ENGLISH	NOTE	CONCEPTICON_ID	CONCEPTICON_GLOSS	REFLEX_GLOSSES	PROTO_ID
Oliveira-2014-517-34	34	esp. de carrapato	species of tick					§31
Oliveira-2014-517-35	35	chuva	rain		658	RAIN (PRECIPITATION)		§32
Oliveira-2014-517-36	36	olhar	to look		1819	LOOK		§33
Oliveira-2014-517-37	37	tossir	to cough		879	COUGH		§34
Oliveira-2014-517-38	38	conhecer, aprender	to learn		504	LEARN		§35
Oliveira-2014-517-39	39	água fresca (lit. líquido novo)	fresh water					§36
Oliveira-2014-517-40	40	rir	to laugh		1355	LAUGH		§37
Oliveira-2014-517-41	41	dormir	to sleep		1585	SLEEP		§38
Oliveira-2014-517-42	42	lua	moon		1313	MOON		§39
Oliveira-2014-517-43	43	sombra	shade		1388	SHADE		§40
Oliveira-2014-517-44	44	chupar, sugar	to suck		1421	SUCK		§41
Oliveira-2014-517-45	45	ele, esse	he		1211	HE		§42
Oliveira-2014-517-46	46	correr, fugir	to run		1519	RUN		§43
Oliveira-2014-517-47	47	esp. de garça	species of heron					§44
Oliveira-2014-517-48	48	pisar	to step		2065	STEP (VERB)		§45
Oliveira-2014-517-49	49	língua	tongue		1205	TONGUE		§46
Oliveira-2014-517-50	50	vomitar	to vomit		1278	VOMIT		§47
Oliveira-2014-517-51	51	nome	name		1405	NAME		§48
Oliveira-2014-517-52	52	mutum (da esp. da fam. Cracidae)	curassow		315	CURASSOW		§49
Oliveira-2014-517-53	53	abertura	opening					§50
Oliveira-2014-517-54	54	esse tanto	that much					§51
Oliveira-2014-517-55	55	3a pessoa do plural	third person plural					§52
Oliveira-2014-517-56	56	que, o que	what		1236	WHAT		§53
Oliveira-2014-517-57	57	seu, sua, dele, dela	his, her, of him, of her		2092	HIS OR HER		§54
Oliveira-2014-517-58	58	caminho, picada	way, path		2252	PATH		§55
Oliveira-2014-517-59	59	noite, escuro	night, dark				NIGHT//DARK	§56
Oliveira-2014-517-60	60	tela	cloth		1616	CLOTH		§57
Oliveira-2014-517-61	61	roçado	swidden field for agriculture		429	SWIDDEN FIELD		§58
Oliveira-2014-517-62	62	filho, criança	child		1304	CHILD (YOUNG HUMAN)		§59
Oliveira-2014-517-63	63	espuma	foam		1768	FOAM		§60
Oliveira-2014-517-64	64	plantar	to plant		1486	PLANT (SOMETHING)		§61
Oliveira-2014-517-65	65	sol	sun		1343	SUN		§62
Oliveira-2014-517-66	66	ovo	egg		744	EGG		§63
Oliveira-2014-517-67	67	cochichar	to whisper		55	WHISPER		§64
Oliveira-2014-517-68	68	doce	sweet		717	SWEET		§65
Oliveira-2014-517-69	69	esp. de peixe	species of fish					§66
Oliveira-2014-517-70	70	papagaio (esp. da fam. Psittacidae)	parrot		882	PARROT		§67
Oliveira-2014-517-71	71	surubim (Pseudoplatyatoma coruscans)	surubim					§68
Oliveira-2014-517-72	72	trazer, buscar	to bring, to search				BRING//LOOK FOR	§69
Oliveira-2014-517-73	73	comitativo	comitative					§70
Oliveira-2014-517-74	74	comitativo	comitative					§71
Oliveira-2014-517-75	75	esquecer, perder	to forget, to lose				FORGET//LOSE	§72
Oliveira-2014-517-76	76	lágrima	tear		1651	TEAR (OF EYE)		§73
Oliveira-2014-517-77	77	ondas	waves		978	WAVE		§74
Oliveira-2014-517-78	78	testa, cara	forehead, face				FOREHEAD//FACE	§75
Oliveira-2014-517-79	79	marido, macho	husband, man				HUSBAND//MAN	§76
Oliveira-2014-517-80	80	varón	man	(probablemente *βɨnɨ + -βo, juego 77 y 96)	2106	MALE PERSON		§77
Oliveira-2014-517-81	81	esp. de árvore (da fam. Phyllanthaceae)	species of tree (Phyllanthaceae)	(segundo SHELL (1975 [1965]) Savia Pegajosa) 				§78
Oliveira-2014-517-82	82	olho	eye		1248	EYE		§79
Oliveira-2014-517-83	83	cortar	to cut		1432	CUT		§80
Oliveira-2014-517-84	84	sobrancelhas	eyebrow	(?)	1173	EYEBROW		§81
Oliveira-2014-517-85	85	sobrancelhas	eyebrow		1173	EYEBROW		§82
Oliveira-2014-517-86	86	esp. de sapo	species of frog					§83
Oliveira-2014-517-87	87	fino, raso	thin, fine		2308	THIN		§84
Oliveira-2014-517-88	88	sopa, caldo	soup, broth		1547	SOUP		§85
Oliveira-2014-517-89	89	rosto, cara	face	(prefixo parte do corpo)	1560	FACE		§86
Oliveira-2014-517-90	90	pegar	to catch		702	CATCH		§87
Oliveira-2014-517-91	91	pele, couro	skin, leather		3326	LEATHER OR HIDE	LEATHER//SKIN (ANIMAL)	§88
Oliveira-2014-517-92	92	esp. de garça	species of heron					§89
Oliveira-2014-517-93	93	carapanã	mosquito		1509	MOSQUITO		§90
Oliveira-2014-517-94	94	fruto	fruit		1507	FRUIT		§91
Oliveira-2014-517-95	95	marimbondo, caba	marimbondo, caba					§92
Oliveira-2014-517-96	96	buriti (Mauritia vinifera Mart.)	miriti palm		3811	MIRITI PALM		§93
Oliveira-2014-517-97	97	goiaba	guava	(?)				§94
Oliveira-2014-517-98	98	pluralizador	pluralizer					§95
Oliveira-2014-517-99	99	esp. de picapau (da fam. Picidae)	species of picapau (Picidae)					§96
Oliveira-2014-517-100	100	tipo de caixa	type of box					§97
Oliveira-2014-517-101	101	esp. de palmeira	species of palm					§98
Oliveira-2014-517-102	102	toco, tronco	tree stump		241	TREE STUMP		§99
Oliveira-2014-517-103	103	esp. de peixe (da fam. Pimelodidae)	species of fish (Pimelididae)					§100
Oliveira-2014-517-104	104	esp. de peixe (da fam. Pimelodidae)	species of fish (Pimelididae)					§101
Oliveira-2014-517-105	105	esp. de árvore (embaúba?)	species of tree					§102
Oliveira-2014-517-106	106	esp. de árvore (embaúba?)	species of tree					§103
Oliveira-2014-517-107	107	esp. de abelha	species of bee					§104
Oliveira-2014-517-108	108	pelo, cabelo	hair		1040	HAIR		§105
Oliveira-2014-517-109	109	insecto	insect		620	INSECT		§106
Oliveira-2014-517-110	110	esp. de lontra	species of otter					§107
Oliveira-2014-517-111	111	cabeça	head		1256	HEAD		§108
Oliveira-2014-517-112	112	sentar (sentar-se)	to sit		1416	SIT		§109
Oliveira-2014-517-113	113	esp. de peixe	species of fish					§110
Oliveira-2014-517-114	114	soluço, soluçar	hiccough, to hiccup		162	HICCOUGH		§111
Oliveira-2014-517-115	115	cigarra	cicada		2353	CICADA		§112
Oliveira-2014-517-116	116	carvão, brasa	amber, coal		1188	CHARCOAL		§113
Oliveira-2014-517-117	117	carvão, brasa	amber, coal					§114
Oliveira-2014-517-118	118	quem	who		1235	WHO		§115
Oliveira-2014-517-119	119	pegar, agarrar com a mão	to catch, to graph with one's hand		855	SEIZE		§116
Oliveira-2014-517-120	120	picar, dar agulhada, ferrar, injetar, furar	poke, pierce, inject, drill				PIERCE	§117
Oliveira-2014-517-121	121	amassar, bater, golpear	knead, hit, strike				KNEAD//HIT//STRIKE	§118
Oliveira-2014-517-122	122	mentir	to lie		601	LIE (MISLEAD)		§119
Oliveira-2014-517-123	123	esp. de molusco	species of mollusc					§120
Oliveira-2014-517-124	124	grilo, gafanhoto	grasshopper		607	GRASSHOPPER		§121
Oliveira-2014-517-125	125	martim pescardor	martim pescardor					§122
Oliveira-2014-517-126	126	esp. de veado	species of deer					§123
Oliveira-2014-517-127	127	fogo	fire		221	FIRE		§124
Oliveira-2014-517-128	128	cinza (lit. pó (poeira) de fogo)	fire powder					§125
Oliveira-2014-517-129	129	guiar (uma canoa) por trás	to drive from behind					§126
Oliveira-2014-517-130	130	parte posterior	back part		2323	BACK (PART)		§127
Oliveira-2014-517-131	131	lavar, lavar-se	to wash, to wash oneself		1453	WASH		§128
Oliveira-2014-517-132	132	tela, roupa	cloth, clothes		1895	CLOTHES		§129
Oliveira-2014-517-133	133	duro, forte	hard, strong		1884	HARD		§130
Oliveira-2014-517-134	134	líquido, água	liquid, water		58	LIQUID		§131
Oliveira-2014-517-135	135	tigre de agua, nutria	otter		15	OTTER		§132
Oliveira-2014-517-136	136	deixar, largar	to leave, to go away		1752	LEAVE		§133
Oliveira-2014-517-137	137	esp. de palmeira	species of palm					§134
Oliveira-2014-517-138	138	bilhar, queimar	to burn		2102	BURN		§135
Oliveira-2014-517-139	139	semente	seed		714	SEED		§136
Oliveira-2014-517-140	140	entrar	to enter		749	ENTER		§137
Oliveira-2014-517-141	141	esp. de formiga	species of ant					§138
Oliveira-2014-517-142	142	esp. de formiga	species of ant					§139
Oliveira-2014-517-143	143	sangue	blood		946	BLOOD		§140
Oliveira-2014-517-144	144	rabo	tail		1220	TAIL		§141
Oliveira-2014-517-145	145	ver, olhar	to see, to look		1409	SEE		§142
Oliveira-2014-517-146	146	ver, olhar	to see, to look		1409	SEE		§143
Oliveira-2014-517-147	147	urinar, urina	urine, to urinate				URINE//PISS	§144
Oliveira-2014-517-148	148	esp. de árvore e também seu fruto	species of tree and it's fruit	(segundo SHELL (1975 [1965]), seria o Zapote)				§145
Oliveira-2014-517-149	149	árvore (gen.), pau (gen.)	tree, stick				TREE//STICK	§146
Oliveira-2014-517-150	150	ouvir, escutar, entender	to hear, to listen, to understand		1408	HEAR		§147
Oliveira-2014-517-151	151	borda, lábios	edge, lips				EDGE//LIPS	§148
Oliveira-2014-517-152	152	jacu (esp. de pássaro)	jacu (species of bird)		437	GUAN		§149
Oliveira-2014-517-153	153	desejar	to desire		2117	DESIRE		§150
Oliveira-2014-517-154	154	chamar	to call		1084	CALL		§151
Oliveira-2014-517-155	155	tipo de banco	type of bank					§152
Oliveira-2014-517-156	156	desenhar, pintar	to design, to paint				PAINTING	§153
Oliveira-2014-517-157	157	barba	beard		678	BEARD		§154
Oliveira-2014-517-158	158	ponta, extremo	tip, end point		2992	TIP (OF OBJECT)		§155
Oliveira-2014-517-159	159	ensartar	to string together					§156
Oliveira-2014-517-160	160	lábios	lips		478	LIP		§157
Oliveira-2014-517-161	161	barba	beard		678	BEARD		§158
Oliveira-2014-517-162	162	esp. de arara	species of arara					§159
Oliveira-2014-517-163	163	costas	back		1291	BACK		§160
Oliveira-2014-517-164	164	parente	relatives		1644	RELATIVES		§161
Oliveira-2014-517-165	165	tipo de cesto	type of basket					§162
Oliveira-2014-517-166	166	abacaxi	pineapple		2440	PINEAPPLE		§163
Oliveira-2014-517-167	167	onça	jaguar		1250	JAGUAR		§164
Oliveira-2014-517-168	168	esp. de cobra	species of snake					§165
Oliveira-2014-517-169	169	esp. de arara	species of arara					§166
Oliveira-2014-517-170	170	relâmpago	lightning		1654	LIGHTNING		§167
Oliveira-2014-517-171	171	arco	bow		994	BOW		§168
Oliveira-2014-517-172	172	quatipuru	squirrel		1628	SQUIRREL		§169
Oliveira-2014-517-173	173	jacaré	caiman		2438	CAIMAN		§170
Oliveira-2014-517-174	174	cará	yam		410	YAM		§171
Oliveira-2014-517-175	175	lenha	firewood		10	FIREWOOD		§172
Oliveira-2014-517-176	176	querer	to want		1784	WANT		§173
Oliveira-2014-517-177	177	morcego	bat		1793	BAT		§174
Oliveira-2014-517-178	178	costas (prefixo parte do corpo)	back (body-part prefix)					§175
Oliveira-2014-517-179	179	costurar	to sew		1457	SEW		§176
Oliveira-2014-517-180	180	vasilha, prato	bowl, plate					§177
Oliveira-2014-517-181	181	duro, forte	hard, strong		1884	HARD		§178
Oliveira-2014-517-182	182	pedaço, caco	piece, shard		594	PIECE		§179
Oliveira-2014-517-183	183	grosso, espesso	thick		1244	THICK		§180
Oliveira-2014-517-184	184	tipo de panela	type of pot					§181
Oliveira-2014-517-185	185	terminar, acabar	to finish, to end		1766	FINISH		§182
Oliveira-2014-517-186	186	sufixo locativo ablativo	locative ablative suffix					§183
Oliveira-2014-517-187	187	buraco, orifício	hole		1667	HOLE		§184
Oliveira-2014-517-188	188	coxa	thigh		471	UPPER LEG (THIGH)		§185
Oliveira-2014-517-189	189	fumaça	smoke		778	SMOKE (EXHAUST)		§186
Oliveira-2014-517-190	190	ferver	to boil		792	BOIL (OF LIQUID)		§187
Oliveira-2014-517-191	191	mandíbula	jaw		798	JAW		§188
Oliveira-2014-517-192	192	irmão da mãe	maternal aunt		2693	MATERNAL AUNT (MOTHER'S SISTER)		§189
Oliveira-2014-517-193	193	vaga-lume	firefly		206	FIREFLY		§190
Oliveira-2014-517-194	194	irmão da mãe	maternal uncle		2692	MATERNAL UNCLE (MOTHER'S BROTHER)		§191
Oliveira-2014-517-195	195	ingerir alimentos moles	ingest soft food					§192
Oliveira-2014-517-196	196	ingerir alimentos moles	ingest soft food					§193
Oliveira-2014-517-197	197	nambu	tinamou		3921	TINAMOU		§194
Oliveira-2014-517-198	198	esp. de fungo	species of funghi					§195
Oliveira-2014-517-199	199	pus	pus		1808	PUS		§196
Oliveira-2014-517-200	200	valor	value					§197
Oliveira-2014-517-201	201	cinza, acinzentado	ash, gray		646	ASH		§198
Oliveira-2014-517-202	202	cedro	cedrela odorata		3929	BRAZILIAN CEDAR		§199
Oliveira-2014-517-203	203	cujubim	cujubim					§200
Oliveira-2014-517-204	204	sufixo verbal causativo	verbal causative suffix					§201
Oliveira-2014-517-205	205	morro, colina	hill		614	HILL		§202
Oliveira-2014-517-206	206	esp. de peixe	species of fish					§203
Oliveira-2014-517-207	207	frio	cold		1287	COLD		§204
Oliveira-2014-517-208	208	varrer	to sweep		230	SWEEP		§205
Oliveira-2014-517-209	209	chifre de animal	animal horn		1393	HORN (ANATOMY)		§206
Oliveira-2014-517-210	210	terra	earth		1228	EARTH (SOIL)		§207
Oliveira-2014-517-211	211	na terra, por terra	on earth					§208
Oliveira-2014-517-212	212	enterrar	to bury		1719	BURY		§209a
Oliveira-2014-517-213	213	faixa para a cabeça, chapéu	headbelt, hat		2130	HEADGEAR		§209
Oliveira-2014-517-214	214	rato	rat		1490	RAT		§210
Oliveira-2014-517-215	215	pedra, rocha	stone		857	STONE		§211
Oliveira-2014-517-216	216	piranha (esp. de peixe)	piranha		317	PIRANHA		§212
Oliveira-2014-517-217	217	esperar	to wait		1590	WAIT (FOR)		§213
Oliveira-2014-517-218	218	sobre, encima, acima	above		1741	ABOVE		§214
Oliveira-2014-517-219	219	metal	metal		2244	METAL		§215
Oliveira-2014-517-220	220	banana	banana		868	BANANA		§216
Oliveira-2014-517-221	221	sentir saudade	to feel longing		2328	MISS (SOMEBODY)		§217
Oliveira-2014-517-222	222	subir (um morro)	ascend		705	GO UP (ASCEND)		§218
Oliveira-2014-517-223	223	camarão	shrimp		2349	SHRIMP		§219
Oliveira-2014-517-224	224	cabeça	head		1256	HEAD		§220
Oliveira-2014-517-225	225	barro, poeira	clay, dust				CLAY//DUST	§221
Oliveira-2014-517-226	226	esp. de planta	species of plant					§222
Oliveira-2014-517-227	227	cutia (esp. de roedor)	cutia (species of rodent)		313	AGOUTI		§223
Oliveira-2014-517-228	228	esp. de cabaça	species of gourd					§224
Oliveira-2014-517-229	229	areia	sand		671	SAND		§225
Oliveira-2014-517-230	230	pedra	stone		857	STONE		§226
Oliveira-2014-517-231	231	urucum (a árvore e o seu fruto)	achiote		349	ACHIOTE		§227
Oliveira-2014-517-232	232	encima, cume	atop, peak				ATOP//PEAK	§228
Oliveira-2014-517-233	233	cortar o cabelo	to cut hair		2155	CUT (WITH SCISSORS)		§229
Oliveira-2014-517-234	234	chifre de animal	animal horn		1393	HORN (ANATOMY)		§230
Oliveira-2014-517-235	235	golpear a cabeça	to hit (one's) head					§231
Oliveira-2014-517-236	236	morrer	to die		1494	DIE		§232
Oliveira-2014-517-237	237	esp. de formiga	species of ant					§233
Oliveira-2014-517-238	238	torcer, girar, mover em círculos	to twist, to turn, to move in circles		3199	TWIST (AROUND)		§234
Oliveira-2014-517-239	239	tocar, mexer com a mão, tatear	to touch, to stir with a hand, to grope		1892	TOUCH		§235
Oliveira-2014-517-240	240	molhar, molhado	to wet, wet					§236
Oliveira-2014-517-241	241	mão	hand		1277	HAND		§237
Oliveira-2014-517-242	242	unha da mão	fingernail		1258	FINGERNAIL		§238
Oliveira-2014-517-243	243	mão	hand		1277	HAND		§239
Oliveira-2014-517-244	244	mão direita	right hand		2183	RIGHT HAND		§240
Oliveira-2014-517-245	245	encontrar, procurar	to meet		1831	MEET		§241
Oliveira-2014-517-246	246	engatinhar	to crawl		96	CRAWL		§242
Oliveira-2014-517-247	247	dedo	finger		1303	FINGER		§243
Oliveira-2014-517-248	248	barreiro, canamã	clay pit					§244
Oliveira-2014-517-249	249	tu, você	you (sg.)		1215	THOU		§245
Oliveira-2014-517-250	250	vocês, vós	you (pl.)		1213	YOU		§246a
Oliveira-2014-517-251	251	pamonha	pamonha					§247
Oliveira-2014-517-252	252	anzol	fishhook		1074	FISHHOOK		§248
Oliveira-2014-517-253	253	veneno, amargo	poison, bitter				POISON//BITTER	§249
Oliveira-2014-517-254	254	espinho	thorn		124	THORN		§250
Oliveira-2014-517-255	255	ninho	nest		539	NEST		§251
Oliveira-2014-517-256	256	esp. de preguiça (macaco)	species of monkey					§252
Oliveira-2014-517-257	257	céu	sky		1732	SKY		§253
Oliveira-2014-517-258	258	esp. de mosquito	species of mosquito					§254
Oliveira-2014-517-259	259	cupim	termite		883	TERMITE		§255
Oliveira-2014-517-260	260	soñar	dream		2374	DREAM		§256
Oliveira-2014-517-261	261	abaixo, embaixo, sob	below, under		1485	BELOW OR UNDER		§257
Oliveira-2014-517-262	262	carne	meat		634	MEAT		§258
Oliveira-2014-517-263	263	jenipapo	genipa		3920	GENIPA		§259
Oliveira-2014-517-264	264	colocar dentro, submergir	to put inside, to dive				INSERT//DIVE	§260
Oliveira-2014-517-265	265	dentro, no centro	inside, in the center		1606	INSIDE		§261
Oliveira-2014-517-266	266	banhar-se, tomar banho	to bathe, to take a bath		138	BATHE		§262
Oliveira-2014-517-267	267	largo	wide		1243	WIDE		§263
Oliveira-2014-517-268	268	morder	to bite		1403	BITE		§264
Oliveira-2014-517-269	269	estrangeiro	foreigner					§265
Oliveira-2014-517-270	270	arco íris	rainbow		1733	RAINBOW		§266
Oliveira-2014-517-271	271	capoeira, roça abandonada	abandoned field					§267
Oliveira-2014-517-272	272	jacamim (esp. de pássaro)	jacamim (species of bord)					§268
Oliveira-2014-517-273	273	unir, juntar	to join, to gather		7	GATHER		§269
Oliveira-2014-517-274	274	amarrar	to tie		1917	TIE		§270
Oliveira-2014-517-275	275	esp. de pássaro	species of bird	(Shell (1975 [1965] o descreve como shansho)				§271
Oliveira-2014-517-276	276	día	day		1225	DAY (NOT NIGHT)		§272
Oliveira-2014-517-277	277	ficar em pé	to stand		1442	STAND		§273
Oliveira-2014-517-278	278	mata, floresta	forest		420	FOREST		§274
Oliveira-2014-517-279	279	brisa	breeze					§275
Oliveira-2014-517-280	280	lacraia, escorpião	centipede, scorpion				CENTIPEDE//SCORPION	§276
Oliveira-2014-517-281	281	escurtar, ouvir	to listen, to hear		1408	HEAR		§277
Oliveira-2014-517-282	282	arrastar	to drag		2030	DRAG		§278
Oliveira-2014-517-283	283	suar	to sweat		126	SWEAT (PERSPIRE)		§279
Oliveira-2014-517-284	284	suar	to sweat		126	SWEAT (PERSPIRE)		§280
Oliveira-2014-517-285	285	aborrecer-se	to get bored					§281
Oliveira-2014-517-286	286	vento	wind		960	WIND		§282
Oliveira-2014-517-287	287	nós, nos	we		1212	WE		§283
Oliveira-2014-517-288	288	profundo	deep		1593	DEEP		§284
Oliveira-2014-517-289	289	esp. de caramujo	species of snail					§285
Oliveira-2014-517-290	290	minhoca	earthworm		2350	EARTHWORM		§286
Oliveira-2014-517-291	291	esp. de caramujo	species of snail					§287
Oliveira-2014-517-292	292	gostoso, delicioso	tasty, delicious		1813	TASTY		§288
Oliveira-2014-517-293	293	amar, gostar	to love, to like		923	LOVE		§289
Oliveira-2014-517-294	294	apagar	to extinguish		127	EXTINGUISH		§290
Oliveira-2014-517-295	295	nadar	to swim		1439	SWIM		§291
Oliveira-2014-517-296	296	nadar	to swim		1439	SWIM		§292
Oliveira-2014-517-297	297	pato	duck		1360	DUCK		§293
Oliveira-2014-517-298	298	canoa	canoe		1970	CANOE		§294
Oliveira-2014-517-299	299	voar	to fly		1441	FLY (MOVE THROUGH AIR)		§295
Oliveira-2014-517-300	300	vir, chegar	to come, to arrive		1387	ARRIVE		§296
Oliveira-2014-517-301	301	flor	flower		239	FLOWER		§297
Oliveira-2014-517-302	302	garra, unha	claw		72	CLAW		§298
Oliveira-2014-517-303	303	fala, voz, palavra	voice		1363	VOICE		§299
Oliveira-2014-517-304	304	respirar	to breathe		1407	BREATHE		§300
Oliveira-2014-517-305	305	coração	heart		1223	HEART		§301
Oliveira-2014-517-306	306	esconder	to hide		602	HIDE (CONCEAL)		§302
Oliveira-2014-517-307	307	homem, humano	human		683	PERSON		§303
Oliveira-2014-517-308	308	esp. de queixada (porco do mato)	species of pig					§304
Oliveira-2014-517-309	309	vermelho	red		156	RED		§305
Oliveira-2014-517-310	310	branco	white		1335	WHITE		§306
Oliveira-2014-517-311	311	lavar	to wash		1453	WASH		§307
Oliveira-2014-517-312	312	embebedar-se, bêbado, embriagado	to get drunk, drunk					§308
Oliveira-2014-517-313	313	surdo	deaf		996	DEAF		§309
Oliveira-2014-517-314	314	ouvido	hole of ear	(provavelmente paβi (orelha) + n (gen.) + kini (buraco) = buraco da orelha)	3891	EARHOLE		§310
Oliveira-2014-517-315	315	esp. de taboca (bambu)	species of bamboo					§311
Oliveira-2014-517-316	316	cair	to fall		1280	FALL		§312
Oliveira-2014-517-317	317	esp. de tatu	species of armadillo					§313
Oliveira-2014-517-318	318	enfeite de orelha, brinco	ear ornament, earring		770	EARRING		§314
Oliveira-2014-517-319	319	pai	father		1217	FATHER		§315
Oliveira-2014-517-320	320	enganar	to deceive		3230	DECEIVE		§316
Oliveira-2014-517-321	321	rio	river		666	RIVER		§317
Oliveira-2014-517-322	322	amarelo	yellow		1424	YELLOW		§319
Oliveira-2014-517-323	323	novo, fresco, cru	new, fresh, raw				NEW//FRESH//RAW	§320
Oliveira-2014-517-324	324	rama del árbol	branch of tree		1531	BRANCH		§321
Oliveira-2014-517-325	325	surdo	deaf		996	DEAF		§322
Oliveira-2014-517-326	326	abanar	to fan		360	FAN (ACTION)		§323
Oliveira-2014-517-327	327	podre	rotten		1728	ROTTEN		§324
Oliveira-2014-517-328	328	asa, pena	wing, feather				WING//FEATHER	§325
Oliveira-2014-517-329	329	comer	to eat		1336	EAT		§326
Oliveira-2014-517-330	330	sobrinho, filho da irmã	nephew		1063	NEPHEW		§327
Oliveira-2014-517-331	331	flecha	arrow		977	ARROW		§328
Oliveira-2014-517-332	332	periquito	parakeet		886	PARAKEET		§329
Oliveira-2014-517-333	333	beija-flor	hummingbird		1589	HUMMINGBIRD		§330
Oliveira-2014-517-334	334	esp. de tucano	species of tucan					§331
Oliveira-2014-517-335	335	fedido, fedor	bad smell, stench		3704	ODOR (SMELL)		§332
Oliveira-2014-517-336	336	esp. de cobra	species of cobra					§333
Oliveira-2014-517-337	337	bolsa pequena	small bag	(?)				§334
Oliveira-2014-517-338	338	esteira	mat		195	MAT		§335
Oliveira-2014-517-339	339	pequeno	small		1246	SMALL		§336
Oliveira-2014-517-340	340	comida (coisa de comer)	food		256	FOOD		§337
Oliveira-2014-517-341	341	fezes	faeces		675	FAECES (EXCREMENT)		§338
Oliveira-2014-517-342	342	esp. de tubérculo (inhame?)	species of tubercole					§339
Oliveira-2014-517-343	343	irmã ou irmão do sexo oposto	sibling of the other sex					§340
Oliveira-2014-517-344	344	intestino, barriga	intestines, belly				INTESTINES//BELLY	§341
Oliveira-2014-517-345	345	veia	vein		1924	VEIN		§342
Oliveira-2014-517-346	346	esp. de coruja	species of owl					§343
Oliveira-2014-517-347	347	esp. de preguiça	species of sloth					§344
Oliveira-2014-517-348	348	tornozelo	ankle		803	ANKLE		§345
Oliveira-2014-517-349	349	jogar, abandonar	to play, to abandon				PLAY//ABANDON	§346
Oliveira-2014-517-350	350	poeira	dust		2	DUST		§347
Oliveira-2014-517-351	351	braço	arm		1673	ARM		§348
Oliveira-2014-517-352	352	braço	arm		1673	ARM		§349
Oliveira-2014-517-353	353	remédio, medicina tradicional	medicine		1372	MEDICINE		§350
Oliveira-2014-517-354	354	ter medo, assustar-se	to fear, to be afraid		1419	FEAR (BE AFRAID)		§351
Oliveira-2014-517-355	355	dois	two		1498	TWO		§352
Oliveira-2014-517-356	356	envergonhar-se, ter vergonha	to be ashamed, to feel ashamed		1894	ASHAMED		§353
Oliveira-2014-517-357	357	rótula, joelho	kneecap, knee		1371	KNEE		§354
Oliveira-2014-517-358	358	temer	to feat		1419	FEAR (BE AFRAID)		§355
Oliveira-2014-517-359	359	deitar-se	to lie down		215	LIE DOWN		§356
Oliveira-2014-517-360	360	cobrir, envolver	to cover, to embrace		761	COVER		§357
Oliveira-2014-517-361	361	pelo do corpo	body hair		189	HAIR (BODY)		§358
Oliveira-2014-517-362	362	joelho	knee		1371	KNEE		§359
Oliveira-2014-517-363	363	matar	to kill		1417	KILL		§360
Oliveira-2014-517-364	364	ponta, cabeceira do rio	tip, headwaters of river		2672	HEADWATERS		§361
