ID	NUMBER	ENGLISH	KOREAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lee-2015-246-212	212	to think	헤아리다	2271	THINK
Lee-2015-246-213	213	to throw	던지다	1456	THROW
Lee-2015-246-214	214	to tie up, fasten	얽다	1094	FASTEN
Lee-2015-246-215	215	to turn	돌다	1588	TURN
Lee-2015-246-216	216	to vomit	게우다/토하다	1278	VOMIT
Lee-2015-246-217	217	to wash	씻다	1453	WASH
Lee-2015-246-218	218	to wipe	훔치다	1454	WIPE
Lee-2015-246-219	219	to work	일하다	1086	WORK (ACTIVITY)
Lee-2015-246-220	220	to yawn	하품하다	1028	YAWN
Lee-2015-246-221	221	tongue	혀	1205	TONGUE
Lee-2015-246-222	222	tooth	이/이빨	1380	TOOTH
Lee-2015-246-223	223	tree	나무	906	TREE
Lee-2015-246-224	224	Twenty	스물	1710	TWENTY
Lee-2015-246-225	225	Two	둘/두	1498	TWO
Lee-2015-246-226	226	walk	걸음	1443	WALK
Lee-2015-246-227	227	warm	따뜻하다	1232	WARM
Lee-2015-246-228	228	water	물	948	WATER
Lee-2015-246-229	229	we	우리	1212	WE
Lee-2015-246-230	230	wet	젖다	1726	WET
Lee-2015-246-231	231	what?	무엇	1236	WHAT
Lee-2015-246-232	232	when?	언제	1238	WHEN
Lee-2015-246-233	233	where?	어디	1237	WHERE
Lee-2015-246-234	234	white	하양/희다/하얗다	1335	WHITE
Lee-2015-246-235	235	who?	누구	1235	WHO
Lee-2015-246-236	236	wide	넓다	1243	WIDE
Lee-2015-246-237	237	wife	아내/마누라	1199	WIFE
Lee-2015-246-238	238	wind	바람	960	WIND
Lee-2015-246-239	239	wing	날개	1257	WING
Lee-2015-246-240	240	with	같이/더불어	1340	WITH
Lee-2015-246-241	241	woman/female	여자	2105	FEMALE PERSON
Lee-2015-246-242	242	woods/forest	숲/수풀	420	FOREST
Lee-2015-246-243	243	worm (earthworm)	지렁이/벌레	2350	EARTHWORM
Lee-2015-246-244	244	ye	너희들	1213	YOU
Lee-2015-246-245	245	year	해	1226	YEAR
Lee-2015-246-246	246	yellow	노랗다	1424	YELLOW
