ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PORTUGUESE	POSITIVE_THINK_MONOLINGUALS_MEAN	POSITIVE_FEEL_MONOLINGUALS_MEAN	POSITIVE_THINK_BILINGUALS_MEAN	POSITIVE_FEEL_BILINGUALS_MEAN	NEGATIVE_THINK_MONOLINGUALS_MEAN	NEGATIVE_FEEL_MONOLINGUALS_MEAN	NEGATIVE_THINK_BILINGUALS_MEAN	NEGATIVE_FEEL_BILINGUALS_MEAN	EMOTION_TYPE	EMOTION_POLARITY	EMOTION_CONDITION	ORTHOGRAPHIC_SIMILARITY
Ferre-2022-160-129	129			variable	variável	3.17	1.95	3.38	1.26	2.29	1.47	2.33	1.46	0	0	0	0.5
Ferre-2022-160-130	130			development	desenvolvimento	5.98	5.42	7.05	4.03	1.56	1.31	1.12	0.51	0	0	0	0.53
Ferre-2022-160-131	131			presumption	presunção	2.58	1.32	1.95	0.75	4.42	3	4.7	2.75	0	0	0	0.55
Ferre-2022-160-132	132			anonymous	anônimo	2.79	2.58	2.43	1.37	3.26	2.76	3.83	2.31	0	0	0	0.56
Ferre-2022-160-133	133			deduction	dedução	2.46	1.91	3.81	1.69	5.49	3.49	2.07	0.97	0	0	0	0.56
Ferre-2022-160-134	134			plausible	plausível	4.96	2.96	4.76	2.91	1.89	1.23	1.43	1.06	0	0	0	0.56
Ferre-2022-160-135	135			practical	prático	5.37	3.47	5.98	3.24	2.13	1.55	0.98	0.85	0	0	0	0.56
Ferre-2022-160-136	136			selection	seleção	3.18	1.91	3.69	1.14	2.4	2.42	2.86	1.46	0	0	0	0.56
Ferre-2022-160-137	137			minimum	mínimo	2.33	1.96	2.45	0.77	3.98	2.67	3.86	1.49	0	0	0	0.57
Ferre-2022-160-138	138			positioning	posicionamento	3.63	1.98	3.97	1.12	2.13	1.33	1.87	0.55	0	0	0	0.57
Ferre-2022-160-139	139	3960	IDENTITY	identity	identidade	4.9	3.89	6.48	3.89	2.11	1.89	1.26	0.69	0	0	0	0.6
Ferre-2022-160-140	140			indigenous	indígena	5	3.84	3.41	1.69	1.6	1.78	1.68	1.06	0	0	0	0.6
Ferre-2022-160-141	141			mobility	mobilidade	5.8	4.16	4.88	3.03	1.63	1.29	1.19	0.69	0	0	0	0.6
Ferre-2022-160-142	142			navigation	navegação	3.97	3.09	4.02	2.41	1.55	1.4	1.64	0.59	0	0	0	0.6
