ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Needham-1897-262-126	126	Head	head	5	1256	HEAD
Needham-1897-262-127	127	Heavy	heavy	5	1210	HEAVY
Needham-1897-262-128	128	Hill	hill	5	614	HILL
Needham-1897-262-129	129	Horn	horn	5	1393	HORN (ANATOMY)
Needham-1897-262-130	130	Hot	hot	5	2272	HOT OR WARM
Needham-1897-262-131	131	House	house	5	1252	HOUSE
Needham-1897-262-132	132	Notched steps leading up to *house	notched steps leading up to house	5		
Needham-1897-262-133	133	How?	how	5	1239	HOW
Needham-1897-262-134	134	High	high	5	1202	BIG
Needham-1897-262-135	135	I	I	5	1209	I
Needham-1897-262-136	136	Ill	ill	5	1847	SICK
Needham-1897-262-137	137	Indian corn	Indian corn	5	506	MAIZE
Needham-1897-262-138	138	Iron	iron	5	621	IRON
Needham-1897-262-139	139	Jungle	jungle	5	3808	JUNGLE
Needham-1897-262-140	140	Kill	kill	5	1417	KILL
Needham-1897-262-141	141	Knee	knee	5	1371	KNEE
Needham-1897-262-142	142	Knife	knife	5	1352	KNIFE
Needham-1897-262-143	143	“Kochu“	kochu	5	351	TARO
Needham-1897-262-144	144	Large	large	5	1202	BIG
Needham-1897-262-145	145	Laugh, v.	laugh, v	5	1355	LAUGH
Needham-1897-262-146	146	Leech	leech	5	2273	LEECH
Needham-1897-262-147	147	Leaf	leaf	5	628	LEAF
Needham-1897-262-148	148	leg	leg	5	1297	LEG
Needham-1897-262-149	149	Lightning	lightning	5	1654	LIGHTNING
Needham-1897-262-150	150	Lip	lip	5	478	LIP
Needham-1897-262-151	151	Light (not heavy)	light (not heavy)	5	1052	LIGHT (WEIGHT)
Needham-1897-262-152	152	Loin cloth	loin cloth	5	1965	LOINCLOTH
Needham-1897-262-153	153	Look, v.	look, v	5	1819	LOOK
Needham-1897-262-154	154	Louse	louse	5	1392	LOUSE
Needham-1897-262-155	155	Make, v.	make, v	5	2575	DO OR MAKE
Needham-1897-262-156	156	Male	male	5	2106	MALE PERSON
Needham-1897-262-157	157	Many	many	5	1198	MANY
Needham-1897-262-158	158	Mat	mat	5	195	MAT
Needham-1897-262-159	159	Monkey	monkey	5	1350	MONKEY
Needham-1897-262-160	160	Mortar for pounding paddy	mortar for pounding paddy	5	224	MORTAR
Needham-1897-262-161	161	Pestle for *mortar	pestle	5	225	PESTLE
Needham-1897-262-162	162	Mother	mother	5	1216	MOTHER
