ID	NUMBER	ENGLISH	GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	BUCK_1949_1110
Tryon-1995-1310-98	02.444	OLDER BROTHER	OLDER BROTHER	1759	OLDER BROTHER
Tryon-1995-1310-99	02.445	YOUNGER BROTHER	YOUNGER BROTHER	1760	YOUNGER BROTHER
Tryon-1995-1310-100	02.450	SISTER	SISTER	1263	SISTER	Buck-1949-1110-70
Tryon-1995-1310-101	02.454	OLDER SISTER	OLDER SISTER	1758	OLDER SISTER
Tryon-1995-1310-102	02.455	YOUNGER SISTER	YOUNGER SISTER	1761	YOUNGER SISTER
Tryon-1995-1310-103	02.456	SIBLING	SIBLING	1640	SIBLING
Tryon-1995-1310-104	02.458	TWINS	TWINS	1005	TWINS
Tryon-1995-1310-105	02.460	GRANDFATHER	GRANDFATHER	1383	GRANDFATHER	Buck-1949-1110-72
Tryon-1995-1310-106	02.461	OLD MAN	OLD MAN	406	OLD MAN
Tryon-1995-1310-107	02.470	GRANDMOTHER	GRANDMOTHER	1496	GRANDMOTHER	Buck-1949-1110-73
Tryon-1995-1310-108	02.471	OLD WOMAN	OLD WOMAN	907	OLD WOMAN
Tryon-1995-1310-109	02.480	GRANDSON	GRANDSON	1618	GRANDSON	Buck-1949-1110-74
Tryon-1995-1310-110	02.490	GRANDDAUGHTER	GRANDDAUGHTER	1619	GRANDDAUGHTER	Buck-1949-1110-75
Tryon-1995-1310-111	02.510	UNCLE	UNCLE	1327	UNCLE	Buck-1949-1110-76
Tryon-1995-1310-112	02.511	MOTHER'S BROTHER	MOTHER'S BROTHER	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
Tryon-1995-1310-113	02.512	FATHER'S BROTHER	FATHER'S BROTHER	1985	PATERNAL UNCLE (FATHER'S BROTHER)
Tryon-1995-1310-114	02.520	AUNT	AUNT	1272	AUNT	Buck-1949-1110-77
Tryon-1995-1310-115	02.521	MOTHER'S SISTER	MOTHER'S SISTER	2693	MATERNAL AUNT (MOTHER'S SISTER)
Tryon-1995-1310-116	02.522	FATHER'S SISTER	FATHER'S SISTER	2691	PATERNAL AUNT (FATHER'S SISTER)
Tryon-1995-1310-117	02.530	NEPHEW	NEPHEW	1063	NEPHEW	Buck-1949-1110-78
Tryon-1995-1310-118	02.540	NIECE	NIECE	1642	NIECE	Buck-1949-1110-79
Tryon-1995-1310-119	02.550	COUSIN	COUSIN	1643	COUSIN	Buck-1949-1110-80
Tryon-1995-1310-120	02.560	ANCESTORS	ANCESTORS	1669	ANCESTORS	Buck-1949-1110-81
Tryon-1995-1310-121	02.570	DESCENDANTS	DESCENDANTS	490	DESCENDANTS	Buck-1949-1110-82
Tryon-1995-1310-122	02.610	FATHER-IN-LAW (of a man)	FATHER-IN-LAW (of a man)	2255	FATHER-IN-LAW (OF MAN)	Buck-1949-1110-83
Tryon-1995-1310-123	02.611	FATHER-IN-LAW (of a woman)	FATHER-IN-LAW (of a woman)	2254	FATHER-IN-LAW (OF WOMAN)
Tryon-1995-1310-124	02.620	MOTHER-IN-LAW (of a man)	MOTHER-IN-LAW (of a man)	2257	MOTHER-IN-LAW (OF MAN)	Buck-1949-1110-84
Tryon-1995-1310-125	02.621	MOTHER-IN-LAW (of a woman)	MOTHER-IN-LAW (of a woman)	2256	MOTHER-IN-LAW (OF WOMAN)
Tryon-1995-1310-126	02.630	SON-IN-LAW (of a man)	SON-IN-LAW (of a man)	2267	SON-IN-LAW (OF MAN)	Buck-1949-1110-85
Tryon-1995-1310-127	02.631	SON-IN-LAW (of a woman)	SON-IN-LAW (of a woman)	2266	SON-IN-LAW (OF WOMAN)
Tryon-1995-1310-128	02.640	DAUGHTER-IN-LAW (of a man)	DAUGHTER-IN-LAW (of a man)	2265	DAUGHTER-IN-LAW (OF MAN)	Buck-1949-1110-86
Tryon-1995-1310-129	02.641	DAUGHTER-IN-LAW (of a woman)	DAUGHTER-IN-LAW (of a woman)	2264	DAUGHTER-IN-LAW (OF WOMAN)
Tryon-1995-1310-130	02.710	STEPFATHER	STEPFATHER	237	STEPFATHER	Buck-1949-1110-89
Tryon-1995-1310-131	02.720	STEPMOTHER	STEPMOTHER	236	STEPMOTHER	Buck-1949-1110-90
Tryon-1995-1310-132	02.730	STEPSON	STEPSON	1059	STEPSON	Buck-1949-1110-91
Tryon-1995-1310-133	02.740	STEPDAUGHTER	STEPDAUGHTER	1058	STEPDAUGHTER	Buck-1949-1110-92
Tryon-1995-1310-134	02.750	ORPHAN	ORPHAN	1149	ORPHAN	Buck-1949-1110-93
Tryon-1995-1310-135	02.760	WIDOW	WIDOW	1756	WIDOW	Buck-1949-1110-94
Tryon-1995-1310-136	02.770	WIDOWER	WIDOWER	1981	WIDOWER
Tryon-1995-1310-137	02.810	RELATIVES, KINSMEN	RELATIVES, KINSMEN	1644	RELATIVES	Buck-1949-1110-95
Tryon-1995-1310-138	02.820	FAMILIY	FAMILIY	194	FAMILY	Buck-1949-1110-96
Tryon-1995-1310-139	02.910	I	I	1209	I
Tryon-1995-1310-140	02.920	YOU (singular)	YOU (singular)	1215	THOU
Tryon-1995-1310-141	02.930	HE/SHE/IT	HE/SHE/IT	262	HE OR SHE OR IT
Tryon-1995-1310-142	02.940	WE	WE	1212	WE
Tryon-1995-1310-143	02.941	WE INCLUSIVE	WE INCLUSIVE	1131	WE (INCLUSIVE)
Tryon-1995-1310-144	02.942	WE EXCLUSIVE	WE EXCLUSIVE	1130	WE (EXCLUSIVE)
Tryon-1995-1310-145	02.950	YOU (plural)	YOU (plural)	1213	YOU
Tryon-1995-1310-146	02.960	THEY	THEY	817	THEY
Tryon-1995-1310-147	03.110	ANIMAL	ANIMAL	619	ANIMAL	Buck-1949-1110-97
Tryon-1995-1310-148	03.120	MALE (adj.)	MALE (adj.)	2263	MALE (OF ANIMAL)	Buck-1949-1110-98
Tryon-1995-1310-149	03.130	FEMALE (adj.)	FEMALE (adj.)	2262	FEMALE (OF ANIMAL)	Buck-1949-1110-99
Tryon-1995-1310-150	03.150	LIVESTOCK	LIVESTOCK	631	LIVESTOCK	Buck-1949-1110-101
