ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	SEMANTIC_CATEGORY	TYPICALITY	FAMILIARITY	AOA	IMAGEABILITY	LEXICAL_AVAILABILITY	FREQUENCY	WORD_LENGTH
Izura-2005-499-24	24	Conocimientos	knowledge			intelligence	5.2	5.12	9.52	3.36	3.535	36	5
Izura-2005-499-25	25	Copier	to cheat			intelligence	2.6	5.36	5.8	4.8	1.692	5	2
Izura-2005-499-26	26	Culto	cult			intelligence	4.96	5.6	8.12	4.04	2.574	30	2
Izura-2005-499-27	27	Cultura	culture			intelligence	5.36	6.68	7.48	4.08	5.333	165	3
Izura-2005-499-28	28	Descubrir	to discover			intelligence	5.2	6.12	6.2	4	1.854	55	3
Izura-2005-499-29	29	Diez	ten	TEN	1515	intelligence	4.32	6.76	3.96	6.36	1.732	134	1
Izura-2005-499-30	30	Dinero	money	MONEY	1559	intelligence	2.72	6.56	4.04	6.56	2.845	199	3
Izura-2005-499-31	31	Empollón	swot			intelligence	3.92	3.6	6.56	5.24	3.461	0	3
Izura-2005-499-32	32	Escasa	slim/limited			intelligence	2.44	4.48	7.28	3.08	1.372	23	3
Izura-2005-499-33	33	Escribir	to write	WRITE	1672	intelligence	4.12	6.68	4	5.6	1.345	128	3
Izura-2005-499-34	34	Espabilado	sharp			intelligence	4.84	5.48	6.28	4.68	1.441	3	5
Izura-2005-499-35	35	Estímulo	stimuli			intelligence	3.48	5.12	9.28	3.88	1.68	16	4
Izura-2005-499-36	36	Estudiante	student	PUPIL (STUDENT)	753	intelligence	4.52	5.84	5.96	6.28	2.454	19	4
Izura-2005-499-37	37	Estudiar	to study	STUDY	1929	intelligence	5.4	6.52	5.56	4.68	12.902	45	3
Izura-2005-499-38	38	Studio	study			intelligence	4.84	6.32	6	5.36	8.888	144	3
Izura-2005-499-39	39	Estudios	career			intelligence	4.48	6.28	8.52	3.8	5.36	75	3
Izura-2005-499-40	40	Estudioso	expert			intelligence	4.8	4.76	6.8	4.76	2.717	3	4
Izura-2005-499-41	41	Exámen	examination			intelligence	3.76	5.72	6.64	6.68	3.246	21	3
Izura-2005-499-42	42	Familia	family	FAMILY	194	intelligence	2.68	6.28	3.72	6.52	1.474	250	3
Izura-2005-499-43	43	Felicidad	happiness	HAPPINESS	2941	intelligence	3.44	5.84	5.64	3.76	1.652	85	4
Izura-2005-499-44	44	Filosofía	Philosophy			intelligence	4.68	3.64	10	3.32	1.343	117	5
Izura-2005-499-45	45	Futuro	future	FUTURE	2427	intelligence	3.44	5.6	7.04	3.24	2.169	131	3
Izura-2005-499-46	46	Genio	genius			intelligence	6.24	3.72	7.8	4.64	1.62	28	2
Izura-2005-499-47	47	Historia	History			intelligence	3	4.8	6.52	3.68	1.695	406	3
Izura-2005-499-48	48	Hombre	man	MAN	1554	intelligence	4.08	6.24	4.24	6.68	2.652	869	2
Izura-2005-499-49	49	Idea	idea	IDEA	1609	intelligence	5.76	5.36	6	3.4	3.505	128	3
Izura-2005-499-50	50	Imaginación	imagination			intelligence	5.28	5.2	5.68	3.56	4.886	83	5
Izura-2005-499-51	51	Inteligencia	intelligence			intelligence	7	6	8.04	3.24	2.586	3	5
Izura-2005-499-52	52	Inteligente	intelligent			intelligence	6.72	4.88	6.76	3.68	3.14	3	5
Izura-2005-499-53	53	Instituto	secondary school	SCHOOL	673	intelligence	3.16	4.44	7.6	6.52	2.257	42	4
Izura-2005-499-54	54	Lectura	reading			intelligence	5.32	5.32	4.68	4.72	2.81	83	3
Izura-2005-499-55	55	Leer	to read	READ	724	intelligence	4.76	6.72	5.12	5.24	2.482	97	2
Izura-2005-499-56	56	Letras	letters			intelligence	3.2	6.56	4.8	6.64	2.761	51	2
Izura-2005-499-57	57	Libro	book	BOOK	963	intelligence	3.92	6.76	4.68	6.96	10.342	199	2
Izura-2005-499-58	58	Listo	smart	SMART	2530	intelligence	6.2	5.32	5.2	3.84	22.067	16	2
Izura-2005-499-59	59	Lógica	logic	LOGIC	2429	intelligence	6.16	4.12	10.28	3	2.795	74	3
Izura-2005-499-60	60	Matemáticas	maths			intelligence	4.44	3.6	6.64	4.48	5.845	21	5
Izura-2005-499-61	61	Memoria	memory	MEMORY	1018	intelligence	4.96	5.32	6.48	3.2	13.008	203	3
Izura-2005-499-62	62	Memorizar	to memorize			intelligence	4.6	5.24	7.6	3.4	2.235	2	4
Izura-2005-499-63	63	Mente	mind	MIND	1562	intelligence	6.24	4.68	8.2	2.68	10.509	87	2
Izura-2005-499-64	64	Mujer	woman	WOMAN	962	intelligence	2.92	6.48	5.24	6.52	1.626	511	2
Izura-2005-499-65	65	NASA	NASA			intelligence	3.48	2.68	12.16	4.64	1.616	1	2
Izura-2005-499-66	66	Nervio	nerve	NERVE	2626	intelligence	2.44	4.08	9.56	3.92	1.445	15	2
Izura-2005-499-67	67	Neurona	neurone			intelligence	5.04	3.08	11.48	4.16	5.987	14	3
Izura-2005-499-68	68	Notas	grades			intelligence	4	5.08	6.84	6.08	1.451	39	2
Izura-2005-499-69	69	Números	numbers	NUMBER	1356	intelligence	3.76	5.16	4.76	6.76	2.725	28	3
Izura-2005-499-70	70	Ordenador	computer	COMPUTER	3086	intelligence	3.4	6.48	9.88	6.96	2.894	67	4
Izura-2005-499-71	71	Palabras	words	WORD	1599	intelligence	4.28	6.56	5.4	6.08	1.538	354	3
Izura-2005-499-72	72	Pensamieto	thought	THOUGHT	2975	intelligence	5.72	5.56	8.32	3.28	14.611	134	4
Izura-2005-499-73	73	Pensar	to think	THINK	2271	intelligence	6.24	5.76	7.44	3.08	11.034	218	2
Izura-2005-499-74	74	Poder	power	POWER	2526	intelligence	3.32	4.72	6.96	2.96	1.903	388	2
Izura-2005-499-75	75	Profesor	teacher	TEACHER	1038	intelligence	3.24	6.16	5.44	6.28	3.667	55	4
Izura-2005-499-76	76	Rapidez	rapidity			intelligence	5.24	5.24	6.4	3.44	3.96	24	3
Izura-2005-499-77	77	Razón	reason	REASON	2968	intelligence	5.76	5.44	8.6	2.84	1.695	275	2
Izura-2005-499-78	78	Razonamiento	reasoning			intelligence	6.6	5	10.32	2.96	1.602	8	5
Izura-2005-499-79	79	Razonar	to reason			intelligence	6.64	5.16	10.04	3.04	1.763	5	3
Izura-2005-499-80	80	Recordarto	remember	REMEMBER	707	intelligence	4.64	5.12	7.16	3.32	2.805	83	3
Izura-2005-499-81	81	Recuerdo	memory	MEMORY	1018	intelligence	3.52	5.84	7.4	4.08	1.418	177	3
Izura-2005-499-82	82	Reflexión	reflection			intelligence	5.92	4.64	9.8	3.16	1.488	41	3
Izura-2005-499-83	83	Representación	representation			intelligence	3.48	3.44	9.72	3.72	2.235	46	5
Izura-2005-499-84	84	Resolver	to solve			intelligence	6.04	4.76	8.68	3.12	1.627	30	3
Izura-2005-499-85	85	Responsabilidad	responsibility			intelligence	3.48	5.52	9.04	2.92	3.498	39	6
Izura-2005-499-86	86	Respuesta	answer			intelligence	4.6	5.28	6.32	3.44	1.527	95	3
Izura-2005-499-87	87	saber	to know	KNOW (SOMETHING)	1410	intelligence	5.52	5.64	6.36	3	14.086	287	2
Izura-2005-499-88	88	Sabiduría	wisdom			intelligence	5.76	3.96	8.56	2.92	17.492	26	5
Izura-2005-499-89	89	Sabio	wise	WISE	698	intelligence	5.92	3.32	7.56	5.16	5.051	22	2
Izura-2005-499-90	90	Sobresaliente	first class			intelligence	4.92	3.6	7.76	5.72	2.998	3	5
Izura-2005-499-91	91	Soñar	to dream	DREAM (SOMETHING)	1920	intelligence	3.04	6.04	5.76	3.92	2.09	16	2
Izura-2005-499-92	92	Superdotado	extremely gifted			intelligence	5.96	3.12	9	5.12	4.178	1	5
Izura-2005-499-93	93	Test 	test			intelligence	4.04	3.04	11.04	6.52	2.317	5	1
Izura-2005-499-94	94	Tonto	fool	FOOL	1438	intelligence	2.88	4.96	4.48	5.12	6.932	19	2
Izura-2005-499-95	95	Trabajar	to work	WORK (ACTIVITY)	1086	intelligence	2.92	5.72	5.56	4.84	1.714	74	3
Izura-2005-499-96	96	Trabajo	work	WORK (LABOUR)	984	intelligence	3.08	5.88	5.56	5.56	7.89	354	3
Izura-2005-499-97	97	Universidad	university	UNIVERSITY	2435	intelligence	3.88	6.56	10.36	6.24	3.585	109	5
Izura-2005-499-98	98	Vida	life	LIFE	210	intelligence	3.16	6.36	6.24	3.92	1.538	1145	2
Izura-2005-499-99	99	Voluntad	will			intelligence	3.16	4.6	9.04	3.28	1.324	117	3
Izura-2005-499-100	100	Yo	I	I	1209	intelligence	3.4	6.32	4.16	4.32	3.6	1857	1
Izura-2005-499-101	101	Abrigo	coat	COAT	603	clothing	6	5.56	3.8	6.76	33.065	78	3
Izura-2005-499-102	102	Albornoz	bathrobe			clothing	3	4.2	8.32	6.84	0.796	2	3
Izura-2005-499-103	103	Americana	jacket			clothing	4.16	1.8	9.4	6.52	4.846	27	5
Izura-2005-499-104	104	Anillo	ring	RING	1374	clothing	2.2	4.36	4.44	6.96	0.938	20	3
Izura-2005-499-105	105	Anorak	anorak			clothing	3.88	3	8.4	6.32	6.798	2	3
Izura-2005-499-106	106	Bañador	swimsuit			clothing	3.76	2.2	4.32	6.92	6.461	5	3
Izura-2005-499-107	107	Bata	robe			clothing	3.4	3.04	4.6	6.96	1.399	25	2
Izura-2005-499-108	108	Bermudas	bermuda shorts			clothing	3.52	1.84	8.28	6.8	2.927	0	3
Izura-2005-499-109	109	Biquini	bikini			clothing	3.44	2.76	8.12	6.92	3.99	1	3
Izura-2005-499-110	110	Blusa	blouse			clothing	5.76	2.76	6.56	6.8	9.95	15	2
Izura-2005-499-111	111	Body	body stocking			clothing	2.76	2.04	10.42	5.88	1.137	0	2
Izura-2005-499-112	112	Boina	beret			clothing	2.16	1.52	6.04	6.72	1.246	7	2
Izura-2005-499-113	113	Bolsa	bag	BAG	2468	clothing	1.4	5.44	4.28	6.52	0.807	34	2
Izura-2005-499-114	114	Bolso	bag			clothing	2.56	5.76	4.72	6.92	2.066	19	2
Izura-2005-499-115	115	Bota	boot	BOOT	585	clothing	3.44	5.8	4.36	6.92	17.199	26	2
Izura-2005-499-116	116	Botines	ankle boot			clothing	2.48	2.96	7.72	6.8	2.672	4	3
Izura-2005-499-117	117	Botón	button	BUTTON	757	clothing	1.6	3.6	4.4	6.92	1.662	25	2
Izura-2005-499-118	118	Bragas	pants			clothing	4.44	5.28	3.64	6.88	45.394	9	2
Izura-2005-499-119	119	Bufanda	scarf			clothing	4.16	5.16	3.88	6.84	31.043	6	3
Izura-2005-499-120	120	Calcetines	socks	SOCK	1522	clothing	4.92	5.8	3.44	6.92	58.667	12	3
Izura-2005-499-121	121	Calzoncillos	pants			clothing	4.64	4.04	3.84	6.88	46.91	5	4
Izura-2005-499-122	122	Calzones	underpants			clothing	3.88	2.4	6.24	6.52	1.592	2	3
Izura-2005-499-123	123	Camisa	shirt	SHIRT	1622	clothing	6.48	4.8	4.28	6.84	62.484	61	3
Izura-2005-499-124	124	Camiseta	T-shirt			clothing	6.64	6.16	3.64	7	64.236	12	4
Izura-2005-499-125	125	Camisón	night-dress			clothing	3.8	2.12	4.68	6.76	7.354	8	3
Izura-2005-499-126	126	Capa	cloak	CLOAK	326	clothing	2.6	1.52	6.16	6.44	0.928	43	2
Izura-2005-499-127	127	Cazadora	jacket			clothing	6	6.16	6.84	6.8	20.456	16	4
Izura-2005-499-128	128	Chal	shawl	SHAWL	2771	clothing	3.13	2.36	9.76	6.4	2.255	2	1
Izura-2005-499-129	129	Chaleco	vest	VEST	3140	clothing	4.2	2.68	6.72	6.72	13.603	18	3
Izura-2005-499-130	130	Chancla	flip-flop			clothing	2.36	3.08	7.24	6.68	6.211	1	2
Izura-2005-499-131	131	Chándal	sportsuit			clothing	5.64	5.16	6.6	6.68	30.959	0	2
Izura-2005-499-132	132	Chaqueta	jacket	JACKET	2770	clothing	6.16	4.92	4.64	6.76	37.792	33	3
Izura-2005-499-133	133	Chaquetón	short coat			clothing	4.88	2.88	6.52	6.56	3.743	2	3
Izura-2005-499-134	134	Chubasquero	raincoat			clothing	4.36	3	7.76	6.64	6.823	1	4
Izura-2005-499-135	135	Chupa	leather jacket			clothing	3.92	3	12.76	6.48	1.92	2	2
Izura-2005-499-136	136	Cinturón	belt	BELT	772	clothing	3.16	4.64	5.6	6.84	7.745	23	3
Izura-2005-499-137	137	Collares	necklaces	NECKLACE	1961	clothing	1.72	4.12	4.52	6.8	1.265	6	3
Izura-2005-499-138	138	Corbata	tie	TIE (NOUN)	3711	clothing	3.6	2.6	5.36	6.84	7.711	26	3
Izura-2005-499-139	139	Correa	belt	BELT	772	clothing	1.96	1.76	6.2	6.52	8	4	3
Izura-2005-499-140	140	Corsé	corset			clothing	2.32	1.2	10.64	6.12	0.831	2	2
Izura-2005-499-141	141	Deportivas	trainers			clothing	3.8	5.92	8.2	6.6	4.521	1	4
Izura-2005-499-142	142	Diadema	hairband			clothing	1.84	2.72	5.16	6.44	1.288	4	3
Izura-2005-499-143	143	Ejecutivos	sock	SOCK	1522	clothing	2.2	2.08	13.1	5.68	0.843	7	5
Izura-2005-499-144	144	Faja	girdle			clothing	2.6	1.36	8	6.04	5.029	3	2
Izura-2005-499-145	145	Falda	skirt	SKIRT	1600	clothing	6.44	4.32	4.04	6.84	34.14	36	2
Izura-2005-499-146	146	Frac	tailcoat			clothing	3.12	1.24	11.68	6.04	0.831	2	1
Izura-2005-499-147	147	Fular	foulard scarf  			clothing	3.04	1.96	11.65	6.04	3.544	2	2
Izura-2005-499-148	148	Gabardina	raincoat			clothing	5	2.52	8.28	6.64	4.663	9	4
Izura-2005-499-149	149	Gorra	cap	CAP	1288	clothing	3.64	4.2	4.84	6.6	8.258	13	2
Izura-2005-499-150	150	Gorro	hat	HAT	771	clothing	3.6	4	4.96	6.72	19.931	7	2
Izura-2005-499-151	151	Guante	glove	GLOVE	867	clothing	3.28	4.36	5.64	6.88	24.063	16	2
Izura-2005-499-152	152	Impermeable	raincoat	RAINCOAT	3712	clothing	3.68	2.92	7.61	6.44	2.088	4	4
Izura-2005-499-153	153	Jeans	jeans			clothing	5.92	3.08	10.29	6.64	1.284	0	1
Izura-2005-499-154	154	Jersey	pullover			clothing	6.56	5.52	5.78	6.84	70.819	10	2
Izura-2005-499-155	155	Leotardo	woolen tights			clothing	3.16	2.76	7.83	6.48	5.25	1	4
Izura-2005-499-156	156	Liga	garter			clothing	1.76	1.16	10.21	6.56	1.823	8	2
Izura-2005-499-157	157	Mallas	leotard			clothing	3.28	1.72	10.16	6.48	4.771	2	2
Izura-2005-499-158	158	Manoplas	mitten			clothing	2.68	2.04	7.2	6.56	3.166	0	3
Izura-2005-499-159	159	Medias	tights			clothing	3.44	3.64	7.08	6.92	25.545	49	2
Izura-2005-499-160	160	Minifalda	miniskirt			clothing	5.48	3.2	9.28	6.96	5.097	5	4
Izura-2005-499-161	161	Mono	dungarees			clothing	3.76	1.92	8.83	6.56	2.196	24	2
Izura-2005-499-162	162	Muñequera	wristband			clothing	1.28	1.8	9.6	6.64	1.647	0	4
Izura-2005-499-163	163	Niqui	t-shirt			clothing	5.84	3.48	9.92	6.44	1.913	0	2
Izura-2005-499-164	164	Orejeras	earflaps			clothing	1.72	1.4	9.08	6.56	3.677	3	4
Izura-2005-499-165	165	Pajarita	bow tie			clothing	1.64	1.44	8.92	6.8	1.787	2	4
Izura-2005-499-166	166	Palestina/o	Palestinian scarf			clothing	1.72	2.92	13.55	5.96	1.449	2	4
Izura-2005-499-167	167	Pantaloon	trousers	TROUSERS	809	clothing	6.72	6.68	4.44	6.76	70.674	35	3
Izura-2005-499-168	168	Panty	tights			clothing	3.36	2.56	9.52	6.2	4.56	1	2
Izura-2005-499-169	169	Pañuelo	handkerchief	HANDKERCHIEF	1020	clothing	2.44	5.08	5.76	6.8	5.489	27	3
Izura-2005-499-170	170	Pareo	beach wrap			clothing	2.84	2.2	14.26	6.29	0.843	0	3
Izura-2005-499-171	171	Peto	dungrarees			clothing	4.68	1.96	9.48	6.6	2.732	3	2
Izura-2005-499-172	172	Peúcos	bootees			clothing	1.92	1.04	15.6	2	0.963	0	3
Izura-2005-499-173	173	Pichi	pinafore dress			clothing	4	1.28	8.58	4.67	1.025	1	2
Izura-2005-499-174	174	Pijama	pyjama			clothing	5.16	5.84	4.8	6.84	10.423	9	3
Izura-2005-499-175	175	Plumas	quilted anorak			clothing	5.16	4.72	7.92	6.76	12.881	23	2
Izura-2005-499-176	176	plumífero	quilted anorak			clothing	4.52	3.84	11.88	6.24	0.894	0	4
Izura-2005-499-177	177	Polar	fleece			clothing	5.48	5	11.79	6.48	10.771	2	2
Izura-2005-499-178	178	Polo	polo shirt			clothing	6.12	3.6	9.92	6.72	7.966	25	2
Izura-2005-499-179	179	Poncho	poncho	PONCHO	327	clothing	3.76	2.2	12.33	6.64	1.769	2	2
Izura-2005-499-180	180	Pulsera	bracelet	BRACELET	1754	clothing	1.32	4	6.24	6.64	1.216	7	3
Izura-2005-499-181	181	Rebeca	cardigan			clothing	5.2	2.72	10.17	5.92	1.847	1	3
Izura-2005-499-182	182	Reloj	watch			clothing	1.48	6.48	5.12	6.96	1.842	72	2
Izura-2005-499-183	183	Rokys	rokys			clothing	2	1	14.14	2.68	0.883	0	2
Izura-2005-499-184	184	Rodillera	kneeband			clothing	1.28	2.08	8.64	6.12	0.799	1	4
Izura-2005-499-185	185	Sandalia	sandals			clothing	2.92	2.48	7.48	6.44	3.759	2	3
Izura-2005-499-186	186	Shorts	shorts			clothing	4.8	1.8	12.54	5.88	1.737	0	1
Izura-2005-499-187	187	Slips	slips			clothing	4.24	3.08	11.46	6.36	1.412	0	1
Izura-2005-499-188	188	Sombrero	hat	HAT	771	clothing	2.76	2.8	5.48	6.92	5.212	44	3
Izura-2005-499-189	189	Sudadera	sweater			clothing	6.4	5.04	8.83	6.92	37.104	0	4
Izura-2005-499-190	190	Suéter	jumper			clothing	6.56	3.88	9.92	6.6	19.007	3	2
Izura-2005-499-191	191	Sujetado	bra			clothing	4.4	5.04	8.84	6.96	36.895	5	4
Izura-2005-499-192	192	Tanga	g-string	G-STRING	468	clothing	3.6	4.52	15.46	6.96	11.866	1	2
Izura-2005-499-193	193	Tejano	jeans			clothing	6.24	3.52	12.76	6.48	1.7	2	3
Izura-2005-499-194	194	Tirantes	braces			clothing	2.24	3.08	7.76	6.84	1.226	6	3
Izura-2005-499-195	195	Tobillera	ankleband			clothing	1.2	1.76	9.84	6.6	0.987	0	4
Izura-2005-499-196	196	Top	top			clothing	4.88	3.48	12	6.48	8.293	0	1
Izura-2005-499-197	197	Traje	suit			clothing	6.6	3.84	9	6.8	7.34	63	2
Izura-2005-499-198	198	Vestido	dress	DRESS	474	clothing	6.72	4.52	6.2	6.92	14.336	85	3
Izura-2005-499-199	199	Zapatilla	trainers			clothing	3.6	6.52	5.08	6.84	23.294	17	4
Izura-2005-499-200	200	Zapato	shoes	SHOE	1381	clothing	3.76	6	4.76	6.8	39.132	69	3
Izura-2005-499-201	201	Alacena	cupboard	CUPBOARD	3357	furniture	3.36	1.92	8.23	5.28	2.394	4	4
Izura-2005-499-202	202	Alfombra	rug	RUG	292	furniture	3.4	5.64	4.58	6.6	9.652	22	3
Izura-2005-499-203	203	Aparador	sideboard			furniture	3.68	2.76	8	5.44	7.18	7	4
Izura-2005-499-204	204	Arca	chest			furniture	3.4	2.28	6.88	6.08	2.423	11	2
Izura-2005-499-205	205	Arcón	chest	CHEST	1592	furniture	3.4	2.8	7.04	6.32	1.355	3	2
Izura-2005-499-206	206	Armario	wardrobe	WARDROBE	3106	furniture	7	6.36	4	6.72	63.039	38	3
Izura-2005-499-207	207	Balancin	seesaw			furniture	2.88	2.52	6.48	5.92	2.785	1	3
Izura-2005-499-208	208	Banco	bench	BENCH	2584	furniture	4.92	5.52	4.04	6.72	0.87	52	2
Izura-2005-499-209	209	Bañera	bath			furniture	3.6	5.96	4.08	6.88	4.623	8	3
Izura-2005-499-210	210	Banqueta	stool	STOOL	2058	furniture	4.92	4.08	5.38	6.44	5.731	3	3
Izura-2005-499-211	211	Barandilla	railing			furniture	2.64	4.72	4.64	6.72	0.91	5	4
Izura-2005-499-212	212	Barra	bar			furniture	1.88	4.52	5.32	6.16	0.719	45	2
Izura-2005-499-213	213	Baúl	trunk			furniture	5.04	3.6	4.8	6.64	9.128	8	2
Izura-2005-499-214	214	Bide	bidet			furniture	3.44	4.72	5.68	6.4	2.313	1	2
Izura-2005-499-215	215	Buró	bureau			furniture	3.16	1.16	11	4.16	1.574	1	2
Izura-2005-499-216	216	Butaca	armchair			furniture	5.6	4.32	5.96	6.44	4.788	18	3
Izura-2005-499-217	217	Cajón	drawer			furniture	5.76	5.84	3.88	6.84	5.344	18	2
Izura-2005-499-218	218	Cajonera	chest of drawers			furniture	5.12	4.12	6.13	6.52	3.218	2	4
Izura-2005-499-219	219	Cama	bed	BED	1663	furniture	6.92	6.76	3.08	6.84	67.877	199	2
Izura-2005-499-220	220	Cocina	kitchen	KITCHEN	1365	furniture	4.36	6.24	3.16	6.72	4.895	112	3
Izura-2005-499-221	221	Cómoda	sideboard			furniture	5.68	4.08	6.8	6.32	13.009	14	3
Izura-2005-499-222	222	Comodín	chest of drawers  			furniture	3.52	2.68	7.3	4.96	3.633	1	3
Izura-2005-499-223	223	Consola	console table			furniture	3.44	3.28	10.92	4.92	1.424	7	3
Izura-2005-499-224	224	Coqueta	dressing table   			furniture	3.36	2.88	10.56	4.2	2.281	4	3
Izura-2005-499-225	225	Cortina	curtain	CURTAIN	2621	furniture	3.68	5.36	4	6.68	0.745	20	3
Izura-2005-499-226	226	Cuadro	picture	PICTURE	2401	furniture	3.8	5.24	3.76	6.56	16.83	61	2
Izura-2005-499-227	227	Descalzadora	shoe horn			furniture	1.84	1.84	8.86	4.68	0.85	1	5
Izura-2005-499-228	228	Diván	divan			furniture	3.92	1.92	10.52	5.76	1.468	10	2
Izura-2005-499-229	229	Ducha	shower			furniture	3.24	6.52	5.56	6.76	1.87	21	2
Izura-2005-499-230	230	Encimera	worktop			furniture	4.48	5.12	7.79	6.4	9.094	0	4
Izura-2005-499-231	231	Entradita	entrance hall  			furniture	2.68	2.92	9.19	5.44	2.156	0	4
Izura-2005-499-232	232	Escabel	footstool			furniture	2	1.16	11.18	2.88	0.641	2	3
Izura-2005-499-233	233	Escritor	desk	TABLE	1775	furniture	5.88	5.8	7.46	6.76	28.341	14	4
Izura-2005-499-234	234	Escurreplatos	plate rack			furniture	3.24	4.52	7.88	6.68	0.842	0	5
Izura-2005-499-235	235	Espejo	mirror	MIRROR	1171	furniture	4.56	6.32	3.76	6.92	13.704	74	3
Izura-2005-499-236	236	Estante	shelf	SHELF	745	furniture	5.52	5.04	5.46	6.8	0.699	4	3
Izura-2005-499-237	237	Estantería	shelves			furniture	6.28	6.24	5.28	6.88	44.794	5	5
Izura-2005-499-238	238	Flexo	reading lamp			furniture	3.52	6.12	8.2	6.32	1.925	2	2
Izura-2005-499-239	239	Fogón	ring			furniture	2.64	3.16	7.71	6.08	0.679	4	2
Izura-2005-499-240	240	Fregadero	sink			furniture	4.08	4.76	5.52	6.8	1.464	6	4
Izura-2005-499-241	241	Fregador	sink			furniture	2.08	3	7.08	4.96	1.343	0	3
Izura-2005-499-242	242	Frigorífico	fridge			furniture	4.52	5.68	5.08	6.84	6.182	3	5
Izura-2005-499-243	243	Guardarropa	wardrobe	WARDROBE	3106	furniture	4.96	3.08	8.63	6.52	1.304	3	4
Izura-2005-499-244	244	Hamaca	hammock	HAMMOCK	2019	furniture	3.44	2.6	8	6.6	7.29	5	3
Izura-2005-499-245	245	Horno	oven	OVEN	1143	furniture	3.36	4.76	5.08	6.8	5.384	6	2
Izura-2005-499-246	246	Jarrón	vase			furniture	2.88	4.44	4.44	6.76	0.857	5	2
Izura-2005-499-247	247	Lámpara	lamp	LAMP	625	furniture	3.8	5.64	3.96	6.76	24.219	22	3
Izura-2005-499-248	248	Lavabo	washbasin	SINK (BASIN)	915	furniture	3.8	6.16	4.27	6.68	6.246	18	3
Izura-2005-499-249	249	Lavadora	washing machine			furniture	2.8	5.16	7.16	6.64	6.74	2	4
Izura-2005-499-250	250	Lavaplatos	dishwasher			furniture	2.88	4.44	8.33	6.6	0.935	1	4
Izura-2005-499-251	251	Lavavajillas	dishwasher			furniture	2.56	4	9.16	6.84	3.946	1	5
Izura-2005-499-252	252	Librería	book shelves			furniture	5.4	4.76	7.04	6.68	3.829	9	4
Izura-2005-499-253	253	Litera	bunk bed			furniture	5.08	2.36	8.28	6.92	4.466	1	3
Izura-2005-499-254	254	Mecedora	rocking chair  			furniture	5.16	2.24	8.2	6.76	5.343	4	4
Izura-2005-499-255	255	Mesa	table	TABLE	1775	furniture	6.92	6.76	4.2	7	78.615	228	2
Izura-2005-499-256	256	Mesita	bedside table			furniture	6.36	5.48	5.04	6.84	42.025	2	3
Izura-2005-499-257	257	Microondas	microwaves			furniture	2.64	5.32	11.42	7	8.237	3	4
