ID	NUMBER	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Urban-2016-160-53	53	sky	Nature-related and topological concepts	1732	SKY
Urban-2016-160-54	54	smoke	Nature-related and topological concepts	778	SMOKE (EXHAUST)
Urban-2016-160-55	55	soil	Nature-related and topological concepts	1228	EARTH (SOIL)
Urban-2016-160-56	56	spark	Nature-related and topological concepts	518	SPARK
Urban-2016-160-57	57	spring/well	Nature-related and topological concepts	2144	SPRING OR WELL
Urban-2016-160-58	58	star	Nature-related and topological concepts	1430	STAR
Urban-2016-160-59	59	steam	Nature-related and topological concepts	1193	STEAM
Urban-2016-160-60	60	straw	Nature-related and topological concepts	2299	STRAW
Urban-2016-160-61	61	sun	Nature-related and topological concepts	1343	SUN
Urban-2016-160-62	62	swamp	Nature-related and topological concepts	1145	SWAMP
Urban-2016-160-63	63	tail	Nature-related and topological concepts	1220	TAIL
Urban-2016-160-64	64	thorn	Nature-related and topological concepts	124	THORN
Urban-2016-160-65	65	thunder	Nature-related and topological concepts	1150	THUNDER
Urban-2016-160-66	66	tree	Nature-related and topological concepts	906	TREE
Urban-2016-160-67	67	valley	Nature-related and topological concepts	921	VALLEY
Urban-2016-160-68	68	volcano	Nature-related and topological concepts	2291	VOLCANO
Urban-2016-160-69	69	waterfall	Nature-related and topological concepts	943	WATERFALL
Urban-2016-160-70	70	wave	Nature-related and topological concepts	978	WAVE
Urban-2016-160-71	71	wax	Nature-related and topological concepts	1931	BEESWAX
Urban-2016-160-72	72	whirlpool	Nature-related and topological concepts	1982	WHIRLPOOL
Urban-2016-160-73	73	airplane	Artifacts	1597	AIRPLANE
Urban-2016-160-74	74	ball	Artifacts	1845	BALL
Urban-2016-160-75	75	bed	Artifacts	1663	BED
Urban-2016-160-76	76	belt	Artifacts	772	BELT
Urban-2016-160-77	77	boat	Artifacts	1844	BOAT
Urban-2016-160-78	78	car	Artifacts	1111	CAR
Urban-2016-160-79	79	chair	Artifacts	1476	CHAIR
Urban-2016-160-80	80	clock	Artifacts	1323	CLOCK
Urban-2016-160-81	81	glasses	Artifacts	1898	SPECTACLES
Urban-2016-160-82	82	house	Artifacts	1252	HOUSE
Urban-2016-160-83	83	key	Artifacts	1472	KEY
Urban-2016-160-84	84	knife	Artifacts	1352	KNIFE
Urban-2016-160-85	85	ladder	Artifacts	1464	LADDER
Urban-2016-160-86	86	mirror	Artifacts	1171	MIRROR
Urban-2016-160-87	87	needle	Artifacts	1382	NEEDLE (FOR SEWING)
Urban-2016-160-88	88	paper	Artifacts	648	PAPER
Urban-2016-160-89	89	pen	Artifacts	794	PEN
Urban-2016-160-90	90	rope	Artifacts	1218	ROPE
Urban-2016-160-91	91	scissors	Artifacts	356	SHEARS
Urban-2016-160-92	92	shoe	Artifacts	1381	SHOE
Urban-2016-160-93	93	road/street/way	Artifacts	2457	PATH OR ROAD
Urban-2016-160-94	94	table	Artifacts	1775	TABLE
Urban-2016-160-95	95	toilet	Artifacts	219	TOILET
Urban-2016-160-96	96	train	Artifacts	900	TRAIN
Urban-2016-160-97	97	weapon	Artifacts	951	WEAPONS
Urban-2016-160-98	98	window	Artifacts	1375	WINDOW
Urban-2016-160-99	99	Adam‘s apple	Body Parts and Body Fluids	802	ADAM'S APPLE
Urban-2016-160-100	100	ankle	Body Parts and Body Fluids	803	ANKLE
Urban-2016-160-101	101	beard	Body Parts and Body Fluids	678	BEARD
Urban-2016-160-102	102	belly/stomach	Body Parts and Body Fluids	2114	BELLY OR STOMACH
Urban-2016-160-103	103	bladder	Body Parts and Body Fluids	1746	BLADDER
Urban-2016-160-104	104	blood	Body Parts and Body Fluids	946	BLOOD
Urban-2016-160-105	105	bone	Body Parts and Body Fluids	1394	BONE
Urban-2016-160-106	106	brain	Body Parts and Body Fluids	1583	BRAIN
Urban-2016-160-107	107	breast	Body Parts and Body Fluids	1402	BREAST
Urban-2016-160-108	108	buttocks	Body Parts and Body Fluids	834	BUTTOCKS
Urban-2016-160-109	109	calf	Body Parts and Body Fluids	498	CALF OF LEG
Urban-2016-160-110	110	cheek	Body Parts and Body Fluids	1730	CHEEK
Urban-2016-160-111	111	chin	Body Parts and Body Fluids	1510	CHIN
Urban-2016-160-112	112	eyeball	Body Parts and Body Fluids	3807	EYEBALL
Urban-2016-160-113	113	eyebrow	Body Parts and Body Fluids	1173	EYEBROW
Urban-2016-160-114	114	eyelash	Body Parts and Body Fluids	1540	EYELASH
Urban-2016-160-115	115	eyelid	Body Parts and Body Fluids	17	EYELID
Urban-2016-160-116	116	finger	Body Parts and Body Fluids	1303	FINGER
Urban-2016-160-117	117	fingernail	Body Parts and Body Fluids	1258	FINGERNAIL
Urban-2016-160-118	118	guts	Body Parts and Body Fluids	1334	GUTS
Urban-2016-160-119	119	heart	Body Parts and Body Fluids	1223	HEART
Urban-2016-160-120	120	jaw	Body Parts and Body Fluids	798	JAW
Urban-2016-160-121	121	kidney	Body Parts and Body Fluids	489	KIDNEY
Urban-2016-160-122	122	lip	Body Parts and Body Fluids	478	LIP
Urban-2016-160-123	123	liver	Body Parts and Body Fluids	1224	LIVER
Urban-2016-160-124	124	lungs	Body Parts and Body Fluids	688	LUNG
Urban-2016-160-125	125	mouth	Body Parts and Body Fluids	674	MOUTH
Urban-2016-160-126	126	mucus	Body Parts and Body Fluids		
Urban-2016-160-127	127	navel	Body Parts and Body Fluids	1838	NAVEL
Urban-2016-160-128	128	neck	Body Parts and Body Fluids	1333	NECK
Urban-2016-160-129	129	nipple	Body Parts and Body Fluids	796	NIPPLE
Urban-2016-160-130	130	nostrils	Body Parts and Body Fluids	1178	NOSTRIL
Urban-2016-160-131	131	pupil	Body Parts and Body Fluids	1658	PUPIL
Urban-2016-160-132	132	pus	Body Parts and Body Fluids	1808	PUS
Urban-2016-160-133	133	rib	Body Parts and Body Fluids	801	RIB
Urban-2016-160-134	134	saliva/spittle	Body Parts and Body Fluids	1503	SALIVA
Urban-2016-160-135	135	scar	Body Parts and Body Fluids	497	SCAR
Urban-2016-160-136	136	skin	Body Parts and Body Fluids	763	SKIN
Urban-2016-160-137	137	snot	Body Parts and Body Fluids	208	NASAL MUCUS (SNOT)
Urban-2016-160-138	138	semen	Body Parts and Body Fluids	2283	SEMEN
Urban-2016-160-139	139	sweat	Body Parts and Body Fluids	125	SWEAT (SUBSTANCE)
Urban-2016-160-140	140	tear	Body Parts and Body Fluids	1651	TEAR (OF EYE)
Urban-2016-160-141	141	tendon/sinew	Body Parts and Body Fluids	1137	TENDON
Urban-2016-160-142	142	testicle	Body Parts and Body Fluids	797	TESTICLES
Urban-2016-160-143	143	tongue	Body Parts and Body Fluids	1205	TONGUE
Urban-2016-160-144	144	tooth	Body Parts and Body Fluids	1380	TOOTH
Urban-2016-160-145	145	urine	Body Parts and Body Fluids	1142	URINE
Urban-2016-160-146	146	uvula	Body Parts and Body Fluids	2293	UVULA
Urban-2016-160-147	147	vein	Body Parts and Body Fluids	1924	VEIN
Urban-2016-160-148	148	womb	Body Parts and Body Fluids	804	WOMB
Urban-2016-160-149	149	wrinkle	Body Parts and Body Fluids	2294	WRINKLE
Urban-2016-160-150	150	dawn	Basic Temporal Concepts and Miscellanea	729	DAWN
Urban-2016-160-151	151	day	Basic Temporal Concepts and Miscellanea	1225	DAY (NOT NIGHT)
Urban-2016-160-152	152	dusk	Basic Temporal Concepts and Miscellanea	2297	DUSK
Urban-2016-160-153	153	night	Basic Temporal Concepts and Miscellanea	1233	NIGHT
Urban-2016-160-154	154	noon	Basic Temporal Concepts and Miscellanea	12	MIDDAY
Urban-2016-160-155	155	sunrise	Basic Temporal Concepts and Miscellanea	2296	SUNRISE
Urban-2016-160-156	156	sunset	Basic Temporal Concepts and Miscellanea	2295	SUNSET
Urban-2016-160-157	157	man (human being)	Basic Temporal Concepts and Miscellanea	683	PERSON
Urban-2016-160-158	158	saturday	Basic Temporal Concepts and Miscellanea	1700	SATURDAY
Urban-2016-160-159	159	virgin	Basic Temporal Concepts and Miscellanea	2298	VIRGIN
Urban-2016-160-160	160	widow	Basic Temporal Concepts and Miscellanea	1756	WIDOW
