ID	NUMBER	CHINESE	CHINESE_SIMPLIFIED	PINYIN	ENGLISH	GUSTATORY_MEAN	VISUAL_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Chen-2019-171-126	126	禿	秃	tu1	bald	0.05	4.833333333	0	0	3.461538462	Visual	0.579198033	1125	BALD
Chen-2019-171-127	127	窪	洼	wa1	hollow	0	4.25	0.35	0	2.909090909	Visual	0.56598063	3701	HOLLOW
Chen-2019-171-128	128	歪	歪	wai1	slanting	0	5	0.571428571	0	1.708333333	Visual	0.68683565	3075	SLANTED
Chen-2019-171-129	129	彎	弯	wan1	bent	0	3.277777778	0.333333333	0	4.444444444	Haptic	0.551724138	297	CROOKED
Chen-2019-171-130	130	汪汪	汪汪	wang1-wang1	tearful	0	0.6	3.4	0.19047619	0	Auditory	0.811363636		
Chen-2019-171-131	131	旺	旺	wang4	flourishing	0.588235294	2.222222222	0.588235294	0.444444444	0	Visual	0.578231293		
Chen-2019-171-132	132	微微	微微	wei1-wei1	slight	2.8	2	3.5	3.230769231	3.636363636	Haptic	0.107888792		
Chen-2019-171-133	133	巍巍	巍巍	wei1-wei1	towering/ lofty	0	4.833333333	0.45	0.058823529	0.5	Visual	0.82732002		
Chen-2019-171-134	134	溫	温	wen1	lukewarm	3.19047619	1.294117647	0.722222222	0.666666667	3.85	Haptic	0.327386125		
Chen-2019-171-135	135	烏	乌	wu1	black	0	2.75	0.461538462	0	0	Visual	0.856287425	163	BLACK
Chen-2019-171-136	136	稀	稀	xi1	sparse	2.833333333	2.529411765	0.454545455	1.75	2.235294118	Gustatory	0.242669455	207	SPARSE
Chen-2019-171-137	137	細	细	xi4	thin	0.181818182	4.5	3.222222222	0	4.4375	Visual	0.364622231	2157	FINE OR THIN
Chen-2019-171-138	138	鮮	鲜	xian1	tasty	5	2.3	0.294117647	4.15	1.222222222	Gustatory	0.362930665	1813	TASTY
Chen-2019-171-139	139	纖纖	纤纤	xian1-xian1	slender	0.041666667	2.5625	0.666666667	0	3.041666667	Haptic	0.481848185		
Chen-2019-171-140	140	香	香	xiang1	fragrant	4.322580645	0.688172043	0.01010101	4.838383838	0.121212121	Olfactory	0.483774078	376	FRAGRANT
Chen-2019-171-141	141	響	响	xiang3	loud	0.064516129	0.548387097	4.97979798	0.04040404	0.173469388	Auditory	0.850655378	377	LOUD
Chen-2019-171-142	142	瀟瀟	潇潇	xiao1-xiao1	whistling	0	1.833333333	3.166666667	0.285714286	0.5	Auditory	0.547325103	1025	WHISTLE
Chen-2019-171-143	143	小	小	xiao3	small	0.060606061	4.666666667	1.623655914	0.064516129	3.737373737	Visual	0.453673096	1246	SMALL
Chen-2019-171-144	144	斜	斜	xie2	inclined	0	4.5	0	0	2.3	Visual	0.661764706		
Chen-2019-171-145	145	辛	辛	xin1	spicy hot 	5	0.363636364	0.083333333	3.944444444	0.208333333	Gustatory	0.51216625		
Chen-2019-171-146	146	腥	腥	xing1	of fishy smell	4.342379958	0.558333333	0.164904863	4.5907173	0.210416667	Olfactory	0.448558186		
Chen-2019-171-147	147	啞	哑	ya3	dumb	0.03030303	0.333333333	3.474747475	0.030612245	0.064516129	Auditory	0.875666391	1666	MUTE
Chen-2019-171-148	148	炎炎	炎炎	yan2-yan2	scorching	0.5	2.909090909	0.05	0	0.5	Visual	0.7347876		
Chen-2019-171-149	149	泱泱	泱泱	yang1-yang1	vast/ magnificent	0	1.3125	0.583333333	0	0.125	Visual	0.649484536		
Chen-2019-171-150	150	洋洋	洋洋	yang2-yang2	copious	0.277777778	2.318181818	1	0	0.181818182	Visual	0.613636364		
Chen-2019-171-151	151	癢	痒	yang3	itchy	0.040816327	0.424242424	0.141414141	0.030612245	4.505376344	Haptic	0.870159964	3856	ITCH OR ITCHY OR ITCHING
Chen-2019-171-152	152	依依	依依	yi1-yi1	be reluctant to part	0	0.823529412	0.363636364	0	0.0625	Visual	0.658999733		
Chen-2019-171-153	153	熠熠	熠熠	yi4-yi4	bright	0	2.625	0.5	0.235294118	0.272727273	Visual	0.722539098		
Chen-2019-171-154	154	隱隱	隐隐	yin3-yin3	faint	0.35	3.470588235	3.875	1.727272727	1.272727273	Auditory	0.329575141		
Chen-2019-171-155	155	盈盈	盈盈	ying2-ying2	lucid	0	1.125	1.5	0	0.5	Auditory	0.48		
Chen-2019-171-156	156	硬	硬	ying4	hard	2.153846154	4.125	1.444444444	0.222222222	5	Haptic	0.369068251	1884	HARD
