ID	NUMBER	CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Liu-2007-201-149	149	我	I	1209	I
Liu-2007-201-150	150	我們	we	1212	WE
Liu-2007-201-151	151	五	five	493	FIVE
Liu-2007-201-152	152	霧	fog	249	FOG
Liu-2007-201-153	153	膝	knee	1371	KNEE
Liu-2007-201-154	154	洗	wash	1453	WASH
Liu-2007-201-155	155	想	think	1415	THINK (REFLECT)
Liu-2007-201-156	156	小	small	1246	SMALL
Liu-2007-201-157	157	笑	laugh	1355	LAUGH
Liu-2007-201-158	158	心	heart	1223	HEART
Liu-2007-201-159	159	新	new	1231	NEW
Liu-2007-201-160	160	星星	star	1430	STAR
Liu-2007-201-161	161	雪	snow	784	SNOW
Liu-2007-201-162	162	血	blood	946	BLOOD
Liu-2007-201-163	163	壓	squeeze	1414	SQUEEZE
Liu-2007-201-164	164	牙齒	tooth	1380	TOOTH
Liu-2007-201-165	165	煙	smoke	1689	SMOKE (INHALE)
Liu-2007-201-166	166	鹽	salt	1274	SALT
Liu-2007-201-167	167	眼睛	eye	1248	EYE
Liu-2007-201-168	168	咬	bite	1403	BITE
Liu-2007-201-169	169	葉	leaf	628	LEAF
Liu-2007-201-170	170	一	one	1493	ONE
Liu-2007-201-171	171	因為	because	1157	BECAUSE
Liu-2007-201-172	172	游泳	swim	1439	SWIM
Liu-2007-201-173	173	右邊	rightside	1019	RIGHT
Liu-2007-201-174	174	魚	fish	227	FISH
Liu-2007-201-175	175	羽毛	feather	1201	FEATHER
Liu-2007-201-176	176	雨	rain	658	RAIN (PRECIPITATION)
Liu-2007-201-177	177	圓	round	1395	ROUND
Liu-2007-201-178	178	遠	far	1406	FAR
Liu-2007-201-179	179	月亮	moon	1313	MOON
Liu-2007-201-180	180	雲	cloud	1489	CLOUD
Liu-2007-201-181	181	在	in	1460	IN
Liu-2007-201-182	182	髒	dirty	1230	DIRTY
Liu-2007-201-183	183	怎麼	how	1239	HOW
Liu-2007-201-184	184	窄	narrow	1267	NARROW
Liu-2007-201-185	185	站	stand	1442	STAND
Liu-2007-201-186	186	丈夫	husband	1200	HUSBAND
Liu-2007-201-187	187	這	this	1214	THIS
Liu-2007-201-188	188	這裡	here	136	HERE
Liu-2007-201-189	189	知道	know	1410	KNOW (SOMETHING)
Liu-2007-201-190	190	脂肪	grease	323	FAT (ORGANIC SUBSTANCE)
Liu-2007-201-191	191	直	straight	1404	STRAIGHT
Liu-2007-201-192	192	腫大	swell	1573	SWELL
Liu-2007-201-193	193	種籽	seed	714	SEED
Liu-2007-201-194	194	重	heavy	1210	HEAVY
Liu-2007-201-195	195	抓	scratch	1436	SCRATCH
Liu-2007-201-196	196	爪子	claw	72	CLAW
Liu-2007-201-197	197	轉	turn	1588	TURN
Liu-2007-201-198	198	走	walk	1443	WALK
Liu-2007-201-199	199	嘴	mouth	674	MOUTH
Liu-2007-201-200	200	左邊	leftside	244	LEFT
Liu-2007-201-201	201	坐	sit	1416	SIT
