ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	PAGENUMBER	ENGLISH	CHINESE	NUMBERINSOURCE
SatterthwaitePhillips-2011-423-328	1703	SIX	328	223	six	六	6
SatterthwaitePhillips-2011-423-329	763	SKIN	329	223	skin	皮肤	346
SatterthwaitePhillips-2011-423-330	1732	SKY	330	224	sky*	天空	72
SatterthwaitePhillips-2011-423-331	1585	SLEEP	331	224	sleep	睡觉	316
SatterthwaitePhillips-2011-423-332	701	SLOW	332	224	slow	慢	193
SatterthwaitePhillips-2011-423-333	1246	SMALL	333	224	small	小	408
SatterthwaitePhillips-2011-423-334	1586	SMELL (PERCEIVE)	334	224	smell, to (vt.)	闻	261
SatterthwaitePhillips-2011-423-335	1451	SMILE	335	224	smile	微笑	281
SatterthwaitePhillips-2011-423-336	778	SMOKE (EXHAUST)	336	224	smoke	烟	151
SatterthwaitePhillips-2011-423-337	1234	SMOOTH	337	225	smooth (of surface)	光滑	276
SatterthwaitePhillips-2011-423-338	730	SNAKE	338	225	snake *	蛇	34
SatterthwaitePhillips-2011-423-339	1621	SNEEZE	339	225	sneeze	打喷嚏	244
SatterthwaitePhillips-2011-423-340	208	NASAL MUCUS, SNOT	340	225	snot	鼻涕	132
SatterthwaitePhillips-2011-423-341	1856	SOFT	341	225	soft	软	239
SatterthwaitePhillips-2011-423-342	1620	SON	342	225	son	儿子	183
SatterthwaitePhillips-2011-423-343	1056	SON-IN-LAW	343	226	son-in-law	女婿	269
SatterthwaitePhillips-2011-423-344	1096	SONG	344	226	song	歌	?
SatterthwaitePhillips-2011-423-345	1906	SOUR	345	226	sour	酸	207
SatterthwaitePhillips-2011-423-346	1623	SPEAK	346	226	speak	说话 [B = 说]	391
SatterthwaitePhillips-2011-423-347	544	SPICY	347	226	spicy	辣	398
SatterthwaitePhillips-2011-423-348	843	SPIDER	348	226	spider>>	蜘蛛	31
SatterthwaitePhillips-2011-423-349	1440	SPIT	349	226	spit, to	呕吐	279
SatterthwaitePhillips-2011-423-350	1503	SALIVA	350	227	saliva*	口水	133
SatterthwaitePhillips-2011-423-351	1414	SQUEEZE	351	227	squeeze	压榨	347
SatterthwaitePhillips-2011-423-352	570	STAND UP	352	227	stand up	站	327
SatterthwaitePhillips-2011-423-353	1430	STAR	353	227	star*	星星	77
SatterthwaitePhillips-2011-423-354	713	STEAL	354	227	steal	偷	322
SatterthwaitePhillips-2011-423-355	1587	SMELL (STINK)	355	228	stink	臭	204
SatterthwaitePhillips-2011-423-356	819	STOMACH	356	228	stomach>>	胃	122
SatterthwaitePhillips-2011-423-357	857	STONE	357	228	stone*	石头	89
SatterthwaitePhillips-2011-423-358	1404	STRAIGHT	358	228	straight	直	396
SatterthwaitePhillips-2011-423-359	785	STRONG	359	228	strong	强壮	286
SatterthwaitePhillips-2011-423-360	1342	SUMMER	360	229	summer	夏天 ［夏］	229
SatterthwaitePhillips-2011-423-361	1343	SUN	361	229	sun*	太阳	75
SatterthwaitePhillips-2011-423-362	897	SWALLOW	362	229	swallow	吞	420
SatterthwaitePhillips-2011-423-363			363	229	swap	交换	359
SatterthwaitePhillips-2011-423-364	125	SWEAT	364	229	sweat	汗水 [B = 汗]	130
SatterthwaitePhillips-2011-423-365	717	SWEET	365	229	sweet	甜	235
SatterthwaitePhillips-2011-423-366	1573	SWELL	366	230	swell	肿	210
SatterthwaitePhillips-2011-423-367	1439	SWIM	367	230	swim	游泳	338
SatterthwaitePhillips-2011-423-368	1220	TAIL	368	230	tail*	尾巴	41
SatterthwaitePhillips-2011-423-369	711	TALL	369	230	tall (of stature)	高	417
SatterthwaitePhillips-2011-423-370	21	TASTE (SOMETHING)	370	230	taste	尝	374
SatterthwaitePhillips-2011-423-371	1515	TEN	371	230	ten	十	10
SatterthwaitePhillips-2011-423-372	78	THAT	372	230	that	那	185
SatterthwaitePhillips-2011-423-373	1937	THERE	373	231	there	那里	393
SatterthwaitePhillips-2011-423-374	1244	THICK	374	231	thick	厚	273
SatterthwaitePhillips-2011-423-375	1400	THIN	375	231	thin [object]	薄	275
SatterthwaitePhillips-2011-423-376	2249	THIN (OF SHAPE OF OBJECT)	376	231	thin [person]	瘦	184
SatterthwaitePhillips-2011-423-377	847	THIRSTY	377	231	thirsty	渴	179
SatterthwaitePhillips-2011-423-378	1214	THIS	378	231	this	这	189
SatterthwaitePhillips-2011-423-379	124	THORN	379	232	thorn	刺	64
SatterthwaitePhillips-2011-423-380	1161	THREAD	380	232	thread	线	161
SatterthwaitePhillips-2011-423-381	492	THREE	381	232	three	三	3
SatterthwaitePhillips-2011-423-382	1456	THROW	382	232	throw	抛	344
SatterthwaitePhillips-2011-423-383	1150	THUNDER	383	232	thunder>>	雷电	83
SatterthwaitePhillips-2011-423-384	1917	TIE	384	232	tie	结	356
SatterthwaitePhillips-2011-423-385	846	TIGER	385	233	tiger>>	老虎	40
SatterthwaitePhillips-2011-423-386	1205	TONGUE	386	233	tongue*	舌头	100
SatterthwaitePhillips-2011-423-387	1380	TOOTH	387	233	tooth*	牙齿	99
SatterthwaitePhillips-2011-423-388	906	TREE	388	233	tree*	树	52
SatterthwaitePhillips-2011-423-389	112	TURTLE	389	233	turtle>>	乌龟	36
SatterthwaitePhillips-2011-423-390	1498	TWO	390	233	two	二	2
SatterthwaitePhillips-2011-423-391	1327	UNCLE	391	234	uncle (mat)	舅（母亲的哥）	389
SatterthwaitePhillips-2011-423-392	1755	UNDRESS	392	234	undress	脱	313
SatterthwaitePhillips-2011-423-393	1836	VAGINA	393	234	vagina	阴道 [B = 女生殖器]	118
SatterthwaitePhillips-2011-423-394	921	VALLEY	394	234	valley	山谷	87
SatterthwaitePhillips-2011-423-395	930	VILLAGE	395	234	village	村子	171
SatterthwaitePhillips-2011-423-396	1363	VOICE	396	235	voice	（人的）声音	360
SatterthwaitePhillips-2011-423-397	1278	VOMIT	397	235	vomit	呕吐物	131
SatterthwaitePhillips-2011-423-398	1590	WAIT FOR	398	235	wait	等 [B = denghou]	339
SatterthwaitePhillips-2011-423-399	1443	WALK	399	235	walk	走	303
SatterthwaitePhillips-2011-423-400	933	WALL	400	235	wall	墙壁	158
SatterthwaitePhillips-2011-423-401	1232	WARM	401	235	warm	暖和	233
SatterthwaitePhillips-2011-423-402	1453	WASH	402	236	wash	洗	314
SatterthwaitePhillips-2011-423-403	948	WATER	403	236	water	水	140
SatterthwaitePhillips-2011-423-404	411	GOURD	404	236	wax gourd	冬瓜	366
SatterthwaitePhillips-2011-423-405	1931	BEESWAX	405	236	wax>>	蜡	30,2
SatterthwaitePhillips-2011-423-406	133	WEAVE	406	236	weave	编织 [B = zhi (bu)]	342
SatterthwaitePhillips-2011-423-407	1065	SPIDER WEB	407	237	web>>	蜘蛛网	31,5
SatterthwaitePhillips-2011-423-408	1726	WET	408	237	wet	湿	333
SatterthwaitePhillips-2011-423-409	1236	WHAT	409	237	what	什么	364
SatterthwaitePhillips-2011-423-410	1335	WHITE	410	237	white	白	66
SatterthwaitePhillips-2011-423-411	1199	WIFE	411	237	wife	妻子	373
SatterthwaitePhillips-2011-423-412	960	WIND	412	238	wind*	风	84
SatterthwaitePhillips-2011-423-413	1375	WINDOW	413	238	window	窗户	156
SatterthwaitePhillips-2011-423-414	1257	WING	414	238	wing*	翅膀	21
SatterthwaitePhillips-2011-423-415	1471	WINTER	415	238	winter	冬天［冬］	231
SatterthwaitePhillips-2011-423-416	962	WOMAN	416	238	woman	女人	371
SatterthwaitePhillips-2011-423-417	1803	WOOD	417	239	wood	木头 [B = 木材]	245
SatterthwaitePhillips-2011-423-418	1219	WORM	418	239	worm>>	蚯蚓	32
SatterthwaitePhillips-2011-423-419	1028	YAWN	419	239	yawn	打哈欠	277
SatterthwaitePhillips-2011-423-420	1226	YEAR	420	239	year	年	250
SatterthwaitePhillips-2011-423-421	1424	YELLOW	421	239	yellow	黄	68
SatterthwaitePhillips-2011-423-422	1213	YOU	422	239	you	你	169,5
SatterthwaitePhillips-2011-423-423	1207	YOUNG	423	239	young	年轻	903
