ID	NUMBER	GLOSS	CHINESE	FORM	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zhao-2006-201-47	47	the person	人	ȵi²¹kɛ³⁵	184:2	683	PERSON
Zhao-2006-201-48	48	who	谁	a⁵⁵ȵi²¹	184:2	1235	WHO
Zhao-2006-201-49	49	the man	男人	tsi⁴⁴ȵi²¹	184:2	1554	MAN
Zhao-2006-201-50	50	the woman	妇女	nʋ³³ȵi²¹	184:2	962	WOMAN
Zhao-2006-201-51	51	the child	小孩子	sʋ⁵⁵tsʋ³³nʋ³³	184:2	1304	CHILD (YOUNG HUMAN)
Zhao-2006-201-52	52	the father	父亲	ti³³	184:2	1217	FATHER
Zhao-2006-201-53	53	the mother	母亲	mɔ³³	184:2	1216	MOTHER
Zhao-2006-201-54	54	the husband	丈夫	pɔ³⁵	184:2	1200	HUSBAND
Zhao-2006-201-55	55	the wife	妻子	vʋ³³	184:2	1199	WIFE
Zhao-2006-201-56	56	the animal	动物	to⁵⁵vʋ³⁵	184:2	619	ANIMAL
Zhao-2006-201-57	57	the dog	狗	khua⁴⁴	184:2	2009	DOG
Zhao-2006-201-58	58	the bird	鸟	tso⁴⁴	184:2	937	BIRD
Zhao-2006-201-59	59	the fish	鱼	ŋʋ³⁵	184:2	227	FISH
Zhao-2006-201-60	60	the snake	蛇	khʋ⁴⁴	184:2	730	SNAKE
Zhao-2006-201-61	61	the louse	虱子	ɕi4⁴	184:2	1392	LOUSE
Zhao-2006-201-62	62	the worm	虫	tsʋ²¹	184:2	1219	WORM
Zhao-2006-201-63	63	the horn	角	kʋ⁴⁴	184:3	1393	HORN (ANATOMY)
Zhao-2006-201-64	64	the wing	翅膀	ʑi³⁵la⁴⁴khʋ⁵⁵	184:3	1257	WING
Zhao-2006-201-65	65	the feather	羽毛	ma²¹	184:3	1201	FEATHER
Zhao-2006-201-66	66	the nail	爪子	tsua³³	184:3	72	CLAW
Zhao-2006-201-67	67	the tail	尾巴	mi⁴⁴tu³⁵	184:3	1220	TAIL
Zhao-2006-201-68	68	the egg	蛋	se⁴⁴	184:3	744	EGG
Zhao-2006-201-69	69	the tree	树	tsɯ³³	184:3	906	TREE
Zhao-2006-201-70	70	the leaf	叶子	se⁴⁴	184:3	628	LEAF
Zhao-2006-201-71	71	the bark	树皮	tsɯ³¹pe²¹	184:3	1204	BARK
Zhao-2006-201-72	72	the root	根	mi⁴⁴/te⁴⁴	184:3	670	ROOT
Zhao-2006-201-73	73	the flower	花	xuo³⁵	184:3	239	FLOWER
Zhao-2006-201-74	74	the grass	草	tɕhy⁴⁴	184:3	606	GRASS
Zhao-2006-201-75	75	the thorn	刺	vʋ³⁵	184:3	124	THORN
Zhao-2006-201-76	76	the seed	种子	tsʋ³³	184:3	714	SEED
Zhao-2006-201-77	77	the smoke	烟	xui³³ɕɛ⁵⁵	184:3	778	SMOKE (EXHAUST)
Zhao-2006-201-78	78	the salt	盐	pi³⁵	184:3	1274	SALT
Zhao-2006-201-79	79	the fruit	水果	ɕy⁵⁵li⁵⁵ta²¹kuo³³	184:3	1507	FRUIT
Zhao-2006-201-80	80	the fat	脂肪	tsi³⁵	184:3	323	FAT (ORGANIC SUBSTANCE)
Zhao-2006-201-81	81	one	一	a⁴⁴, ʑi³⁵	184:3	1493	ONE
Zhao-2006-201-82	82	two	二	ko³³, ʑi³⁵	184:3	1498	TWO
Zhao-2006-201-83	83	three	三	sa⁵⁵	184:3	492	THREE
Zhao-2006-201-84	84	four	四	ɕi⁴⁴	184:3	1500	FOUR
Zhao-2006-201-85	85	five	五	ŋʋ³³	184:3	493	FIVE
Zhao-2006-201-86	86	big	大	tɔ³³	184:3	1202	BIG
Zhao-2006-201-87	87	long	长	tso²¹	184:3	1203	LONG
Zhao-2006-201-88	88	short	短	tshɯ⁵⁵	184:3	1645	SHORT
Zhao-2006-201-89	89	many	多	tɕi³⁵	184:3	1198	MANY
Zhao-2006-201-90	90	few	少	ɕo³³	184:3	1242	FEW
Zhao-2006-201-91	91	thick	厚	kɯ³³	184:3	1244	THICK
Zhao-2006-201-92	92	thin	薄	pu⁴²	184:3	2249	THIN (OF SHAPE OF OBJECT)
Zhao-2006-201-93	93	cold	冷	kɯ³⁵	184:3	1287	COLD
Zhao-2006-201-94	94	hot	热	ui³⁵	185:1	1286	HOT
Zhao-2006-201-95	95	dry	干	ka³⁵	185:1	1398	DRY
Zhao-2006-201-96	96	wet	湿	phɛ⁵⁵	185:1	1726	WET
Zhao-2006-201-97	97	rotten	腐烂	na³³	185:1	1728	ROTTEN
Zhao-2006-201-98	98	black	黑	xɯ⁴⁴	185:1	163	BLACK
Zhao-2006-201-99	99	white	白	pɛ⁴²	185:1	1335	WHITE
Zhao-2006-201-100	100	red	红	xuo³⁵	185:1	156	RED
Zhao-2006-201-101	101	green	绿	lʋ⁴⁴	185:1	1425	GREEN
Zhao-2006-201-102	102	yellow	黄	ŋʋ²¹	185:1	1424	YELLOW
Zhao-2006-201-103	103	old	老的	ku³³	185:1	1229	OLD
Zhao-2006-201-104	104	young	小	se³³	185:1	1246	SMALL
Zhao-2006-201-105	105	sharp	尖	tɕɛ³⁵	185:1	1396	SHARP
Zhao-2006-201-106	106	round	圆	ui²¹	185:1	1395	ROUND
Zhao-2006-201-107	107	smooth	平	pɛ²¹	185:1	1234	SMOOTH
Zhao-2006-201-108	108	to swell	肿	tshʋ⁵⁵	185:1	1573	SWELL
Zhao-2006-201-109	109	dirty	脏	la⁴⁴tha⁴⁴	185:1	1230	DIRTY
Zhao-2006-201-110	110	good	好	xu³³	185:1	1035	GOOD
Zhao-2006-201-111	111	bad	坏	xi⁴⁴	185:1	1292	BAD
Zhao-2006-201-112	112	right	对	xɔ³⁵	185:1	1725	CORRECT (RIGHT)
Zhao-2006-201-113	113	to die	死	ɕi³³	185:1	1494	DIE
Zhao-2006-201-114	114	to live	活的	xɛ⁵⁵	185:1	1422	BE ALIVE
Zhao-2006-201-115	115	full	满	ma³³	185:1	1429	FULL
Zhao-2006-201-116	116	new	新	ɕi³⁵	185:1	1231	NEW
Zhao-2006-201-117	117	far	远	tui³³	185:1	1406	FAR
Zhao-2006-201-118	118	near	近	tɕi³³	185:1	1942	NEAR
Zhao-2006-201-119	119	wide	宽	khua⁴⁴	185:1	1243	WIDE
Zhao-2006-201-120	120	narrow	窄	tsɛ⁴⁴	185:1	1267	NARROW
Zhao-2006-201-121	121	heavy	重	tsʋ³³	185:1	1210	HEAVY
Zhao-2006-201-122	122	straight	直	miou⁴⁴	185:1	1404	STRAIGHT
Zhao-2006-201-123	123	studid	呆笨	xa³⁵	185:1	1518	STUPID	
Zhao-2006-201-124	124	to eat	吃	ɣɯ⁴⁴	185:1	1336	EAT
Zhao-2006-201-125	125	to drink	喝	ɯ³³	185:1	1401	DRINK
Zhao-2006-201-126	126	to breathe	呼吸	tɕhui³³tɕhi⁴⁴	185:1	1407	BREATHE
Zhao-2006-201-127	127	to say	说	ɕua⁴⁴;tɕa³³	185:2	1458	SAY
Zhao-2006-201-128	128	to sing	唱	tsha⁵⁵	185:2	1261	SING
Zhao-2006-201-129	129	to laugh	笑	sɔ³³	185:2	1355	LAUGH
Zhao-2006-201-130	130	to hear	听见	tɕhɛ⁵⁵tɯ⁴⁴	185:2	1408	HEAR
Zhao-2006-201-131	131	to see	看见	a³³tɯ⁴⁴	185:2	1409	SEE
Zhao-2006-201-132	132	to smell	闻（嗅）	tɕhu⁵⁵	185:2	1586	SMELL (PERCEIVE)
Zhao-2006-201-133	133	to spit	吐（痰）	tshi⁵⁵	185:2	1440	SPIT
Zhao-2006-201-134	134	to vomit	呕吐	ta⁴⁴	185:2	1278	VOMIT
Zhao-2006-201-135	135	to turn	转（身）	tɕy⁴⁴	185:2	1444	TURN AROUND
Zhao-2006-201-136	136	to play	玩耍	tɕho³³	185:2	1413	PLAY
Zhao-2006-201-137	137	to stand	站	tsɯ³³	185:2	1442	STAND
Zhao-2006-201-138	138	to sit	坐	kʋ⁴⁴	185:2	1416	SIT
Zhao-2006-201-139	139	to go	走	pe⁴⁴	185:2	1443	WALK
Zhao-2006-201-140	140	to come	来	ŋɛ³⁵	185:2	1446	COME
Zhao-2006-201-141	141	to sleep	睡	tshɛ⁴⁴	185:2	1585	SLEEP
Zhao-2006-201-142	142	to lie	躺	kɯ³³	185:2	1411	LIE (REST)
Zhao-2006-201-143	143	to fly	飞	fʋ³⁵	185:2	1441	FLY (MOVE THROUGH AIR)
Zhao-2006-201-144	144	to suck	吮	tɕi⁴⁴	185:2	1421	SUCK
Zhao-2006-201-145	145	to split	撕	phe⁵⁵	185:2	1437	SPLIT
Zhao-2006-201-146	146	to split open	裂开	phɛ³⁵	185:2	3080	SPLIT OPEN
Zhao-2006-201-147	147	to push	推	tsho⁵⁵	185:2	1452	PUSH
Zhao-2006-201-148	148	to pull	拉	tɕi³³	185:2	1455	PULL
Zhao-2006-201-149	149	to kill	杀	ɕa⁴⁴	185:2	1417	KILL
Zhao-2006-201-150	150	to throw	扔	liou⁴⁴	185:2	1456	THROW
Zhao-2006-201-151	151	to dig	挖	ua⁴²	185:2	1418	DIG
Zhao-2006-201-152	152	to bite	咬	ŋa⁴⁴	185:2	1403	BITE
Zhao-2006-201-153	153	to scratch	抓	tɕua⁴⁴	185:2	1436	SCRATCH
Zhao-2006-201-154	154	to squeeze	压	ʑa⁴⁴	185:2	1414	SQUEEZE
Zhao-2006-201-155	155	to blow	吹（喇叭）	phɯ⁵⁵	185:2	176	BLOW (WITH MOUTH)
Zhao-2006-201-156	157	to fight	打架	tɛ⁴⁴tɕa⁴⁴	185:2	1423	FIGHT
Zhao-2006-201-157	156	to hit	打（人）	tɛ⁴⁴	185:2	1433	HIT
Zhao-2006-201-158	158	to hunt	打猎	tɕi⁴²sv⁴⁴	185:2	1435	HUNT
Zhao-2006-201-159	159	to wipe	擦（桌子）	ma³⁵	185:2	1454	WIPE
Zhao-2006-201-160	160	to wash	洗（衣）	se³³	185:3	3434	WASH (CLOTHES)
Zhao-2006-201-161	161	to tie	捆（麦子）	tshɯ⁴⁴	185:3	1917	TIE
Zhao-2006-201-162	162	to count	数，计算	sɯ⁵⁵/ɕuɛ⁴⁴	185:3	1420	COUNT	
Zhao-2006-201-163	163	to cut	砍（骨头）	tso⁴⁴	185:3	155	CHOP
Zhao-2006-201-164	164	to fall	掉（下）	lua⁴²	185:3	1280	FALL
Zhao-2006-201-165	165	to sew	缝	tse²¹	185:3	1457	SEW
Zhao-2006-201-166	166	to take	拿	ne⁴⁴	185:3	2104	HOLD OR TAKE
Zhao-2006-201-167	167	to pull	牵	khi⁵⁵	185:3	43	LEAD (GUIDE)
Zhao-2006-201-168	168	to give	给	kɯ⁴⁴	185:3	1447	GIVE
Zhao-2006-201-169	169	to burn	燃烧	ȵɯ³³ɕu⁵⁵	185:3	2102	BURN
Zhao-2006-201-170	170	to flow	（水）流	kɯ²¹	185:3	2003	FLOW
Zhao-2006-201-171	171	to swim	游水	ʑa²¹phɯ⁵⁵	185:3	1439	SWIM
Zhao-2006-201-172	172	to float	漂浮	pɯ²¹	185:3	1574	FLOAT
Zhao-2006-201-173	173	the name	名字	miɛ³⁵	185:3	1405	NAME
Zhao-2006-201-174	174	the rope	绳子	so⁴⁴	185:3	1218	ROPE
Zhao-2006-201-175	175	the stick	棍子	kua⁴²	185:3	1295	STICK
Zhao-2006-201-176	176	I	我	ŋɔ³³	185:3	1209	I
Zhao-2006-201-177	177	we	我们	ŋa⁵⁵;ȵa⁵⁵	185:3	1212	WE
Zhao-2006-201-178	178	thou	你	nɔ³³	185:3	1215	THOU
Zhao-2006-201-179	179	he/she/it	他	pɔ³³	185:3	262	HE OR SHE OR IT
Zhao-2006-201-180	180	they	他们	pa⁵⁵	185:3	817	THEY
Zhao-2006-201-181	181	all	全部	tsa⁵⁵tiɛ⁴⁴	185:3	2277	WHOLE
Zhao-2006-201-182	182	what	什么	a⁵⁵ʑa³³	185:3	1236	WHAT
Zhao-2006-201-183	183	how	怎么	tse⁵⁵kɔ³³ne²	185:3	1239	HOW
Zhao-2006-201-184	184	this	这	nɯ³³	185:3	1214	THIS
Zhao-2006-201-185	185	here	这里	nɯ³³ui³³;a⁵⁵ta⁴⁴	185:3	136	HERE
Zhao-2006-201-186	186	that	那	na⁵⁵;pɯ³³	185:3	78	THAT
Zhao-2006-201-187	187	there	那里	pɯ⁵⁵ta⁴⁴	185:3	1937	THERE
Zhao-2006-201-188	188	where	哪里	a⁵⁵na⁴⁴	185:3	1237	WHERE
Zhao-2006-201-189	189	right	右边	tsɛ⁴⁴	185:3	1019	RIGHT
Zhao-2006-201-190	190	left	左边	pi³⁵	185:3	244	LEFT
Zhao-2006-201-191	191	in	在(屋里)	tsɯ³⁵	185:3	1460	IN
Zhao-2006-201-192	192	the year	年	ɕua⁴⁴	185:3	1226	YEAR
Zhao-2006-201-193	193	the day	天	ȵi⁴⁴	186:1	1225	DAY (NOT NIGHT)
Zhao-2006-201-194	194	the evening	晚上	pe³³kɛ⁴⁴	186:1	1629	EVENING
Zhao-2006-201-195	195	to fear	怕	kɛ³⁵	186:1	1419	FEAR (BE AFRAID)
Zhao-2006-201-196	196	to think	想	mi³³	186:2	2271	THINK
Zhao-2006-201-197	197	to know	知道	zɯ³³ki⁴⁴	186:2	1410	KNOW (SOMETHING)
Zhao-2006-201-198	198	not	不	pɯ³³	186:2	1240	NOT
Zhao-2006-201-199	199	and	和	ȵi⁵⁵	186:3	1577	AND
Zhao-2006-201-200	200	because	因为	ʑo⁴⁴ui³⁵	186:3	1157	BECAUSE
Zhao-2006-201-201	201	if	如果	zu⁴²kuo³³	186:3	1459	IF
