ID	NUMBER	ENGLISH	SWADESH_1955_100	CONCEPTICON_ID	CONCEPTICON_GLOSS
Trask-1996-207-132	132	sew		1457	SEW
Trask-1996-207-133	133	sharp		1396	SHARP
Trask-1996-207-134	134	short		1645	SHORT
Trask-1996-207-135	135	sing		1261	SING
Trask-1996-207-136	136	sit	*	1416	SIT
Trask-1996-207-137	137	skin	*	763	SKIN
Trask-1996-207-138	138	sky		1732	SKY
Trask-1996-207-139	139	sleep	*	1585	SLEEP
Trask-1996-207-140	140	small	*	1246	SMALL
Trask-1996-207-141	141	smell (v.)		2124	SMELL
Trask-1996-207-142	142	smoke	*	778	SMOKE (EXHAUST)
Trask-1996-207-143	143	smooth		1234	SMOOTH
Trask-1996-207-144	144	snake		730	SNAKE
Trask-1996-207-145	145	snow		784	SNOW
Trask-1996-207-146	146	some		1241	SOME
Trask-1996-207-147	147	spit		1440	SPIT
Trask-1996-207-148	148	split		1437	SPLIT
Trask-1996-207-149	149	squeeze		1414	SQUEEZE
Trask-1996-207-150	150	stab/pierce		1434	STAB
Trask-1996-207-151	151	stand	*	1442	STAND
Trask-1996-207-152	152	star	*	1430	STAR
Trask-1996-207-153	153	stick		1295	STICK
Trask-1996-207-154	154	stone	*	857	STONE
Trask-1996-207-155	155	straight		1404	STRAIGHT
Trask-1996-207-156	156	suck		1421	SUCK
Trask-1996-207-157	157	sun	*	1343	SUN
Trask-1996-207-158	158	swell		1573	SWELL
Trask-1996-207-159	159	swim	*	1439	SWIM
Trask-1996-207-160	160	tail	*	1220	TAIL
Trask-1996-207-161	161	that	*	78	THAT
Trask-1996-207-162	162	there		1937	THERE
Trask-1996-207-163	163	they		817	THEY
Trask-1996-207-164	164	thick		1244	THICK
Trask-1996-207-165	165	thin		1400	THIN (SLIM)
Trask-1996-207-166	166	think		1415	THINK (REFLECT)
Trask-1996-207-167	167	this	*	1214	THIS
Trask-1996-207-168	168	thou	*	1215	THOU
Trask-1996-207-169	169	three		492	THREE
Trask-1996-207-170	170	throw		1456	THROW
Trask-1996-207-171	171	tie		1917	TIE
Trask-1996-207-172	172	tongue	*	1205	TONGUE
Trask-1996-207-173	173	tooth	*	1380	TOOTH
Trask-1996-207-174	174	tree	*	906	TREE
Trask-1996-207-175	175	turn		1588	TURN
Trask-1996-207-176	176	two	*	1498	TWO
Trask-1996-207-177	177	vomit		1278	VOMIT
Trask-1996-207-178	178	walk	*	1443	WALK
Trask-1996-207-179	179	warm	*	1232	WARM
Trask-1996-207-180	180	wash		1453	WASH
Trask-1996-207-181	181	water	*	948	WATER
Trask-1996-207-182	182	we	*	1212	WE
Trask-1996-207-183	183	wet		1726	WET
Trask-1996-207-184	184	what	*	1236	WHAT
Trask-1996-207-185	185	when		1238	WHEN
Trask-1996-207-186	186	where		1237	WHERE
Trask-1996-207-187	187	white	*	1335	WHITE
Trask-1996-207-188	188	who	*	1235	WHO
Trask-1996-207-189	189	wide		1243	WIDE
Trask-1996-207-190	190	wife		1199	WIFE
Trask-1996-207-191	191	wind		960	WIND
Trask-1996-207-192	192	wing		1257	WING
Trask-1996-207-193	193	wipe		1454	WIPE
Trask-1996-207-194	194	with		1340	WITH
Trask-1996-207-195	195	woman	*	962	WOMAN
Trask-1996-207-196	196	woods		420	FOREST
Trask-1996-207-197	197	worm		1219	WORM
Trask-1996-207-198	198	ye		1213	YOU
Trask-1996-207-199	199	year		1226	YEAR
Trask-1996-207-200	200	yellow	*	1424	YELLOW
Trask-1996-207-201	201	breast	*	1402	BREAST
Trask-1996-207-202	202	claw	*	72	CLAW
Trask-1996-207-203	203	full	*	1429	FULL
Trask-1996-207-204	204	horn	*	1393	HORN (KERATINIZED SKIN)
Trask-1996-207-205	205	knee	*	1371	KNEE
Trask-1996-207-206	206	moon	*	1313	MOON
Trask-1996-207-207	207	round	*	1395	ROUND
