ID	NUMBER	ENGLISH	KANJI	KANA	ROMAJI	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huisman-2025-255-105	105	if	若し	もし	moshi	1459	IF
Huisman-2025-255-106	106	inside	中	なか	naka	1460	IN
Huisman-2025-255-107	107	to kill	殺す	ころす	korosu	1417	KILL
Huisman-2025-255-108	108	knee	膝	ひざ	hiza	1371	KNEE
Huisman-2025-255-109	109	to know	知る	しる	shiru	1410	KNOW (SOMETHING)
Huisman-2025-255-110	110	to laugh	笑う	わらう	warau	1355	LAUGH
Huisman-2025-255-111	111	leaf	葉	は	ha	628	LEAF
Huisman-2025-255-112	112	left	左	ひだり	hidari	244	LEFT
Huisman-2025-255-113	113	leg	脚	あし	ashi	1297	LEG
Huisman-2025-255-114	114	to lie down	寝る	ねる	neru	1411	LIE (REST)
Huisman-2025-255-115	115	lightning	稲光	いなびかり	inabikari	1654	LIGHTNING
Huisman-2025-255-116	116	to live	生きる	いきる	ikiru	1422	BE ALIVE
Huisman-2025-255-117	117	liver	肝臓	かんぞう	kanzou	1224	LIVER
Huisman-2025-255-118	118	long	長い	ながい	nagai	1203	LONG
Huisman-2025-255-119	119	louse	虱	しらみ	shirami	1392	LOUSE
Huisman-2025-255-120	120	to make	作る	つくる	tsukuru	734	MAKE
Huisman-2025-255-121	121	man	男	おとこ	otoko	1554	MAN
Huisman-2025-255-122	122	many	多い	おおい	ooi	1198	MANY
Huisman-2025-255-123	123	moon	月	つき	tsuki	1313	MOON
Huisman-2025-255-124	124	mosquito	蚊	か	ka	1509	MOSQUITO
Huisman-2025-255-125	125	mother	母	はは	haha	1216	MOTHER
Huisman-2025-255-126	126	mountain	山	やま	yama	639	MOUNTAIN
Huisman-2025-255-127	127	mouse	鼠	ねずみ	nezumi	1491	MOUSE
Huisman-2025-255-128	128	mouth	口	くち	kuchi	674	MOUTH
Huisman-2025-255-129	129	nail	爪	つめ	tsume	1258	FINGERNAIL
Huisman-2025-255-130	130	name	名前	なまえ	namae	1405	NAME
Huisman-2025-255-131	131	narrow	狭い	せまい	semai	1267	NARROW
Huisman-2025-255-132	132	navel	臍	へそ	heso	1838	NAVEL
Huisman-2025-255-133	133	near	近い	ちかい	chikai	1942	NEAR
Huisman-2025-255-134	134	neck	首	くび	kubi	1333	NECK
Huisman-2025-255-135	135	needle	針	はり	hari	1382	NEEDLE (FOR SEWING)
Huisman-2025-255-136	136	new	新しい	あたらしい	atarashii	1231	NEW
Huisman-2025-255-137	137	night	夜	よる	yoru	1233	NIGHT
Huisman-2025-255-138	138	nine	九つ	ここのつ	kokonotsu	1483	NINE
Huisman-2025-255-139	139	nose	鼻	はな	hana	1221	NOSE
Huisman-2025-255-140	140	not	ない	ない	nai	1240	NOT
Huisman-2025-255-141	141	old	古い	ふるい	furui	1229	OLD
Huisman-2025-255-142	142	one	一つ	ひとつ	hitotsu	1493	ONE
Huisman-2025-255-143	143	to open	開ける	あける	akeru	1156	OPEN
Huisman-2025-255-144	144	other	他	ほか	hoka	197	OTHER
