ID	NUMBER	ENGLISH	FINNISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	BRITISH_ENGILISH_FAMILIARITY_MEAN	BRITISH_ENGLISH_VALENCE_MEAN	BRITISH_ENGLISH_EMOTION_MEAN	BRITISH_ENGLISH_OFFENSIVENESS_MEAN	BRITISH_ENGLISH_CONCRETENESS_MEAN	FINNISH_FAMILIARITY_MEAN	FINNISH_VALENCE_MEAN	FINNISH_EMOTION_MEAN	FINNISH_OFFENSIVENESS_MEAN	FINNISH_CONCRETENESS_MEAN
Eilola-2010-210-100	100	hostage	panttivanki			1.9	0.9	3.51	0.79	2.43	1.68	1.12	3.89	1.12	1.08
Eilola-2010-210-101	101	house	talo	1252	HOUSE	6.05	5.25	1.4	0.14	0.86	5.4	5.75	1.97	0.25	0.32
Eilola-2010-210-102	102	illness	sairaus	1986	DISEASE	4	1.15	3.8	0.74	2.93	4.11	1.19	4.82	1.15	2.72
Eilola-2010-210-103	103	improvement	parannus			3.78	6.75	2.56	0.27	5.11	2.33	6.88	3.9	0.32	4.48
Eilola-2010-210-104	104	industry	teollisuus	4114	INDUSTRY	2.33	3.75	0.77	0.2	2.2	3.02	3.83	1.03	0.36	1.96
Eilola-2010-210-105	105	inhabitant	asukas	4048	INHABITANT	1.54	3.85	0.77	0.44	2.21	3.44	4.66	1.04	0.25	0.76
Eilola-2010-210-106	106	injury	vamma	2947	DAMAGE (INJURY)	3.22	1.51	3.31	0.34	2.02	2.76	1.6	3.1	1.87	1.57
Eilola-2010-210-107	107	insult	loukkaus			3.51	1.31	4.66	1.95	5.19	3	1.4	4.65	1.67	4.96
Eilola-2010-210-108	108	intercourse	yhdyntä			2.98	5.6	4.47	1.1	1.74	2.99	5.89	5.22	2.29	1.33
Eilola-2010-210-109	109	jelly	hyytelö			2.23	4.79	0.68	0.2	0.57	1.67	4.12	0.92	0.53	0.5
Eilola-2010-210-110	110	joke	vitsi	3425	JOKE	5.87	6.48	3.81	0.34	5.46	5.49	6.65	3.27	0.61	3.06
Eilola-2010-210-111	111	joy	ilo	2524	JOY	3.06	7.64	5.7	0.19	5.86	4.95	8	6.03	0.28	5.27
Eilola-2010-210-112	112	justice	oikeus	4049	JUSTICE	2.96	6.59	4.37	0.33	5.97	3.24	6.42	3.68	0.41	5.15
Eilola-2010-210-113	113	kettle	pannu	854	KETTLE	5.17	4.51	0.8	0.16	0.51	2.72	4.48	0.88	0.4	0.41
Eilola-2010-210-114	114	kiss	suudelma	3454	KISS (NOUN)	6.2	7.58	5.84	0.36	1.61	4.39	8.01	7.2	0.41	1.15
Eilola-2010-210-115	115	laughter	nauru	2958	LAUGHTER	4.71	7.88	5.58	0.2	4.07	5.89	7.7	5.78	0.43	2.62
Eilola-2010-210-116	116	lawn	nurmikko	3990	LAWN	2.25	4.21	0.54	0.14	0.5	3.91	5.59	1.51	0.26	0.46
Eilola-2010-210-117	117	leader	johtaja	4097	LEADER	3.44	5.14	2.2	0.4	3.48	3.49	4.37	1.79	0.38	1.21
Eilola-2010-210-118	118	length	pituus	2537	LENGTH	3.4	4.28	0.52	0.3	3.01	4.38	4.81	1.35	0.63	1.72
Eilola-2010-210-119	119	level	taso	3469	LEVEL	3.07	4.05	0.78	0.17	3.43	2.5	4.24	1.03	0.35	2.92
Eilola-2010-210-120	120	life	elämä	210	LIFE	5.31	6.75	5.04	0.2	5.48	5.77	7.33	5.42	0.28	4.93
Eilola-2010-210-121	121	loneliness	yksinäisyys			3.04	1.06	5.28	0.79	6.31	3.38	1.47	5.44	1.19	5.59
Eilola-2010-210-122	122	loser	häviäjä			5.12	1.78	2.98	2.72	5.15	2.84	2.14	3.67	2.13	2.72
Eilola-2010-210-123	123	loss	menetys			3.28	1.24	4.7	0.84	5.04	2.57	1.28	5.61	0.85	4.94
Eilola-2010-210-124	124	loyalty	uskollisuus			3.03	7.19	4.61	0.23	6.29	3.53	7.47	5.86	0.35	6.11
Eilola-2010-210-125	125	machine	kone	144	MACHINE	3.39	3.95	0.53	0.26	0.9	4.96	4.48	0.98	0.3	0.48
Eilola-2010-210-126	126	malice	ilkeys			1.34	1.42	3.14	1.24	4.87	2.93	1.22	4.47	1.82	5.36
Eilola-2010-210-127	127	medicine	lääke	1372	MEDICINE	3.95	6.02	1.74	0.17	0.77	4.52	5.16	2.37	0.47	0.64
Eilola-2010-210-128	128	milk	maito	635	MILK	5.76	4.82	0.58	0.19	0.3	6.63	5.82	1.5	0.28	0.39
Eilola-2010-210-129	129	miracle	ihme	2541	MIRACLE	2.28	7.27	4.34	0.19	6.34	3.98	6.37	4.5	0.36	5.72
Eilola-2010-210-130	130	misery	kurjuus	2553	MISERY	2.36	0.93	5.14	0.96	5.67	2.23	1.1	4.3	1.01	5.08
Eilola-2010-210-131	131	moment	hetki	4075	MOMENT	4.02	4.72	1.47	0.2	5.28	4.41	5.21	2.4	0.24	5.53
Eilola-2010-210-132	132	money	raha	1559	MONEY	7.58	6.1	3.67	0.54	0.93	7.11	5.84	3.18	0.61	0.66
Eilola-2010-210-133	133	mosquito	sääski	1509	MOSQUITO	1.77	2.45	0.85	0.27	0.29	2.68	2.2	1.98	0.68	0.39
Eilola-2010-210-134	134	mother	äiti	1216	MOTHER	5.78	7.42	5.2	0.25	1.07	7.7	8.06	6.94	0.18	0.8
Eilola-2010-210-135	135	murderer	murhaaja	3871	MURDERER	2.88	0.59	5.49	2.79	2.53	2.61	0.7	5.01	2.88	1.37
Eilola-2010-210-136	136	mushroom	sieni	641	MUSHROOM	2.89	4.07	0.62	0.34	0.42	2.52	4.05	0.96	0.64	0.41
Eilola-2010-210-137	137	music	musiikki	642	MUSIC	7.29	6.8	3.85	0.2	3.42	7.19	7.39	5.57	0.25	2.58
Eilola-2010-210-138	138	nature	luonto	3897	NATURE	3.42	6.19	1.88	0.19	2.8	4.19	6.52	3.88	0.28	1.81
Eilola-2010-210-139	139	nightmare	painajainen			3.56	1.37	4.47	0.63	5.29	3.51	1.43	4.75	0.97	4.29
Eilola-2010-210-140	140	nob	kulli			4.11	2.03	2.04	3.89	3.09	2.73	2.13	2.39	5.2	0.89
Eilola-2010-210-141	141	office	toimisto	2430	OFFICE	3.86	4.13	0.78	0.15	0.62	2.76	4.17	0.89	0.26	0.71
Eilola-2010-210-142	142	opinion	mielipide			5.02	5.3	3.04	0.46	6.61	4.87	5.62	4.07	0.43	5.13
Eilola-2010-210-143	143	pain	kipu	1783	PAIN	4.43	1.13	5.44	0.75	4.13	4.37	1.36	4.77	0.73	3.16
Eilola-2010-210-144	144	part	osa	779	PART	4.14	3.74	0.69	0.18	2.88	3.72	4.23	0.78	0.35	2.76
Eilola-2010-210-145	145	peace	rauha	1338	PEACE	3.28	7.48	4.69	0.19	6.44	3.63	7.43	4.7	0.3	5.32
Eilola-2010-210-146	146	perfection	täydellisyys			3.11	6.48	3.52	0.24	5.85	3.6	5.08	3.95	0.67	6.43
Eilola-2010-210-147	147	phase	vaihe			2.47	4.02	0.64	0.21	4.42	3	4.25	1.06	0.39	4.73
Eilola-2010-210-148	148	pillow	tyyny	1044	PILLOW	4.54	5.2	0.96	0.18	0.36	5.07	6.4	2.03	0.27	0.35
Eilola-2010-210-149	149	piss	kusi			5.05	1.83	1.71	3.14	1.78	4.29	2.09	1.75	3.94	0.68
Eilola-2010-210-150	150	poison	myrkky	655	POISON	1.59	1.12	2.31	0.68	1.15	2.22	1.32	2.38	1	1.1
Eilola-2010-210-151	151	pollution	saaste			3.53	1.47	2.32	0.73	2.84	2.84	1.39	2.22	1.2	2.01
Eilola-2010-210-152	152	poverty	köyhyys	4066	POVERTY	3.1	1.08	3.97	0.96	3.44	3.45	1.18	4.5	1.74	4.13
Eilola-2010-210-153	153	prick	kusipää			4.63	1.39	2.77	4.92	4.25	4.67	1.27	3.71	6.84	3.82
Eilola-2010-210-154	154	privacy	yksityisyys			3.54	5.71	2.84	0.38	5.14	3.37	5.44	3.79	0.47	5.08
Eilola-2010-210-155	155	profit	tuotto			3.39	6.53	2.22	0.28	2.73	2.19	5.26	1.38	0.43	2.76
Eilola-2010-210-156	156	punishment	rangaistus	390	PUNISHMENT	3.4	1.76	3.92	0.73	3.87	3.03	2.16	3.9	1.05	3.03
Eilola-2010-210-157	157	pus	visva	1808	PUS	1.25	1.66	1.02	1.7	0.84	0.63	1.78	1.17	2.7	1.77
Eilola-2010-210-158	158	pussy	pimppi			3.47	2.4	2.47	4.86	2.3	1.88	2.66	2.33	4.73	0.9
Eilola-2010-210-159	159	quarrel	riita	1848	QUARREL	1.77	1.99	3.32	0.6	3.53	4.46	1.28	5.3	1.24	3.21
Eilola-2010-210-160	160	rage	raivo			2.59	0.95	5.76	0.95	5.56	2.69	1.6	5.54	1.29	5.27
Eilola-2010-210-161	161	rape	raiskaus	953	RAPE	2.84	0.27	6.6	4.64	2.66	2.51	0.42	6.15	3.82	1.99
Eilola-2010-210-162	162	reality	todellisuus	4119	REALITY	3.63	4.81	2.87	0.4	6.36	3.38	5.15	3.38	0.38	6.01
Eilola-2010-210-163	163	respect	kunnioitus	1912	RESPECT (NOUN)	4.54	7.21	5.08	0.39	6.06	3.14	6.96	5.01	0.32	5.77
Eilola-2010-210-164	164	reward	palkkio	4120	REWARD	3.19	7.01	3.67	0.22	3.62	2.74	6.33	2.51	0.47	1.73
Eilola-2010-210-165	165	ridicule	pilkka			1.66	1.52	3.38	1.08	5.25	2.02	1.32	3.82	1.81	4.35
Eilola-2010-210-166	166	route	reitti			3.08	4.32	0.54	0.17	2.16	3.21	4.46	0.82	0.27	1.86
Eilola-2010-210-167	167	scrotum	kivekset	2834	SCROTUM	1.5	2.74	1.19	2.41	0.81	2.45	3.8	2.07	3.05	0.5
Eilola-2010-210-168	168	security	turvallisuus			3.73	6.02	2.72	0.25	3.5	3.89	7.11	4.55	0.25	5.42
Eilola-2010-210-169	169	selfishness	itsekkyys			3.27	1.34	4.04	1.02	6.31	3.05	1.57	4.37	2.04	5.81
Eilola-2010-210-170	170	shag	pano			5.3	4.08	3.91	2.88	2.75	3.85	3.74	3.77	5	1.97
Eilola-2010-210-171	171	shit	paska	675	FAECES (EXCREMENT)	6.86	1.46	2.51	4.12	2.65	6	1.96	2.39	4.74	1.06
Eilola-2010-210-172	172	sister	sisko	1263	SISTER	5.48	6.32	4.34	0.25	0.91	5.6	7.41	5.42	0.24	0.78
Eilola-2010-210-173	173	size	koko	2845	SIZE (OF OBJECT)	4.46	4.18	1.43	0.53	2.49	4.66	4.45	1.55	0.84	2.8
Eilola-2010-210-174	174	slapper	hutsu			3.51	1.35	3.03	5.04	4.89	1.96	1.03	3.14	6.65	2.39
Eilola-2010-210-175	175	slaughter	teurastus			1.47	0.58	4.81	1.98	2.84	1.56	1.04	4.34	2.35	1.79
Eilola-2010-210-176	176	slime	lima	4121	SLIME	1.22	2.14	1.06	0.77	1.22	2.22	2.02	1.53	1.7	0.82
Eilola-2010-210-177	177	slut	lutka			4.34	1.07	3.56	5.63	4.29	2.46	0.99	3.84	7.16	2.77
Eilola-2010-210-178	178	snake	käärme	730	SNAKE	2.04	3.17	1.86	0.49	0.35	2.64	2.25	2.52	0.83	0.44
Eilola-2010-210-179	179	snow	lumi	784	SNOW	2.45	5.74	2.23	0.16	0.57	5.03	5.01	2.25	0.28	0.61
Eilola-2010-210-180	180	spider	hämähäkki	843	SPIDER	3.92	2.71	2.02	0.58	0.3	3.15	2.7	2.81	0.61	0.39
Eilola-2010-210-181	181	sport	urheilu			5.88	5.76	2.32	0.21	1.94	5.84	6.33	3.23	0.28	2.13
Eilola-2010-210-182	182	spray	suihke			3.14	4.09	0.61	0.25	1.09	2.39	4.14	0.92	0.33	1.01
Eilola-2010-210-183	183	square	aukio			2.44	4.04	0.54	0.19	0.84	1.74	4.31	0.98	0.3	1.16
Eilola-2010-210-184	184	statue	patsas	1002	STATUE	1.73	3.9	0.76	0.2	0.67	2.24	4.5	0.89	0.42	0.41
Eilola-2010-210-185	185	stench	löyhkä			1.86	1.52	1.77	1.71	2.28	1.68	1.49	2.43	3.26	2.29
Eilola-2010-210-186	186	street	katu	1362	STREET	4.87	4.13	0.72	0.2	0.65	4.56	4.5	0.96	0.25	0.45
Eilola-2010-210-187	187	suicide	itsemurha			2.64	0.44	5.75	1.9	3.21	2.64	0.61	6.27	2.32	2.33
Eilola-2010-210-188	188	swamp	suo	1145	SWAMP	1.37	2.61	0.85	0.42	1.2	2.03	3.82	0.99	0.39	0.77
Eilola-2010-210-189	189	table	pöytä	1775	TABLE	5.21	4.3	0.42	0.26	0.43	5.7	4.87	0.75	0.23	0.29
Eilola-2010-210-190	190	thrill	elämys			2.75	6.2	5.23	0.3	5.88	2.74	7.05	5.22	0.27	5.08
Eilola-2010-210-191	191	time	aika	892	TIME	7.18	4.74	1.9	0.21	5.08	6.48	4.5	2.01	0.3	5.88
Eilola-2010-210-192	192	tit	tissi			4	2.64	2.17	3.33	1.66	4.01	4.23	2.74	3.53	0.54
