ID	NUMBER	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH
Smeltzer-1995-300-175	175	aisselle	1886	ARMPIT	armpit
Smeltzer-1995-300-176	176	poitrine	1592	CHEST	chest
Smeltzer-1995-300-177	177	côte	801	RIB	rib
Smeltzer-1995-300-178	178	dos	1291	BACK	back
Smeltzer-1995-300-179	179	hanche	1745	HIP	hip
Smeltzer-1995-300-180	180	cuisse	800	THIGH	thigh
Smeltzer-1995-300-181	181	coude	981	ELBOW	elbow
Smeltzer-1995-300-182	182	doigt	1303	FINGER	finger
Smeltzer-1995-300-183	183	corps	1480	BODY	body
Smeltzer-1995-300-184	184	plaie	1109	WOUND	wound
Smeltzer-1995-300-185	185	veine	1924	VEIN	vein
Smeltzer-1995-300-186	186	larmes	1651	TEAR (OF EYE)	tear
Smeltzer-1995-300-187	187	excrément	675	FAECES (EXCREMENT)	excrement
Smeltzer-1995-300-188	188	huile	1484	OIL (ORGANIC SUBSTANCE)	oil
Smeltzer-1995-300-189	189	mère	1216	MOTHER	mother
Smeltzer-1995-300-190	190	frère aîné	1759	OLDER BROTHER	older brother
Smeltzer-1995-300-191	191	petite soeur	1761	YOUNGER SISTER	younger sister
Smeltzer-1995-300-192	192	ami	1325	FRIEND	friend
Smeltzer-1995-300-193	193	oncle (côté matèrnelle.)	3220	MATERNAL UNCLE	uncle (mother's side)
Smeltzer-1995-300-194	194	invité	1782	GUEST	guest
Smeltzer-1995-300-195	195	chef	301	CHIEFTAIN	chieftain
Smeltzer-1995-300-196	196	âme	811	SOUL	soul
Smeltzer-1995-300-197	197	lion	1386	LION	lion
Smeltzer-1995-300-198	198	rat	1490	RAT	rat
Smeltzer-1995-300-199	199	chauve-souris	1793	BAT	bat
Smeltzer-1995-300-200	200	cheval	615	HORSE	horse
Smeltzer-1995-300-201	201	pintade	456	GUINEA FOWL	guinea fowl
Smeltzer-1995-300-202	202	lézard	632	LIZARD	lizard
Smeltzer-1995-300-203	203	crocodile	1857	CROCODILE	crocodile
Smeltzer-1995-300-204	204	ver	1219	WORM	worm
Smeltzer-1995-300-205	205	abeille	665	BEE	bee
Smeltzer-1995-300-206	206	fourmis	587	ANT	ant
Smeltzer-1995-300-207	207	araignée	843	SPIDER	spider
Smeltzer-1995-300-208	208	scorpion	1538	SCORPION	scorpion
Smeltzer-1995-300-209	209	bâton	1295	STICK	stick
