ID	NUMBER	SWADESH	ENGLISH	JAPANESE	ROMANISATION	NOTES	CONCEPTICON_ID	CONCEPTICON_GLOSS														
Huisman-2019-110-33	33	flesh	flesh	肉	niku		2259	FLESH														
Huisman-2019-110-34	34	blood	blood	血	chi		946	BLOOD														
Huisman-2019-110-35	35	bone	bone	骨	hone		1394	BONE														
Huisman-2019-110-36	36	fat	fat	油	abura		323	FAT (ORGANIC SUBSTANCE)														
Huisman-2019-110-37	37	egg	egg	卵	tamago		744	EGG														
Huisman-2019-110-38	38	horn	horn	角	tsuno		1393	HORN (ANATOMY)														
Huisman-2019-110-39	39	tail	tail	尾	o		1220	TAIL														
Huisman-2019-110-40	40	feather	feather	羽	hane		1201	FEATHER														
Huisman-2019-110-41	41	hair	hair	髪	kami		1040	HAIR														
Huisman-2019-110-42	42	head	head	頭	atama		1256	HEAD														
Huisman-2019-110-43	43	ear	ear	耳	mimi		1247	EAR														
Huisman-2019-110-44	44	eye	eye	目	me		1248	EYE														
Huisman-2019-110-45	45	nose	nose	鼻	hana		1221	NOSE														
Huisman-2019-110-46	46	mouth	mouth	口	kuchi		674	MOUTH														
Huisman-2019-110-47	47	tooth	tooth	歯	ha		1380	TOOTH														
Huisman-2019-110-48	48	tongue	tongue	舌	shita		1205	TONGUE														
Huisman-2019-110-49	49	fingernail	fingernail	爪	tsume		1258	FINGERNAIL														
Huisman-2019-110-50	50	foot	foot	足	ashi		1301	FOOT														
Huisman-2019-110-51	51	knee	knee	膝	hiza		1371	KNEE														
Huisman-2019-110-52	52	hand	hand	手	te		1277	HAND														
Huisman-2019-110-53	53	belly	belly	腹	hara		1251	BELLY														
Huisman-2019-110-54	54	neck	neck	首	kubi		1333	NECK														
Huisman-2019-110-55	55	breasts	breasts	乳	chichi		1402	BREAST														
Huisman-2019-110-56	56	heart	heart	心	kokoro		1223	HEART														
Huisman-2019-110-57	57	liver	liver	肝	kimo		1224	LIVER														
Huisman-2019-110-58	58	to drink	to drink	食う	kuu		1401	DRINK														
Huisman-2019-110-59	59	to eat	to eat	飲む	nomu		1336	EAT														
Huisman-2019-110-60	60	to bite	to bite	噛む	kamu		1403	BITE														
Huisman-2019-110-61	61	to see	to see	見る	miru		1409	SEE														
Huisman-2019-110-62	62	to hear	to hear	聞く	kiku		1408	HEAR														
Huisman-2019-110-63	63	to know	to know	知る	shiru		3626	KNOW														
Huisman-2019-110-64	64	to sleep	to sleep	眠る	nemuru		1585	SLEEP														
Huisman-2019-110-65	65	to die	to die	死ぬ	shinu		1494	DIE														
Huisman-2019-110-66	66	to kill	to kill	殺す	korosu		1417	KILL														
Huisman-2019-110-67	67	to swim	to swim	泳ぐ	oyogu		1439	SWIM														
Huisman-2019-110-68	68	to fly	to fly	飛ぶ	tobu		1441	FLY (MOVE THROUGH AIR)														
Huisman-2019-110-69	69	to walk	to walk	歩く	aruku		1443	WALK														
Huisman-2019-110-70	70	to come	to come	来る	kuru		1446	COME														
Huisman-2019-110-71	71	to lie down	to lie down	寝る	neru		215	LIE DOWN														
Huisman-2019-110-72	72	to sit	to sit	座る	suwaru		1416	SIT														
Huisman-2019-110-73	73	to stand	to stand	立つ	tatsu		1442	STAND														
Huisman-2019-110-74	74	to give1	to give	遣る	yaru		1447	GIVE														
Huisman-2019-110-75	75	to give2	to give	呉れる	kureru	respectful																
Huisman-2019-110-76	76	to say	to say	言う	iu		1458	SAY														
Huisman-2019-110-77	77	sun	sun	日	hi		1343	SUN														
Huisman-2019-110-78	78	moon	moon	月	tsuki		1313	MOON														
Huisman-2019-110-79	79	star	star	星	hoshi		1430	STAR														
Huisman-2019-110-80	80	water	water	水	mizu		948	WATER														
Huisman-2019-110-81	81	rain	rain	雨	ame		658	RAIN (PRECIPITATION)														
Huisman-2019-110-82	82	stone	stone	石	ishi		857	STONE														
Huisman-2019-110-83	83	sand	sand	砂	suna		671	SAND														
Huisman-2019-110-84	84	soil	soil	土	tsuchi		1228	EARTH (SOIL)														
Huisman-2019-110-85	85	cloud	cloud	雲	kumo		1489	CLOUD														
Huisman-2019-110-86	86	smoke	smoke	煙	kemuri		778	SMOKE (EXHAUST)														
Huisman-2019-110-87	87	fire	fire	火	hi		221	FIRE														
Huisman-2019-110-88	88	ash	ash	灰	hai		646	ASH														
Huisman-2019-110-89	89	to burn	to burn	燃える	moeru		2102	BURN														
Huisman-2019-110-90	90	path	path	道	michi		2252	PATH														
Huisman-2019-110-91	91	mountain	mountain	山	yama		639	MOUNTAIN														
Huisman-2019-110-92	92	red1	red	赤	aka	noun																
Huisman-2019-110-93	93	red2	red	赤い	akai	adjective	156	RED														
Huisman-2019-110-94	94	blue1	blue	青	ao	noun																
Huisman-2019-110-95	95	blue2	blue	青い	aoi	adjective	837	BLUE														
Huisman-2019-110-96	96	yellow1	yellow	黄色	kiiro	noun																
Huisman-2019-110-97	97	yellow2	yellow	黄色い	kiiroi	adjective	1424	YELLOW														
Huisman-2019-110-98	98	white1	white	白	shiro	noun																
Huisman-2019-110-99	99	white2	white	白い	shiroi	adjective	1335	WHITE														
Huisman-2019-110-100	100	black1	black	黒	kuro	noun																
Huisman-2019-110-101	101	black2	black	黒い	kuroi	adjective	163	BLACK														
Huisman-2019-110-102	102	night	night	夜	yoru		1233	NIGHT														
Huisman-2019-110-103	103	hot	hot	暑い	atsui		1286	HOT														
Huisman-2019-110-104	104	cold	cold	寒い	samui		1287	COLD														
Huisman-2019-110-105	105	full	full	いっぱい	ippai		1429	FULL														
Huisman-2019-110-106	106	new	new	新しい	atarashii		1231	NEW														
Huisman-2019-110-107	107	good	good	良い	yoi		1035	GOOD														
Huisman-2019-110-108	108	round	round	丸い	marui		1395	ROUND														
Huisman-2019-110-109	109	to dry	to dry	乾く	kawaku		1398	DRY														
Huisman-2019-110-110	110	name	name	名前	namae		1405	NAME														
