ID	NUMBER	ENGLISH	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CLASS	MAJOR_SEMANTIC_CATEGORY	SUBCATEGORY
Kibrik-2012-122-25	25	bring	принести	692	BRING	Manipulation	Change of state	Movement of objects
Kibrik-2012-122-26	26	take	брать	1749	TAKE	Manipulation	Change of state	Movement of objects
Kibrik-2012-122-27	27	get out	вылезти			Motion	Change of state	Movement of objects
Kibrik-2012-122-28	28	get down	слезть			Motion	Change of state	Movement of objects
Kibrik-2012-122-29	29	get off	слезть			Motion	Change of state	Movement of objects
Kibrik-2012-122-30	30	put	класть	998	PUT	Manipulation	Change of state	Movement of objects
Kibrik-2012-122-31	31	open	открыть	1156	OPEN	Manipulation	Change of state	State of objects
Kibrik-2012-122-32	32	close	закрыть	1046	SHUT	Manipulation	Change of state	State of objects
Kibrik-2012-122-33	33	fall down	падать	1280	FALL	Motion	Change of state	State of objects
Kibrik-2012-122-34	34	drop	ронять	2866	DROP (SOMETHING)	Motion	Change of state	State of objects
Kibrik-2012-122-35	35	spill	пролить	3130	SPILL (SOMETHING)	Manipulation	Change of state	State of objects
Kibrik-2012-122-36	36	fix	чинить	3074	FIX	Physical impact	Change of state	State of objects
Kibrik-2012-122-37	37	break	ломать/разбить	680	BREAK (DESTROY OR GET DESTROYED)	Physical impact	Change of state	State of objects
Kibrik-2012-122-38	38	tear	рвать	1735	TEAR (SHRED)	Physical impact	Change of state	State of objects
Kibrik-2012-122-39	39	crack	колоть	3080	SPLIT OPEN	Physical impact	Change of state	State of objects
Kibrik-2012-122-40	40	sweep	подмести	230	SWEEP	Labor	Activities	Activities involving objects
Kibrik-2012-122-41	41	brush				Labor	Activities	Activities involving objects
Kibrik-2012-122-42	42	wash	мыть	1453	WASH	Labor	Activities	Activities involving objects
Kibrik-2012-122-43	43	clean	читать	2235	CLEAN (SOMETHING)	Labor	Activities	Activities involving objects
Kibrik-2012-122-44	44	paint	красить	3122	PAINT (SOMETHING)	Labor	Activities	Activities involving objects
Kibrik-2012-122-45	45	hammer	бить	3115	HAMMER (SOMETHING)	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-46	46	lock	запереть			Manipulation	Activities	Activities involving objects
Kibrik-2012-122-47	47	draw	рисовать	2001	PAINTING	Intellectual activity	Activities	Activities involving objects
Kibrik-2012-122-48	48	read	читать	724	READ	Intellectual activity	Activities	Activities involving objects
Kibrik-2012-122-49	49	work	работать	1086	WORK (ACTIVITY)	Labor	Activities	Activities involving objects
Kibrik-2012-122-50	50	write	писать	1672	WRITE	Intellectual activity	Activities	Activities involving objects
Kibrik-2012-122-51	51	cut	резать	1432	CUT	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-52	52	cook	готовить	1100	COOK (SOMETHING)	Labor	Activities	Activities involving objects
Kibrik-2012-122-53	53	cover	укрыть	761	COVER	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-54	54	button	застегнуть			Manipulation	Activities	Activities involving objects
Kibrik-2012-122-55	55	ride	ехать	367	RIDE	Motion	Activities	Activities involving objects
Kibrik-2012-122-56	56	drive	вести	741	DRIVE	Motion	Activities	Activities involving objects
Kibrik-2012-122-57	57	bump	стукнуть			Manipulation	Activities	Activities involving objects
Kibrik-2012-122-58	58	catch	ловить	702	CATCH	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-59	59	throw	бросить	1456	THROW	Motion	Activities	Activities involving objects
Kibrik-2012-122-60	60	roll	катить			Manipulation	Activities	Activities involving objects
Kibrik-2012-122-61	61	kick	пинать	1135	KICK	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-62	62	hit	ударить	1433	HIT	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-63	63	touch	трогать	1892	TOUCH	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-64	64	pat	шлепать			Manipulation	Activities	Activities involving objects
Kibrik-2012-122-65	65	stick	совать			Manipulation	Activities	Activities involving objects
Kibrik-2012-122-66	66	squeeze	сжать	1414	SQUEEZE	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-67	67	rub (liquid into something)	втирать			Physical impact	Activities	Activities involving objects
Kibrik-2012-122-68	68	eat	есть	1336	EAT	Physiology	Activities	Activities involving objects
Kibrik-2012-122-69	69	drink	пить	1401	DRINK	Physiology	Activities	Activities involving objects
Kibrik-2012-122-70	70	swallow	глотать	897	SWALLOW	Physiology	Activities	Activities involving objects
Kibrik-2012-122-71	71	bite	кусать	1403	BITE	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-72	72	chew	жевать	321	CHEW	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-73	73	lick	лизать	319	LICK	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-74	74	blow	дуть	176	BLOW (WITH MOUTH)	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-75	75	play	играть	1413	PLAY	Intellectual activity	Activities	Activities involving objects
Kibrik-2012-122-76	76	kiss	целовать	578	KISS	Emotion	Activities	Activities involving objects
Kibrik-2012-122-77	77	hug	обнять	928	EMBRACE	Emotion	Activities	Activities involving objects
Kibrik-2012-122-78	78	kill	убить	1417	KILL	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-79	79	step in	наступить			Motion	Activities	Activities involving objects
Kibrik-2012-122-80	80	pick	собирать	7	GATHER	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-81	81	wipe	вытереть	1454	WIPE	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-82	82	burn	зажеть	141	BURN (SOMETHING)	Physical impact	Activities	Activities involving objects
Kibrik-2012-122-83	83	push	токать	1452	PUSH	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-84	84	pull	тянуть	1455	PULL	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-85	85	lift	поднять	501	LIFT	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-86	86	pour	лить	1487	POUR	Manipulation	Activities	Activities involving objects
Kibrik-2012-122-87	87	sit down	сесть	1649	SIT DOWN	Motion	Activities	Activities not involving objects
Kibrik-2012-122-88	88	lie down	лечь	215	LIE DOWN	Motion	Activities	Activities not involving objects
Kibrik-2012-122-89	89	climb	залесть	1102	CLIMB	Motion	Activities	Activities not involving objects
Kibrik-2012-122-90	90	stand	стоять	1442	STAND	Location	Activities	Activities not involving objects
Kibrik-2012-122-91	91	jump	прыгать	1829	JUMP	Motion	Activities	Activities not involving objects
Kibrik-2012-122-92	92	walk	идти	1443	WALK	Motion	Activities	Activities not involving objects
Kibrik-2012-122-93	93	swim	плыть	1439	SWIM	Motion	Activities	Activities not involving objects
Kibrik-2012-122-94	94	run	бежать	1519	RUN	Motion	Activities	Activities not involving objects
Kibrik-2012-122-95	95	cry	плакать	1839	CRY	Emotion	Activities	Activities not involving objects
Kibrik-2012-122-96	96	sing	петь	1261	SING	Speech/sound	Activities	Activities not involving objects
Kibrik-2012-122-97	97	sleep	спать	1585	SLEEP	Physiology	Activities	Activities not involving objects
Kibrik-2012-122-98	98	scream	кричать	2522	SCREAMING	Speech/sound	Activities	Activities not involving objects
Kibrik-2012-122-99	99	pee	писать	592	PISS	Physiology	Activities	Activities not involving objects
Kibrik-2012-122-100	100	wave	махать	3544	WAVE (VERB)	Manipulation	Activities	Activities not involving objects
Kibrik-2012-122-101	101	clap	хлопать	3110	CLAP	Manipulation	Activities	Activities not involving objects
Kibrik-2012-122-102	102	swing	качаться	2871	SWING (MOVEMENT)	Motion	Activities	Activities not involving objects
Kibrik-2012-122-103	103	see	видеть	1409	SEE	Perception	Activities	Activities not involving objects
Kibrik-2012-122-104	104	look	смотреть	1819	LOOK	Perception	Activities	Activities not involving objects
Kibrik-2012-122-105	105	watch	смотреть	1650	WATCH	Perception	Activities	Activities not involving objects
Kibrik-2012-122-106	106	taste		21	TASTE (SOMETHING)	Perception	Activities	Activities not involving objects
Kibrik-2012-122-107	107	smell	нюхать	1586	SMELL (PERCEIVE)	Perception	Activities	Activities not involving objects
Kibrik-2012-122-108	108	listen	слушать	1608	LISTEN	Perception	Activities	Activities not involving objects
Kibrik-2012-122-109	109	feel	чувствовать	2559	FEEL (TACTUALLY)	Perception	Activities	Activities not involving objects
Kibrik-2012-122-110	110	hurt		2411	HURT (SOMEBODY)	Physical impact	Activities	Activities not involving objects
Kibrik-2012-122-111	111	hurt	болеть			Physical condition	Activities	Activities not involving objects
Kibrik-2012-122-112	112	try	мерять			Manipulation	Activities	Activities not involving objects
Kibrik-2012-122-113	113	mean	намереваться			Intellectual activity	Activities	Activities not involving objects
Kibrik-2012-122-114	114	like	нравиться	1117	LIKE	Emotion	Activities	Activities not involving objects
Kibrik-2012-122-115	115	love	любить	923	LOVE	Emotion	Activities	Activities not involving objects
Kibrik-2012-122-116	116	want	хотеть	1784	WANT	Emotion	Activities	Activities not involving objects
Kibrik-2012-122-117	117	need	нуждаться	2339	NEED (SOMETHING)	Emotion	Activities	Activities not involving objects
Kibrik-2012-122-118	118	tell	говорить	1711	TELL	Speech/sound	Activities	Activities not involving objects
Kibrik-2012-122-119	119	call	звать	1084	CALL	Speech/sound	Activities	Activities not involving objects
Kibrik-2012-122-120	120	talk	разговаривать	2708	TALK	Speech/sound	Activities	Activities not involving objects
Kibrik-2012-122-121	121	say	сказать	1458	SAY	Speech/sound	Activities	Activities not involving objects
Kibrik-2012-122-122	122	remember	помнить	707	REMEMBER	Intellectual activity	Activities	Activities not involving objects
