ID	NUMBER	SEMANTIC_CATEGORY	COMRIE_1977_207	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Janhunan-2008-235-110	91	Anatomy		finger	1303	FINGER
Janhunan-2008-235-111	91b	Anatomy	079	fingernail	1258	FINGERNAIL
Janhunan-2008-235-112	92	Anatomy	080	foot	1301	FOOT
Janhunan-2008-235-113	93	Anatomy	081	leg	1297	LEG
Janhunan-2008-235-114	94	Anatomy	082	knee	1371	KNEE
Janhunan-2008-235-115	95	Anatomy	083	hand	1277	HAND
Janhunan-2008-235-116	96	Anatomy		arm	1673	ARM
Janhunan-2008-235-117	97	Anatomy	084	wing	1257	WING
Janhunan-2008-235-118	98	Anatomy	085	belly	1251	BELLY
Janhunan-2008-235-119	99	Anatomy	086	guts	1334	GUTS
Janhunan-2008-235-120	100	Anatomy	087	neck	1333	NECK
Janhunan-2008-235-121	101	Anatomy	088	back of body	1291	BACK
Janhunan-2008-235-122	102	Anatomy	089	breast	1402	BREAST
Janhunan-2008-235-123	103	Anatomy	090	heart	1223	HEART
Janhunan-2008-235-124	104	Anatomy	091	liver	1224	LIVER
Janhunan-2008-235-125	105	Physiology	092	to drink	1401	DRINK
Janhunan-2008-235-126	106	Physiology	093	to eat	1336	EAT
Janhunan-2008-235-127	107	Physiology	094	to bite	1403	BITE
Janhunan-2008-235-128	108	Physiology	095	to suck	1421	SUCK
Janhunan-2008-235-129	109	Physiology	096	to spit	1440	SPIT
Janhunan-2008-235-130	110	Physiology	097	to vomit	1278	VOMIT
Janhunan-2008-235-131	111	Physiology		to urinate	592	PISS
Janhunan-2008-235-132	112	Physiology		to extrete	676	SHIT
Janhunan-2008-235-133	113	Physiology		to sweat	126	SWEAT (PERSPIRE)
Janhunan-2008-235-134	114	Physiology	098	to blow	175	BLOW (OF WIND)
Janhunan-2008-235-135	115	Physiology	099	to breathe	1407	BREATHE
Janhunan-2008-235-136	116	Physiology	100	to laugh	1355	LAUGH
Janhunan-2008-235-137	117	Physiology	107	to sleep	1585	SLEEP
Janhunan-2008-235-138	118	Physiology	108	to live	1422	BE ALIVE
