ID	NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES
Lapesa-2014-772-126	126	concise	adjective			25:concise-short:0 26:concise-terse:0 27:concise-brief:0 28:concise-rambling:0 29:concise-rambling:0 30:concise-wordy:0	→596 →662 →78 →527 →527 →761	poli3 poli3 poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMed freqMed freqMed	HIGH NOT LOW NOT HIGH LOW	HYP ANT HYP HYP ANT ANT	4.9 0.3 4.462 0.1 4.7 4.6	4.5 1.5 3.455 0.125 4.9 4.8
Lapesa-2014-772-127	127	conclude	verb			340:to-deduce-to-conclude:1 527:to-sum-to-conclude:1	←167 ←648	poli2 poli1	freqMed freqMax	HIGH LOW	SYN SYN	3.9 3	4 3
Lapesa-2014-772-128	128	condemn	verb	484	CONDEMN	451:to-pardon-to-condemn:1 455:to-pardon-to-condemn:1 457:to-pardon-to-condemn:1	←471 ←471 ←471	poli2 poli2 poli2	freqMin freqMin freqMin	NOT HIGH NOT	HYP ANT SYN	0.1 5 0	0 5 0
Lapesa-2014-772-129	129	confine	verb			301:to-confine-to-free:0 302:to-confine-to-restrict:0 303:to-confine-to-release:0 304:to-confine-to-free:0 305:to-confine-to-hold:0 306:to-confine-to-restrict:0	→273 →553 →541 →273 →319 →553	poli3 poli3 poli3 poli3 poli3 poli3	freqMax freqMax freqMax freqMax freqMax freqMax	NOT NOT LOW HIGH LOW HIGH	SYN ANT ANT ANT SYN SYN	0.1 0 4.9 5 3.5 4.1	0.1 0.1 4.8 4.9 3.3 4.6
Lapesa-2014-772-130	130	confirmed	adjective			186:unconfirmed-confirmed:1	←693	poli2	freqMin	HIGH	ANT	4.9	5
Lapesa-2014-772-131	131	conflict	noun			656:contradiction-conflict:1	←140	poli3	freqMax	NOT	ANT	0.3	0.3
Lapesa-2014-772-132	132	confuse	verb			342:to-deduce-to-confuse:1	←167	poli2	freqMed	NOT	SYN	0	0
Lapesa-2014-772-133	133	conservative	adjective			126:progressive-conservative:1	←510	poli3	freqMax	LOW	ANT	4.7	4.1
Lapesa-2014-772-134	134	consist	verb			307:to-consist-to-exclude:0 308:to-consist-to-exclude:0 309:to-consist-to-include:0 310:to-consist-to-be:0 311:to-consist-to-exist:0 312:to-consist-to-lack:0	→244 →244 →346 →58 →246 →385	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	NOT HIGH NOT HIGH LOW LOW	HYP ANT ANT HYP HYP ANT	0.3 3.9 0.6 4.3 2.3 3.6	0.3 3 1.2 3 2.3 3.3
Lapesa-2014-772-135	135	consolable	adjective			74:inconsolable-consolable:1	←349	poli2	freqMin	HIGH	ANT	4.9	5
Lapesa-2014-772-136	136	constant	adjective			103:orbital-constant:1	←460	poli2	freqMin	NOT	HYP	1.2	1.5
Lapesa-2014-772-137	137	constrict	verb			313:to-constrict-to-tighten:0 314:to-constrict-to-open:0 315:to-constrict-to-free:0 316:to-constrict-to-limit:0 317:to-constrict-to-tighten:0 318:to-constrict-to-free:0	→668 →457 →273 →400 →668 →273	poli2 poli2 poli2 poli2 poli2 poli2	freqMin freqMin freqMin freqMin freqMin freqMin	HIGH LOW NOT LOW NOT HIGH	HYP ANT HYP HYP ANT ANT	4.3 5 0 4.6 0 4.8	4.4 4.5 0.1 4.6 0.5 4.7
Lapesa-2014-772-138	138	construe	verb			319:to-construe-to-interpret:0 320:to-construe-to-misconstrue:0 321:to-construe-to-ignore:0	→367 →428 →329	poli1 poli1 poli1	freqMed freqMed freqMed	NOT HIGH LOW	ANT ANT ANT	0.2 5 1.4	1 5 2.2
Lapesa-2014-772-139	139	contaminate	verb			322:to-contaminate-to-sterilize:0 323:to-contaminate-to-purify:0 324:to-contaminate-to-infect:0	→633 →523 →355	poli2 poli2 poli2	freqMed freqMed freqMed	HIGH LOW NOT	ANT ANT ANT	4.9 5 0	5 4.5 0.2
Lapesa-2014-772-140	140	contradiction	noun			655:contradiction-similarity:0 656:contradiction-conflict:0 657:contradiction-agreement:0	→600 →131 →23	poli3 poli3 poli3	freqMax freqMax freqMax	LOW NOT HIGH	ANT ANT ANT	4.2 0.3 4.8	3.5 0.3 4.3
Lapesa-2014-772-141	141	contrast	verb			325:to-contrast-to-oppose:0 326:to-contrast-to-compare:0 327:to-contrast-to-blend:0	→459 →119 →68	poli3 poli3 poli3	freqMax freqMax freqMax	NOT HIGH LOW	ANT ANT ANT	1 2.6 4.1	0.6 2.3 3.5
Lapesa-2014-772-142	142	convict	verb	983	CONVICT	454:to-pardon-to-convict:1	←471	poli2	freqMin	LOW	ANT	4.5	4.9
Lapesa-2014-772-143	143	copy	verb			473:to-replicate-to-copy:1 474:to-replicate-to-copy:1 491:to-scribe-to-copy:1	←545 ←545 ←581	poli1 poli1 poli1	freqMax freqMax freqMin	HIGH HIGH LOW	SYN HYP HYP	4.9 4.7 3.6	4.9 4.7 4.3
Lapesa-2014-772-144	144	cosmopolitan	adjective			95:metropolitan-cosmopolitan:1	←426	poli1	freqMed	LOW	SYN	2.7	2.8
Lapesa-2014-772-145	145	coupling	noun			658:coupling-pairing:0 659:coupling-decoupling:0 660:coupling-mating:0	→468 →166 →419	poli3 poli3 poli3	freqMed freqMed freqMed	HIGH NOT LOW	SYN SYN SYN	4.6 0 4.2	4.8 0 4.5
Lapesa-2014-772-146	146	court	verb	1068	COURT	328:to-court-to-ignore:0 329:to-court-to-see:0 330:to-court-to-flatter:0 331:to-court-to-ignore:0 332:to-court-to-ignore:0 333:to-court-to-date:0 334:to-court-to-date:0 335:to-court-to-disregard:0 336:to-court-to-date:0	→329 →585 →265 →329 →329 →161 →161 →202 →161	poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMed freqMed freqMed freqMed freqMed freqMed	NOT LOW LOW NOT HIGH HIGH HIGH LOW NOT	HYP HYP SYN SYN ANT HYP SYN ANT ANT	0 3.4 2.1 0.1 4.4 3.8 4.4 3.3 0.1	0.4 3.4 2.2 0 4.3 4.6 4.7 4.1 0.5
Lapesa-2014-772-147	147	crab	noun	2348	CRAB	661:crab-seafood:0 662:crab-crustacean:0 663:crab-joy:0 664:crab-joy:0 665:crab-crustacean:0 666:crab-animal:0	→583 →155 →377 →377 →155 →34	poli3 poli3 poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMed freqMed freqMed	LOW HIGH NOT NOT LOW HIGH	SYN SYN HYP SYN HYP HYP	3 3.4 0 0 5 3.4	2.9 3.7 0 0 4.9 3.3
Lapesa-2014-772-148	148	crayfish	noun	467	CRAYFISH	731:lobster-crayfish:1	←405	poli2	freqMed	LOW	SYN	2.5	2.3
Lapesa-2014-772-149	149	create	verb			433:to-make-to-create:1 434:to-make-to-create:1 436:to-make-to-create:1	←413 ←413 ←413	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH HIGH NOT	HYP SYN ANT	3.6 4.7 0	4.6 5 0.6
Lapesa-2014-772-150	150	creator	noun			613:artist-creator:1 847:wrecker-creator:1	←44 ←766	poli1 poli2	freqMax freqMin	LOW LOW	SYN ANT	3.7 4.7	3.7 4.8
Lapesa-2014-772-151	151	crew	noun			845:workforce-crew:1	←763	poli1	freqMax	LOW	SYN	4.5	4.2
Lapesa-2014-772-152	152	crinkle	verb			409:to-iron-to-crinkle:1	←374	poli1	freqMed	LOW	ANT	4.4	4.7
Lapesa-2014-772-153	153	critical	adjective			238:vital-critical:1	←744	poli1	freqMax	LOW	SYN	4.5	4.6
Lapesa-2014-772-154	154	critique	verb			337:to-critique-to-praise:0 338:to-critique-to-ignore:0 339:to-critique-to-review:0	→499 →329 →557	poli1 poli1 poli1	freqMin freqMin freqMin	HIGH LOW NOT	ANT ANT ANT	4.2 3.7 0.9	4.2 3.6 0.5
Lapesa-2014-772-155	155	crustacean	noun			662:crab-crustacean:1 665:crab-crustacean:1 732:lobster-crustacean:1 733:lobster-crustacean:1	←147 ←147 ←405 ←405	poli3 poli3 poli2 poli2	freqMed freqMed freqMed freqMed	HIGH LOW HIGH LOW	SYN HYP SYN HYP	3.4 5 3.1 5	3.7 4.9 2.7 4.9
Lapesa-2014-772-156	156	crystal	noun	4039	CRYSTAL	822:stone-crystal:1	←637	poli3	freqMax	LOW	SYN	2.8	2.3
Lapesa-2014-772-157	157	cut	verb	1432	CUT	421:to-lop-to-cut:1 423:to-lop-to-cut:1 550:to-trim-to-cut:1 551:to-trim-to-cut:1 717:groove-cut:1	←406 ←406 ←677 ←677 ←300	poli2 poli2 poli3 poli3 poli3	freqMin freqMin freqMed freqMed freqMed	HIGH HIGH HIGH HIGH LOW	SYN HYP HYP SYN HYP	4.5 4.7 4.5 4.3 2.6	4.5 4.2 4.4 4.1 3.8
Lapesa-2014-772-158	158	cyclical	adjective			104:orbital-cyclical:1	←460	poli2	freqMin	LOW	HYP	3.538	3.364
Lapesa-2014-772-159	159	cynical	adjective			174:unaffected-cynical:1	←690	poli3	freqMed	LOW	ANT	1.6	1.1
Lapesa-2014-772-160	160	dance	noun	3472	DANCE (MOVEMENT)	716:groove-dance:1	←300	poli3	freqMed	HIGH	HYP	2.7	3.3
Lapesa-2014-772-161	161	date	verb			333:to-court-to-date:1 334:to-court-to-date:1 336:to-court-to-date:1 786:rendezvous-date:1	←146 ←146 ←146 ←544	poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMin	HIGH HIGH NOT LOW	HYP SYN ANT SYN	3.8 4.4 0.1 3.9	4.6 4.7 0.5 3.3
Lapesa-2014-772-162	162	dead	adjective	1625	DEAD	68:immortal-dead:1	←336	poli3	freqMed	LOW	ANT	4.1	4
Lapesa-2014-772-163	163	deaf	adjective	996	DEAF	31:deaf-hearing:0 32:deaf-unhearing:0 33:deaf-sensitive:0	→309 →707 →587	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH NOT LOW	ANT ANT ANT	5 0 2	4.6 0.1 1.1
Lapesa-2014-772-164	164	declaration	noun			619:assertion-declaration:1	←46	poli2	freqMax	LOW	HYP	3.5	4
Lapesa-2014-772-165	165	declare	verb			351:to-document-to-declare:1	←207	poli2	freqMax	LOW	SYN	1.3	2.2
Lapesa-2014-772-166	166	decoupling	noun			659:coupling-decoupling:1	←145	poli3	freqMed	NOT	SYN	0	0
Lapesa-2014-772-167	167	deduce	verb			340:to-deduce-to-conclude:0 341:to-deduce-to-discover:0 342:to-deduce-to-confuse:0	→127 →193 →132	poli2 poli2 poli2	freqMed freqMed freqMed	HIGH LOW NOT	SYN SYN SYN	3.9 3.2 0	4 3.2 0
Lapesa-2014-772-168	168	deep	adjective	1593	DEEP	146:superficial-deep:1 147:superficial-deep:1	←649 ←649	poli3 poli3	freqMed freqMed	HIGH NOT	ANT SYN	4.7 0	4.2 0
Lapesa-2014-772-169	169	deliberate	adjective			83:intentional-deliberate:1	←366	poli2	freqMed	LOW	SYN	4.8	5
Lapesa-2014-772-170	170	delist	verb			297:to-catalogue-to-delist:1	←91	poli2	freqMed	LOW	ANT	4.9	4.4
Lapesa-2014-772-171	171	democratic	adjective			35:despotic-democratic:1	←180	poli1	freqMin	HIGH	ANT	4.7	3.9
Lapesa-2014-772-172	172	demolish	verb			517:to-structure-to-demolish:1	←642	poli1	freqMax	NOT	HYP	0.1	0
Lapesa-2014-772-173	173	denial	noun			616:assertion-denial:1 618:assertion-denial:1	←46 ←46	poli2 poli2	freqMax freqMax	NOT HIGH	HYP ANT	1.1 3.6	1.2 3.2
Lapesa-2014-772-174	174	depart	verb			278:to-arrive-to-depart:1	←43	poli2	freqMax	NOT	SYN	0	0
Lapesa-2014-772-175	175	departure	noun			712:goodbye-departure:1	←291	poli1	freqMed	LOW	SYN	3	3.6
Lapesa-2014-772-176	176	dependent	adjective			228:unsupervised-dependent:1	←725	poli2	freqMin	LOW	ANT	2.3	2.7
Lapesa-2014-772-177	177	depress	verb			562:to-uplift-to-depress:1 565:to-uplift-to-depress:1	←729 ←729	poli3 poli3	freqMed freqMed	HIGH NOT	ANT HYP	4.9 0	5 0
Lapesa-2014-772-178	178	desire	verb	1784	WANT	365:to-fancy-to-desire:1	←254	poli2	freqMed	LOW	SYN	4.2	4.4
Lapesa-2014-772-179	179	desolate	adjective			73:inconsolable-desolate:1	←349	poli2	freqMin	NOT	ANT	0.3	0.4
Lapesa-2014-772-180	180	despotic	adjective			34:despotic-dictatorial:0 35:despotic-democratic:0 36:despotic-accountable:0	→187 →171 →10	poli1 poli1 poli1	freqMin freqMin freqMin	NOT HIGH LOW	ANT ANT ANT	0.4 4.7 2	0.4 3.9 3.1
Lapesa-2014-772-181	181	destroy	verb	681	DESTROY	430:to-make-to-destroy:1 432:to-make-to-destroy:1 435:to-make-to-destroy:1 475:to-replicate-to-destroy:1 477:to-replicate-to-destroy:1	←413 ←413 ←413 ←545 ←545	poli3 poli3 poli3 poli1 poli1	freqMax freqMax freqMax freqMax freqMax	NOT NOT HIGH NOT NOT	HYP SYN ANT HYP SYN	0.2 0 5 0 0	0 0 4.9 0 0
Lapesa-2014-772-182	182	destroyed	adjective			144:recoverable-destroyed:1	←535	poli3	freqMin	LOW	ANT	4.1	4.3
Lapesa-2014-772-183	183	destroyer	noun			848:wrecker-destroyer:1 852:wrecker-destroyer:1	←766 ←766	poli2 poli2	freqMin freqMin	NOT HIGH	ANT SYN	0.1 4.6	0 4.7
Lapesa-2014-772-184	184	detract	verb			530:to-sum-to-detract:1	←648	poli1	freqMax	LOW	ANT	4.3	2.5
Lapesa-2014-772-185	185	devolve	verb			343:to-devolve-to-block:0 344:to-devolve-to-transfer:0 345:to-devolve-to-keep:0	→70 →674 →378	poli2 poli2 poli2	freqMed freqMed freqMed	LOW NOT HIGH	ANT ANT ANT	1 0.8 2.4	0.9 0.8 2.9
Lapesa-2014-772-186	186	diagnostic	adjective			130:psychiatric-diagnostic:1	←518	poli1	freqMax	LOW	HYP	1.9	2.8
Lapesa-2014-772-187	187	dictatorial	adjective			34:despotic-dictatorial:1	←180	poli1	freqMin	NOT	ANT	0.4	0.4
Lapesa-2014-772-188	188	dimensional	adjective			37:dimensional-undimensional:0 38:dimensional-flat:0 39:dimensional-spatial:0	→697 →263 →618	poli1 poli1 poli1	freqMed freqMed freqMed	LOW HIGH NOT	ANT ANT ANT	4.6 4.3 1	4.9 4.3 1.1
Lapesa-2014-772-189	189	dirty	adjective	1230	DIRTY	70:impure-dirty:1 175:unclean-dirty:1 178:unclean-dirty:1 183:unclean-dirty:1	←342 ←692 ←692 ←692	poli3 poli3 poli3 poli3	freqMin freqMin freqMin freqMin	HIGH HIGH HIGH NOT	HYP SYN HYP ANT	4.3 5 4.5 0	4.667 4.9 4.2 0
Lapesa-2014-772-190	190	disarm	verb			275:to-arm-to-disarm:1	←41	poli2	freqMax	HIGH	ANT	5	5
Lapesa-2014-772-191	191	disclose	verb			346:to-disclose-to-reveal:0 347:to-disclose-to-hide:0 348:to-disclose-to-inform:0	→555 →315 →356	poli2 poli2 poli2	freqMax freqMax freqMax	HIGH NOT LOW	SYN SYN SYN	4.9 0.5 4.3	4.9 0 4.6
Lapesa-2014-772-192	192	discourage	verb			567:to-uplift-to-discourage:1	←729	poli3	freqMed	LOW	ANT	4.7	4.7
Lapesa-2014-772-193	193	discover	verb			341:to-deduce-to-discover:1	←167	poli2	freqMed	LOW	SYN	3.2	3.2
Lapesa-2014-772-194	194	discuss	verb			452:to-pardon-to-discuss:1	←471	poli2	freqMin	LOW	HYP	1.4	0.9
Lapesa-2014-772-195	195	disgust	noun	2465	DISGUST	595:admiration-disgust:1 600:admiration-disgust:1	←18 ←18	poli3 poli3	freqMed freqMed	NOT NOT	HYP SYN	0 0	0 0
Lapesa-2014-772-196	196	disgusting	adjective	2507	DISGUSTING	55:gross-disgusting:1 60:gross-disgusting:1	←301 ←301	poli2 poli2	freqMax freqMax	HIGH HIGH	SYN HYP	4.7 4.615	4.9 3.909
Lapesa-2014-772-197	197	dislike	verb			366:to-fancy-to-dislike:1	←254	poli2	freqMed	NOT	SYN	0	0
Lapesa-2014-772-198	198	disorganize	verb			296:to-catalogue-to-disorganize:1 299:to-catalogue-to-disorganize:1 450:to-organize-to-disorganize:1 514:to-streamline-to-disorganize:1	←91 ←91 ←463 ←641	poli2 poli2 poli1 poli1	freqMed freqMed freqMax freqMed	NOT HIGH NOT LOW	HYP ANT SYN ANT	0 4.3 0 4.3	0 4.4 0 4.9
Lapesa-2014-772-199	199	dispensable	adjective			77:indispensable-dispensable:1	←352	poli2	freqMed	HIGH	ANT	5	4.8
Lapesa-2014-772-200	200	dispersal	noun			670:distribution-dispersal:1	←204	poli3	freqMax	LOW	SYN	3.8	4.3
Lapesa-2014-772-201	201	disprove	verb			360:to-evidence-to-disprove:1 402:to-invalidate-to-disprove:1	←241 ←370	poli3 poli3	freqMed freqMin	HIGH NOT	ANT ANT	4.2 0	3.9 0
Lapesa-2014-772-202	202	disregard	verb			335:to-court-to-disregard:1	←146	poli3	freqMed	LOW	ANT	3.3	4.1
Lapesa-2014-772-203	203	dissociative	adjective			9:associative-dissociative:1	←47	poli3	freqMin	HIGH	ANT	4.9	4.7
Lapesa-2014-772-204	204	distribution	noun			667:distribution-collection:0 668:distribution-hoarding:0 669:distribution-allotment:0 670:distribution-dispersal:0 671:distribution-allotment:0 672:distribution-collection:0	→113 →318 →31 →200 →31 →113	poli3 poli3 poli3 poli3 poli3 poli3	freqMax freqMax freqMax freqMax freqMax freqMax	NOT LOW NOT LOW HIGH HIGH	SYN ANT ANT SYN SYN ANT	0.1 4.2 0.6 3.8 4.2 4.7	0.5 4.1 0.3 4.3 3.7 4.6
Lapesa-2014-772-205	205	divide	verb	1119	DIVIDE	506:to-split-to-divide:1 510:to-split-to-divide:1 511:to-split-to-divide:1	←624 ←624 ←624	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH HIGH NOT	SYN HYP ANT	4.7 4.9 0	4.7 4.9 0.1
Lapesa-2014-772-206	206	do	verb	813	DO	431:to-make-to-do:1	←413	poli3	freqMax	LOW	HYP	3.1	2.8
Lapesa-2014-772-207	207	document	verb			349:to-document-to-record:0 350:to-document-to-retract:0 351:to-document-to-declare:0 352:to-document-to-forget:0 353:to-document-to-record:0 354:to-document-to-write:0	→534 →554 →165 →270 →534 →768	poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH NOT LOW NOT HIGH LOW	SYN SYN SYN HYP HYP HYP	4.7 0.1 1.3 0 4.3 4.3	4.9 0.1 2.2 0 4.6 4.5
Lapesa-2014-772-208	208	documentary	noun			759:parody-documentary:1	←474	poli2	freqMed	NOT	HYP	0.2	1.8
Lapesa-2014-772-209	209	double	adjective			40:double-twin:0 41:double-twin:0 42:double-single:0 43:double-single:0 44:double-indivisible:0 45:double-dual:0	→684 →684 →603 →603 →353 →211	poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH NOT HIGH NOT LOW LOW	SYN ANT ANT SYN ANT SYN	3.7 1.1 3.6 0.1 2.1 3.9	4 0.5 3.3 0 1.3 4.5
Lapesa-2014-772-210	210	drive	verb	741	DRIVE	462:to-park-to-drive:1	←473	poli2	freqMax	HIGH	ANT	4.1	4.3
Lapesa-2014-772-211	211	dual	adjective			45:double-dual:1	←209	poli2	freqMax	LOW	SYN	3.9	4.5
Lapesa-2014-772-212	212	dull	verb			371:to-hone-to-dull:1 372:to-hone-to-dull:1 471:to-polish-to-dull:1 556:to-twinkle-to-dull:1 561:to-twinkle-to-dull:1	←321 ←321 ←495 ←685 ←685	poli2 poli2 poli3 poli2 poli2	freqMed freqMed freqMed freqMin freqMin	HIGH NOT NOT NOT NOT	ANT SYN HYP SYN HYP	4.8 0 0.1 0 0	4.9 0 0.1 0.1 0
Lapesa-2014-772-213	213	ecstatic	adjective			75:inconsolable-ecstatic:1	←349	poli2	freqMin	LOW	ANT	3.2	3.3
Lapesa-2014-772-214	214	education	noun			673:education-knowledge:0 674:education-learning:0 675:education-learning:0 676:education-ignorance:0 677:education-schooling:0 678:education-ignorance:0 679:education-ignorance:0 680:education-schooling:0 681:education-illiteracy:0	→382 →392 →392 →328 →574 →328 →328 →574 →331	poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	LOW HIGH LOW NOT NOT NOT HIGH HIGH LOW	HYP HYP SYN SYN ANT HYP ANT SYN ANT	3.3 3.5 3.9 0 0.1 0 4.3 4.9 4.3	2.7 3.8 3.7 0.2 0.2 0.1 3.7 4.3 3.7
Lapesa-2014-772-215	215	educator	noun			682:educator-student:0 683:educator-teacher:0 684:educator-learner:0	→646 →659 →391	poli1 poli1 poli1	freqMax freqMax freqMax	HIGH NOT LOW	ANT ANT ANT	4.1 0.1 4.2	4.7 0.1 3.8
Lapesa-2014-772-216	216	electron	noun			753:neutron-electron:1	←447	poli1	freqMed	LOW	SYN	0.3	0.5
Lapesa-2014-772-217	217	element	noun			723:iodine-element:1	←373	poli2	freqMin	LOW	HYP	4.6	4.8
Lapesa-2014-772-218	218	elephant	noun	1290	ELEPHANT	685:elephant-mammal:0 686:elephant-ant:0 687:elephant-ant:0 688:elephant-ant:0 689:elephant-animal:0 690:elephant-pachyderm:0 691:elephant-pachyderm:0 692:elephant-animal:0 693:elephant-flea:0	→414 →35 →35 →35 →34 →465 →465 →34 →266	poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	LOW NOT NOT HIGH LOW HIGH NOT HIGH LOW	HYP HYP SYN ANT SYN SYN ANT HYP ANT	5 0 0 2.6 2.6 4.4 0.5 5 3.4	4.9 0 0 2.1 1.9 3.9 0 5 3.3
Lapesa-2014-772-219	219	emasculate	verb			355:to-emasculate-to-castrate:0 356:to-emasculate-to-weaken:0 357:to-emasculate-to-empower:0	→90 →748 →224	poli2 poli2 poli2	freqMin freqMin freqMin	LOW HIGH NOT	SYN SYN SYN	3.6 3.4 0.6	3.3 3.2 0
Lapesa-2014-772-220	220	emotion	noun			596:admiration-emotion:1	←18	poli3	freqMed	LOW	HYP	4.3	4.8
Lapesa-2014-772-221	221	emotional	adjective	3761	EMOTIONAL	46:emotional-unemotional:0 47:emotional-stoic:0 48:emotional-sensitive:0 49:excitable-emotional:1	→699 →635 →587 ←242	poli3 poli3 poli3 poli3	freqMax freqMax freqMax freqMin	HIGH LOW NOT HIGH	ANT ANT ANT HYP	5 4.8 0.3 3.615	5 4.1 0.2 4.364
Lapesa-2014-772-222	222	emperor	noun	3377	EMPEROR	694:emperor-leader:0 695:emperor-peasant:0 696:emperor-ruler:0	→389 →481 →564	poli3 poli3 poli3	freqMed freqMed freqMed	LOW NOT HIGH	HYP HYP HYP	4.8 0 4.8	5 0 4.5
Lapesa-2014-772-223	223	employees	noun			846:workforce-employees:1	←763	poli1	freqMax	HIGH	SYN	4.4	4.7
Lapesa-2014-772-224	224	empower	verb			357:to-emasculate-to-empower:1	←219	poli2	freqMin	NOT	SYN	0.6	0
Lapesa-2014-772-225	225	emptiness	noun			654:completeness-emptiness:1	←123	poli2	freqMed	LOW	ANT	4.4	4.4
Lapesa-2014-772-226	226	encore	noun			697:encore-show:0 698:encore-opening:0 699:encore-performance:0	→598 →458 →482	poli1 poli1 poli1	freqMed freqMed freqMed	LOW NOT HIGH	HYP HYP HYP	2 0.2 4.5	3.4 0.3 4.1
Lapesa-2014-772-227	227	encrypt	verb			396:to-interpret-to-encrypt:1	←367	poli3	freqMax	LOW	ANT	3.7	4.2
Lapesa-2014-772-228	228	end	verb	1928	CEASE	418:to-kill-to-end:1	←379	poli3	freqMax	HIGH	HYP	4.6	4.4
Lapesa-2014-772-229	229	engrave	verb			390:to-inscribe-to-engrave:1 393:to-inscribe-to-engrave:1	←362 ←362	poli3 poli3	freqMed freqMed	LOW LOW	SYN HYP	4.1 4.3	4.5 4.3
Lapesa-2014-772-230	230	equine	noun			853:zebra-equine:1	←771	poli1	freqMin	LOW	HYP	4.4	4.3
Lapesa-2014-772-231	231	erase	verb			386:to-ink-to-erase:1 388:to-inscribe-to-erase:1 392:to-inscribe-to-erase:1	←359 ←362 ←362	poli2 poli3 poli3	freqMin freqMed freqMed	HIGH NOT NOT	ANT HYP SYN	4 0.4 0	4.1 0.3 0
Lapesa-2014-772-232	232	essential	adjective			78:indispensable-essential:1	←352	poli2	freqMed	NOT	ANT	0.6	0.6
Lapesa-2014-772-233	233	esteem	noun			598:admiration-esteem:1	←18	poli3	freqMed	LOW	SYN	3.9	4.5
Lapesa-2014-772-234	234	estimate	noun			707:gauge-estimate:1	←283	poli1	freqMax	LOW	ANT	0.5	1
Lapesa-2014-772-235	235	estimation	noun			738:measurement-estimation:1	←422	poli2	freqMax	LOW	ANT	2.3	3.1
Lapesa-2014-772-236	236	eternal	adjective			97:mortal-eternal:1	←435	poli2	freqMed	LOW	ANT	4	4.2
Lapesa-2014-772-237	237	ethics	noun			777:rationale-ethics:1	←528	poli1	freqMed	LOW	SYN	1.6	1.6
Lapesa-2014-772-238	238	evade	verb			587:to-zigzag-to-evade:1	←772	poli1	freqMin	LOW	SYN	1.8	2.6
Lapesa-2014-772-239	239	even	adjective			188:uneven-even:1	←700	poli3	freqMed	HIGH	ANT	4.8	5
Lapesa-2014-772-240	240	event	noun			812:sandstorm-event:1	←570	poli1	freqMin	LOW	HYP	3.2	3.8
Lapesa-2014-772-241	241	evidence	verb			358:to-evidence-to-miss:0 359:to-evidence-to-prove:0 360:to-evidence-to-disprove:0	→429 →516 →201	poli3 poli3 poli3	freqMed freqMed freqMed	LOW NOT HIGH	ANT ANT ANT	1.6 0 4.2	1.6 0.7 3.9
Lapesa-2014-772-242	242	excitable	adjective			49:excitable-emotional:0 50:excitable-responsive:0 51:excitable-unexcitable:0	→221 →551 →701	poli3 poli3 poli3	freqMin freqMin freqMin	HIGH LOW NOT	HYP HYP HYP	3.615 4.7 0	4.364 3.7 0.333
Lapesa-2014-772-243	243	excite	verb			397:to-intoxicate-to-excite:1	←368	poli3	freqMin	NOT	ANT	0.6	1
Lapesa-2014-772-244	244	exclude	verb			271:to-amalgamate-to-exclude:1 307:to-consist-to-exclude:1 308:to-consist-to-exclude:1	←33 ←134 ←134	poli1 poli1 poli1	freqMed freqMax freqMax	LOW NOT HIGH	ANT HYP ANT	4 0.3 3.9	4.4 0.3 3
Lapesa-2014-772-245	245	excuse	verb			456:to-pardon-to-excuse:1	←471	poli2	freqMin	LOW	SYN	4.5	4.8
Lapesa-2014-772-246	246	exist	verb			311:to-consist-to-exist:1	←134	poli1	freqMax	LOW	HYP	2.3	2.3
Lapesa-2014-772-247	247	experience	noun			750:naivety-experience:1	←444	poli1	freqMin	NOT	SYN	0.5	0.1
Lapesa-2014-772-248	248	export	verb			361:to-export-to-send:0 362:to-export-to-import:0 363:to-export-to-ship:0	→586 →337 →595	poli1 poli1 poli1	freqMax freqMax freqMax	LOW NOT HIGH	SYN SYN SYN	3.8 0 3.7	3.2 0.1 3.7
Lapesa-2014-772-249	249	extravagant	adjective			170:thrifty-extravagant:1	←666	poli3	freqMin	LOW	ANT	4.7	4.5
Lapesa-2014-772-250	250	fact	noun			800:rumour-fact:1	←565	poli1	freqMax	LOW	ANT	4.2	4.9
