ID	NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CATEGORY	AoA	FAMILIARITY	TYPICALITY	VISUALCOMPLEXITY	LEXICALFREQ
MorenoMartinez-2012-360-25	25	Goose	Oca	1187	GOOSE	BIRDS	3.28	3.28	3.49	2.38	16.05
MorenoMartinez-2012-360-26	26	Hen	Gallina	1514	HEN	BIRDS	2.01	4.11	4.06	3.00	16.30
MorenoMartinez-2012-360-27	27	Hummingbird	Colibrí	1589	HUMMINGBIRD	BIRDS	5.16	2.54	3.13	4.22	14.32
MorenoMartinez-2012-360-28	28	Kiwi	Kiwi	3247	KIWIFRUIT	BIRDS	6.42	1.49	1.80	3.41	15.05
MorenoMartinez-2012-360-29	29	Magpie	Urraca	2039	MAGPIE	BIRDS	4.55	2.72	3.29	3.38	14.21
MorenoMartinez-2012-360-30	30	Ostrich	Avestruz	3797	OSTRICH	BIRDS	3.54	2.91	3.32	3.18	14.54
MorenoMartinez-2012-360-31	31	Owl	Búho	735	OWL	BIRDS	3.60	3.03	3.76	3.37	14.79
MorenoMartinez-2012-360-32	32	Partridge	Perdiz	3681	PARTRIDGE	BIRDS	4.24	2.86	3.65	3.54	15.17
MorenoMartinez-2012-360-33	33	Pelican	Pelícano	472	PELICAN	BIRDS	4.56	2.38	2.99	3.63	13.62
MorenoMartinez-2012-360-34	34	Penguin	Pingüino	2831	PENGUIN	BIRDS	3.30	2.77	2.57	3.09	15.05
MorenoMartinez-2012-360-35	35	Pheasant 	Faisán	3060	PHEASANT	BIRDS	5.63	1.91	2.65	3.78	15.61
MorenoMartinez-2012-360-36	36	Pigeon	Paloma	1853	DOVE	BIRDS	2.25	4.47	4.58	2.70	16.91
MorenoMartinez-2012-360-37	37	Raven	Cuervo	2543	RAVEN	BIRDS	3.81	3.14	3.71	2.39	16.37
MorenoMartinez-2012-360-38	38	Rooster	Gallo	1511	ROOSTER	BIRDS	2.33	3.81	4.06	3.10	16.92
MorenoMartinez-2012-360-39	39	Seagull	Gaviota	950	SEAGULL	BIRDS	3.61	3.30	3.91	2.91	15.34
MorenoMartinez-2012-360-40	40	Sparrow	Gorrión	1854	SPARROW	BIRDS	3.27	3.84	4.39	3.15	14.21
MorenoMartinez-2012-360-41	41	Toucan	Tucán	308	TOUCAN	BIRDS	5.30	2.30	3.06	3.41	13.40
MorenoMartinez-2012-360-42	42	Arm	Brazo	1673	ARM	BODY PARTS	1.62	4.87	4.73	1.73	17.27
MorenoMartinez-2012-360-43	43	Beard	Barba	678	BEARD	BODY PARTS	2.62	3.32	2.51	3.10	16.43
MorenoMartinez-2012-360-44	44	Bone	Hueso	1394	BONE	BODY PARTS	2.61	4.08	4.13	1.43	16.61
MorenoMartinez-2012-360-45	45	Brain	Cerebro	1583	BRAIN	BODY PARTS	4.14	4.09	3.87	2.86	17.56
MorenoMartinez-2012-360-46	46	Ear	Oreja	1247	EAR	BODY PARTS	1.54	4.77	4.64	2.31	16.97
MorenoMartinez-2012-360-47	47	Eye	Ojo	1248	EYE	BODY PARTS	1.53	4.87	4.69	2.71	18.37
MorenoMartinez-2012-360-48	48	Finger	Dedo	1303	FINGER	BODY PARTS	1.47	4.91	4.43	1.95	17.18
MorenoMartinez-2012-360-49	49	Foot	Pie	1301	FOOT	BODY PARTS	1.49	4.92	4.81	2.22	18.93
MorenoMartinez-2012-360-50	50	Hand	Mano	1277	HAND	BODY PARTS	1.37	4.94	4.95	2.70	19.61
MorenoMartinez-2012-360-51	51	Kidney	Riñón	489	KIDNEY	BODY PARTS	4.33	3.01	3.63	1.86	15.86
MorenoMartinez-2012-360-52	52	Leg	Pierna	1297	LEG	BODY PARTS	1.56	4.92	4.81	2.01	16.63
MorenoMartinez-2012-360-53	53	Liver	Hígado	1224	LIVER	BODY PARTS	4.62	2.95	3.86	2.43	16.13
MorenoMartinez-2012-360-54	54	Lung	Pulmón	688	LUNG	BODY PARTS	4.25	2.68	3.73	2.62	15.97
MorenoMartinez-2012-360-55	55	Mouth	Boca	674	MOUTH	BODY PARTS	1.51	4.89	4.53	1.92	18.64
MorenoMartinez-2012-360-56	56	Nose	Nariz	1221	NOSE	BODY PARTS	1.54	4.85	4.62	1.68	16.86
MorenoMartinez-2012-360-57	57	Pelvis	Pelvis			BODY PARTS	5.71	2.54	3.01	3.38	14.68
MorenoMartinez-2012-360-58	58	Skull	Cráneo	1605	SKULL	BODY PARTS	4.00	3.68	3.82	3.24	15.63
MorenoMartinez-2012-360-59	59	Toe	Uña	1389	TOE	BODY PARTS	1.90	4.90	3.70	2.16	15.13
MorenoMartinez-2012-360-60	60	Tongue	Lengua	1205	TONGUE	BODY PARTS	1.75	4.80	4.25	2.46	18.54
MorenoMartinez-2012-360-61	61	Vertebra	Vértebra	1543	SNAIL	BODY PARTS	5.41	2.74	2.81	2.44	13.11
MorenoMartinez-2012-360-62	62	Araceae	Cala			FLOWERS	5.63	2.86	2.84	2.11	16.43
MorenoMartinez-2012-360-63	63	Bellflowers	Campanillas			FLOWERS	5.09	2.55	2.92	2.96	14.67
MorenoMartinez-2012-360-64	64	Carnation	Clavel			FLOWERS	3.57	3.90	4.57	2.71	14.81
MorenoMartinez-2012-360-65	65	Daisy	Margarita			FLOWERS	2.52	4.42	4.84	2.06	17.38
MorenoMartinez-2012-360-66	66	Geranium	Geranio			FLOWERS	3.97	3.57	3.94	3.52	13.51
MorenoMartinez-2012-360-67	67	Lilac	Lilas	3752	LILAC	FLOWERS	4.96	2.81	3.29	3.33	14.25
MorenoMartinez-2012-360-68	68	Orchid	Orquídea			FLOWERS	5.67	2.71	3.61	3.41	14.34
MorenoMartinez-2012-360-69	69	Pansy	Pensamiento			FLOWERS	5.43	2.75	3.33	2.89	18.17
MorenoMartinez-2012-360-70	70	Poppy	Amapola			FLOWERS	3.37	4.03	4.27	2.47	14.74
MorenoMartinez-2012-360-71	71	Rose	Rosa	3882	ROSE	FLOWERS	2.71	4.37	4.87	2.73	19.02
MorenoMartinez-2012-360-72	72	Sunflower 	Girasol	1956	SUNFLOWER	FLOWERS	3.01	3.81	3.55	2.40	15.77
MorenoMartinez-2012-360-73	73	Tulip	Tulipán			FLOWERS	4.28	3.42	3.87	2.22	13.66
MorenoMartinez-2012-360-74	74	Apple	Manzana	1320	APPLE	FRUITS	1.95	4.87	4.92	1.46	17.20
MorenoMartinez-2012-360-75	75	Avocado	Aguacate	3725	AVOCADO	FRUITS	5.52	3.24	2.63	1.85	15.32
MorenoMartinez-2012-360-76	76	Banana	Plátano	868	BANANA	FRUITS	1.95	4.79	4.83	1.58	15.65
MorenoMartinez-2012-360-77	77	Cherries	Cerezas	2765	CHERRY	FRUITS	2.97	4.42	4.27	1.73	15.24
MorenoMartinez-2012-360-78	78	Coconut	Coco	970	COCONUT	FRUITS	3.44	3.22	2.75	1.86	16.88
MorenoMartinez-2012-360-79	79	Custard apple 	Chirimoya			FRUITS	5.04	3.00	2.85	2.26	14.13
MorenoMartinez-2012-360-80	80	Fig	Higo	322	FIG	FRUITS	3.44	3.72	3.10	1.70	14.15
MorenoMartinez-2012-360-81	81	Flat peach	Paraguaya			FRUITS	5.31	3.03	2.90	2.40	15.32
MorenoMartinez-2012-360-82	82	Grapes	Uvas	920	GRAPE	FRUITS	2.29	4.42	4.29	2.11	16.00
MorenoMartinez-2012-360-83	83	Kiwifruit	Kiwi	3247	KIWIFRUIT	FRUITS	5.16	4.25	3.81	1.59	15.05
MorenoMartinez-2012-360-84	84	Lemon	Limón	3091	LEMON	FRUITS	2.25	4.65	4.10	1.41	16.90
MorenoMartinez-2012-360-85	85	Mango	Mango	2398	MANGO	FRUITS	5.80	2.53	2.72	1.66	16.74
MorenoMartinez-2012-360-86	86	Melon	Melón	507	MELON	FRUITS	2.34	4.65	4.49	1.57	15.40
MorenoMartinez-2012-360-87	87	Orange	Naranja	2627	ORANGE (FRUIT)	FRUITS	1.87	4.84	4.82	1.18	18.16
MorenoMartinez-2012-360-88	88	Peach	Melocotón	2043	PEACH	FRUITS	2.54	4.29	4.53	1.47	14.85
MorenoMartinez-2012-360-89	89	Pear	Pera	922	PEAR	FRUITS	2.05	4.58	4.84	1.66	16.15
MorenoMartinez-2012-360-90	90	Pomegranate	Granada	3732	POMEGRANATE	FRUITS	4.37	3.56	3.00	1.89	19.47
MorenoMartinez-2012-360-91	91	Quince	Membrillo			FRUITS	4.24	3.11	2.70	1.63	14.66
MorenoMartinez-2012-360-92	92	Redcurrant	Grosella			FRUITS	6.06	2.18	2.14	2.99	13.14
MorenoMartinez-2012-360-93	93	Strawberry	Fresa	3138	STRAWBERRY	FRUITS	2.54	4.58	4.67	2.03	16.32
MorenoMartinez-2012-360-94	94	Watermelon	Sandía	2766	WATERMELON	FRUITS	2.51	4.49	4.41	1.67	14.82
MorenoMartinez-2012-360-95	95	Ant	Hormiga	587	ANT	INSECTS	2.03	4.46	4.51	2.08	15.45
MorenoMartinez-2012-360-96	96	Bee	Abeja	665	BEE	INSECTS	2.90	3.46	4.35	3.24	15.55
MorenoMartinez-2012-360-97	97	Beetle	Escarabajo	2242	BEETLE	INSECTS	3.37	3.05	3.94	2.84	15.43
MorenoMartinez-2012-360-98	98	Butterfly	Mariposa	1791	BUTTERFLY	INSECTS	2.28	4.17	4.12	2.59	16.55
MorenoMartinez-2012-360-99	99	Centipede	Ciempiés	1974	CENTIPEDE	INSECTS	3.49	2.47	3.17	3.12	12.79
MorenoMartinez-2012-360-100	100	Cockroach	Cucaracha	1575	COCKROACH	INSECTS	3.01	3.27	4.18	3.08	14.45
MorenoMartinez-2012-360-101	101	Dragonfly	Libélula	2352	DRAGONFLY	INSECTS	4.26	2.87	3.32	3.23	13.74
MorenoMartinez-2012-360-102	102	Fly	Mosca	1504	FLY (INSECT)	INSECTS	2.13	4.59	4.78	3.03	16.25
MorenoMartinez-2012-360-103	103	Grasshopper	Saltamontes	607	GRASSHOPPER	INSECTS	3.14	3.35	3.99	3.96	14.27
MorenoMartinez-2012-360-104	104	Ladybird	Mariquita	3139	LADYBUG	INSECTS	2.47	3.77	3.96	2.53	14.31
MorenoMartinez-2012-360-105	105	Mosquito	Mosquito	1509	MOSQUITO	INSECTS	2.63	4.32	4.75	2.37	15.32
MorenoMartinez-2012-360-106	106	Moth	Polilla	2828	MOTH	INSECTS	4.22	3.24	3.62	3.22	14.19
MorenoMartinez-2012-360-107	107	Praying mantis	Mantis	3279	MANTIS	INSECTS	5.44	2.29	3.20	3.61	14.19
MorenoMartinez-2012-360-108	108	Scorpion 	Escorpión	1538	SCORPION	INSECTS	3.94	2.49	2.61	3.49	15.19
MorenoMartinez-2012-360-109	109	Spider	Araña	843	SPIDER	INSECTS	2.38	3.57	4.24	2.46	16.28
MorenoMartinez-2012-360-110	110	Termite	Termita	883	TERMITE	INSECTS	5.33	1.80	2.67	2.87	12.51
MorenoMartinez-2012-360-111	111	Wasp	Avispa	1517	WASP	INSECTS	2.87	4.01	4.49	3.13	14.58
MorenoMartinez-2012-360-112	112	Cockle 	Berberecho	2785	BIVALVIA (MUSSELS OR OYSTERS)	MARINE CREATURES	4.67	3.34	2.63	2.18	12.82
MorenoMartinez-2012-360-113	113	Crab	Cangrejo	2348	CRAB	MARINE CREATURES	3.14	3.16	3.49	3.18	15.40
MorenoMartinez-2012-360-114	114	Dolphin 	Delfín	1479	DOLPHIN	MARINE CREATURES	3.01	3.19	4.47	2.33	15.64
MorenoMartinez-2012-360-115	115	Eel	Anguila	1013	FRESHWATER EEL	MARINE CREATURES	5.48	1.72	2.33	1.76	15.82
MorenoMartinez-2012-360-116	116	Goose barnacle	Percebe			MARINE CREATURES	5.82	2.59	2.39	3.61	13.50
MorenoMartinez-2012-360-117	117	Killer whale 	Orca			MARINE CREATURES	4.41	2.74	3.72	2.59	14.12
MorenoMartinez-2012-360-118	118	Lobster	Bogavante	2397	LOBSTER	MARINE CREATURES	5.70	2.90	2.87	3.66	14.38
MorenoMartinez-2012-360-119	119	Manatee 	Manatí			MARINE CREATURES	6.51	1.64	1.96	2.88	13.40
MorenoMartinez-2012-360-120	120	Mussel	Mejillón	2829	MUSSELS	MARINE CREATURES	3.77	3.99	3.06	1.80	13.91
MorenoMartinez-2012-360-121	121	Narwhal	Narval			MARINE CREATURES	6.62	1.32	1.76	3.13	13.40
MorenoMartinez-2012-360-122	122	Oyster	Ostra	2830	OYSTERS	MARINE CREATURES	5.24	2.47	2.49	3.19	13.94
MorenoMartinez-2012-360-123	123	Pomfret	Palometa			MARINE CREATURES	6.13	2.13	2.32	2.91	13.87
MorenoMartinez-2012-360-124	124	Ray	Raya			MARINE CREATURES	5.06	2.44	3.19	3.38	16.48
MorenoMartinez-2012-360-125	125	Razor-shell	Navaja			MARINE CREATURES	5.47	2.84	2.15	1.89	15.46
MorenoMartinez-2012-360-126	126	Shark	Tiburón	1110	SHARK	MARINE CREATURES	3.16	2.87	4.42	2.63	15.69
MorenoMartinez-2012-360-127	127	Sperm whale	Cachalote			MARINE CREATURES	5.21	2.10	3.09	2.64	12.81
MorenoMartinez-2012-360-128	128	Starfish	Estrella de mar	3032	STARFISH	MARINE CREATURES	3.52	2.66	3.58	2.49	18.58
MorenoMartinez-2012-360-129	129	Whale	Ballena	957	WHALE	MARINE CREATURES	3.11	2.99	4.32	2.70	15.73
MorenoMartinez-2012-360-130	130	Acorn	Bellota	968	ACORN	NUTS	3.82	3.10	2.63	2.38	15.64
MorenoMartinez-2012-360-131	131	Almond	Almendra	3815	ALMOND	NUTS	3.10	3.84	4.42	1.81	15.32
MorenoMartinez-2012-360-132	132	Chestnut	Castaña	2318	CHESTNUT	NUTS	2.95	3.89	3.71	1.53	14.97
MorenoMartinez-2012-360-133	133	Date	Dátil	3801	DATE (FRUIT)	NUTS	4.92	2.85	2.77	2.24	12.59
MorenoMartinez-2012-360-134	134	Hazelnut	Avellana			NUTS	3.70	3.39	4.24	1.54	14.23
MorenoMartinez-2012-360-135	135	Peanut	Cacahuete	595	GROUNDNUT (PEANUT)	NUTS	2.87	4.14	4.58	1.85	13.73
MorenoMartinez-2012-360-136	136	Pine kernel	Piñón			NUTS	3.91	3.05	3.27	1.77	15.09
MorenoMartinez-2012-360-137	137	Pipe	Pipa			NUTS	2.54	4.46	4.38	1.85	15.63
MorenoMartinez-2012-360-138	138	Pistachio	Pistacho			NUTS	4.34	4.04	4.13	2.09	13.94
MorenoMartinez-2012-360-139	139	Raisin	Pasa	920	GRAPE	NUTS	4.09	3.64	3.71	2.46	19.23
MorenoMartinez-2012-360-140	140	Walnut	Nuez	2042	WALNUT	NUTS	3.04	4.39	4.56	2.06	15.81
MorenoMartinez-2012-360-141	141	Black poplar	Chopo			TREES	4.48	3.24	3.73	2.22	13.98
MorenoMartinez-2012-360-142	142	Cedar	Cedro			TREES	5.64	2.41	2.90	2.95	15.35
MorenoMartinez-2012-360-143	143	Cypress	Ciprés	3243	CYPRESS	TREES	4.68	3.41	3.79	2.13	14.36
MorenoMartinez-2012-360-144	144	Eucalyptus	Eucalipto	3007	EUCALYPT	TREES	5.08	2.62	3.19	2.99	14.76
MorenoMartinez-2012-360-145	145	Fig tree	Higuera			TREES	4.81	2.92	3.13	3.27	15.59
MorenoMartinez-2012-360-146	146	Fir	Abeto	1915	FIR	TREES	4.06	3.21	3.94	3.13	14.27
MorenoMartinez-2012-360-147	147	Holm oak	Encina			TREES	4.78	3.13	3.85	3.12	15.40
MorenoMartinez-2012-360-148	148	Olive tree	Olivo			TREES	4.12	3.76	4.18	3.17	15.88
MorenoMartinez-2012-360-149	149	Palm tree	Palmera	1181	PALM TREE	TREES	3.11	3.82	3.68	2.75	15.67
MorenoMartinez-2012-360-150	150	Pine tree	Pino	1740	PINE	TREES	2.89	4.25	4.61	2.19	17.45
MorenoMartinez-2012-360-151	151	Willow	Sauce	818	WILLOW	TREES	4.71	3.37	3.80	3.08	15.51
MorenoMartinez-2012-360-152	152	Artichoke	Alcachofa			VEGETABLES	4.00	3.81	3.81	2.35	14.76
MorenoMartinez-2012-360-153	153	Asparagus	Espárrago	2605	ASPARAGUS	VEGETABLES	4.03	4.08	3.85	1.59	14.12
MorenoMartinez-2012-360-154	154	Cabbage	Repollo	774	CABBAGE	VEGETABLES	4.49	3.63	3.77	2.10	14.43
MorenoMartinez-2012-360-155	155	Carrot	Zanahoria	3085	CARROT	VEGETABLES	2.54	4.47	4.33	1.28	15.87
MorenoMartinez-2012-360-156	156	Cauliflower	Coliflor	2843	CAULIFLOWER	VEGETABLES	3.75	4.08	4.16	2.53	15.18
MorenoMartinez-2012-360-157	157	Celery	Apio	3727	CELERY	VEGETABLES	5.32	3.43	3.33	2.19	14.99
MorenoMartinez-2012-360-158	158	Chard	Acelgas			VEGETABLES	4.04	3.99	4.24	2.28	14.53
MorenoMartinez-2012-360-159	159	Cucumber	Pepino	496	CUCUMBER	VEGETABLES	3.05	4.39	4.03	1.44	15.76
MorenoMartinez-2012-360-160	160	Eggplant	Berenjena	1146	AUBERGINE	VEGETABLES	4.16	3.94	3.66	1.71	14.87
MorenoMartinez-2012-360-161	161	Endive	Escarola			VEGETABLES	5.09	3.35	3.46	3.01	13.57
MorenoMartinez-2012-360-162	162	Leek	Puerro			VEGETABLES	4.79	3.77	4.00	2.33	14.48
MorenoMartinez-2012-360-163	163	Lettuce	Lechuga	3729	LETTUCE	VEGETABLES	2.62	4.82	4.61	2.13	15.77
MorenoMartinez-2012-360-164	164	Onion	Cebolla	2366	ONION	VEGETABLES	2.72	4.66	4.08	1.47	16.62
MorenoMartinez-2012-360-165	165	Pepper	Pimiento	1385	PEPPER	VEGETABLES	3.00	4.63	4.34	1.77	15.74
MorenoMartinez-2012-360-166	166	Potato	Patata	593	POTATO	VEGETABLES	1.97	4.90	3.78	1.28	16.03
MorenoMartinez-2012-360-167	167	Pumpkin	Calabaza	411	GOURD	VEGETABLES	3.96	3.53	3.35	1.67	15.81
MorenoMartinez-2012-360-168	168	Red cabbage	Lombarda			VEGETABLES	5.91	2.68	2.64	2.32	13.62
MorenoMartinez-2012-360-169	169	Spinach	Espinaca	975	SPINACH	VEGETABLES	3.78	3.85	4.44	2.41	15.57
MorenoMartinez-2012-360-170	170	Tomato	Tomate	986	TOMATO	VEGETABLES	2.09	4.81	4.51	1.23	17.15
MorenoMartinez-2012-360-171	171	Turnip	Nabo	3062	TURNIP	VEGETABLES	5.59	1.94	2.41	2.32	14.54
MorenoMartinez-2012-360-172	172	Castle	Castillo	1938	FORTRESS	BULDINGS	2.62	3.54	3.05	3.19	18.34
MorenoMartinez-2012-360-173	173	Cathedral	Catedral			BULDINGS	4.32	3.81	3.82	4.49	17.46
MorenoMartinez-2012-360-174	174	Church	Iglesia	1349	CHURCH	BULDINGS	2.39	4.27	3.73	3.23	18.68
MorenoMartinez-2012-360-175	175	Factory	Fábrica			BULDINGS	3.86	3.41	2.97	4.43	17.64
MorenoMartinez-2012-360-176	176	Granary	Hórreo	3657	GRANARY	BULDINGS	6.17	2.15	1.63	3.69	13.75
MorenoMartinez-2012-360-177	177	House	Casa	1252	HOUSE	BULDINGS	1.43	4.90	4.77	2.67	20.31
MorenoMartinez-2012-360-178	178	Lighthouse	Faro			BULDINGS	3.97	2.95	2.14	2.77	17.55
MorenoMartinez-2012-360-179	179	Mill	Molino	636	MILL	BULDINGS	3.25	3.39	1.90	2.92	16.46
MorenoMartinez-2012-360-180	180	Pagoda	Pagoda	1671	TOWER	BULDINGS	6.51	1.58	1.73	4.03	13.46
MorenoMartinez-2012-360-181	181	Palace	Palacio			BULDINGS	3.73	2.96	3.44	4.40	18.30
MorenoMartinez-2012-360-182	182	Pyramid	Pirámide	2600	PYRAMID	BULDINGS	3.90	3.14	1.81	2.13	16.07
MorenoMartinez-2012-360-183	183	Shanty	Chabola			BULDINGS	5.05	2.71	1.97	3.47	13.14
MorenoMartinez-2012-360-184	184	Silo	Silo			BULDINGS	6.11	1.73	1.57	2.44	14.57
MorenoMartinez-2012-360-185	185	Skyscraper	Rascacielos			BULDINGS	3.95	3.77	4.46	3.29	15.75
MorenoMartinez-2012-360-186	186	Tower	Torre	1671	TOWER	BULDINGS	3.03	3.43	3.28	3.15	18.31
MorenoMartinez-2012-360-187	187	Bathrobe	Albornoz			CLOTHING	3.63	4.56	2.77	2.05	15.28
MorenoMartinez-2012-360-188	188	Biretta	Birrete			CLOTHING	6.47	2.18	1.56	2.43	12.34
MorenoMartinez-2012-360-189	189	Cap	Gorra	1288	CAP	CLOTHING	2.47	4.23	3.25	1.72	15.74
MorenoMartinez-2012-360-190	190	Clog	Zueco	2707	CLOG (SOMETHING)	CLOTHING	4.51	2.58	1.75	2.44	13.02
MorenoMartinez-2012-360-191	191	Coat	Abrigo	603	COAT	CLOTHING	2.18	4.58	4.71	2.14	16.04
MorenoMartinez-2012-360-192	192	Glove	Guante	867	GLOVE	CLOTHING	2.49	4.61	3.76	2.01	15.80
MorenoMartinez-2012-360-193	193	Jacket	Chaqueta	2770	JACKET	CLOTHING	3.06	4.47	4.72	2.10	16.20
MorenoMartinez-2012-360-194	194	Shirt	Camisa	1622	SHIRT	CLOTHING	2.39	4.78	4.85	2.23	16.48
MorenoMartinez-2012-360-195	195	Shoe	Zapato	1381	SHOE	CLOTHING	1.86	4.87	4.47	1.90	15.80
MorenoMartinez-2012-360-196	196	Skirt	Falda	1600	SKIRT	CLOTHING	2.28	4.54	4.60	1.26	16.31
MorenoMartinez-2012-360-197	197	Socks	Calcetín	1522	SOCK	CLOTHING	1.86	4.91	4.22	1.43	13.96
MorenoMartinez-2012-360-198	198	Trousers	Pantalón	809	TROUSERS	CLOTHING	1.77	4.92	4.95	1.58	16.13
MorenoMartinez-2012-360-199	199	Undershirt	Camiseta			CLOTHING	2.08	4.79	4.63	1.37	17.52
MorenoMartinez-2012-360-200	200	Compasses	Compás			DESK MATERIAL	3.62	4.05	3.65	2.34	15.73
MorenoMartinez-2012-360-201	201	Eraser	Borrador			DESK MATERIAL	2.23	4.57	4.62	1.22	16.58
MorenoMartinez-2012-360-202	202	Felt-tip pen	Rotulador			DESK MATERIAL	2.78	4.58	4.32	2.01	13.97
MorenoMartinez-2012-360-203	203	Folder	Carpeta			DESK MATERIAL	3.05	4.71	4.28	1.35	17.12
MorenoMartinez-2012-360-204	204	Fountain pen	Pluma			DESK MATERIAL	3.90	3.76	4.15	2.16	16.65
MorenoMartinez-2012-360-205	205	Ink pad	Tampón			DESK MATERIAL	5.71	3.37	3.17	2.18	13.38
MorenoMartinez-2012-360-206	206	Paperclip	Clip			DESK MATERIAL	4.29	4.61	4.37	1.23	17.05
MorenoMartinez-2012-360-207	207	Pen	Bolígrafo	794	PEN	DESK MATERIAL	2.22	4.85	4.86	1.37	15.17
MorenoMartinez-2012-360-208	208	Pencil	Lápiz	2578	PENCIL	DESK MATERIAL	1.79	4.82	4.82	1.21	16.15
MorenoMartinez-2012-360-209	209	Pencil sharpener	Sacapuntas			DESK MATERIAL	2.39	4.71	4.43	2.13	13.91
MorenoMartinez-2012-360-210	210	Ruler	Regla	3405	RULER	DESK MATERIAL	2.52	4.58	4.32	1.53	17.47
MorenoMartinez-2012-360-211	211	Set square	Cartabón			DESK MATERIAL	4.35	3.68	3.23	1.85	12.25
MorenoMartinez-2012-360-212	212	Square	Escuadra			DESK MATERIAL	4.48	3.70	3.37	1.73	15.83
MorenoMartinez-2012-360-213	213	Rubber stamp	Sello			DESK MATERIAL	4.78	3.44	3.37	2.18	17.81
MorenoMartinez-2012-360-214	214	Stapler	Grapadora			DESK MATERIAL	3.97	4.36	4.42	3.09	13.24
MorenoMartinez-2012-360-215	215	Anchovy	Anchoas			FOOD	4.16	3.87	3.05	1.94	14.84
MorenoMartinez-2012-360-216	216	Black pudding	Morcilla			FOOD	3.71	3.97	3.64	1.82	14.74
MorenoMartinez-2012-360-217	217	Caviar	Caviar			FOOD	5.67	2.19	2.14	2.81	15.12
MorenoMartinez-2012-360-218	218	Cheese	Queso	1569	CHEESE	FOOD	2.32	4.78	4.25	1.46	17.23
MorenoMartinez-2012-360-219	219	Chorizo	Chorizo			FOOD	2.53	4.63	4.24	1.51	15.59
MorenoMartinez-2012-360-220	220	Cookie	Galleta			FOOD	1.59	4.82	4.03	1.51	14.95
MorenoMartinez-2012-360-221	221	Crème caramel	Flan			FOOD	2.26	4.56	3.69	1.96	15.52
MorenoMartinez-2012-360-222	222	Fritter	Churro			FOOD	2.78	4.45	3.32	1.53	13.87
