ID	ENGLISH	NUMBER	IDS_ID	URL	FRENCH	PORTUGUESE	RUSSIAN	SPANISH	CHAPTER	SUBCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Key-2016-1310-41	count	41	13-107	http://ids.clld.org/parameters/13-107	compter	contar	считать	contar	13	107	1420	COUNT
Key-2016-1310-42	thousand	42	13-106	http://ids.clld.org/parameters/13-106	mille	mil	тысяча	mil	13	106	1843	THOUSAND
Key-2016-1310-43	hundred	43	13-105	http://ids.clld.org/parameters/13-105	cent	cento, cem	сто	ciento, cien	13	105	1634	HUNDRED
Key-2016-1310-44	twenty	44	13-104	http://ids.clld.org/parameters/13-104	vingt	vinte	двадцать	veinte	13	104	1710	TWENTY
Key-2016-1310-45	fifteen	45	13-103	http://ids.clld.org/parameters/13-103	quinze	quinze	пятнадцать	quince	13	103	1709	FIFTEEN
Key-2016-1310-46	twelve	46	13-102	http://ids.clld.org/parameters/13-102	douze	doze	двенадцать	doce	13	102	1707	TWELVE
Key-2016-1310-47	eleven	47	13-101	http://ids.clld.org/parameters/13-101	onze	onze	одиннадцать	once	13	101	1706	ELEVEN
Key-2016-1310-48	ten	48	13-100	http://ids.clld.org/parameters/13-100	dix	dez	десять	diez	13	100	1515	TEN
Key-2016-1310-49	nine	49	13-90	http://ids.clld.org/parameters/13-90	neuf	nove	девять	nueve	13	90	1483	NINE
Key-2016-1310-50	eight	50	13-80	http://ids.clld.org/parameters/13-80	huit	oito	восемь	ocho	13	80	1705	EIGHT
Key-2016-1310-51	seven	51	13-70	http://ids.clld.org/parameters/13-70	sept	sete	семь	siete	13	70	1704	SEVEN
Key-2016-1310-52	six	52	13-60	http://ids.clld.org/parameters/13-60	six	seis	шесть	seis	13	60	1703	SIX
Key-2016-1310-53	five	53	13-50	http://ids.clld.org/parameters/13-50	cinq	cinco	пять	cinco	13	50	493	FIVE
Key-2016-1310-54	four	54	13-40	http://ids.clld.org/parameters/13-40	quatre	quatro	четыре	cuatro	13	40	1500	FOUR
Key-2016-1310-55	two	55	13-20	http://ids.clld.org/parameters/13-20	deux	dois, duas	два	dos	13	20	1498	TWO
Key-2016-1310-56	three	56	13-30	http://ids.clld.org/parameters/13-30	trois	três	три	tres	13	30	492	THREE
Key-2016-1310-57	one	57	13-10	http://ids.clld.org/parameters/13-10	un	um, uma	один	uno	13	10	1493	ONE
Key-2016-1310-58	zero, nothing	58	13-0	http://ids.clld.org/parameters/13-0	zéro, rien	zero, nada	ноль	cero, nada	13	0	3198	NOTHING OR ZERO
Key-2016-1310-59	change	59	12-930	http://ids.clld.org/parameters/12-930	changer	mudar	менять	cambiar	12	930	1264	CHANGE
Key-2016-1310-60	like, similar	60	12-920	http://ids.clld.org/parameters/12-920	semblable	parecido	похожий, подобный	semejante	12	920	1558	SIMILAR
Key-2016-1310-61	line	61	12-840	http://ids.clld.org/parameters/12-840	ligne, rang	linha	линия	línea	12	840	1048	LINE
Key-2016-1310-62	hole	62	12-850	http://ids.clld.org/parameters/12-850	trou	buraco	дыра	agujero	12	850	1667	HOLE
Key-2016-1310-63	sphere, ball	63	12-830	http://ids.clld.org/parameters/12-830	sphère, ballon	esfera, bola	сфера, шар	pelota, esfera, globo	12	830	1845	BALL
Key-2016-1310-64	round	64	12-810	http://ids.clld.org/parameters/12-810	rond	redondo	круглый	redondo	12	810	1395	ROUND
Key-2016-1310-65	circle	65	12-820	http://ids.clld.org/parameters/12-820	cercle	círculo, roda	круг, окружность	círculo	12	820	1467	CIRCLE
Key-2016-1310-66	square	66	12-780	http://ids.clld.org/parameters/12-780	carré	quadrado	квадрат	cuadrado	12	780	850	SQUARE
Key-2016-1310-67	cross	67	12-770	http://ids.clld.org/parameters/12-770	croix	cruz	крест	cruz	12	770	1367	CROSS
Key-2016-1310-68	corner	68	12-760	http://ids.clld.org/parameters/12-760	coin	esquina, canto	угол	esquina, rincón	12	760	192	CORNER
Key-2016-1310-69	hook	69	12-750	http://ids.clld.org/parameters/12-750	crochet	gancho	крюк	gancho	12	750	1071	HOOK
Key-2016-1310-70	crooked	70	12-740	http://ids.clld.org/parameters/12-740	courbe, pas droit	torcido, torto	кривой	torcido	12	740	297	CROOKED
Key-2016-1310-71	straight	71	12-730	http://ids.clld.org/parameters/12-730	droit	direito, reto	прямой	derecho, recto	12	730	1404	STRAIGHT
Key-2016-1310-72	flat	72	12-710	http://ids.clld.org/parameters/12-710	plat	plano, chato	плоский	plano	12	710	1633	FLAT
Key-2016-1310-73	shallow	73	12-680	http://ids.clld.org/parameters/12-680	peu profond	raso, baixo	мелкий	bajo, poco profundo	12	680	193	SHALLOW
Key-2016-1310-74	deep	74	12-670	http://ids.clld.org/parameters/12-670	profond	fundo	глубокий	profundo, hondo	12	670	1593	DEEP
Key-2016-1310-75	thin (in dimension)	75	12-650	http://ids.clld.org/parameters/12-650	mince	fino, delgado	тонкий	delgado	12	650	2249	THIN (OF SHAPE OF OBJECT)
Key-2016-1310-76	thick (in dimension)	76	12-630	http://ids.clld.org/parameters/12-630	épais	grosso	толстый	grueso	12	630	1244	THICK
Key-2016-1310-77	narrow	77	12-620	http://ids.clld.org/parameters/12-620	étroit	estreito	узкий	angosto, estrecho	12	620	1267	NARROW
Key-2016-1310-78	wide, broad	78	12-610	http://ids.clld.org/parameters/12-610	large	largo	широкий	ancho, amplio	12	610	1243	WIDE
Key-2016-1310-79	short	79	12-590	http://ids.clld.org/parameters/12-590	court	curto	короткий	corto	12	590	1645	SHORT
Key-2016-1310-80	tall	80	12-580	http://ids.clld.org/parameters/12-580	grand	alto	высокий	alto	12	580	711	TALL
Key-2016-1310-81	long	81	12-570	http://ids.clld.org/parameters/12-570	long	comprido	длинный	largo	12	570	1203	LONG
Key-2016-1310-82	small, little	82	12-560	http://ids.clld.org/parameters/12-560	petit	pequeno	маленький	chico, pequeño	12	560	1246	SMALL
Key-2016-1310-83	large, big	83	12-550	http://ids.clld.org/parameters/12-550	grand, gros	grande	большой	grande	12	550	1202	BIG
Key-2016-1310-84	span, fathom	84	12-541	http://ids.clld.org/parameters/12-541	brasse (mesure)	palmo, braça	пядь, морская сажень	braza (medida)	12	541	81	FATHOM
Key-2016-1310-85	measure	85	12-540	http://ids.clld.org/parameters/12-540	mesurer	medir	мерить, измерять	medir	12	540	1506	MEASURE
Key-2016-1310-86	grow	86	12-530	http://ids.clld.org/parameters/12-530	grandir, croître, pousser	crescer	расти	crecer	12	530	479	GROW
Key-2016-1310-87	south	87	12-480	http://ids.clld.org/parameters/12-480	sud	sul	юг	sur	12	480	1595	SOUTH
Key-2016-1310-88	north	88	12-470	http://ids.clld.org/parameters/12-470	nord	norte	север	norte	12	470	1598	NORTH
Key-2016-1310-89	west	89	12-460	http://ids.clld.org/parameters/12-460	ouest, occident	oeste	запад	oeste, poniente	12	460	1817	WEST
Key-2016-1310-90	east	90	12-450	http://ids.clld.org/parameters/12-450	est, orient	leste, este	восток	este (punto cardinal), levante	12	450	1877	EAST
Key-2016-1310-91	near (adv)	91	12-430	http://ids.clld.org/parameters/12-430	près	perto, próximo	рядом	cerca	12	430	1942	NEAR
Key-2016-1310-92	far (adv)	92	12-440	http://ids.clld.org/parameters/12-440	loin	longe	далеко	lejos	12	440	1406	FAR
Key-2016-1310-93	left (side)	93	12-420	http://ids.clld.org/parameters/12-420	gauche	esquerda	левая (сторна)	izquierda	12	420	244	LEFT
Key-2016-1310-94	right (side)	94	12-410	http://ids.clld.org/parameters/12-410	droite	direita	правая (сторона)	derecha	12	410	1019	RIGHT
Key-2016-1310-95	middle, center	95	12-370	http://ids.clld.org/parameters/12-370	milieu, centre	meio, centro	середина, центр	medio, centro	12	370	3208	CENTER OR MIDDLE
Key-2016-1310-96	side	96	12-360	http://ids.clld.org/parameters/12-360	côte	lado	сторона	lado, costado	12	360	682	SIDE
Key-2016-1310-97	edge	97	12-353	http://ids.clld.org/parameters/12-353	bord, orée	beira, borda	край	borde, orilla, margen	12	353	863	EDGE
Key-2016-1310-98	pointed	98	12-352	http://ids.clld.org/parameters/12-352	pointu	afiado, agudo	остроконечный	puntiagudo	12	352	372	POINTED
Key-2016-1310-99	end	99	12-350	http://ids.clld.org/parameters/12-350	bout, extrémité	extremidade, fim, ponta	конец	final	12	350	742	END (OF SPACE)
Key-2016-1310-100	bottom	100	12-340	http://ids.clld.org/parameters/12-340	fond	fundo	дно, низ	fondo	12	340	690	BOTTOM
Key-2016-1310-101	low	101	12-320	http://ids.clld.org/parameters/12-320	bas	baixo	низко	bajo	12	320	721	LOW
Key-2016-1310-102	top	102	12-330	http://ids.clld.org/parameters/12-330	haut, sommet	cume, topo	вершина, макушка	cima	12	330	1753	TOP
Key-2016-1310-103	high	103	12-310	http://ids.clld.org/parameters/12-310	haut	alto, elevado	высоко	alto	12	310	1265	HIGH
Key-2016-1310-104	hide, conceal	104	12-270	http://ids.clld.org/parameters/12-270	cacher, dissimuler	esconder	прятать, скрывать	esconder	12	270	602	HIDE (CONCEAL)
Key-2016-1310-105	shut, close	105	12-250	http://ids.clld.org/parameters/12-250	fermer	fechar	закрывать	cerrar	12	250	1046	SHUT
Key-2016-1310-106	cover	106	12-260	http://ids.clld.org/parameters/12-260	couvrir	cobrir	покрывать	cubrir	12	260	761	COVER
Key-2016-1310-107	open	107	12-240	http://ids.clld.org/parameters/12-240	ouvrir	abrir, aberto	открывать	abrir	12	240	1156	OPEN
Key-2016-1310-108	divide	108	12-232	http://ids.clld.org/parameters/12-232	diviser	dividir	делить	dividir	12	232	1119	DIVIDE
Key-2016-1310-109	separate	109	12-230	http://ids.clld.org/parameters/12-230	séparer	separar	отделять	separar, apartar	12	230	1359	SEPARATE
Key-2016-1310-110	join, unite	110	12-220	http://ids.clld.org/parameters/12-220	unir	juntar, unir	соединять, объединять	juntar	12	220	1743	JOIN
Key-2016-1310-111	pile up	111	12-213	http://ids.clld.org/parameters/12-213	entasser	empilhar	накоплять, нагромождать	amontonar	12	213	1576	PILE UP
Key-2016-1310-112	pick up	112	12-212	http://ids.clld.org/parameters/12-212	ramasser	captar	подбирать, поднимать	recoger	12	212	371	PICK UP
Key-2016-1310-113	collect, gather	113	12-210	http://ids.clld.org/parameters/12-210	recueillir, rassembler	colecionar, reunir	собирать	recoger, reunir	12	210	7	GATHER
Key-2016-1310-114	remains, left overs	114	12-170	http://ids.clld.org/parameters/12-170	reste	restos	остатки	sobras	12	170	838	REMAINS
Key-2016-1310-115	remain, stay	115	12-160	http://ids.clld.org/parameters/12-160	rester, demeurer, attendre	ficar	оставаться	quedar	12	160	987	REMAIN
Key-2016-1310-116	stand	116	12-150	http://ids.clld.org/parameters/12-150	se tenir debout	estar em pé, ficar em pé	стоять	poner(se) de pie	12	150	1442	STAND
Key-2016-1310-117	lie down	117	12-140	http://ids.clld.org/parameters/12-140	se coucher	deitar-se	ложиться	acostarse, echarse	12	140	215	LIE DOWN
Key-2016-1310-118	sit	118	12-130	http://ids.clld.org/parameters/12-130	s'asseoir	sentar-se	сидеть	sentar	12	130	1416	SIT
Key-2016-1310-119	put	119	12-120	http://ids.clld.org/parameters/12-120	mettre	pôr	положить	poner	12	120	998	PUT
Key-2016-1310-120	place	120	12-110	http://ids.clld.org/parameters/12-110	endroit, place, lieu	espaço, lugar	место	lugar, sitio	12	110	723	PLACE (POSITION)
Key-2016-1310-121	up, above	121	12-80	http://ids.clld.org/parameters/12-80	au-dessus, sur, là-haut, là dessus	em cima, sôbre	над	arriba, encima	12	80	1591	UP
Key-2016-1310-122	under	122	12-70	http://ids.clld.org/parameters/12-70	dessous, sous	debaixo	под	debajo	12	70	1485	BELOW OR UNDER
Key-2016-1310-123	outside	123	12-60	http://ids.clld.org/parameters/12-60	dehors	fora	снаружи	afuera, fuera, exterior	12	60	762	OUTSIDE
Key-2016-1310-124	inside, in	124	12-50	http://ids.clld.org/parameters/12-50	dans, dedans	dentro	в, внутри	adentro, dentro	12	50	1606	INSIDE
Key-2016-1310-125	front	125	12-41	http://ids.clld.org/parameters/12-41	devant	frente	перед	delantero, delante	12	41	1883	IN FRONT OF
Key-2016-1310-126	before	126	12-40	http://ids.clld.org/parameters/12-40	avant, devant	antes, perante	перед, до	delante, antes de	12	40	1882	BEFORE
Key-2016-1310-127	down, below	127	12-30	http://ids.clld.org/parameters/12-30	en bas, sous	debaixo, abaixo	ниже, по направлению вниз	abajo, bajo	12	30	2094	DOWN OR BELOW
Key-2016-1310-128	beside	128	12-20	http://ids.clld.org/parameters/12-20	à côté de	ao lado de	рядом, у	al lado de	12	20	1816	BESIDE
Key-2016-1310-129	behind	129	12-11	http://ids.clld.org/parameters/12-11	derrière	atrás	за	atrás, detrás	12	11	1686	BEHIND
Key-2016-1310-130	after	130	12-10	http://ids.clld.org/parameters/12-10	après	depois	после	después	12	10	1685	AFTER
Key-2016-1310-131	weigh	131	11-920	http://ids.clld.org/parameters/11-920	peser	pesar	взвешивать, весить	pesar	11	920	1098	WEIGH
Key-2016-1310-132	share (distribute)	132	11-910	http://ids.clld.org/parameters/11-910	partager	distribuir, compartilhar	распределять	repartir	11	910	884	SHARE
Key-2016-1310-133	cheap	133	11-890	http://ids.clld.org/parameters/11-890	bon marché	barato	дешевый	barato	11	890	1887	CHEAP
Key-2016-1310-134	dear (costly, expensive)	134	11-880	http://ids.clld.org/parameters/11-880	cher	caro	дорогой	caro (costoso)	11	880	1426	EXPENSIVE
Key-2016-1310-135	price	135	11-870	http://ids.clld.org/parameters/11-870	prix	preço	цена	precio	11	870	657	PRICE
Key-2016-1310-136	store, shop	136	11-860	http://ids.clld.org/parameters/11-860	boutique, magasin	loja	магазин	tienda, almacen	11	860	752	STORE
Key-2016-1310-137	market (place)	137	11-850	http://ids.clld.org/parameters/11-850	marché	mercado	рынок, базар	mercado	11	850	633	MARKET
Key-2016-1310-138	merchant	138	11-840	http://ids.clld.org/parameters/11-840	marchand, commerçant	negociante	купец, торговец	comerciante	11	840	1082	MERCHANT
Key-2016-1310-139	trade, barter	139	11-830	http://ids.clld.org/parameters/11-830	échange	trocar	торговля, обмен	trocar	11	830	2135	TRADE OR BARTER
Key-2016-1310-140	sell	140	11-820	http://ids.clld.org/parameters/11-820	vendre	vender	продавать	vender	11	820	1571	SELL
Key-2016-1310-141	buy	141	11-810	http://ids.clld.org/parameters/11-810	acheter	comprar	покупать	comprar	11	810	1869	BUY
Key-2016-1310-142	earn	142	11-790	http://ids.clld.org/parameters/11-790	gagner	ganhar	зарабатывать	ganar (dinero)	11	790	733	EARN
Key-2016-1310-143	wages	143	11-780	http://ids.clld.org/parameters/11-780	salaire	salário	заработная плата	salario, sueldo	11	780	1122	WAGES
Key-2016-1310-144	hire	144	11-770	http://ids.clld.org/parameters/11-770	louer	alugar	нанимать, брать на прокат	alquilar, emplear	11	770	3213	HIRE OR RENT
Key-2016-1310-145	tax, tribute	145	11-690	http://ids.clld.org/parameters/11-690	taxe, impôt	imposto, taxa	налог	impuesto, tributo	11	690	873	TAX
Key-2016-1310-146	account, reckoning	146	11-660	http://ids.clld.org/parameters/11-660	compte	conta	счет	calcul, cuenta	11	660	1081	BILL
Key-2016-1310-147	pay (vb)	147	11-650	http://ids.clld.org/parameters/11-650	payer	pagar	платить	pagar	11	650	718	PAY
Key-2016-1310-148	debt	148	11-640	http://ids.clld.org/parameters/11-640	dette	dívida	долг	deuda	11	640	1914	DEBT
Key-2016-1310-149	owe	149	11-630	http://ids.clld.org/parameters/11-630	devoir	dever	быть должным	deber	11	630	369	OWE
Key-2016-1310-150	borrow	150	11-620	http://ids.clld.org/parameters/11-620	emprunter	pedir emprestado	занимать	pedir prestado	11	620	1823	BORROW
Key-2016-1310-151	lend	151	11-610	http://ids.clld.org/parameters/11-610	prêter	emprestar	давать в долг	prestar	11	610	582	LEND
Key-2016-1310-152	avaricious, stingy	152	11-540	http://ids.clld.org/parameters/11-540	avare, radin	avarento	скупой	avaro, mezquino	11	540	1774	STINGY
Key-2016-1310-153	beggar	153	11-530	http://ids.clld.org/parameters/11-530	mendiant	mendigo	попрошайка, нищий	mendigo	11	530	1934	BEGGAR
Key-2016-1310-154	poor	154	11-520	http://ids.clld.org/parameters/11-520	pauvre	pobre	бедный	pobre	11	520	1674	POOR
Key-2016-1310-155	rich	155	11-510	http://ids.clld.org/parameters/11-510	riche	rico	богатый	rico	11	510	712	RICH
Key-2016-1310-156	coin	156	11-440	http://ids.clld.org/parameters/11-440	pièce de monnaie	moeda	монета	moneda	11	440	1867	COIN
Key-2016-1310-157	money	157	11-430	http://ids.clld.org/parameters/11-430	argent	dinheiro	деньги	dinero	11	430	1559	MONEY
Key-2016-1310-158	release, let go	158	11-340	http://ids.clld.org/parameters/11-340	libérer	largar, soltar	отпускать	soltar	11	340	1095	LET GO OR SET FREE
Key-2016-1310-159	lose	159	11-330	http://ids.clld.org/parameters/11-330	perdre	perder	терять	perder	11	330	3072	MISPLACE
Key-2016-1310-160	find	160	11-320	http://ids.clld.org/parameters/11-320	trouver	achar, encontrar	находить	encontrar, hallar	11	320	719	FIND
Key-2016-1310-161	seek, look for	161	11-310	http://ids.clld.org/parameters/11-310	chercher	buscar, procurar	искать	buscar	11	310	1468	LOOK FOR
Key-2016-1310-162	harm, injure, damage	162	11-280	http://ids.clld.org/parameters/11-280	blesser, endommager	danificar, ferir, estragar	наносить ущерб	dañar, herir	11	280	3195	DAMAGE OR INJURE
Key-2016-1310-163	destroy	163	11-270	http://ids.clld.org/parameters/11-270	détruire	destruir	разрушать	destruir	11	270	681	DESTROY
Key-2016-1310-164	save, rescue	164	11-250	http://ids.clld.org/parameters/11-250	sauver	salvar	спасать	salvar	11	250	2008	RESCUE
Key-2016-1310-165	preserve, look after	165	11-240	http://ids.clld.org/parameters/11-240	préserver	cuidar de, preservar	сохранять	conservar, proteger	11	240	1997	PRESERVE
Key-2016-1310-166	give back	166	11-220	http://ids.clld.org/parameters/11-220	rendre	restituir, devolver	возвращать	devolver	11	220	85	GIVE BACK
Key-2016-1310-167	give	167	11-210	http://ids.clld.org/parameters/11-210	donner	dar	давать	dar	11	210	1447	GIVE
Key-2016-1310-168	thing	168	11-180	http://ids.clld.org/parameters/11-180	chose	coisa	вещь	cosa	11	180	738	THING
Key-2016-1310-169	keep, retain	169	11-170	http://ids.clld.org/parameters/11-170	garder, retenir	guardar, conservar	хранить	conservar, retener	11	170	1477	KEEP
Key-2016-1310-170	get, obtain	170	11-160	http://ids.clld.org/parameters/11-160	obtenir	obter, conseguir	получать	obtener	11	160	694	GET
Key-2016-1310-171	hold	171	11-150	http://ids.clld.org/parameters/11-150	tenir	segurar, agarrar	держать	tener (en mano), apoyar	11	150	1448	HOLD
Key-2016-1310-172	seize, grasp	172	11-140	http://ids.clld.org/parameters/11-140	saisir, attraper	agarrar	хватать, схватить	agarrar, empuñar, coger, asir	11	140	855	SEIZE
Key-2016-1310-173	take	173	11-130	http://ids.clld.org/parameters/11-130	prendre	tomar	брать	tomar, coger	11	130	1749	TAKE
Key-2016-1310-174	own, possess	174	11-120	http://ids.clld.org/parameters/11-120	posséder	possuir	владеть	poseer, tener	11	120	684	OWN
Key-2016-1310-175	have	175	11-110	http://ids.clld.org/parameters/11-110	avoir	ter	иметь	tener	11	110	773	HAVE
Key-2016-1310-176	land (vb)	176	10-920	http://ids.clld.org/parameters/10-920	débarquer	desembarcar	причаливать, приземляться	desembarcar	10	920	1922	LAND (DESCEND)
Key-2016-1310-177	harbor, port	177	10-910	http://ids.clld.org/parameters/10-910	port, mouillage	pôrto	гавань, пристань, порт	puerto	10	910	610	PORT
Key-2016-1310-178	anchor	178	10-890	http://ids.clld.org/parameters/10-890	ancre	âncora	якорь	ancla	10	890	1870	ANCHOR
Key-2016-1310-179	sail (noun)	179	10-880	http://ids.clld.org/parameters/10-880	voile	vela	парус	vela	10	880	786	SAILCLOTH
Key-2016-1310-180	mast	180	10-870	http://ids.clld.org/parameters/10-870	mât	mastro	мачта	mástil	10	870	184	MAST
Key-2016-1310-181	rudder	181	10-860	http://ids.clld.org/parameters/10-860	gouvernail	leme	руль	timón	10	860	108	RUDDER
Key-2016-1310-182	row (vb)	182	10-852	http://ids.clld.org/parameters/10-852	ramer	remar	грести	remar	10	852	1849	ROW
Key-2016-1310-183	paddle (noun)	183	10-851	http://ids.clld.org/parameters/10-851	pagaie	remo	весло (байдарочный гребок)	remo corto	10	851	234	PADDLE
Key-2016-1310-184	oar	184	10-850	http://ids.clld.org/parameters/10-850	rame	remo	весло	remo	10	850	3137	OAR
Key-2016-1310-185	raft	185	10-840	http://ids.clld.org/parameters/10-840	radeau	balsa	плот	balsa	10	840	1664	RAFT
Key-2016-1310-186	outrigger	186	10-832	http://ids.clld.org/parameters/10-832	balancier	jangada	шлюпка с выносными уключинами	batanga	10	832	416	OUTRIGGER
Key-2016-1310-187	canoe	187	10-831	http://ids.clld.org/parameters/10-831	canoe, pirogue	canoa	каноэ	canoa	10	831	1970	CANOE
Key-2016-1310-188	boat	188	10-830	http://ids.clld.org/parameters/10-830	bateau	bote, barco	лодка	bote	10	830	1844	BOAT
Key-2016-1310-189	ship	189	10-810	http://ids.clld.org/parameters/10-810	navire, bateau	navio	корабль, судно	buque, barco	10	810	740	SHIP
Key-2016-1310-190	yoke	190	10-780	http://ids.clld.org/parameters/10-780	joug	jugo, canga	ярмо	yugo	10	780	14	YOKE
Key-2016-1310-191	axle	191	10-770	http://ids.clld.org/parameters/10-770	essieu	eixo	ось	eje	10	770	1769	AXLE
Key-2016-1310-192	wheel	192	10-760	http://ids.clld.org/parameters/10-760	roue	roda	колесо	rueda	10	760	710	WHEEL
Key-2016-1310-193	carriage, wagon, cart	193	10-750	http://ids.clld.org/parameters/10-750	wagon, charrette	carruagem, carroça	экипаж, телега	carro, carretón	10	750	122	CART
Key-2016-1310-194	bridge	194	10-740	http://ids.clld.org/parameters/10-740	pont	ponte	мост	puente	10	740	1011	BRIDGE
