ID	NUMBER	DUTCH	ENGLISH	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	AROUSAL_MEAN	DOMINANCE_MEAN	VALENCE_MEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Speed-2017-485-154	154	huis	house	0.266666667	0	0.4	1.4	4.333333333	zien	0.677083333	3.666666667	5.5	6.166666667	1252	HOUSE
Speed-2017-485-155	155	huishoudfolie	cling film	1.75	0	0.1875	3.0625	3.5	zien	0.411764706	3.083333333	3.083333333	3.333333333		
Speed-2017-485-156	156	ijs	ice cream	0.333333333	3.8	1.066666667	2.933333333	3.266666667	proeven	0.304093567	4.5	4.25	5.666666667		
Speed-2017-485-157	157	injectienaald	syringe	0.2	0	0	3.533333333	3.533333333	joint	0.486238532	4.833333333	5.166666667	2.666666667		
Speed-2017-485-158	158	inkt	ink	0.066666667	0	1.066666667	0.333333333	3.866666667	zien	0.725	4.083333333	4.166666667	4.416666667	2643	INK
Speed-2017-485-159	159	jasmijn	jasmine	0.071428571	1.142857143	2.785714286	0.714285714	1.571428571	ruiken	0.431818182	3.25	3.666666667	4.583333333		
Speed-2017-485-160	160	jeneverbes	juniper	0.133333333	3.066666667	1.666666667	0.733333333	2.533333333	proeven	0.360655738	3.75	4.333333333	3.25		
Speed-2017-485-161	161	jurk	dress	0.066666667	0	0.066666667	2.466666667	4.4	zien	0.628571429	3.916666667	4.083333333	5.083333333	474	DRESS
Speed-2017-485-162	162	jute	jute	0.428571429	0	2.214285714	2.857142857	3.714285714	zien	0.403100775	3.833333333	3.833333333	4.5		
Speed-2017-485-163	163	juweel	gem	0.066666667	0	0.066666667	2	4.266666667	zien	0.666666667	3.833333333	5.166666667	5.166666667		
Speed-2017-485-164	164	kaars	candle	0.2	0	2.333333333	1.533333333	4.133333333	zien	0.504065041	2.166666667	3.333333333	5.75	1273	CANDLE
Speed-2017-485-165	165	kaart	map	0.2	0	0	2.133333333	4.266666667	zien	0.646464646	4.666666667	3.666666667	5.166666667	2625	MAP
