ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE
Rzymski-2020-1624-261	261	STEPMOTHER	236	STEPMOTHER	51	329	384	261	6	FATHER-IN-LAW (OF MAN)	6	24	27
Rzymski-2020-1624-262	262	SUCK	1421	SUCK	91	1075	1506	262	47	DRINK	6	49	129
Rzymski-2020-1624-263	263	FAST	1631	FAST	80	928	1270	263	43	IMMEDIATELY	6	56	89
Rzymski-2020-1624-264	264	TALL	711	TALL	67	510	613	264	28	HIGH	6	104	305
Rzymski-2020-1624-265	265	TASTE (SOMETHING)	21	TASTE (SOMETHING)	63	658	835	265	32	READ	6	42	76
Rzymski-2020-1624-266	266	TEACH	709	TEACH	74	765	1015	266	32	READ	6	57	203
Rzymski-2020-1624-267	267	WHERE	1237	WHERE	112	1623	1987	267	55	HOW	6	38	61
Rzymski-2020-1624-268	268	WIFE	1199	WIFE	105	1398	1701	268	111	WOMAN	6	110	396
Rzymski-2020-1624-269	269	CLOUD	1489	CLOUD	163	2288	2701	269	59	FOG	6	82	306
Rzymski-2020-1624-270	270	FOG	249	FOG	99	1345	1505	270	59	FOG	6	65	217
Rzymski-2020-1624-271	271	LAKE	624	LAKE	95	1190	1333	271	29	WATER	6	73	129
Rzymski-2020-1624-272	272	GROUND	2159	GROUND	104	937	1041	272	8	EARTH (SOIL)	6	49	126
Rzymski-2020-1624-273	273	BEHIND	1686	BEHIND	78	568	737	273	57	BACK	6	64	134
Rzymski-2020-1624-274	274	BONE	1394	BONE	193	2619	2997	274	24	LEG	6	35	59
Rzymski-2020-1624-275	275	DO	813	DO	37	612	1042	275	38	WORK (LABOUR)	6	61	185
Rzymski-2020-1624-276	276	BREAK (DESTROY OR GET DESTROYED)	680	BREAK (DESTROY OR GET DESTROYED)	87	932	1268	276	112	DESTROY	6	55	142
Rzymski-2020-1624-277	277	YELLOW	1424	YELLOW	147	1931	2176	277	85	RIPE	6	56	94
Rzymski-2020-1624-278	278	BLUE	837	BLUE	85	860	993	278	85	RIPE	6	77	222
Rzymski-2020-1624-279	279	BLACK	163	BLACK	187	2439	2867	279	21	DARKNESS	6	83	197
Rzymski-2020-1624-280	280	SWEET	717	SWEET	87	971	1105	280	130	SWEET	6	38	58
Rzymski-2020-1624-281	281	BURNING	1428	BURNING	79	886	1144	281	35	COOK (SOMETHING)	6	49	137
Rzymski-2020-1624-282	282	NIGHT	1233	NIGHT	193	2499	2860	282	21	DARKNESS	6	60	142
Rzymski-2020-1624-283	283	PATH	2252	PATH	108	1072	1291	283	138	ROAD	6	80	188
Rzymski-2020-1624-284	284	DISH	481	DISH	66	530	668	284	39	BOWL	6	95	242
Rzymski-2020-1624-285	285	SHIRT	1622	SHIRT	68	498	553	285	33	CLOTHES	6	45	89
Rzymski-2020-1624-286	286	WRAP	1113	WRAP	73	586	783	286	46	TWIST (AROUND)	6	40	68
Rzymski-2020-1624-287	287	CARRY ON SHOULDER	413	CARRY ON SHOULDER	66	450	520	287	1	SEIZE	6	45	129
Rzymski-2020-1624-288	288	TALK	2708	TALK	35	342	512	288	5	SPEAK	6	44	113
Rzymski-2020-1624-289	289	MAKE	734	MAKE	36	314	389	289	38	WORK (LABOUR)	6	70	194
Rzymski-2020-1624-290	290	HAIR (BODY)	189	HAIR (BODY)	80	619	677	290	17	FEATHER	6	114	402
Rzymski-2020-1624-291	291	BEFORE	1882	BEFORE	75	651	852	291	78	FIRST	6	65	172
Rzymski-2020-1624-292	292	RESCUE	2008	RESCUE	64	485	606	292	62	PRESERVE	6	35	61
Rzymski-2020-1624-293	293	CARRY UNDER ARM	415	CARRY UNDER ARM	44	261	283	293	1	SEIZE	6	39	71
Rzymski-2020-1624-294	294	CARRY ON HEAD	414	CARRY ON HEAD	50	318	362	294	1	SEIZE	6	43	107
Rzymski-2020-1624-295	295	BRAID (VERB) OR WEAVE (BASKET)	3294	BRAID (VERB) OR WEAVE (BASKET)	58	352	440	295	56	SEW	6	84	226
Rzymski-2020-1624-296	296	CUP	476	CUP	68	512	642	296	39	BOWL	6	53	98
Rzymski-2020-1624-297	297	MOTHER'S SISTER	2693	MATERNAL AUNT (MOTHER'S SISTER)	54	298	404	297	6	FATHER-IN-LAW (OF MAN)	6	69	285
Rzymski-2020-1624-298	298	LIGHT (COLOR)	250	LIGHT (COLOR)	55	370	444	298	53	BRIGHT	6	65	198
Rzymski-2020-1624-299	299	KING	1508	KING	54	637	897	299	27	KING	6	48	115
Rzymski-2020-1624-300	300	PROTECT	2900	PROTECT	19	157	177	300	62	PRESERVE	6	28	74
Rzymski-2020-1624-301	301	CHILD-IN-LAW	1060	CHILD-IN-LAW	12	18	26	301	6	FATHER-IN-LAW (OF MAN)	6	35	39
Rzymski-2020-1624-302	302	I	1209	I	180	2320	2757	302	128	WE (INCLUSIVE)	5	38	73
Rzymski-2020-1624-303	303	BEAUTIFUL	1427	BEAUTIFUL	80	757	1004	303	20	CORRECT (RIGHT)	5	53	162
Rzymski-2020-1624-304	304	BOARD	1227	BOARD	72	617	674	304	124	BOARD	5	41	76
Rzymski-2020-1624-305	305	BOUNDARY	1010	BOUNDARY	45	426	588	305	10	EDGE	5	28	46
Rzymski-2020-1624-306	306	BURY	1719	BURY	75	1052	1255	306	93	HIDE (CONCEAL)	5	31	45
Rzymski-2020-1624-307	307	CALL	1084	CALL	83	811	971	307	58	SHOUT	5	52	180
Rzymski-2020-1624-308	308	CANOE	1970	CANOE	82	971	1219	308	103	CANOE	5	42	284
Rzymski-2020-1624-309	309	CLOAK	326	CLOAK	38	255	339	309	33	CLOTHES	5	22	36
Rzymski-2020-1624-310	310	CLOTH	1616	CLOTH	68	789	1000	310	33	CLOTHES	5	54	112
Rzymski-2020-1624-311	311	GATHER	7	GATHER	72	731	1182	311	65	TIE	5	57	159
Rzymski-2020-1624-312	312	COVER	761	COVER	74	672	909	312	93	HIDE (CONCEAL)	5	40	70
Rzymski-2020-1624-313	313	DARK	706	DARK	82	878	1013	313	21	DARKNESS	5	83	204
Rzymski-2020-1624-314	314	DAWN	729	DAWN	70	778	1145	314	120	DAWN	5	29	51
Rzymski-2020-1624-315	315	EXPENSIVE	1426	EXPENSIVE	64	668	725	315	42	EXPENSIVE	5	29	64
Rzymski-2020-1624-316	316	DINNER (SUPPER)	1833	DINNER (SUPPER)	37	350	651	316	45	FOOD	5	41	72
Rzymski-2020-1624-317	317	DIVIDE	1119	DIVIDE	74	826	995	317	7	CUT	5	59	218
Rzymski-2020-1624-318	318	EARLY	672	EARLY	56	502	583	318	120	DAWN	5	52	101
Rzymski-2020-1624-319	319	ENOUGH	1881	ENOUGH	60	368	462	319	13	MANY	5	25	42
Rzymski-2020-1624-320	320	FEMALE	1551	FEMALE	51	446	513	320	111	WOMAN	5	93	269
Rzymski-2020-1624-321	321	FIRST	728	FIRST	80	626	791	321	78	FIRST	5	40	60
Rzymski-2020-1624-322	322	FLAT	1633	FLAT	73	822	998	322	67	WEAK	5	40	103
Rzymski-2020-1624-323	323	GO OUT	1107	GO OUT	72	555	638	323	3	GO	5	33	53
Rzymski-2020-1624-324	324	GRIEF	1668	GRIEF	68	562	876	324	52	GRIEF	5	34	80
Rzymski-2020-1624-325	325	GUARD	1940	GUARD	63	472	607	325	62	PRESERVE	5	33	74
Rzymski-2020-1624-326	326	GUESS	1932	GUESS	49	374	453	326	30	MIND	5	33	77
Rzymski-2020-1624-327	327	HALF	816	HALF	73	569	678	327	92	HALF	5	39	76
Rzymski-2020-1624-328	328	IMITATE	117	IMITATE	59	537	753	328	32	READ	5	22	40
Rzymski-2020-1624-329	329	JUMP	1829	JUMP	82	989	1177	329	90	RUN	5	34	57
Rzymski-2020-1624-330	330	LOSE	1660	LOSE	76	609	757	330			5	36	100
Rzymski-2020-1624-331	331	LOUSE	1392	LOUSE	183	2371	2798	331	135	LOUSE	5	26	36
Rzymski-2020-1624-332	332	LUNCH	768	LUNCH	46	274	310	332	45	FOOD	5	32	57
Rzymski-2020-1624-333	333	MALE	1553	MALE	68	797	986	333	14	MAN	5	109	322
Rzymski-2020-1624-334	334	MEASURE	1506	MEASURE	69	485	556	334	32	READ	5	59	109
Rzymski-2020-1624-335	335	MOW	190	MOW	53	352	518	335	7	CUT	5	34	63
Rzymski-2020-1624-336	336	NOW	1376	NOW	86	942	1151	336	43	IMMEDIATELY	5	61	101
Rzymski-2020-1624-337	337	OFTEN	1852	OFTEN	60	519	642	337	13	MANY	5	24	46
Rzymski-2020-1624-338	338	PAIN	1783	PAIN	72	519	674	338	31	WOUND	5	49	175
Rzymski-2020-1624-339	339	PART	779	PART	65	435	654	339	92	HALF	5	40	77
Rzymski-2020-1624-340	340	PAY	718	PAY	61	515	648	340	19	GIVE	5	31	69
Rzymski-2020-1624-341	341	PLAIN	652	PLAIN	60	437	689	341	25	PASTURE	5	45	152
Rzymski-2020-1624-342	342	RIDE	367	RIDE	55	456	511	342	44	GO UP (ASCEND)	5	36	57
Rzymski-2020-1624-343	343	ROAD	667	ROAD	83	956	1111	343	138	ROAD	5	86	226
Rzymski-2020-1624-344	344	ROLL	827	ROLL	60	418	524	344	46	TWIST (AROUND)	5	33	79
Rzymski-2020-1624-345	345	ROTTEN	1728	ROTTEN	99	1217	1684	345	110	STINKING	5	37	78
Rzymski-2020-1624-346	346	RUB	1449	RUB	92	1132	1527	346	9	RUB	5	35	135
Rzymski-2020-1624-347	347	RULE	1846	RULE	52	372	499	347	165	SEND	5	32	51
Rzymski-2020-1624-348	348	SALTY	1091	SALTY	64	566	607	348	121	SALTY	5	56	145
Rzymski-2020-1624-349	349	SEASON	691	SEASON	38	280	346	349	77	TIME	5	38	63
Rzymski-2020-1624-350	350	SEEM	1521	SEEM	58	384	490	350	102	SEEM	5	31	66
Rzymski-2020-1624-351	351	SEPARATE	1359	SEPARATE	70	650	986	351	7	CUT	5	50	105
Rzymski-2020-1624-352	352	SHELL	598	SHELL	57	447	535	352	37	SKIN	5	44	61
Rzymski-2020-1624-353	353	SHOULDER	1482	SHOULDER	135	1718	2153	353	57	BACK	5	27	41
Rzymski-2020-1624-354	354	SHOW	1039	SHOW	78	626	741	354	102	SEEM	5	24	32
Rzymski-2020-1624-355	355	SMELL (STINK)	1587	SMELL (STINK)	63	369	454	355	110	STINKING	5	57	102
Rzymski-2020-1624-356	356	SOFT	1856	SOFT	77	746	889	356	67	WEAK	5	42	74
Rzymski-2020-1624-357	357	SOME	1241	SOME	64	494	665	357	68	NARROW	5	44	67
Rzymski-2020-1624-358	358	SPIN	121	SPIN	64	578	722	358	46	TWIST (AROUND)	5	35	76
Rzymski-2020-1624-359	359	STAND	1442	STAND	161	2155	2699	359	44	GO UP (ASCEND)	5	47	93
Rzymski-2020-1624-360	360	STINKING	42	STINKING	67	633	771	360	110	STINKING	5	36	64
Rzymski-2020-1624-361	361	THICK	1244	THICK	101	1240	1497	361	13	MANY	5	40	72
Rzymski-2020-1624-362	362	THIGH	471	UPPER LEG (THIGH)	89	1267	1532	362	24	LEG	5	51	153
Rzymski-2020-1624-363	363	THING	738	THING	72	772	898	363	123	WEAPONS	5	36	103
Rzymski-2020-1624-364	364	THROW	1456	THROW	101	1426	1870	364	16	KILL	5	40	79
Rzymski-2020-1624-365	365	TRY	1812	TRY	68	554	720	365	32	READ	5	39	78
Rzymski-2020-1624-366	366	HEALTHY	1364	HEALTHY	71	455	712	366	20	CORRECT (RIGHT)	5	32	45
Rzymski-2020-1624-367	367	WOOL	964	WOOL	53	523	696	367	17	FEATHER	5	47	75
Rzymski-2020-1624-368	368	WRONG	1390	WRONG	52	482	591	368	23	FAULT	5	45	110
Rzymski-2020-1624-369	369	WIND	960	WIND	140	2235	2542	369	49	BLOW (OF WIND)	5	57	143
