ID	NUMBER	ENGLISH	POSKey	UniversalPos	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pereira-2018-180-92	92	land	1	noun	626	LAND
Pereira-2018-180-93	93	laugh	2	verb	1355	LAUGH
Pereira-2018-180-94	94	law	1	noun	1062	LAW
Pereira-2018-180-95	95	left	2	verb	1752	LEAVE
Pereira-2018-180-96	96	level	1	noun	3469	LEVEL
Pereira-2018-180-97	97	liar	1	noun	3470	LIAR
Pereira-2018-180-98	98	light	1	noun	630	LIGHT (RADIATION)
Pereira-2018-180-99	99	magic	1	noun	392	MAGIC
Pereira-2018-180-100	100	marriage	1	noun	2432	MARRIAGE
Pereira-2018-180-101	101	material	1	noun		
Pereira-2018-180-102	102	mathematical	3	adj		
Pereira-2018-180-103	103	mechanism	1	noun		
Pereira-2018-180-104	104	medication	1	noun	1372	MEDICINE
Pereira-2018-180-105	105	money	1	noun	1559	MONEY
Pereira-2018-180-106	106	mountain	1	noun	639	MOUNTAIN
Pereira-2018-180-107	107	movement	1	noun	3695	MOVEMENT
Pereira-2018-180-108	108	movie	1	noun	216	MOVIE
Pereira-2018-180-109	109	music	1	noun	642	MUSIC
Pereira-2018-180-110	110	nation	1	noun	789	PEOPLE
Pereira-2018-180-111	111	news	1	noun	2964	NEWS
Pereira-2018-180-112	112	noise	1	noun	1182	NOISE
Pereira-2018-180-113	113	obligation	1	noun	3471	OBLIGATION (DUTY)
Pereira-2018-180-114	114	pain	1	noun	1783	PAIN
Pereira-2018-180-115	115	personality	1	noun		
Pereira-2018-180-116	116	philosophy	1	noun		
Pereira-2018-180-117	117	picture	1	noun	2401	PICTURE
Pereira-2018-180-118	118	pig	1	noun	1337	PIG
Pereira-2018-180-119	119	plan	1	noun	3630	PLAN
Pereira-2018-180-120	120	plant	1	noun	653	PLANT (VEGETATION)
Pereira-2018-180-121	121	play	2	verb	1413	PLAY
Pereira-2018-180-122	122	pleasure	1	noun	3916	PLEASURE
Pereira-2018-180-123	123	poor	3	adj	1674	POOR
Pereira-2018-180-124	124	prison	1	noun	1281	PRISON
Pereira-2018-180-125	125	professional	1	noun		
Pereira-2018-180-126	126	protection	1	noun	4083	PROTECTION
Pereira-2018-180-127	127	quality	1	noun	4078	QUALITY
Pereira-2018-180-128	128	reaction	1	noun		
Pereira-2018-180-129	129	read	2	verb	724	READ
Pereira-2018-180-130	130	relationship	1	noun	3959	RELATIONSHIP
Pereira-2018-180-131	131	religious	3	adj		
Pereira-2018-180-132	132	residence	1	noun		
Pereira-2018-180-133	133	road	1	noun	667	ROAD
Pereira-2018-180-134	134	sad	3	adj	699	SAD
Pereira-2018-180-135	135	science	1	noun		
Pereira-2018-180-136	136	seafood	1	noun		
Pereira-2018-180-137	137	sell	2	verb	1571	SELL
Pereira-2018-180-138	138	sew	2	verb	1457	SEW
Pereira-2018-180-139	139	sexy	3	adj		
Pereira-2018-180-140	140	shape	1	noun		
Pereira-2018-180-141	141	ship	1	noun	740	SHIP
Pereira-2018-180-142	142	show	1	noun		
Pereira-2018-180-143	143	sign	1	noun	1720	SIGN
Pereira-2018-180-144	144	silly	3	adj		
Pereira-2018-180-145	145	sin	1	noun	2971	SIN
Pereira-2018-180-146	146	skin	1	noun	763	SKIN
Pereira-2018-180-147	147	smart	3	adj	2530	SMART
Pereira-2018-180-148	148	smiling	2	verb	1451	SMILE
Pereira-2018-180-149	149	solution	1	noun		
Pereira-2018-180-150	150	soul	1	noun	811	SOUL
Pereira-2018-180-151	151	sound	1	noun	2879	SOUND (OF INSTRUMENT OR VOICE)
Pereira-2018-180-152	152	spoke	2	verb	1623	SPEAK
Pereira-2018-180-153	153	star	1	noun	1430	STAR
Pereira-2018-180-154	154	student	1	noun	753	PUPIL (STUDENT)
Pereira-2018-180-155	155	stupid	3	adj	1518	STUPID
Pereira-2018-180-156	156	successful	3	adj		
Pereira-2018-180-157	157	sugar	1	noun	862	SUGAR
Pereira-2018-180-158	158	suspect	1	noun		
Pereira-2018-180-159	159	table	1	noun	1775	TABLE
Pereira-2018-180-160	160	taste	1	noun	2190	TASTE
Pereira-2018-180-161	161	team	1	noun	3961	TEAM
Pereira-2018-180-162	162	texture	1	noun		
Pereira-2018-180-163	163	time	1	noun	892	TIME
Pereira-2018-180-164	164	tool	1	noun	1361	TOOL
Pereira-2018-180-165	165	toy	1	noun	2403	TOY
Pereira-2018-180-166	166	tree	1	noun	906	TREE
Pereira-2018-180-167	167	trial	1	noun		
Pereira-2018-180-168	168	tried	2	verb	1812	TRY
Pereira-2018-180-169	169	typical	3	adj		
Pereira-2018-180-170	170	unaware	3	adj		
Pereira-2018-180-171	171	usable	3	adj		
Pereira-2018-180-172	172	useless	3	adj		
Pereira-2018-180-173	173	vacation	1	noun		
Pereira-2018-180-174	174	war	1	noun	935	WAR
Pereira-2018-180-175	175	wash	2	verb	1453	WASH
Pereira-2018-180-176	176	weak	1	noun	1601	WEAK
Pereira-2018-180-177	177	wear	2	verb	976	WEAR
Pereira-2018-180-178	178	weather	1	noun	952	WEATHER
Pereira-2018-180-179	179	willingly	4	adv		
Pereira-2018-180-180	180	word	1	noun	1599	WORD
