ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RANK	GLOSS	BORROWED SCORE	AGE SCORE	ANALYZABILITY SCORE	REPRESENTATION SCORE	COMPOSITE SCORE	OMEGAWIKI
Tadmor-2009-100-87	88c3530e-cbfe-431c-bc99-214717aace3c	CRY	87	87	to cry/weep	0.871	0.871	0.921	1.000	0.698	7709
Tadmor-2009-100-88	662e62a0-413e-4380-baed-f9e1a5db0a55	TIE	88	88	to tie	0.879	0.836	0.948	1.000	0.697	844574
Tadmor-2009-100-89	01b206d7-ce05-49a6-a42d-42f8d391f9b5	SEE	89	89	to see	0.918	0.842	0.900	1.000	0.695	6003
Tadmor-2009-100-90	125f31a4-eefb-4855-bbc8-96ec30c2f50a	SWEET	90	89	sweet	0.914	0.857	0.887	1.000	0.695	336426
Tadmor-2009-100-91	a84a7d49-3340-4dc2-a6e7-49c73a4a33f4	ROPE	91	91	rope	0.848	0.824	0.993	1.000	0.694	5465
Tadmor-2009-100-92	2ded3c13-5f69-468b-91e5-81dd31ff75f3	SHADE	92	91	shade/shadow	0.887	0.840	0.931	1.000	0.694	5966
Tadmor-2009-100-93	df81c669-0dbf-4afd-8a8c-770563441b6f	BIRD	93	91	bird	0.842	0.857	0.962	1.000	0.694	400
Tadmor-2009-100-94	3c67af51-40af-40a0-b14f-830b68f8bf28	SALT	94	91	salt	0.848	0.838	0.976	1.000	0.694	5599
Tadmor-2009-100-95	757b999e-883b-4de8-b6a0-742d2475196b	SMALL	95	91	small	0.909	0.790	0.966	1.000	0.694	5509
Tadmor-2009-100-96	ae66b562-5458-48ef-b8da-71f81332c1f6	WIDE	96	96	wide	0.955	0.819	0.885	1.000	0.692	5502
Tadmor-2009-100-97	be81e1bd-a983-4998-a5fe-ae97a0fafbb6	STAR	97	97	star	0.830	0.859	0.970	1.000	0.691	6041
Tadmor-2009-100-98	4cf12d7e-ee34-4ce0-9e44-64ffe863fadc	IN	98	97	in	0.948	0.856	0.943	0.902	0.691	6077
Tadmor-2009-100-99	30c3f7b4-fe0f-4a14-868a-ffc5244d8dc3	HARD	99	99	hard	0.918	0.833	0.903	1.000	0.690	8173
Tadmor-2009-100-100	52e7f276-2c43-48eb-b234-cfe8640f8c94	CRUSH	100	100	to crush/grind	0.919	0.845	0.886	1.000	0.688	632491
	2a6acae3-e6ad-48b7-a26d-1ae02df2fb77	GRIND	100	100	to crush/grind	0.919	0.845	0.886	1.000	0.688	441895
