ID	NUMBER	ENGLISH	DATABASE_ID	SEMANTIC_CATEGORY	LIST	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2021-207a-57	57	dull/blunt	400	quality	Basic Vocabulary	379	BLUNT
Bowern-2021-207a-58	58	dust	401	environment	Basic Vocabulary	2	DUST
Bowern-2021-207a-59	59	ear	402	body	Basic Vocabulary	1247	EAR
Bowern-2021-207a-60	60	earth/soil	403	environment	Basic Vocabulary	1228	EARTH (SOIL)
Bowern-2021-207a-61	61	eat	404	body	Basic Vocabulary	1336	EAT
Bowern-2021-207a-62	62	egg	405	fauna	Basic Vocabulary	744	EGG
Bowern-2021-207a-63	63	eye	406	body	Basic Vocabulary	1248	EYE
Bowern-2021-207a-64	64	faeces	407	body	Basic Vocabulary	675	FAECES (EXCREMENT)
Bowern-2021-207a-65	65	fall	408	motion	Basic Vocabulary	1280	FALL
Bowern-2021-207a-66	66	far	409	quality	Basic Vocabulary	1406	FAR
Bowern-2021-207a-67	67	fat/grease	410	body	Basic Vocabulary	323	FAT (ORGANIC SUBSTANCE)
Bowern-2021-207a-68	68	father	411	kinship	Basic Vocabulary	1217	FATHER
Bowern-2021-207a-69	69	fear	412	mental	Basic Vocabulary	1419	FEAR (BE AFRAID)
Bowern-2021-207a-70	70	feather	413	fauna	Basic Vocabulary	1201	FEATHER
Bowern-2021-207a-71	71	fingernail	821	body	Basic Vocabulary	1258	FINGERNAIL
Bowern-2021-207a-72	72	fire	414	environment	Basic Vocabulary	221	FIRE
Bowern-2021-207a-73	73	fish	415	fauna	Basic Vocabulary	227	FISH
Bowern-2021-207a-74	74	flow	416	motion	Basic Vocabulary	2003	FLOW
Bowern-2021-207a-75	75	flower	278	flora-fauna	Basic Vocabulary	239	FLOWER
Bowern-2021-207a-76	76	flower	417	environment	Basic Vocabulary	239	FLOWER
Bowern-2021-207a-77	77	fly	418	motion	Basic Vocabulary	1441	FLY (MOVE THROUGH AIR)
Bowern-2021-207a-78	78	fog	419	environment	Basic Vocabulary	249	FOG
Bowern-2021-207a-79	79	foot	420	body	Basic Vocabulary	1301	FOOT
Bowern-2021-207a-80	80	fruit	421	flora	Basic Vocabulary	1507	FRUIT
Bowern-2021-207a-81	81	good	422	quality	Basic Vocabulary	1035	GOOD
Bowern-2021-207a-82	82	green	825	quality	Basic Vocabulary	1425	GREEN
Bowern-2021-207a-83	83	grow	424	state	Basic Vocabulary	479	GROW
Bowern-2021-207a-84	84	hair (of head)	425	body	Basic Vocabulary	2648	HAIR (HEAD)
Bowern-2021-207a-85	85	hand	426	body	Basic Vocabulary	1277	HAND
Bowern-2021-207a-86	86	head	428	body	Basic Vocabulary	1256	HEAD
Bowern-2021-207a-87	87	hear	429	mental	Basic Vocabulary	1408	HEAR
Bowern-2021-207a-88	88	heart	822	body	Basic Vocabulary	1223	HEART
Bowern-2021-207a-89	89	heavy	430	quality	Basic Vocabulary	1210	HEAVY
Bowern-2021-207a-90	90	hide	431	motion	Basic Vocabulary	2486	HIDE
Bowern-2021-207a-91	91	hit	432	impact	Basic Vocabulary	1433	HIT
Bowern-2021-207a-92	92	hit (with hand)	576	impact	Basic Vocabulary	353	STRIKE
Bowern-2021-207a-93	93	hold	433	other	Basic Vocabulary	1448	HOLD
Bowern-2021-207a-94	94	hot	826	quality	Basic Vocabulary	1286	HOT
Bowern-2021-207a-95	95	how?	435	grammar	Basic Vocabulary	1239	HOW
Bowern-2021-207a-96	96	if	437	grammar	Basic Vocabulary	1459	IF
Bowern-2021-207a-97	97	in/inside	438	location	Basic Vocabulary	1606	INSIDE
Bowern-2021-207a-98	98	intestines	439	body	Basic Vocabulary	1991	INTESTINES
Bowern-2021-207a-99	99	itch	440	body	Basic Vocabulary	3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)
Bowern-2021-207a-100	100	kill	442	impact	Basic Vocabulary	1417	KILL
Bowern-2021-207a-101	101	know/be knowledgeable	579	mental	Basic Vocabulary	1410	KNOW (SOMETHING)
Bowern-2021-207a-102	102	lake	444	environment	Basic Vocabulary	624	LAKE
Bowern-2021-207a-103	103	laugh	445	mental	Basic Vocabulary	1355	LAUGH
Bowern-2021-207a-104	104	leaf	446	environment	Basic Vocabulary	628	LEAF
Bowern-2021-207a-105	105	left/left hand	447	location/body	Basic Vocabulary	244	LEFT
Bowern-2021-207a-106	106	leg/foot	580	body	Basic Vocabulary	2098	FOOT OR LEG
Bowern-2021-207a-107	107	lie down	449	motion	Basic Vocabulary	215	LIE DOWN
Bowern-2021-207a-108	108	lightning	450	environment	Basic Vocabulary	1654	LIGHTNING
Bowern-2021-207a-109	109	live/be alive	451	body	Basic Vocabulary	1422	BE ALIVE
Bowern-2021-207a-110	110	liver	452	body	Basic Vocabulary	1224	LIVER
Bowern-2021-207a-111	111	long	453	quality	Basic Vocabulary	1203	LONG
Bowern-2021-207a-112	112	louse	65	flora-fauna	Basic Vocabulary	1392	LOUSE
Bowern-2021-207a-113	113	louse	454	fauna	Basic Vocabulary	1392	LOUSE
Bowern-2021-207a-114	114	lung	455	body	Basic Vocabulary	688	LUNG
Bowern-2021-207a-115	115	man/male	581	human	Basic Vocabulary	2106	MALE PERSON
Bowern-2021-207a-116	116	meat/flesh	457	fauna	Basic Vocabulary	2615	FLESH OR MEAT
Bowern-2021-207a-117	117	moon	458	environment	Basic Vocabulary	1313	MOON
Bowern-2021-207a-118	118	mother	460	kinship	Basic Vocabulary	1216	MOTHER
Bowern-2021-207a-119	119	mountain/hill	824	environment	Basic Vocabulary	2118	MOUNTAIN OR HILL
Bowern-2021-207a-120	120	mouth	461	body	Basic Vocabulary	674	MOUTH
Bowern-2021-207a-121	121	name	462	human	Basic Vocabulary	1405	NAME
Bowern-2021-207a-122	122	nape	463	body	Basic Vocabulary	1347	NAPE (OF NECK)
Bowern-2021-207a-123	123	near/close	464	quality	Basic Vocabulary	1942	NEAR
Bowern-2021-207a-124	124	neck	465	body	Basic Vocabulary	1333	NECK
Bowern-2021-207a-125	125	new	466	quality	Basic Vocabulary	1231	NEW
Bowern-2021-207a-126	126	night	467	time	Basic Vocabulary	1233	NIGHT
Bowern-2021-207a-127	127	no/not	468	grammar	Basic Vocabulary	2279	NO OR NOT
Bowern-2021-207a-128	128	nose	469	body	Basic Vocabulary	1221	NOSE
Bowern-2021-207a-129	129	old	470	quality	Basic Vocabulary	1229	OLD
Bowern-2021-207a-130	130	one	471	number	Basic Vocabulary	1493	ONE
Bowern-2021-207a-131	131	open/uncover	472	other	Basic Vocabulary	1156	OPEN
Bowern-2021-207a-132	132	other	473	grammar	Basic Vocabulary	197	OTHER
Bowern-2021-207a-133	133	pain/painful/sick	474	body	Basic Vocabulary	2103	PAINFUL OR SICK
Bowern-2021-207a-134	134	person/human being	475	human	Basic Vocabulary	683	PERSON
Bowern-2021-207a-135	135	pimple	586	body	Basic Vocabulary	1809	PIMPLE
Bowern-2021-207a-136	136	pound/beat	476	impact	Basic Vocabulary	2133	STRIKE OR BEAT
Bowern-2021-207a-137	137	rain	477	environment	Basic Vocabulary	658	RAIN (PRECIPITATION)
Bowern-2021-207a-138	138	red	478	colour	Basic Vocabulary	156	RED
Bowern-2021-207a-139	139	right/right hand	479	location/body	Basic Vocabulary	1019	RIGHT
Bowern-2021-207a-140	140	road/path	480	manufacture	Basic Vocabulary	2457	PATH OR ROAD
Bowern-2021-207a-141	141	roof	588	manufacture	Basic Vocabulary	769	ROOF
Bowern-2021-207a-142	142	root	481	flora	Basic Vocabulary	670	ROOT
Bowern-2021-207a-143	143	rotten	483	quality	Basic Vocabulary	1728	ROTTEN
Bowern-2021-207a-144	144	sand	484	environment	Basic Vocabulary	671	SAND
Bowern-2021-207a-145	145	say	485	mental	Basic Vocabulary	1458	SAY
Bowern-2021-207a-146	146	scratch	486	impact	Basic Vocabulary	1436	SCRATCH
Bowern-2021-207a-147	147	see	487	mental	Basic Vocabulary	1409	SEE
Bowern-2021-207a-148	148	sharp	488	quality	Basic Vocabulary	1396	SHARP
Bowern-2021-207a-149	149	shoot	489	impact	Basic Vocabulary	1172	SHOOT
Bowern-2021-207a-150	150	short	490	quality	Basic Vocabulary	1645	SHORT
Bowern-2021-207a-151	151	shoulder	491	body	Basic Vocabulary	1482	SHOULDER
Bowern-2021-207a-152	152	shy/ashamed	492	mental	Basic Vocabulary	3805	SHY OR ASHAMED
Bowern-2021-207a-153	153	sick	589	body	Basic Vocabulary	1847	SICK
Bowern-2021-207a-154	154	sit	493	state	Basic Vocabulary	1416	SIT
Bowern-2021-207a-155	155	skin	494	body	Basic Vocabulary	763	SKIN
Bowern-2021-207a-156	156	sky	495	environment	Basic Vocabulary	1732	SKY
Bowern-2021-207a-157	157	sleep	496	body	Basic Vocabulary	1585	SLEEP
Bowern-2021-207a-158	158	small	497	quality	Basic Vocabulary	1246	SMALL
Bowern-2021-207a-159	159	smell (tr/intr)	590	body	Basic Vocabulary	2124	SMELL
Bowern-2021-207a-160	160	smoke	498	environment	Basic Vocabulary	778	SMOKE (EXHAUST)
Bowern-2021-207a-161	161	sniff/smell	500	body	Basic Vocabulary	1586	SMELL (PERCEIVE)
Bowern-2021-207a-162	162	spit	504	body	Basic Vocabulary	1440	SPIT
Bowern-2021-207a-163	163	split	505	impact	Basic Vocabulary	1437	SPLIT
Bowern-2021-207a-164	164	squeeze	506	impact	Basic Vocabulary	1414	SQUEEZE
Bowern-2021-207a-165	165	stab/pierce	507	impact	Basic Vocabulary	1434	STAB
Bowern-2021-207a-166	166	stand	508	state	Basic Vocabulary	1442	STAND
Bowern-2021-207a-167	167	star	509	environment	Basic Vocabulary	1430	STAR
Bowern-2021-207a-168	168	steal	510	other	Basic Vocabulary	713	STEAL
Bowern-2021-207a-169	169	stick/wood	511	flora	Basic Vocabulary	1295	STICK
Bowern-2021-207a-170	170	stone	512	environment	Basic Vocabulary	857	STONE
Bowern-2021-207a-171	171	suck	513	body	Basic Vocabulary	1421	SUCK
Bowern-2021-207a-172	172	sun	592	time	Basic Vocabulary	1343	SUN
Bowern-2021-207a-173	173	sweat	514	body	Basic Vocabulary	2458	PERSPIRE OR SWEAT
Bowern-2021-207a-174	174	swell	515	body	Basic Vocabulary	1573	SWELL
Bowern-2021-207a-175	175	swim	516	motion	Basic Vocabulary	1439	SWIM
Bowern-2021-207a-176	176	tail	517	body	Basic Vocabulary	1220	TAIL
Bowern-2021-207a-177	177	that	518	grammar	Basic Vocabulary	78	THAT
Bowern-2021-207a-178	178	thick	521	quality	Basic Vocabulary	1244	THICK
Bowern-2021-207a-179	179	thin	522	quality	Basic Vocabulary	2308	THIN
Bowern-2021-207a-180	180	think	523	mental	Basic Vocabulary	2271	THINK
Bowern-2021-207a-181	181	this	524	grammar	Basic Vocabulary	1214	THIS
Bowern-2021-207a-182	182	three	526	number	Basic Vocabulary	492	THREE
Bowern-2021-207a-183	183	throat	527	body	Basic Vocabulary	1346	THROAT
Bowern-2021-207a-184	184	throw	528	impact	Basic Vocabulary	1456	THROW
Bowern-2021-207a-185	185	thunder	529	environment	Basic Vocabulary	1150	THUNDER
Bowern-2021-207a-186	186	tie up/fasten	530	impact	Basic Vocabulary	1094	FASTEN
Bowern-2021-207a-187	187	tongue	531	body	Basic Vocabulary	1205	TONGUE
Bowern-2021-207a-188	188	tooth	532	body	Basic Vocabulary	1380	TOOTH
Bowern-2021-207a-189	189	true	595	quality	Basic Vocabulary	1657	TRUE
Bowern-2021-207a-190	190	turn	534	other	Basic Vocabulary	1588	TURN
Bowern-2021-207a-191	191	two	535	number	Basic Vocabulary	1498	TWO
Bowern-2021-207a-192	192	vomit	536	body	Basic Vocabulary	1278	VOMIT
Bowern-2021-207a-193	193	walk	537	motion	Basic Vocabulary	1443	WALK
Bowern-2021-207a-194	194	water	538	environment	Basic Vocabulary	948	WATER
Bowern-2021-207a-195	195	wet	541	quality	Basic Vocabulary	1726	WET
Bowern-2021-207a-196	196	what?	542	grammar	Basic Vocabulary	1236	WHAT
Bowern-2021-207a-197	197	when?	543	grammar	Basic Vocabulary	1238	WHEN
Bowern-2021-207a-198	198	where?	544	grammar	Basic Vocabulary	1237	WHERE
Bowern-2021-207a-199	199	white	545	colour	Basic Vocabulary	1335	WHITE
Bowern-2021-207a-200	200	who?	546	grammar	Basic Vocabulary	1235	WHO
Bowern-2021-207a-201	201	wife	547	kinship	Basic Vocabulary	1199	WIFE
Bowern-2021-207a-202	202	wind	548	environment	Basic Vocabulary	960	WIND
Bowern-2021-207a-203	203	wing	549	body	Basic Vocabulary	1257	WING
Bowern-2021-207a-204	204	woman/female	551	human	Basic Vocabulary	2105	FEMALE PERSON
Bowern-2021-207a-205	205	work	552	other	Basic Vocabulary	1086	WORK (ACTIVITY)
Bowern-2021-207a-206	206	yawn	553	body	Basic Vocabulary	1028	YAWN
Bowern-2021-207a-207	207	yellow	554	colour	Basic Vocabulary	1424	YELLOW
