ID	NUMBER	BULGARIAN	BULGARIAN_LATIN	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Simko-2020-205-64	64	бук	buk	beech	common plants	1950	BEECH
Simko-2020-205-65	65	бъз	băz	elder	common plants		
Simko-2020-205-66	66	череша	čereša	cherry	common plants	2765	CHERRY
Simko-2020-205-67	67	чесън	česăn	garlic	common plants	2368	GARLIC
Simko-2020-205-68	68	дърво	dărvo	tree	common plants	906	TREE
Simko-2020-205-69	69	дъб	dăb	oak	common plants	644	OAK
Simko-2020-205-70	70	ечмик	ečmik	barley	common plants	932	BARLEY
Simko-2020-205-71	71	ела	ela	fir	common plants	1915	FIR
Simko-2020-205-72	72	елха	elha	alder	common plants		
Simko-2020-205-73	73	габър	gabăr	hornbeam	common plants		
Simko-2020-205-74	74	круша	kruša	pear	common plants	922	PEAR
Simko-2020-205-75	75	клен	klen	maple	common plants	3248	MAPLE TREE
Simko-2020-205-76	76	копър	kopăr	dill	common plants		
Simko-2020-205-77	77	цвят	cvjat	flower	common plants	239	FLOWER
Simko-2020-205-78	78	липа	lipa	lime tree	common plants		
Simko-2020-205-79	79	лен	len	flax	common plants	3315	FLAX
Simko-2020-205-80	80	малина	malina	raspberry	common plants	3803	RASPBERRY
Simko-2020-205-81	81	орех	oreh	nut	common plants	191	NUT
Simko-2020-205-82	82	овес	oves	oat	common plants	60	OAT
Simko-2020-205-83	83	просо	proso	millet	common plants	931	MILLET
Simko-2020-205-84	84	пшеница	pšenica	wheat	common plants	1077	WHEAT
Simko-2020-205-85	85	ръж	răž	rye	common plants	23	RYE
Simko-2020-205-86	86	слива	sliva	plum	common plants		
Simko-2020-205-87	87	смрека	smreka	juniper, spruce	common plants	545	SPRUCE
Simko-2020-205-88	88	трева	treva	grass	common plants	606	GRASS
Simko-2020-205-89	89	върба	vărba	willow	common plants	818	WILLOW
Simko-2020-205-90	90	желъд	želăd	acorn	common plants	968	ACORN
Simko-2020-205-91	91	жито	žito	grain	common plants	605	GRAIN
Simko-2020-205-92	92	бягам	bjagam	run	common verbs	1519	RUN
Simko-2020-205-93	93	бия	bija	beat	common verbs	1665	BEAT
Simko-2020-205-94	94	боли	boli	hurt	common verbs	2411	HURT (SOMEBODY)
Simko-2020-205-95	95	съм	săm	be	common verbs	1579	BE
Simko-2020-205-96	96	чеша	češa	comb	common verbs	2070	COMB (VERB)
Simko-2020-205-97	97	чуя	čuja	hear	common verbs	1408	HEAR
Simko-2020-205-98	98	дам	dam	give	common verbs	1447	GIVE
Simko-2020-205-99	99	държа	dărža	hold	common verbs	1448	HOLD
Simko-2020-205-100	100	яхам	jaham	ride	common verbs	367	RIDE
Simko-2020-205-101	101	ща	šta	want	common verbs	1784	WANT
Simko-2020-205-102	102	ида	ida	go	common verbs	695	GO
Simko-2020-205-103	103	кълна	kălna	swear	common verbs	1939	SWEAR
Simko-2020-205-104	104	кърмя	kărmja	nurse, feed	common verbs	2472	SUCKLE (BREASTFEED, NURSE)
Simko-2020-205-105	105	меля	melja	mill, grind	common verbs	1033	GRIND
Simko-2020-205-106	106	моля	molja	please, pray	common verbs	24	PRAY
Simko-2020-205-107	107	мълча	mălča	be silent	common verbs	48	BE SILENT
Simko-2020-205-108	108	пека	peka	bake	common verbs	183	BAKE
Simko-2020-205-109	109	сея	seja	sow	common verbs	748	SOW SEEDS
Simko-2020-205-110	110	треса	tresa	tremble	common verbs	52	SHIVER
Simko-2020-205-111	111	тъка	tăka	weave	common verbs	133	WEAVE
Simko-2020-205-112	112	варя	varja	boil	common verbs	2493	BOIL
Simko-2020-205-113	113	возя	vozja	carry	common verbs	700	CARRY
Simko-2020-205-114	114	вежа	veža	bind	common verbs	1917	TIE
Simko-2020-205-115	115	живея	živeja	live	common verbs	1422	BE ALIVE
Simko-2020-205-116	116	баба	baba	grandmother	kinship terms	1496	GRANDMOTHER
Simko-2020-205-117	117	брат	brat	brother	kinship terms	1262	BROTHER
Simko-2020-205-118	118	човек	čovek	human	kinship terms	683	PERSON
Simko-2020-205-119	119	дядо	djado	grandfather	kinship terms	1383	GRANDFATHER
Simko-2020-205-120	120	дете	dete	child	kinship terms	1801	CHILD (DESCENDANT)
Simko-2020-205-121	121	девер	dever	brother-in-law	kinship terms	2314	BROTHER-IN-LAW
Simko-2020-205-122	122	дъщеря	dăšterja	daughter	kinship terms	1357	DAUGHTER
Simko-2020-205-123	123	люде	ljude	people	kinship terms	789	PEOPLE
Simko-2020-205-124	124	мъж	măž	man, husband	kinship terms	2646	HUSBAND OR MALE PERSON
Simko-2020-205-125	125	невеста	nevesta	bride, daughter-in-law	kinship terms		
Simko-2020-205-126	126	отец	otec	father	kinship terms	1217	FATHER
Simko-2020-205-127	127	сестра	sestra	sister	kinship terms	1263	SISTER
Simko-2020-205-128	128	син	sin	son	kinship terms	1620	SON
Simko-2020-205-129	129	свекър	svekăr	father-in-law (bridegroom's father)	kinship terms	2255	FATHER-IN-LAW (OF MAN)
Simko-2020-205-130	130	тъст	tăst	father-in-law (bride's father)	kinship terms	2254	FATHER-IN-LAW (OF WOMAN)
Simko-2020-205-131	131	внук	vnuk	grandchild	kinship terms	1617	GRANDCHILD
Simko-2020-205-132	132	зет	zet	son-in-law	kinship terms	1056	SON-IN-LAW
Simko-2020-205-133	133	жена	žena	woman, spouse	kinship terms		
Simko-2020-205-134	134	бряг	brjag	coast, shore	concepts concerning nature, tools and housing		
Simko-2020-205-135	135	брана	brana	harrow	concepts concerning nature, tools and housing	2545	HARROW (TOOL)
Simko-2020-205-136	136	цеп	cep	chain	concepts concerning nature, tools and housing	1627	CHAIN
Simko-2020-205-137	137	чад	čad	haze	concepts concerning nature, tools and housing		
Simko-2020-205-138	138	члун	člun	boat	concepts concerning nature, tools and housing	1844	BOAT
Simko-2020-205-139	139	ден	den	day	concepts concerning nature, tools and housing	1225	DAY (NOT NIGHT)
Simko-2020-205-140	140	дол	dol	valley	concepts concerning nature, tools and housing	921	VALLEY
Simko-2020-205-141	141	дом	dom	home	concepts concerning nature, tools and housing	2406	HOME
Simko-2020-205-142	142	дъжд	dăžd	rain	concepts concerning nature, tools and housing	658	RAIN (PRECIPITATION)
Simko-2020-205-143	143	дим	dim	smoke	concepts concerning nature, tools and housing	778	SMOKE (EXHAUST)
Simko-2020-205-144	144	двери	dveri	door	concepts concerning nature, tools and housing	1567	DOOR
Simko-2020-205-145	145	двор	dvor	court, yard	concepts concerning nature, tools and housing	736	YARD
Simko-2020-205-146	146	езеро	ezero	lake	concepts concerning nature, tools and housing	624	LAKE
Simko-2020-205-147	147	гора	gora	forest, mountain	concepts concerning nature, tools and housing		
Simko-2020-205-148	148	звезда	zvezda	star	concepts concerning nature, tools and housing	1430	STAR
Simko-2020-205-149	149	камен	kamen	stone	concepts concerning nature, tools and housing	857	STONE
Simko-2020-205-150	150	лято	ljato	summer	concepts concerning nature, tools and housing	1342	SUMMER
Simko-2020-205-151	151	месец	mesec	moon, month	concepts concerning nature, tools and housing	2463	MOON OR MONTH
Simko-2020-205-152	152	нощ	nošt	night	concepts concerning nature, tools and housing	1233	NIGHT
Simko-2020-205-153	153	огън	ogăn	fire	concepts concerning nature, tools and housing	221	FIRE
Simko-2020-205-154	154	ос	os	axle	concepts concerning nature, tools and housing	1769	AXLE
Simko-2020-205-155	155	плуг	plug	plough	concepts concerning nature, tools and housing	2154	PLOUGH (INSTRUMENT)
Simko-2020-205-156	156	поле	pole	field	concepts concerning nature, tools and housing	212	FIELD
Simko-2020-205-157	157	река	reka	river	concepts concerning nature, tools and housing	666	RIVER
Simko-2020-205-158	158	роса	rosa	dew	concepts concerning nature, tools and housing	1977	DEW
Simko-2020-205-159	159	сняг	snjag	snow	concepts concerning nature, tools and housing	784	SNOW
Simko-2020-205-160	160	слънце	slănce	sun	concepts concerning nature, tools and housing	1343	SUN
Simko-2020-205-161	161	вятър	vjatăr	wind	concepts concerning nature, tools and housing	960	WIND
Simko-2020-205-162	162	вода	voda	water	concepts concerning nature, tools and housing	948	WATER
Simko-2020-205-163	163	воз	voz	cart load, cart, wagon	concepts concerning nature, tools and housing	122	CART
Simko-2020-205-164	164	земя	zemja	earth	concepts concerning nature, tools and housing	1228	EARTH (SOIL)
Simko-2020-205-165	165	злато	zlato	gold	concepts concerning nature, tools and housing	1369	GOLD
Simko-2020-205-166	166	доя	doja	milk	concepts concerning nourishment	635	MILK
Simko-2020-205-167	167	ям	jam	eat	concepts concerning nourishment	1336	EAT
Simko-2020-205-168	168	хляб	hljab	bread	concepts concerning nourishment	1368	BREAD
Simko-2020-205-169	169	квас	kvas	yeast	concepts concerning nourishment	967	YEAST
Simko-2020-205-170	170	лой	loj	tallow	concepts concerning nourishment		
Simko-2020-205-171	171	масло	maslo	fat, grease	concepts concerning nourishment	323	FAT (ORGANIC SUBSTANCE)
Simko-2020-205-172	172	мед	med	honey	concepts concerning nourishment	942	HONEY
Simko-2020-205-173	173	мляко	mljako	milk	concepts concerning nourishment	635	MILK
Simko-2020-205-174	174	месо	meso	meat	concepts concerning nourishment	634	MEAT
Simko-2020-205-175	175	пия	pija	drink	concepts concerning nourishment	731	BEVERAGE
Simko-2020-205-176	176	пиво	pivo	beer	concepts concerning nourishment	1639	BEER
Simko-2020-205-177	177	сало	salo	fat	concepts concerning nourishment	1282	FAT (FROM ANIMALS)
Simko-2020-205-178	178	сирене	sirene	(white) cheese	concepts concerning nourishment	1569	CHEESE
Simko-2020-205-179	179	сит	sit	fed	concepts concerning nourishment		
Simko-2020-205-180	180	тесто	testo	dough	concepts concerning nourishment	273	DOUGH
Simko-2020-205-181	181	вино	vino	wine	concepts concerning nourishment	1524	WINE
Simko-2020-205-182	182	брада	brada	beard	body parts	678	BEARD
Simko-2020-205-183	183	чело	čelo	forehead	body parts	123	FOREHEAD
Simko-2020-205-184	184	челюст	čeljust	jaw	body parts	798	JAW
Simko-2020-205-185	185	черво	červo	gut	body parts	1334	GUTS
Simko-2020-205-186	186	длан	dlan	palm	body parts	1183	PALM OF HAND
Simko-2020-205-187	187	глава	glava	head	body parts	1256	HEAD
Simko-2020-205-188	188	език	ezik	tongue	body parts	1205	TONGUE
Simko-2020-205-189	189	кост	kost	bone	body parts	1394	BONE
Simko-2020-205-190	190	кожа	koža	skin	body parts	763	SKIN
Simko-2020-205-191	191	кръв	krăv	blood	body parts	946	BLOOD
Simko-2020-205-192	192	нога	noga	leg	body parts	1297	LEG
Simko-2020-205-193	193	нокът	nokăt	nail	body parts	1896	FINGERNAIL OR TOENAIL
Simko-2020-205-194	194	нос	nos	nose	body parts	1221	NOSE
Simko-2020-205-195	195	око	oko	eye	body parts	1248	EYE
Simko-2020-205-196	196	лакът	lakăt	elbow	body parts	981	ELBOW
Simko-2020-205-197	197	палец	palec	thumb	body parts	1781	THUMB
Simko-2020-205-198	198	пета	peta	heel	body parts	980	HEEL
Simko-2020-205-199	199	пръст	prăst	finger	body parts	1303	FINGER
Simko-2020-205-200	200	ръка	răka	hand	body parts	1277	HAND
Simko-2020-205-201	201	сърце	sărce	heart	body parts	1223	HEART
Simko-2020-205-202	202	тяло	tjalo	body	body parts	1480	BODY
Simko-2020-205-203	203	вълна	vălna	wave	body parts		
Simko-2020-205-204	204	виме	vime	udder	body parts	154	UDDER
Simko-2020-205-205	205	зъб	zăb	tooth	body parts	1380	TOOTH
