ID	NUMBER	MEANING	LATIN	SPANISH	ENGLISH	SCORE	POS	NO_OF_STATES	RATE_MEAN	RATE_SD	MSP_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wilson-2015-173-130	130	TO PLAY	ludo	jugar	to play	4	Verb	24	3.81	0.03	197,5	1413	PLAY
Wilson-2015-173-131	131	TO PULL	traho	tirar	to pull	5	Verb	28	4.53	0.03	88,38	1455	PULL
Wilson-2015-173-132	132	TO PUSH	trudo	empujar	to push	4	Verb	40	08.06	0.04	28,53	1452	PUSH
Wilson-2015-173-133	133	TO SAY	dico	decir	to say	2	Verb	26	3.64	0.03	6301,62	1458	SAY
Wilson-2015-173-134	134	TO SEE	video	ver	to see	0	Verb	20	2.63	0.03	2841,76	1409	SEE
Wilson-2015-173-135	135	TO SEW	suo	coser	to sew	4	Verb	13	1.71	0.04	17,79	1457	SEW
Wilson-2015-173-136	136	TO SING	cano	cantar	to sing	4	Verb	20	2.54	0.03	147,94	1261	SING
Wilson-2015-173-137	137	TO SIT	sedeo	sentar	to sit	1	Verb	11	1.25	0.03	117,21	1416	SIT
Wilson-2015-173-138	138	TO SLEEP	dormio	dormir	to sleep	0	Verb	15	02.01	0.03	142,21	1585	SLEEP
Wilson-2015-173-139	139	TO SMELL (PERCEIVE ODOR)	oleo	oler	to smell (perceive odor)	0	Verb	36	6.48	0.04	31,32	1586	SMELL (PERCEIVE)
Wilson-2015-173-140	140	TO SPIT	spuo	escupir	to spit	4	Verb	17	02.04	0.03	9,85	1440	SPIT
Wilson-2015-173-141	141	TO SPLIT	findo	hender	to split	1	Verb	31	5.58	0.04	140,59	1437	SPLIT
Wilson-2015-173-142	142	TO SQUEEZE	exprimo	exprimir	to squeeze	0	Verb	42	7.83	0.04	25,29	1414	SQUEEZE
Wilson-2015-173-143	143	TO SUCK	sugo	mamar	to suck	4	Verb	19	2.41	0.03	13,38	1421	SUCK
Wilson-2015-173-144	144	TO SWIM	nato	nadar	to swim	0	Verb	22	2.73	0.03	13,97	1439	SWIM
