ID	NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPOS	HUANG_1992_1888	CATEGORY
Chen-2012-888-36	36	桥	bridge	578	1011	BRIDGE		70	天文地理
Chen-2012-888-37	37	坟墓	grave	579	1773	GRAVE		71	天文地理
Chen-2012-888-38	38	菜园	garden (plot)	579	586	GARDEN		522	房屋建筑
Chen-2012-888-39	39	篱笆	bamboo/twig fence	579	1690	FENCE		521	房屋建筑
Chen-2012-888-40	40	人	human being	580	683	PERSON		167	人物称谓
Chen-2012-888-41	41	汉族	Han Chinese	580	3373	HAN CHINESE		165	人物称谓
Chen-2012-888-42	42	族称	ethnic label	580	3433	AUTONYM (OF PEOPLE)		0	人物称谓
Chen-2012-888-43	43	小孩	child	581	2099	CHILD		169	人物称谓
Chen-2012-888-44	44	老头儿	old man	581	406	OLD MAN		171	人物称谓
Chen-2012-888-45	45	老太太	old lady	581	907	OLD WOMAN		172	人物称谓
Chen-2012-888-46	46	姑娘	girl	582	1646	GIRL		176	人物称谓
Chen-2012-888-47	47	瞎子	a blind person	582	457	BLIND PERSON		202	人物称谓
Chen-2012-888-48	48	跛子	a lame person	582	2322	LAME PERSON		203	人物称谓
Chen-2012-888-49	49	聋子	a deaf person	583	458	DEAF PERSON		204	人物称谓
Chen-2012-888-50	50	麻子	a person with a pockmarked face	583	3366	PIMPLEFACE		206	人物称谓
Chen-2012-888-51	51	哑巴	a mute	583	1666	MUTE		211	人物称谓
Chen-2012-888-52	52	孤儿	orphan	584	1149	ORPHAN		252	人物称谓
Chen-2012-888-53	53	独子	the only son	584				0	人物称谓
Chen-2012-888-54	54	客人	guest	584	1782	GUEST		213	人物称谓
Chen-2012-888-55	55	朋友	friend	585	1325	FRIEND		201	人物称谓
Chen-2012-888-56	56	木匠	carpenter	585	1042	CARPENTER		185	人物称谓
Chen-2012-888-57	57	贼	thief	585	1160	THIEF		194	人物称谓
Chen-2012-888-58	58	名字	name	586	1405	NAME		687	宗教意识
Chen-2012-888-59	59	年纪	age	586	1789	AGE		685	宗教意识
Chen-2012-888-60	60	影子	shadow	586	1388	SHADE		698	宗教意识
Chen-2012-888-61	61	力气	physical strength	587	202	STRENGTH		675	宗教意识
Chen-2012-888-62	62	鬼	ghost/ spirit	587	1175	GHOST		669	宗教意识
Chen-2012-888-63	63	祖父	grandfather	587	1383	GRANDFATHER		216	人物称谓
Chen-2012-888-64	64	祖母	grandmother	588	1496	GRANDMOTHER		217	人物称谓
Chen-2012-888-65	65	父亲	father	588	1217	FATHER		218	人物称谓
Chen-2012-888-66	66	母亲	mother	588	1216	MOTHER		219	人物称谓
Chen-2012-888-67	67	儿子	son	589	1620	SON		220	人物称谓
Chen-2012-888-68	68	儿媳	daughter-in-law	589	1057	DAUGHTER-IN-LAW		221	人物称谓
Chen-2012-888-69	69	女儿	daughter	589	1357	DAUGHTER		222	人物称谓
Chen-2012-888-70	70	女婿	son-in-law	590	1056	SON-IN-LAW		223	人物称谓
Chen-2012-888-71	71	孙子	grandson	590	1618	GRANDSON		224	人物称谓
Chen-2012-888-72	72	哥哥	elder brother	590	1759	OLDER BROTHER		226	人物称谓
Chen-2012-888-73	73	姐姐	elder sister	591	1758	OLDER SISTER		227	人物称谓
Chen-2012-888-74	74	弟弟	younger brother	591	1760	YOUNGER BROTHER		228	人物称谓
Chen-2012-888-75	75	妹妹	younger sister	591	1761	YOUNGER SISTER		229	人物称谓
Chen-2012-888-76	76	嫂子	sister-in-law (older brother's wife)	592	2695	SISTER-IN-LAW (OLDER BROTHER'S WIFE)		237	人物称谓
Chen-2012-888-77	77	舅父	maternal uncle (mother's brother)	592	2692	MATERNAL UNCLE (MOTHER'S BROTHER)		238	人物称谓
Chen-2012-888-78	78	舅母	maternal aunt (mother's brother's wife)	592	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)		239	人物称谓
Chen-2012-888-79	79	丈夫	husband	593	1200	HUSBAND		247	人物称谓
Chen-2012-888-80	80	妻子	wife	593	1199	WIFE		248	人物称谓
Chen-2012-888-81	81	身体	body	593	1480	BODY		73	人体部位
Chen-2012-888-82	82	头	head	594	1256	HEAD		74	人体部位
Chen-2012-888-83	83	头发	hair	594	2648	HAIR (HEAD)		75	人体部位
Chen-2012-888-84	84	辫子	braid/ plait	594	333	PLAIT		76	人体部位
Chen-2012-888-85	85	眉毛	eyebrow	595	1173	EYEBROW		78	人体部位
Chen-2012-888-86	86	眼睛	eye	595	1248	EYE		79	人体部位
Chen-2012-888-87	87	鼻子	nose	595	1221	NOSE		80	人体部位
Chen-2012-888-88	88	耳朵	ear	596	1247	EAR		81	人体部位
Chen-2012-888-89	89	脸	face	596	1560	FACE		82	人体部位
Chen-2012-888-90	90	嘴，口	mouth	596	674	MOUTH		84	人体部位
Chen-2012-888-91	91	胡须	beard/ moustache/ goatee	597	678	BEARD		87	人体部位
Chen-2012-888-92	92	下巴	chin	597	1510	CHIN		88	人体部位
Chen-2012-888-93	93	脖子	neck	597	1333	NECK		89	人体部位
Chen-2012-888-94	94	肩膀	shoulder	598	1482	SHOULDER		90	人体部位
Chen-2012-888-95	95	背	back (body)	598	1291	BACK		91	人体部位
Chen-2012-888-96	96	胸脯	chest	598	1592	CHEST		93	人体部位
Chen-2012-888-97	97	肚子	belly	599	1251	BELLY		96	人体部位
Chen-2012-888-98	98	肚脐	navel	599	1838	NAVEL		97	人体部位
Chen-2012-888-99	99	腰	waist	599	1681	WAIST		98	人体部位
Chen-2012-888-100	100	屁股	buttocks	600	834	BUTTOCKS		99	人体部位
Chen-2012-888-101	101	肛门	anaus	600	1935	ANUS		115	人体部位
Chen-2012-888-102	102	腿	leg	600	1297	LEG		0	人体部位
Chen-2012-888-103	103	脚	foot	601	1301	FOOT		103	人体部位
Chen-2012-888-104	104	手	hand	601	1277	HAND		107	人体部位
Chen-2012-888-105	105	手指	finger	601	1303	FINGER		109	人体部位
Chen-2012-888-106	106	指甲	nail	602	1258	FINGERNAIL		113	人体部位
Chen-2012-888-107	107	拳	fist	602	1473	FIST		114	人体部位
Chen-2012-888-108	108	皮肤	skin	602	763	SKIN		120	人体部位
Chen-2012-888-109	109	筋	tendon	603	1137	TENDON		130	人体部位
Chen-2012-888-110	110	脑髓	brains	603	1583	BRAIN		132	人体部位
Chen-2012-888-111	111	骨头	bone	603	1394	BONE		133	人体部位
Chen-2012-888-112	112	牙齿	tooth	604	1380	TOOTH		137	人体部位
Chen-2012-888-113	113	舌	tongue	604	1205	TONGUE		139	人体部位
Chen-2012-888-114	114	喉咙	throat	604	1346	THROAT		141	人体部位
Chen-2012-888-115	115	肺	lung	605	688	LUNG		143	人体部位
Chen-2012-888-116	116	心脏	heart	605	1223	HEART		144	人体部位
Chen-2012-888-117	117	肝	liver	605	1224	LIVER		145	人体部位
Chen-2012-888-118	118	胃	stomach	606	819	STOMACH		148	人体部位
Chen-2012-888-119	119	胆	gall bladder	606	3372	GALL BLADDER		147	人体部位
Chen-2012-888-120	120	血	blood	606	946	BLOOD		129	人体部位
Chen-2012-888-121	121	奶汁	milk	607	635	MILK		95	人体部位
Chen-2012-888-122	122	屎	excrement	607	675	FAECES (EXCREMENT)		151	人体部位
Chen-2012-888-123	123	肠子	intestine	607	1991	INTESTINES		149	人体部位
Chen-2012-888-124	124	尿	urine	608	1142	URINE		152	人体部位
Chen-2012-888-125	125	汗	sweat	608	2458	PERSPIRE OR SWEAT		154	人体部位
Chen-2012-888-126	126	口水	saliva	608	1503	SALIVA		156	人体部位
Chen-2012-888-127	127	鼻涕	nasal mucus	609	208	NASAL MUCUS (SNOT)		157	人体部位
Chen-2012-888-128	128	眼泪	tears	609	1651	TEAR (OF EYE)		158	人体部位
Chen-2012-888-129	129	脓	pus	609	1808	PUS		159	人体部位
Chen-2012-888-130	130	牛	wild cattle (bovine)	610	3044	BOVINE		254	动物
Chen-2012-888-131	131	水牛	buffalo	610	2516	WATER BUFFALO		256	动物
Chen-2012-888-132	132	黄牛	cattle (bos taurus)	610	1153	CATTLE		255	动物
Chen-2012-888-133	133	母牛	cow	611	1007	COW		261	动物
Chen-2012-888-134	134	公牛	bull	611	1008	BULL		260	动物
Chen-2012-888-135	135	牛犊	calf	611	1989	CALF		259	动物
Chen-2012-888-136	136	（牛）角	horn (of cow)	612	1393	HORN (ANATOMY)		263	动物
Chen-2012-888-137	137	蹄	hoof	612	152	HOOF		264	动物
Chen-2012-888-138	138	皮	skin (of animal)	612	2614	SKIN (ANIMAL)		265	动物
Chen-2012-888-139	139	毛	feather or fur (of animal)	613	2381	FEATHER OR FUR OR HAIR		266	动物
Chen-2012-888-140	140	尾巴	tail	613	1220	TAIL		267	动物
Chen-2012-888-141	141	马	horse	613	615	HORSE		268	动物
Chen-2012-888-142	142	羊	sheep (general)	614	2684	CAPRINE (GOAT OR SHEEP)		274	动物
Chen-2012-888-143	143	猪	pig	614	1337	PIG		284	动物
Chen-2012-888-144	144	狗	dog	614	2009	DOG		289	动物
Chen-2012-888-145	145	猫	cat	615	1208	CAT		291	动物
Chen-2012-888-146	146	兔子	rabbit	615	2345	LEPORID (RABBIT OR HARE)		292	动物
Chen-2012-888-147	147	鸡	chicken	615	1318	CHICKEN		293	动物
Chen-2012-888-148	148	公鸡	cock	616	1511	ROOSTER		294	动物
Chen-2012-888-149	149	母鸡	hen	616	1514	HEN		295	动物
Chen-2012-888-150	150	鸡冠	comb of cock	616	188	COMB OF BIRD		297	动物
Chen-2012-888-151	151	爪子	claw (talon)	617	72	CLAW		307	动物
Chen-2012-888-152	152	翅膀	wing	617	1257	WING		298	动物
Chen-2012-888-153	153	鸭子	duck	617	1360	DUCK		300	动物
Chen-2012-888-154	154	鹅	goose	618	1187	GOOSE		301	动物
Chen-2012-888-155	155	鸽子	dove	618	1853	DOVE		302	动物
Chen-2012-888-156	156	老虎	tiger	618	846	TIGER		304	动物
Chen-2012-888-157	157	猴子	monkey	619	1350	MONKEY		308	动物
Chen-2012-888-158	158	熊	bear	619	1820	BEAR		311	动物
Chen-2012-888-159	159	野猪	wild boar	619	1348	BOAR		312	动物
Chen-2012-888-160	160	穿山甲	pangolin	620	2508	PANGOLIN		0	动物
Chen-2012-888-161	161	老鼠	mouse	620	2139	MUROID (MOUSE OR RAT)		320	动物
Chen-2012-888-162	162	黄鼠狼	yellow weasel	620				322	动物
Chen-2012-888-163	163	狐狸	fox	621	1312	FOX		325	动物
Chen-2012-888-164	164	鸟	bird	621	937	BIRD		326	动物
Chen-2012-888-165	165	鸟窝	bird‘s nest	621	3549	BIRD NEST		327	动物
Chen-2012-888-166	166	老鹰	black-eared kite/ hawk	622	1905	EAGLE		328	动物
Chen-2012-888-167	167	猫头鹰	owl	622	735	OWL		332	动物
Chen-2012-888-168	168	燕子	swallow	622	3077	SWALLOW (BIRD)		333	动物
Chen-2012-888-169	169	麻雀	sparrow	623	1854	SPARROW		336	动物
Chen-2012-888-170	170	乌鸦	crow	623	913	CROW		339	动物
Chen-2012-888-171	171	野鸡	pheasant	623	3060	PHEASANT		340	动物
Chen-2012-888-172	172	斑鸠	turtledove (streptopelia orientalis)	624				342	动物
Chen-2012-888-173	173	啄木鸟	woodpecker	624	2447	WOODPECKER		343	动物
Chen-2012-888-174	174	蛇	snake	624	730	SNAKE		347	动物
Chen-2012-888-175	175	青蛙	frog	625	503	FROG		349	动物
Chen-2012-888-176	176	鱼	fish	625	227	FISH		351	动物
Chen-2012-888-177	177	鳞	scale	625	266	SCALE		352	动物
Chen-2012-888-178	178	黄鳝	eel	626	1013	FRESHWATER EEL		0	动物
Chen-2012-888-179	179	泥鳅	mudfish (loach)	626				0	动物
Chen-2012-888-180	180	虾	shrimp	626	2349	SHRIMP		0	动物
Chen-2012-888-181	181	螃蟹	crab	627	2348	CRAB		0	动物
Chen-2012-888-182	182	螺蛳	river snails	627	1543	SNAIL		371	动物
Chen-2012-888-183	183	蚂蟥	leech	627	2273	LEECH		364	动物
Chen-2012-888-184	184	虫	insect (worm)	628	620	INSECT		353	动物
Chen-2012-888-185	185	臭虫	bedbug	628	1949	BEDBUG		354	动物
Chen-2012-888-186	186	虱子	louse	628	1392	LOUSE		356	动物
Chen-2012-888-187	187	苍蝇	fly (insect)	629	1504	FLY (INSECT)		358	动物
Chen-2012-888-188	188	蛆	maggot	629	2640	LARVA		359	动物
Chen-2012-888-189	189	蚊子	mosquito	629	1509	MOSQUITO		360	动物
Chen-2012-888-190	190	蜘蛛	spider	630	843	SPIDER		361	动物
Chen-2012-888-191	191	蚯蚓	earthworm	630	2350	EARTHWORM		363	动物
Chen-2012-888-192	192	蛔虫	roundworm	630	3397	ROUNDWORM		0	动物
Chen-2012-888-193	193	蚂蚁	ant	631	587	ANT		365	动物
Chen-2012-888-194	194	蜜蜂	bee	631	665	BEE		367	动物
Chen-2012-888-195	195	马蜂	wasp	631	1517	WASP		0	动物
Chen-2012-888-196	196	马蜂窝	wasp nest	632	3412	WASP NEST		0	动物
Chen-2012-888-197	197	螳螂	mantis	632	3279	MANTIS		0	动物
Chen-2012-888-198	198	蜻蜓	dragonfly	632	2352	DRAGONFLY		369	动物
Chen-2012-888-199	199	蝴蝶	butterfly	633	1791	BUTTERFLY		370	动物
Chen-2012-888-200	200	树	tree	633	906	TREE		372	植物
Chen-2012-888-201	201	树干	trunk	633	344	TREE TRUNK		373	植物
Chen-2012-888-202	202	樹枝	branch/ twig	634	1531	BRANCH		374	植物
Chen-2012-888-203	203	树梢	tree top	634	3036	TREETOP		0	植物
Chen-2012-888-204	204	树根	root	634	670	ROOT		375	植物
Chen-2012-888-205	205	叶子	leaf	635	628	LEAF		376	植物
Chen-2012-888-206	206	花	flower	635	239	FLOWER		377	植物
Chen-2012-888-207	207	果子	fruit	635	1507	FRUIT		378	植物
Chen-2012-888-208	208	芽	sprout (shoot)	636	3358	SPROUT (SHOOT)		380	植物
Chen-2012-888-209	209	杉树	fir	636	1915	FIR		384	植物
Chen-2012-888-210	210	松树	pine	636	1740	PINE		385	植物
Chen-2012-888-211	211	桃	peach	637	2043	PEACH		392	植物
Chen-2012-888-212	212	李子	plum	637	2356	CHINESE PLUM		0	植物
Chen-2012-888-213	213	梨	pear	637	922	PEAR		393	植物
Chen-2012-888-214	214	橘子	orange	638	2627	ORANGE (FRUIT)		0	植物
Chen-2012-888-215	215	柿子	persimmon	638	2044	PERSIMMON		395	植物
Chen-2012-888-216	216	葡萄	grape	638	920	GRAPE		396	植物
Chen-2012-888-217	217	竹子	bamboo	639	1927	BAMBOO		389	植物
Chen-2012-888-218	218	藤子	cane/ vine	639	2497	RATTAN		390	植物
Chen-2012-888-219	219	苎麻	ramie	639	3063	RAMIE		0	植物
Chen-2012-888-220	220	刺	thorn/ splinter	640	124	THORN		391	植物
Chen-2012-888-221	221	水稻	paddy rice	640	3390	WILD RICE		403	植物
Chen-2012-888-222	222	种子	seed	640	714	SEED		405	植物
Chen-2012-888-223	223	秧	(rice) seedling	641	3050	SEEDLING		406	植物
Chen-2012-888-224	224	包谷	maize/ corn	641	506	MAIZE		416	植物
Chen-2012-888-225	225	高粱	sorghum	641	347	SORGHUM		0	植物
Chen-2012-888-226	226	粟	grain	642	605	GRAIN		402	植物
Chen-2012-888-227	227	菜	vegetable	642	924	VEGETABLES		420	植物
Chen-2012-888-228	228	白菜	Chinese cabbage	642	774	CABBAGE		0	植物
Chen-2012-888-229	229	油菜	rapeseed flowers	643				0	植物
Chen-2012-888-230	230	韭菜	garlic chives	643				0	植物
Chen-2012-888-231	231	萝卜	turnip	643	3062	TURNIP		421	植物
Chen-2012-888-232	232	芋头	taro	644	351	TARO		0	植物
Chen-2012-888-233	233	茄子	aubergine	644	1146	AUBERGINE		0	植物
Chen-2012-888-234	234	辣椒	hot pepper/ chili	644	919	CHILI PEPPER		422	植物
Chen-2012-888-235	235	葱	onion/ scallion	645	2366	ONION		423	植物
Chen-2012-888-236	236	蒜	garlic	645	2368	GARLIC		424	植物
Chen-2012-888-237	237	姜	ginger	645	2500	GINGER		425	植物
Chen-2012-888-238	238	红薯	sweet potato	646	159	SWEET POTATO		0	植物
Chen-2012-888-239	239	笋	bamboo shoot	646	2494	BAMBOO SHOOT		0	植物
Chen-2012-888-240	240	瓜	melon/ gourd	646	3398	GOURD OR MELON		427	植物
Chen-2012-888-241	241	瓜藤	melon or gourd vine	647					植物
Chen-2012-888-242	242	瓜子	guazi (baked planet seed/ a kind of snack)	647					植物
Chen-2012-888-243	243	南瓜	pumpkin	647	864	PUMPKIN		428	植物
Chen-2012-888-244	244	西瓜	water melon	648	2766	WATERMELON		0	植物
Chen-2012-888-245	245	黄瓜	cucumber	648	496	CUCUMBER		429	植物
Chen-2012-888-246	246	葫芦	gourd	648	411	GOURD		0	植物
Chen-2012-888-247	247	冬瓜	wax gourd	649	3444	WAX GOURD		0	植物
Chen-2012-888-248	248	豆	bean	649	2574	BEAN OR PEA		430	植物
Chen-2012-888-249	249	黄豆	soya bean	649	2027	SOYA		431	植物
Chen-2012-888-250	250	豇豆	cow pea	650				0	植物
Chen-2012-888-251	251	花生	peanut	650	2364	PEANUT		434	植物
Chen-2012-888-252	252	芝麻	sesame	650	2797	SESAME		435	植物
Chen-2012-888-253	253	草	grass	651	606	GRASS		436	植物
Chen-2012-888-254	254	茅草	imperata	651				0	植物
Chen-2012-888-255	255	蓝靛苗	a group of Miao people	651				0	
Chen-2012-888-256	256	蕨菜	bracken	652				0	植物
Chen-2012-888-257	257	蘑菇	mushroom	652	641	MUSHROOM		437	植物
Chen-2012-888-258	258	木耳	muer (an edible fungus)	652	3392	MUER (FUNGUS)		438	植物
Chen-2012-888-259	259	米	rice	653	926	RICE		439	食品
Chen-2012-888-260	260	糯米	glutinous rice	653	2750	GLUTINOUS RICE		404	植物
Chen-2012-888-261	261	饭	cooked rice	653	1191	COOKED RICE		440	食品
Chen-2012-888-262	262	粥	congee (gruel, porridge)	654	2049	CONGEE		0	食品
Chen-2012-888-263	263	粑粑	a type of bread	654				0	食品
Chen-2012-888-264	264	面粉	flour	654	1594	FLOUR		442	食品
Chen-2012-888-265	265	肉	meat	655	634	MEAT		443	食品
Chen-2012-888-266	266	牛肉	beef	655	2570	BEEF		0	食品
Chen-2012-888-267	267	羊肉	lamb	655	3394	SHEEP MEAT		0	食品
Chen-2012-888-268	268	猪肉	pork	656	2769	PORK		0	食品
Chen-2012-888-269	269	肥肉	fat meat	656				0	食品
Chen-2012-888-270	270	瘦肉	lean meat	656	3393	LEAN MEAT		444	食品
Chen-2012-888-271	271	猪油	lard (pig fat)	657	2557	PIG FAT		0	食品
Chen-2012-888-272	272	菜油	vegetable oil	657	2555	OIL (FROM PLANTS)		0	食品
Chen-2012-888-273	273	盐	salt	657	1274	SALT		61	天文地理
Chen-2012-888-274	274	糖	sugar	658	862	SUGAR		449	食品
Chen-2012-888-275	275	白糖	white sugar	658	3441	WHITE SUGAR		0	食品
Chen-2012-888-276	276	红糖	brown sugar	658	3440	BROWN SUGAR		0	食品
Chen-2012-888-277	277	蛋	egg	659	744	EGG		450	食品
Chen-2012-888-278	278	蛋白	egg white	659	3439	WHITE (OF EGGS)		0	食品
Chen-2012-888-279	279	蛋黄	yolk	659	1556	YOLK		0	食品
Chen-2012-888-280	280	壳儿	shell	660	598	SHELL		0	食品
Chen-2012-888-281	281	豆腐	tofu	660	3443	TOFU		0	食品
Chen-2012-888-282	282	汤	soup	660	1547	SOUP		451	食品
Chen-2012-888-283	283	酒	alcoholic beverage	661	404	ALCOHOL (FERMENTED DRINK)		452	食品
Chen-2012-888-284	284	茶	tea	661	1373	TEA		454	食品
Chen-2012-888-285	285	茶叶	tea leaf	661				0	食品
Chen-2012-888-286	286	甜酒	liquor (sweet)	662	842	LIQUOR		0	食品
Chen-2012-888-287	287	开水	boiled water	662	3362	BOILED WATER		453	食品
Chen-2012-888-288	288	药	medicine	662	1372	MEDICINE		456	食品
Chen-2012-888-289	289	糠	chaff/ bran	663	2363	CHAFF (HUSK)		457	食品
Chen-2012-888-290	290	棉花	cotton	663	1850	COTTON		418	植物
Chen-2012-888-291	291	纱	yarn	663	3445	YARN			衣着
Chen-2012-888-292	292	布	cloth	664	1616	CLOTH		462	衣着
Chen-2012-888-293	293	衣	clothing (garment)	664	1895	CLOTHES		467	衣着
Chen-2012-888-294	294	棉衣	cotton-padded jacket	664				0	衣着
Chen-2012-888-295	295	衣领	collar	665	2012	COLLAR		468	衣着
Chen-2012-888-296	296	袖子	sleeve	665	2953	SLEEVE		469	衣着
Chen-2012-888-297	297	扣子	button	665	757	BUTTON		470	衣着
Chen-2012-888-298	298	衣袋	pocket	666	1851	POCKET		0	衣着
Chen-2012-888-299	299	裤子	pants/ trousers	666	809	TROUSERS		471	衣着
Chen-2012-888-300	300	裙子	skirt	666	1600	SKIRT		472	衣着
Chen-2012-888-301	301	头巾	head covering	667				0	衣着
Chen-2012-888-302	302	帽子	hat	667	771	HAT		475	衣着
Chen-2012-888-303	303	裹腿布	legging	667				0	衣着
Chen-2012-888-304	304	鞋	shoe	668	1381	SHOE		479	衣着
Chen-2012-888-305	305	草鞋	straw sandal	668	2047	STRAW SANDAL		0	衣着
Chen-2012-888-306	306	袜子	sock (stocking)	668	1522	SOCK		478	衣着
Chen-2012-888-307	307	蓑衣	straw or palm-bark rain cape	669	3540	STRAW RAINCOAT		493	衣着
Chen-2012-888-308	308	斗笠	bamboo hat	669	2160	BAMBOO HAT		0	衣着
Chen-2012-888-309	309	被子	quilt	669	2048	QUILT		0	衣着
Chen-2012-888-310	310	枕头	pillow	670	1044	PILLOW		490	衣着
Chen-2012-888-311	311	席子	mat	670	195	MAT		491	衣着
Chen-2012-888-312	312	蚊帐	mosquito net	670	2795	MOSQUITO NET		0	房屋建筑
Chen-2012-888-313	313	棉絮	cotton wool	671	3442	COTTON WOOL		0	衣着
Chen-2012-888-314	314	房子	house	671	1252	HOUSE		494	房屋建筑
Chen-2012-888-315	315	瓦房	tile house	671				0	房屋建筑
Chen-2012-888-316	316	草房	thatched cottage	672				0	房屋建筑
Chen-2012-888-317	317	厨房	kitchen	672	1365	KITCHEN		498	房屋建筑
Chen-2012-888-318	318	厕所	toilet	672	219	TOILET		0	房屋建筑
Chen-2012-888-319	319	仓库	storehouse	673	3399	WAREHOUSE		502	房屋建筑
Chen-2012-888-320	320	牛圈	cowshed	673	3025	BARN OR SHED		503	房屋建筑
Chen-2012-888-321	321	门	door	673	1567	DOOR		514	房屋建筑
Chen-2012-888-322	322	砖	brick	674	1006	BRICK		508	房屋建筑
Chen-2012-888-323	323	瓦	tile	674	3404	TILE		509	房屋建筑
Chen-2012-888-324	324	墙	wall	674	933	WALL (OF HOUSE)		510	房屋建筑
Chen-2012-888-325	325	楼	building	675	3396	BUILDING		0	房屋建筑
Chen-2012-888-326	326	窗子	window	675	1375	WINDOW		517	房屋建筑
Chen-2012-888-327	327	木头	wood	675	1803	WOOD		511	房屋建筑
Chen-2012-888-328	328	木板	board	676	1227	BOARD		512	房屋建筑
Chen-2012-888-329	329	柱子	column	676	2045	COLUMN		513	房屋建筑
Chen-2012-888-330	330	台阶	step	676	1158	STEP		520	房屋建筑
Chen-2012-888-331	331	船	boat	677	1844	BOAT		602	用品工具
Chen-2012-888-332	332	车	car	677	1111	CAR		0	用品工具
Chen-2012-888-333	333	马鞍	saddle	677	3065	SADDLE		588	用品工具
Chen-2012-888-334	334	鞭子	whip	678	2630	WHIP		597	用品工具
Chen-2012-888-335	335	伞	umbrella	678	3105	UMBRELLA		583	用品工具
Chen-2012-888-336	336	斧子	axe	678	677	AXE		605	用品工具
Chen-2012-888-337	337	柴刀	chopper	679				633	用品工具
Chen-2012-888-338	338	锤子	hammer	679	1481	HAMMER		606	用品工具
Chen-2012-888-339	339	凿子	chisel	679	1979	CHISEL		607	用品工具
Chen-2012-888-340	340	锯子	saw	680	1948	SAW		608	用品工具
Chen-2012-888-341	341	锉子	file	680	3407	FILE (TOOL)		610	用品工具
Chen-2012-888-342	342	锥子	awl	680	278	AWL		579	用品工具
Chen-2012-888-343	343	刨子	plane	681	3408	PLANE (TOOL)		611	用品工具
Chen-2012-888-344	344	钳子	tongs	681	272	TONGS		0	用品工具
Chen-2012-888-345	345	犁	plough	681	2154	PLOUGH (INSTRUMENT)		614	用品工具
Chen-2012-888-346	346	耙	rake	682	338	RAKE		616	用品工具
Chen-2012-888-347	347	钉耙	a type of rake	682				0	用品工具
Chen-2012-888-348	348	锄头	hoe	682	284	HOE		617	用品工具
Chen-2012-888-349	349	扁担	carrying pole (shoulder pole)	683	3432	SHOULDER POLE		618	用品工具
Chen-2012-888-350	350	绳子	rope	683	1218	ROPE		619	用品工具
Chen-2012-888-351	351	镰刀	sickle	683	341	SICKLE		624	用品工具
Chen-2012-888-352	352	麻袋	sack	684	2990	SACK		0	用品工具
Chen-2012-888-353	353	箩筐	bamboo basket (carried on back)	684	3360	BAMBOO BASKET		622	用品工具
Chen-2012-888-354	354	织布机	loom	684	1787	LOOM		632	用品工具
Chen-2012-888-355	355	纺车	spinning wheel	685				0	用品工具
