ID	NUMBER	ENGLISH	PART_OF_SPEECH	STATES	MEAN_RATE	RATE_SD	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Pagel-2007-200-78	78	NEW	Adj.	5	0.60	0.05	1154.00	589.85	850.37	151.47	1231	NEW	12
Pagel-2007-200-79	79	NIGHT	Noun	6	0.76	0.05	393.00	391.32	567.12	85.39	1233	NIGHT	17
Pagel-2007-200-80	80	NOSE	Noun	14	1.49	0.03	48.00	23.97	225.29	13.88	1221	NOSE	37
Pagel-2007-200-81	81	NOT	Adv.	7	0.82	0.04	7995.00	20062.35	20408.27	8820.30	1240	NOT	20
Pagel-2007-200-82	82	OLD	Adj.	18	2.53	0.03	648.00	215.59	508.01	317.08	1229	OLD	83
Pagel-2007-200-83	83	ONE	Number	2	0.43	0.14	1962.00	22858.68	2872.91	9484.09	1493	ONE	9
Pagel-2007-200-84	84	OTHER	Adj.	18	2.66	0.03	1336.00	3098.38	1577.31	2806.21	197	OTHER	93
Pagel-2007-200-85	85	PERSON	Noun	28	4.81	0.04	290.00	829.26	2884.62	338.61	683	PERSON	172
Pagel-2007-200-86	86	RED	Adj.	14	2.26	0.04	126.00	96.03	316.56	68.69	156	RED	68
Pagel-2007-200-87	87	RIGHT (CORRECT)	Adj.	25	3.91	0.03	52.00	62.65	48.12	213.45	1725	CORRECT (RIGHT)	148
Pagel-2007-200-88	88	RIGHT (HAND)	Adj.	18	2.61	0.03	1000.00	456.03	162.82	97.16	1019	RIGHT	89
Pagel-2007-200-89	89	RIVER	Noun	23	3.69	0.03	114.00	109.71	196.39	38.23	666	RIVER	142
Pagel-2007-200-90	90	ROAD	Noun	31	4.86	0.03	313.00	172.50	448.56	338.94	667	ROAD	174
Pagel-2007-200-91	91	ROOT	Noun	13	1.75	0.04	45.00	41.91	60.98	28.00	670	ROOT	48
Pagel-2007-200-92	92	ROPE	Noun	35	6.09	0.03	22.00	27.35	55.24	11.22	1218	ROPE	185
Pagel-2007-200-93	93	ROTTEN (LOG)	Adj.	32	4.76	0.03	8.00	6.76	15.73	3.11	1728	ROTTEN	171
Pagel-2007-200-94	94	RUB	Verb	27	3.57	0.03	23.00	8.38	12.90	9.32	1449	RUB	136
Pagel-2007-200-95	95	SALT	Noun	10	1.01	0.03	33.00	17.06	41.54	9.93	1274	SALT	26
Pagel-2007-200-96	96	SAND	Noun	27	4.26	0.03	34.00	38.38	82.19	9.45	671	SAND	157
Pagel-2007-200-97	97	SCRATCH (ITCH)	Verb	23	4.44	0.04	12.00	6.18	6.01	3.33	1436	SCRATCH	163
Pagel-2007-200-98	98	SEA (OCEAN)	Noun	15	2.53	0.04	139.00	98.82	190.23	81.53	1474	SEA	84
Pagel-2007-200-99	99	SEED	Noun	14	2.56	0.04	32.00	11.76	22.43	9.32	714	SEED	86
Pagel-2007-200-100	100	SHARP (KNIFE)	Adj.	24	3.76	0.03	44.00	14.12	117.91	1.75	1396	SHARP	145
Pagel-2007-200-101	101	SHORT	Adj.	24	3.39	0.03	198.00	105.44	198.04	202.31	1645	SHORT	127
Pagel-2007-200-102	102	SKIN (OF PERSON)	Noun	17	2.73	0.04	75.00	51.47	130.16	16.44	2613	SKIN (HUMAN)	98
Pagel-2007-200-103	103	SKY	Noun	18	2.52	0.03	56.00	65.44	270.35	32.32	1732	SKY	82
Pagel-2007-200-104	104	SMOKE	Noun	11	1.70	0.04	29.00	15.88	116.88	38.21	778	SMOKE (EXHAUST)	44
Pagel-2007-200-105	105	SMOOTH	Adj.	35	6.23	0.04	30.00	6.47	28.98	35.71	1234	SMOOTH	186
Pagel-2007-200-106	106	SNAKE	Noun	20	3.11	0.04	12.00	7.21	34.22	7.65	730	SNAKE	117
Pagel-2007-200-107	107	SNOW	Noun	11	1.62	0.04	31.00	21.91	213.12	9.87	784	SNOW	42
Pagel-2007-200-108	108	SOME	Adj.	26	2.57	0.02	1712.00	1543.82	654.82	276.76	1241	SOME	87
Pagel-2007-200-109	109	STAR	Noun	7	0.72	0.04	100.00	73.38	129.97	28.08	1430	STAR	16
Pagel-2007-200-110	110	STICK (OF WOOD)	Noun	38	8.02	0.04	26.00	29.71	57.50	1.47	1295	STICK	197
Pagel-2007-200-111	111	STONE	Noun	21	2.73	0.03	112.00	59.85	204.96	28.52	857	STONE	99
Pagel-2007-200-112	112	STRAIGHT	Adj.	27	4.08	0.03	32.00	19.12	114.96	5.11	1404	STRAIGHT	152
Pagel-2007-200-113	113	SUN	Noun	8	0.98	0.04	115.00	115.74	244.59	58.45	1343	SUN	25
Pagel-2007-200-114	114	TAIL	Noun	28	4.16	0.03	32.00	36.18	94.67	22.82	1220	TAIL	155
Pagel-2007-200-115	115	THAT	Adj.	18	1.88	0.03	3844.00	401.91	11307.07	777.73	78	THAT	54
Pagel-2007-200-116	116	THERE	Adv.	22	2.94	0.03	746.00	499.85	1334.30	509.70	1937	THERE	110
Pagel-2007-200-117	117	THEY	Pronoun	14	2.75	0.05	6081.00	858.82	5654.32	274.57	817	THEY	102
Pagel-2007-200-118	118	THICK	Adj.	29	5.41	0.04	51.00	36.18	163.08	6.34	1244	THICK	180
Pagel-2007-200-119	119	THIN	Adj.	25	2.99	0.03	56.00	12.06	137.55	234.87	2308	THIN	114
Pagel-2007-200-120	120	THIS	Adj.	15	2.18	0.04	4623.00	5582.50	3457.94	3013.62	1214	THIS	65
Pagel-2007-200-121	121	THOU	Pronoun	6	0.64	0.04	6954.00	691.47	4628.01	228.97	1215	THOU	13
Pagel-2007-200-122	122	THREE	Number	1	0.09	0.09	800.00	734.41	669.22	685.03	492	THREE	3
Pagel-2007-200-123	123	TO BITE	Verb	26	4.67	0.04	22.00	17.35	13.40	4.03	1403	BITE	169
Pagel-2007-200-124	124	TO BLOW (WIND)	Verb	24	4.31	0.04	51.00	8.82	25.11	7.32	175	BLOW (OF WIND)	159
Pagel-2007-200-125	125	TO BREATHE	Verb	18	2.48	0.04	35.00	33.68	89.47	7.26	1407	BREATHE	81
Pagel-2007-200-126	126	TO BURN (INTRANSITIVE)	Verb	20	2.94	0.03	53.00	33.53	18.03	64.37	1428	BURNING	111
Pagel-2007-200-127	127	TO COME	Verb	14	1.90	0.04	1512.00	1043.53	207.84	615.15	1446	COME	55
Pagel-2007-200-128	128	TO COUNT	Verb	27	4.07	0.03	50.00	853.97	395.23	426.37	1420	COUNT	151
Pagel-2007-200-129	129	TO CUT	Verb	23	3.36	0.03	184.00	70.00	33.38	79.38	1432	CUT	124
Pagel-2007-200-130	130	TO DIE	Verb	8	0.82	0.04	220.00	348.53	63.47	85.11	1494	DIE	21
Pagel-2007-200-131	131	TO DIG	Verb	27	3.86	0.03	28.00	2.21	12.37	6.16	1418	DIG	147
Pagel-2007-200-132	132	TO DRINK	Verb	12	1.49	0.03	75.00	71.76	173.80	47.46	1401	DRINK	38
Pagel-2007-200-133	133	TO EAT	Verb	15	1.77	0.03	144.00	270.29	1384.06	81.88	1336	EAT	49
Pagel-2007-200-134	134	TO FALL (DROP)	Verb	23	2.97	0.03	273.00	225.88	99.19	210.14	1280	FALL	113
Pagel-2007-200-135	135	TO FEAR	Verb	25	4.06	0.03	53.00	39.12	335.93	116.92	1419	FEAR (BE AFRAID)	150
Pagel-2007-200-136	136	TO FIGHT	Verb	29	4.21	0.03	108.00	35.29	63.59	33.35	1423	FIGHT	156
Pagel-2007-200-137	137	TO FLOAT	Verb	27	4.04	0.03	20.00	7.06	51.60	5.88	1574	FLOAT	149
Pagel-2007-200-138	138	TO FLOW	Verb	27	3.40	0.03	26.00	8.24	40.89	6.14	2003	FLOW	129
Pagel-2007-200-139	139	TO FLY	Verb	21	2.83	0.03	90.00	53.38	55.32	91.16	1441	FLY (MOVE THROUGH AIR)	106
Pagel-2007-200-140	140	TO FREEZE	Verb	20	2.69	0.03	20.00	8.24	22.55	28.26	1431	FREEZE	96
Pagel-2007-200-141	141	TO GIVE	Verb	7	0.76	0.04	1284.00	2657.21	590.85	1700.16	1447	GIVE	18
Pagel-2007-200-142	142	TO HEAR	Verb	15	2.35	0.04	367.00	471.32	346.07	405.63	1408	HEAR	73
Pagel-2007-200-143	143	TO HIT	Verb	40	5.51	0.03	107.00	44.41	106.39	103.54	1433	HIT	181
Pagel-2007-200-144	144	TO HUNT (GAME)	Verb	23	3.33	0.03	15.00	16.03	15.85	34.62	1435	HUNT	123
Pagel-2007-200-145	145	TO KILL	Verb	28	3.50	0.03	157.00	163.97	68.79	83.46	1417	KILL	132
Pagel-2007-200-146	146	TO LAUGH	Verb	13	1.61	0.03	98.00	106.76	152.13	43.69	1355	LAUGH	40
Pagel-2007-200-147	147	TO LIE (ON SIDE)	Verb	23	3.56	0.03	187.00	35.44	431.75	10.55	1411	LIE (REST)	134
Pagel-2007-200-148	148	TO LIVE	Verb	10	1.10	0.04	329.00	668.24	781.35	264.40	1422	BE ALIVE	29
Pagel-2007-200-149	149	TO PLAY	Verb	24	3.18	0.03	386.00	197.50	231.30	495.14	1413	PLAY	119
Pagel-2007-200-150	150	TO PULL	Verb	28	4.53	0.03	140.00	88.38	83.11	56.17	1455	PULL	167
Pagel-2007-200-151	151	TO PUSH	Verb	40	8.06	0.04	107.00	28.53	22.97	20.28	1452	PUSH	198
Pagel-2007-200-152	152	TO RAIN	Verb	19	2.39	0.03	14.00	32.79	128.86	3.42	1253	RAIN (RAINING)	76
Pagel-2007-200-153	153	TO SAY	Verb	26	3.64	0.03	3344.00	6301.62	1976.10	3133.88	1458	SAY	141
Pagel-2007-200-154	154	TO SEE	Verb	20	2.63	0.03	1920.00	2841.76	1047.91	997.67	1409	SEE	90
Pagel-2007-200-155	155	TO SEW	Verb	13	1.71	0.04	8.00	17.79	12.75	4.93	1457	SEW	45
Pagel-2007-200-156	156	TO SING	Verb	20	2.54	0.03	63.00	147.94	136.86	53.01	1261	SING	85
Pagel-2007-200-157	157	TO SIT	Verb	11	1.25	0.03	300.00	117.21	735.94	97.54	1416	SIT	32
Pagel-2007-200-158	158	TO SLEEP	Verb	15	2.01	0.03	68.00	142.21	240.99	33.56	1585	SLEEP	57
Pagel-2007-200-159	159	TO SMELL (PERCEIVE ODOR)	Verb	36	6.48	0.04	25.00	31.32	9.99	11.79	1586	SMELL (PERCEIVE)	188
Pagel-2007-200-160	160	TO SPIT	Verb	17	2.04	0.03	11.00	9.85	25.50	4.63	1440	SPIT	60
Pagel-2007-200-161	161	TO SPLIT	Verb	31	5.58	0.04	32.00	140.59	29.02	6.09	1437	SPLIT	182
Pagel-2007-200-162	162	TO SQUEEZE	Verb	42	7.83	0.04	21.00	25.29	25.53	0.20	1414	SQUEEZE	195
Pagel-2007-200-163	163	TO STAB (OR STICK)	Verb	40	7.84	0.04	11.00	1.62	4.21	1.84	1434	STAB	196
Pagel-2007-200-164	164	TO STAND	Verb	16	2.02	0.03	326.00	2.79	1003.65	111.22	1442	STAND	59
Pagel-2007-200-165	165	TO SUCK	Verb	19	2.41	0.03	16.00	13.38	12.63	4.74	1421	SUCK	77
Pagel-2007-200-166	166	TO SWELL	Verb	29	4.54	0.03	10.00	5.15	1.65	7.30	1573	SWELL	168
Pagel-2007-200-167	167	TO SWIM	Verb	22	2.73	0.03	25.00	13.97	41.77	6.09	1439	SWIM	100
Pagel-2007-200-168	168	TO THINK	Verb	36	5.34	0.03	1520.00	710.00	929.58	139.87	2271	THINK	179
Pagel-2007-200-169	169	TO THROW	Verb	42	7.52	0.03	115.00	88.38	77.22	115.52	1456	THROW	194
Pagel-2007-200-170	170	TO TIE	Verb	21	2.68	0.03	42.00	22.06	11.18	36.94	1917	TIE	95
Pagel-2007-200-171	171	TO TURN (VEER)	Verb	34	8.18	0.05	465.00	8.82	12.37	131.05	1444	TURN AROUND	199
Pagel-2007-200-172	172	TO VOMIT	Verb	32	5.02	0.03	4.00	9.56	36.90	1.65	1278	VOMIT	177
Pagel-2007-200-173	173	TO WALK	Verb	36	5.14	0.03	215.00	232.65	353.16	25.60	1443	WALK	178
Pagel-2007-200-174	174	TO WASH	Verb	24	3.00	0.03	49.00	38.24	20.83	8.56	1453	WASH	115
Pagel-2007-200-175	175	TONGUE	Noun	4	0.49	0.06	28.00	116.47	289.99	241.56	1205	TONGUE	11
Pagel-2007-200-176	176	TOOTH (FRONT)	Noun	7	1.18	0.05	54.00	26.03	201.02	16.10	1380	TOOTH	30
Pagel-2007-200-177	177	TREE	Noun	26	3.58	0.03	147.00	67.94	214.34	19.59	906	TREE	138
Pagel-2007-200-178	178	TWO	Number	1	0.09	0.09	1563.00	1412.94	1366.57	1783.49	1498	TWO	4
Pagel-2007-200-179	179	WARM (WEATHER)	Adj.	16	2.35	0.04	70.00	32.35	143.52	18.93	2110	WARM (OF WEATHER)	74
Pagel-2007-200-180	180	WATER	Adj.	8	0.86	0.04	372.00	241.62	598.74	156.69	948	WATER	22
Pagel-2007-200-181	181	WE	Pronoun	2	0.37	0.12	4202.00	1097.06	4731.37	376.82	1212	WE	6
Pagel-2007-200-182	182	WET	Adj.	28	4.45	0.03	37.00	10.29	108.45	40.96	1726	WET	165
Pagel-2007-200-183	183	WHAT	Adv.	5	0.69	0.06	2493.00	3880.29	12640.15	1311.60	1236	WHAT	14
Pagel-2007-200-184	184	WHEN	Adv.	10	1.08	0.03	431.00	1899.71	2268.20	124.64	1238	WHEN	28
Pagel-2007-200-185	185	WHERE	Adv.	7	0.70	0.04	628.00	884.85	1466.37	920.19	1237	WHERE	15
Pagel-2007-200-186	186	WHITE	Adj.	17	2.22	0.03	207.00	121.62	481.02	86.28	1335	WHITE	67
Pagel-2007-200-187	187	WHO	Pronoun	1	0.09	0.09	2055.00	452.35	2154.42	626.06	1235	WHO	5
Pagel-2007-200-188	188	WIDE	Adj.	20	2.89	0.03	165.00	18.97	180.92	5.29	1243	WIDE	109
Pagel-2007-200-189	189	WIFE	Noun	31	4.12	0.03	190.00	62.50	445.30	58.44	1199	WIFE	153
Pagel-2007-200-190	190	WIND (BREEZE)	Noun	16	1.78	0.03	85.00	47.79	204.28	31.35	960	WIND	51
Pagel-2007-200-191	191	WING	Noun	22	2.66	0.03	53.00	23.97	74.73	1.21	1257	WING	94
Pagel-2007-200-192	192	WIPE	Verb	39	6.92	0.03	24.00	30.29	29.40	4.94	1454	WIPE	192
Pagel-2007-200-193	193	WITH (ACCOMPANYING)	Prep.	19	3.25	0.04	6575.00	7876.76	11130.94	13745.15	1340	WITH	122
Pagel-2007-200-194	194	WOMAN	Noun	25	2.75	0.02	631.00	591.62	564.13	304.61	962	WOMAN	103
Pagel-2007-200-195	195	WOODS	Noun	27	4.15	0.03	67.00	43.53	319.35	67.43	420	FOREST	154
Pagel-2007-200-196	196	WORM	Noun	19	2.16	0.03	12.00	5.88	14.01	2.85	1219	WORM	64
Pagel-2007-200-197	197	YE	Pronoun	13	1.32	0.03	6984.00	1549.41	3896.62	228.97	1213	YOU	33
Pagel-2007-200-198	198	YEAR	Noun	21	2.78	0.03	1639.00	1985.15	2039.27	111.11	1226	YEAR	105
Pagel-2007-200-199	199	YELLOW	Adj.	18	2.12	0.03	41.00	40.29	151.94	41.02	1424	YELLOW	62
Pagel-2007-200-200	200	SMALL	Adj.	26	3.70	0.03	518.00	318.68	396.34	644.06	1246	SMALL	143
