ID	NUMBER	SHINTANI1990	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Kingsada-1999-303-221	221	202003	sweet	717	SWEET
Kingsada-1999-303-222	222	202005	sour	1906	SOUR
Kingsada-1999-303-223	223	202007	pepper-hot	544	SPICY
Kingsada-1999-303-224	224	202010	salty	1091	SALTY
Kingsada-1999-303-225	225	204004	thing	738	THING
Kingsada-1999-303-226	226	204005	big	1202	BIG
Kingsada-1999-303-227	227	204007	small	1246	SMALL
Kingsada-1999-303-228	228	204009	tall, high	2790	HIGH OR TALL
Kingsada-1999-303-229	229	204010	low	721	LOW
Kingsada-1999-303-230	230	204012	long	1203	LONG
Kingsada-1999-303-231	231	204013	short	1645	SHORT
Kingsada-1999-303-232	232	204016	broad, wide	2652	BROAD OR WIDE
Kingsada-1999-303-233	233	204017	narrow	1267	NARROW
Kingsada-1999-303-234	234	204018	thick	1244	THICK
Kingsada-1999-303-235	235	204019	thin	2308	THIN
Kingsada-1999-303-236	236	204020	deep	1593	DEEP
Kingsada-1999-303-237	237	204021	shallow	193	SHALLOW
Kingsada-1999-303-238	238	204023	round	1395	ROUND
Kingsada-1999-303-239	239	204057	color	1613	COLOR
Kingsada-1999-303-240	240	204062	red	156	RED
Kingsada-1999-303-241	241	204063	yellow	1424	YELLOW
Kingsada-1999-303-242	242	204064	blue	837	BLUE
Kingsada-1999-303-243	243	204065	white	1335	WHITE
Kingsada-1999-303-244	244	204055	black	163	BLACK
Kingsada-1999-303-245	245	204072	green	1425	GREEN
Kingsada-1999-303-246	246	205001	sound, noise	1811	SOUND OR NOISE
Kingsada-1999-303-247	247	210001	light	1052	LIGHT (WEIGHT)
Kingsada-1999-303-248	248	210002	heavy	1210	HEAVY
Kingsada-1999-303-249	249	210007	dry	1398	DRY
Kingsada-1999-303-250	250	210008	wet	1726	WET
Kingsada-1999-303-251	251	210010	soft	1856	SOFT
Kingsada-1999-303-252	252	210011	hard	1884	HARD
Kingsada-1999-303-253	253	210028	full	1429	FULL
Kingsada-1999-303-254	254	210036	new	1231	NEW
Kingsada-1999-303-255	255	210037	old	2113	OLD (USED)
Kingsada-1999-303-256	256	210049	raw	1959	RAW
Kingsada-1999-303-257	257	210050	done, ripe	178	RIPE
Kingsada-1999-303-258	258	210065	good	1035	GOOD
Kingsada-1999-303-259	259	210066	bad	1292	BAD
Kingsada-1999-303-260	260	210079	difficult	584	DIFFICULT
Kingsada-1999-303-261	261	210080	easy	686	EASY
Kingsada-1999-303-262	262	210083	expensive	1426	EXPENSIVE
Kingsada-1999-303-263	263	210083	cheap	1887	CHEAP
Kingsada-1999-303-264	264	210086	clean	704	CLEAN
Kingsada-1999-303-265	265	210087	dirty	1230	DIRTY
Kingsada-1999-303-266	266	210090	quick, fast	1631	FAST
Kingsada-1999-303-267	267	210091	slow	701	SLOW
Kingsada-1999-303-268	268	210110	fat	1279	FAT (OBESE)
Kingsada-1999-303-269	269	210112	thin	2308	THIN
Kingsada-1999-303-270	270	210114	old of age	2112	OLD (AGED)
Kingsada-1999-303-271	271	210115	young of age	1207	YOUNG
Kingsada-1999-303-272	272	230010	year	1226	YEAR
Kingsada-1999-303-273	273	230012	this year	513	THIS YEAR
Kingsada-1999-303-274	274	230015	last year	514	LAST YEAR
Kingsada-1999-303-275	275	230013	next year	515	NEXT YEAR
Kingsada-1999-303-276	276	230044	month	1370	MONTH
Kingsada-1999-303-277	277	230048	this month	2791	THIS MONTH
Kingsada-1999-303-278	278	230049	last month	2792	LAST MONTH
Kingsada-1999-303-279	279	230050	next month	2793	NEXT MONTH
Kingsada-1999-303-280	280	230057	today	1283	TODAY
Kingsada-1999-303-281	281	230061	yesterday	1174	YESTERDAY
Kingsada-1999-303-282	282	230058	tomorrow	1329	TOMORROW
Kingsada-1999-303-283	283	230079	morning	1339	MORNING
Kingsada-1999-303-284	284	230081	noon	12	MIDDAY
Kingsada-1999-303-285	285	230084	evening	1629	EVENING
Kingsada-1999-303-286	286	230085	night	1233	NIGHT
Kingsada-1999-303-287	287	241015	above	1741	ABOVE
Kingsada-1999-303-288	288	241018	below	1485	BELOW OR UNDER
Kingsada-1999-303-289	289	241039	far	1406	FAR
Kingsada-1999-303-290	290	241040	near	1942	NEAR
Kingsada-1999-303-291	291	242007	to come	1446	COME
Kingsada-1999-303-292	292	242008	to go	695	GO
Kingsada-1999-303-293	293	242011	to enter	749	ENTER
Kingsada-1999-303-294	294	242012	to exit	1107	GO OUT
Kingsada-1999-303-295	295	270001	I	1209	I
Kingsada-1999-303-296	296	270002	you, thou	1215	THOU
Kingsada-1999-303-297	297	270003	he, she	2642	HE OR SHE
Kingsada-1999-303-298	298	270008	we	1212	WE
Kingsada-1999-303-299	299	270006	you, ye	1213	YOU
Kingsada-1999-303-300	300	270007	they	817	THEY
Kingsada-1999-303-301	301	250001	I am		
Kingsada-1999-303-302	302	250008	I am not		
Kingsada-1999-303-303	303	250003	I have		
