ID	NUMBER	RANK	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pozdniakov-2014-100a-58	58	58	kill	1417	KILL
Pozdniakov-2014-100a-59	59	59	meat++	634	MEAT
Pozdniakov-2014-100a-60	60	60	sit	1416	SIT
Pozdniakov-2014-100a-61	61	61	night++	1233	NIGHT
Pozdniakov-2014-100a-62	62	62	root-	670	ROOT
Pozdniakov-2014-100a-63	63	63	mouth---	674	MOUTH
Pozdniakov-2014-100a-64	64	64	breast--	1402	BREAST
Pozdniakov-2014-100a-65	65	65	red++	156	RED
Pozdniakov-2014-100a-66	66	66	white+	1335	WHITE
Pozdniakov-2014-100a-67	67	67	ashes-	646	ASH
Pozdniakov-2014-100a-68	68	68	know	1410	KNOW (SOMETHING)
Pozdniakov-2014-100a-69	69	69	bird---	937	BIRD
Pozdniakov-2014-100a-70	70	70	feather+	1201	FEATHER
Pozdniakov-2014-100a-71	71	71	person	683	PERSON
Pozdniakov-2014-100a-72	72	72	hot+	1286	HOT
Pozdniakov-2014-100a-73	73	73	see+	1409	SEE
Pozdniakov-2014-100a-74	74	74	bite	1403	BITE
Pozdniakov-2014-100a-75	75	75	seed-	714	SEED
Pozdniakov-2014-100a-76	76	76	fat	323	FAT (ORGANIC SUBSTANCE)
Pozdniakov-2014-100a-77	77	77	go+	695	GO
Pozdniakov-2014-100a-78	78	78	that----	78	THAT
Pozdniakov-2014-100a-79	79	79	swim	1439	SWIM
Pozdniakov-2014-100a-80	80	80	cloud+	1489	CLOUD
Pozdniakov-2014-100a-81	81	81	fly---	1504	FLY (INSECT)
Pozdniakov-2014-100a-82	82	82	neck----	1333	NECK
Pozdniakov-2014-100a-83	83	83	good+	1035	GOOD
Pozdniakov-2014-100a-84	84	84	man-	1554	MAN
Pozdniakov-2014-100a-85	85	85	say--	1458	SAY
Pozdniakov-2014-100a-86	86	86	woman	962	WOMAN
Pozdniakov-2014-100a-87	87	87	mountain+	639	MOUNTAIN
Pozdniakov-2014-100a-88	88	88	burn--	2102	BURN
Pozdniakov-2014-100a-89	89	89	lie	1411	LIE (REST)
Pozdniakov-2014-100a-90	90	90	yellow+	1424	YELLOW
Pozdniakov-2014-100a-91	91	91	bark	1204	BARK
Pozdniakov-2014-100a-92	92	92	green	1425	GREEN
Pozdniakov-2014-100a-93	93	93	big	1202	BIG
Pozdniakov-2014-100a-94	94	94	cold-	1287	COLD
Pozdniakov-2014-100a-95	95	95	little	1246	SMALL
Pozdniakov-2014-100a-96	96	96	belly	1251	BELLY
Pozdniakov-2014-100a-97	97	97	sand	671	SAND
Pozdniakov-2014-100a-98	98	98	round-	1395	ROUND
Pozdniakov-2014-100a-99	99	99	all--	98	ALL
Pozdniakov-2014-100a-100	100	100	many	1198	MANY
