ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	INDONESIAN	CLASSIFICATION	PAGE	LOCATOR	CONCEPTICON_ID	CONCEPTICON_GLOSS
Berry-1987-195-51	51	fog	fog	kabut	NOUNS / Inanimate Nouns	67	49	249	FOG
Berry-1987-195-52	52	fruit	fruit	buah	NOUNS / Inanimate Nouns	67	49	1507	FRUIT
Berry-1987-195-53	53	garden	garden	kebun	NOUNS / Inanimate Nouns	67	49	586	GARDEN
Berry-1987-195-54	54	grass	grass	alang-alang	NOUNS / Inanimate Nouns	67	49	606	GRASS
Berry-1987-195-55	55	house	house	rumah	NOUNS / Inanimate Nouns	67	49	1252	HOUSE
Berry-1987-195-56	56	jungle	jungle	hutan	NOUNS / Inanimate Nouns	67	49	3808	JUNGLE
Berry-1987-195-57	57	leaf	leaf	daun	NOUNS / Inanimate Nouns	67	49	628	LEAF
Berry-1987-195-58	58	lightning	lightning	kilat	NOUNS / Inanimate Nouns	67	49	1654	LIGHTNING
Berry-1987-195-59	59	moon	moon	bulan	NOUNS / Inanimate Nouns	67	49	1313	MOON
Berry-1987-195-60	60	mountain	mountain	gunung	NOUNS / Inanimate Nouns	67	49	639	MOUNTAIN
Berry-1987-195-61	61	name	name	nama	NOUNS / Inanimate Nouns	67	49	1405	NAME
Berry-1987-195-62	62	night	night	malam	NOUNS / Inanimate Nouns	68	50	1233	NIGHT
Berry-1987-195-63	63	path	path	jalan	NOUNS / Inanimate Nouns	68	50	2252	PATH
Berry-1987-195-64	64	rain	rain	hujan	NOUNS / Inanimate Nouns	68	50	658	RAIN (PRECIPITATION)
Berry-1987-195-65	65	roof	roof	atap	NOUNS / Inanimate Nouns	68	50	769	ROOF
Berry-1987-195-66	66	rope	rope	tali	NOUNS / Inanimate Nouns	68	50	1218	ROPE
Berry-1987-195-67	67	salt	salt	garam	NOUNS / Inanimate Nouns	68	50	1274	SALT
Berry-1987-195-68	68	sand	sand	pasir	NOUNS / Inanimate Nouns	68	50	671	SAND
Berry-1987-195-69	69	sea	sea	laut	NOUNS / Inanimate Nouns	68	50	1474	SEA
Berry-1987-195-70	70	seed	seed	biji	NOUNS / Inanimate Nouns	68	50	714	SEED
Berry-1987-195-71	71	sky	sky	langit	NOUNS / Inanimate Nouns	68	50	1732	SKY
Berry-1987-195-72	72	smoke	smoke	asap	NOUNS / Inanimate Nouns	68	50	778	SMOKE (EXHAUST)
Berry-1987-195-73	73	soil/earth	soil, earth	tanah	NOUNS / Inanimate Nouns	68	50	1228	EARTH (SOIL)
Berry-1987-195-74	74	star	star	bintang	NOUNS / Inanimate Nouns	69	51	1430	STAR
Berry-1987-195-75	75	stone	stone	batu	NOUNS / Inanimate Nouns	69	51	857	STONE
Berry-1987-195-76	76	stick	stick	tongkat	NOUNS / Inanimate Nouns	69	51	1295	STICK
Berry-1987-195-77	77	sun	sun	matahari	NOUNS / Inanimate Nouns	69	51	1343	SUN
Berry-1987-195-78	78	thorn	thorn	duri	NOUNS / Inanimate Nouns	69	51	124	THORN
Berry-1987-195-79	79	thunder	thunder	guntur	NOUNS / Inanimate Nouns	69	51	1150	THUNDER
Berry-1987-195-80	80	tree	tree	pohon/kayu	NOUNS / Inanimate Nouns	69	51	906	TREE
Berry-1987-195-81	81	water	water	air	NOUNS / Inanimate Nouns	69	51	948	WATER
Berry-1987-195-82	82	wind	wind	angin	NOUNS / Inanimate Nouns	69	51	960	WIND
Berry-1987-195-83	83	I	I	saya	PRONOUNS	70	52	1209	I
Berry-1987-195-84	84	you (s)	you (s)	kamu	PRONOUNS	70	52	1215	THOU
Berry-1987-195-85	85	he/she	he, she	dia	PRONOUNS	70	52	2642	HE OR SHE
Berry-1987-195-86	86	we	we (incl)	kita	PRONOUNS	70	52	1131	WE (INCLUSIVE)
Berry-1987-195-87	87	they	they	mereka	PRONOUNS	70	52	817	THEY
Berry-1987-195-88	88	one	one	satu	MODIFIERS / Numerals	70	52	1493	ONE
Berry-1987-195-89	89	two	two	dua	MODIFIERS / Numerals	70	52	1498	TWO
Berry-1987-195-90	90	three	three	tiga	MODIFIERS / Numerals	70	52	492	THREE
Berry-1987-195-91	91	four	four	empat	MODIFIERS / Numerals	70	52	1500	FOUR
Berry-1987-195-92	92	five	five	lima	MODIFIERS / Numerals	71	53	493	FIVE
Berry-1987-195-93	93	six	six	enam	MODIFIERS / Numerals	71	53	1703	SIX
Berry-1987-195-94	94	seven	seven	tujuh	MODIFIERS / Numerals	71	53	1704	SEVEN
Berry-1987-195-95	95	eight	eight	delapan	MODIFIERS / Numerals	71	53	1705	EIGHT
Berry-1987-195-96	96	nine	nine	sembilan	MODIFIERS / Numerals	71	53	1483	NINE
Berry-1987-195-97	97	ten	ten	sepuluh	MODIFIERS / Numerals	71	53	1515	TEN
Berry-1987-195-98	98	black	black	hitam	MODIFIERS / Colours	71	53	163	BLACK
Berry-1987-195-99	99	green	green	hijau	MODIFIERS / Colours	71	53	1425	GREEN
Berry-1987-195-100	100	red	red	merah	MODIFIERS / Colours	71	53	156	RED
Berry-1987-195-101	101	yellow	yellow	kuning	MODIFIERS / Colours	71	53	1424	YELLOW
Berry-1987-195-102	102	white	white	putih	MODIFIERS / Colours	72	54	1335	WHITE
Berry-1987-195-103	103	all	all	semua	MODIFIERS / Other Modifiers	72	54	98	ALL
Berry-1987-195-104	104	blunt (stick)	blunt (stick)	tumpul	MODIFIERS / Other Modifiers	72	54	379	BLUNT
Berry-1987-195-105	105	cold (wind)	cold (wind)	dingin	MODIFIERS / Other Modifiers	72	54	1287	COLD
Berry-1987-195-106	106	different	different	berbeda	MODIFIERS / Other Modifiers	72	54	2504	DIFFERENT
Berry-1987-195-107	107	dirty (hands)	dirty (hands)	kotor	MODIFIERS / Other Modifiers	72	54	1230	DIRTY
Berry-1987-195-108	108	dry (grass)	dry (grass)	kering	MODIFIERS / Other Modifiers	72	54	1398	DRY
Berry-1987-195-109	109	evil (person)	evil (person)	jahat	MODIFIERS / Other Modifiers	72	54	45	EVIL
Berry-1987-195-110	110	few (stones)	few (stones)	sedikit	MODIFIERS / Other Modifiers	72	54	1242	FEW
Berry-1987-195-111	111	full (bucket)	full (bucket)	penuh	MODIFIERS / Other Modifiers	73	55	1429	FULL
Berry-1987-195-112	112	good (person)	good (person)	baik	MODIFIERS / Other Modifiers	73	55	1035	GOOD
Berry-1987-195-113	113	heavy (stone)	heavy (stone)	berat	MODIFIERS / Other Modifiers	73	55	1210	HEAVY
Berry-1987-195-114	114	hot (wind)	hot (wind)	panas	MODIFIERS / Other Modifiers	73	55	1286	HOT
Berry-1987-195-115	115	large (dog)	large (dog)	besar	MODIFIERS / Other Modifiers	73	55	1202	BIG
Berry-1987-195-116	116	long (snake)	long (snake)	panjang	MODIFIERS / Other Modifiers	73	55	1203	LONG
Berry-1987-195-117	117	many	many	banyak	MODIFIERS / Other Modifiers	73	55	1198	MANY
Berry-1987-195-118	118	narrow (path)	narrow (path)	sempit	MODIFIERS / Other Modifiers	73	55	1267	NARROW
Berry-1987-195-119	119	new (house)	new (house)	baru	MODIFIERS / Other Modifiers	73	55	1231	NEW
Berry-1987-195-120	120	not	not	tidak	MODIFIERS / Other Modifiers	73	55	1240	NOT
Berry-1987-195-121	121	old (house)	old (house)	lama	MODIFIERS / Other Modifiers	73	55	1229	OLD
Berry-1987-195-122	122	rotten (fruit)	rotten (fruit)	busuk	MODIFIERS / Other Modifiers	73	55	1728	ROTTEN
Berry-1987-195-123	123	same	same	sama	MODIFIERS / Other Modifiers	74	56	200	SAME
Berry-1987-195-124	124	sharp (stick)	sharp (stick)	tajam	MODIFIERS / Other Modifiers	74	56	1396	SHARP
Berry-1987-195-125	125	short (snake)	short (snake)	pendek	MODIFIERS / Other Modifiers	74	56	1645	SHORT
Berry-1987-195-126	126	small (dog)	small (dog)	kecil	MODIFIERS / Other Modifiers	74	56	1246	SMALL
Berry-1987-195-127	127	smooth (stone)	smooth (stone)	licin	MODIFIERS / Other Modifiers	74	56	1234	SMOOTH
Berry-1987-195-128	128	sore (leg)	sore (leg)	sakit	MODIFIERS / Other Modifiers	74	56	51	SORE
Berry-1987-195-129	129	straight (stick)	straight (stick)	lurus	MODIFIERS / Other Modifiers	74	56	1404	STRAIGHT
Berry-1987-195-130	130	swollen (leg)	swollen (leg)	bengkak	MODIFIERS / Other Modifiers	74	56	1573	SWELL
Berry-1987-195-131	131	that	that	itu	MODIFIERS / Other Modifiers	74	56	78	THAT
Berry-1987-195-132	132	thick (stick)	thick (stick)	tebal	MODIFIERS / Other Modifiers	74	56	1244	THICK
Berry-1987-195-133	133	thin (stick)	thin (stick)	tipis	MODIFIERS / Other Modifiers	74	56	2308	THIN
Berry-1987-195-134	134	this	this	ini	MODIFIERS / Other Modifiers	74	56	1214	THIS
Berry-1987-195-135	135	truly/well (to speak)	truly, well (to speak)	benar	MODIFIERS / Other Modifiers	75	57	1725	CORRECT (RIGHT)
Berry-1987-195-136	136	wet (sand)	wet (sand)	basah	MODIFIERS / Other Modifiers	75	57	1726	WET
Berry-1987-195-137	137	wide (path)	wide (path)	lebar	MODIFIERS / Other Modifiers	75	57	1243	WIDE
Berry-1987-195-138	138	afraid	afraid	takut	VERBS	75	57	1419	FEAR (BE AFRAID)
Berry-1987-195-139	139	ashamed	ashamed	malu	VERBS	75	57	1894	ASHAMED
Berry-1987-195-140	140	bathe	bathe	mandi	VERBS	75	57	138	BATHE
Berry-1987-195-141	141	blow	blow	tiup	VERBS	75	57	175	BLOW (OF WIND)
Berry-1987-195-142	142	breathe	breathe	bernapas	VERBS	75	57	1407	BREATHE
Berry-1987-195-143	143	come	come	datang	VERBS	75	57	1446	COME
Berry-1987-195-144	144	cough	cough	batuk	VERBS	75	57	879	COUGH
Berry-1987-195-145	145	count	count	hitung	VERBS	75	57	1420	COUNT
Berry-1987-195-146	146	cry	cry	menangis	VERBS	76	58	1839	CRY
Berry-1987-195-147	147	cut (grass)	cut (grass)	membabat	VERBS	76	58	1432	CUT
Berry-1987-195-148	148	die	die	mati	VERBS	76	58	1494	DIE
Berry-1987-195-149	149	dig	dig	gali	VERBS	76	58	1418	DIG
Berry-1987-195-150	150	dream	dream	mimpi	VERBS	76	58	1920	DREAM (SOMETHING)
Berry-1987-195-151	151	drink	drink	minum	VERBS	76	58	1401	DRINK
Berry-1987-195-152	152	eat	eat	makan	VERBS	76	58	1336	EAT
Berry-1987-195-153	153	fall	fall	jatuh	VERBS	76	58	1280	FALL
Berry-1987-195-154	154	flow (river)	flow (river)	mengalir	VERBS	76	58	2003	FLOW
Berry-1987-195-155	155	fly (bird)	fly (bird)	terbang	VERBS	76	58	1441	FLY (MOVE THROUGH AIR)
Berry-1987-195-156	156	give	give	memberi	VERBS	76	58	1447	GIVE
Berry-1987-195-157	157	hear	hear	dengar	VERBS	76	58	1408	HEAR
Berry-1987-195-158	158	hit	hit	pukul	VERBS	77	59	1433	HIT
Berry-1987-195-159	159	hold	hold	pegang	VERBS	77	59	1448	HOLD
Berry-1987-195-160	160	kill	kill	bunuh	VERBS	77	59	1417	KILL
Berry-1987-195-161	161	know	know	tahu	VERBS	77	59	1410	KNOW (SOMETHING)
Berry-1987-195-162	162	live	live	hidup	VERBS	77	59	1422	BE ALIVE
Berry-1987-195-163	163	play	play	bermain	VERBS	77	59	1413	PLAY
Berry-1987-195-164	164	pull	pull	menarik	VERBS	77	59	1455	PULL
Berry-1987-195-165	165	push	push	mendorong	VERBS	77	59	1452	PUSH
Berry-1987-195-166	166	rub	rub	menggosok	VERBS	77	59	1449	RUB
Berry-1987-195-167	167	see	see	lihat	VERBS	77	59	1409	SEE
Berry-1987-195-168	168	seek	seek	cari	VERBS	77	59	1468	LOOK FOR
Berry-1987-195-169	169	scratch	scratch	garuk	VERBS	77	59	1436	SCRATCH
Berry-1987-195-170	170	shoot (pig)	shoot (pig)	memanah	VERBS	78	60	1172	SHOOT
Berry-1987-195-171	171	sing	sing	menyanyi	VERBS	78	60	1261	SING
Berry-1987-195-172	172	sit	sit	duduk	VERBS	78	60	1416	SIT
Berry-1987-195-173	173	sleep	sleep	tidur	VERBS	78	60	1585	SLEEP
Berry-1987-195-174	174	speak	speak	bicara	VERBS	78	60	1623	SPEAK
Berry-1987-195-175	175	spit	spit	meludah	VERBS	78	60	1440	SPIT
Berry-1987-195-176	176	split (wood)	split (wood)	membelah	VERBS	78	60	1437	SPLIT
Berry-1987-195-177	177	stab	stab	tikam	VERBS	78	60	1434	STAB
Berry-1987-195-178	178	stand	stand	berdiri	VERBS	78	60	1442	STAND
Berry-1987-195-179	179	stink	stink	berbau	VERBS	78	60	1587	SMELL (STINK)
Berry-1987-195-180	180	suck	suck	isap	VERBS	78	60	1421	SUCK
Berry-1987-195-181	181	throw (stone)	throw (stone)	melempar	VERBS	78	60	1456	THROW
Berry-1987-195-182	182	tie (rope)	tie (rope)	mengikat	VERBS	79	61	1917	TIE
Berry-1987-195-183	183	vomit	vomit	muntah	VERBS	79	61	1278	VOMIT
Berry-1987-195-184	184	walk	walk	berjalan	VERBS	79	61	1443	WALK
Berry-1987-195-185	185	wash (clothes)	wash (clothes)	mencuci	VERBS	79	61	1453	WASH
Berry-1987-195-186	186	what	what	apa	INTERROGATIVES	79	61	1236	WHAT
Berry-1987-195-187	187	who	who	siapa	INTERROGATIVES	79	61	1235	WHO
Berry-1987-195-188	188	at	at	di	LOCATIVES	79	61	1461	AT
Berry-1987-195-189	189	far	far	jauh	LOCATIVES	79	61	1406	FAR
Berry-1987-195-190	190	in front	in front	di depan	LOCATIVES	79	61	1883	IN FRONT OF
Berry-1987-195-191	191	inside	inside	di dalam	LOCATIVES	79	61	1606	INSIDE
Berry-1987-195-192	192	left side	left side	kiri	LOCATIVES	80	62	244	LEFT
Berry-1987-195-193	193	near	near	dekat	LOCATIVES	80	62	1942	NEAR
Berry-1987-195-194	194	outside	outside	di luar	LOCATIVES	80	62	762	OUTSIDE
Berry-1987-195-195	195	right side	right side	kanan	LOCATIVES	80	62	1019	RIGHT
