ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2012-644-91	91	claw of crab	2812	CRAB CLAW
Bowern-2012-644-92	92	claw of crayfish	2812	CRAB CLAW
Bowern-2012-644-93	93	clean (to)	2235	CLEAN (SOMETHING)
Bowern-2012-644-94	94	climb (to)	1102	CLIMB
Bowern-2012-644-95	95	close	1046	SHUT
Bowern-2012-644-96	96	clothes	1895	CLOTHES
Bowern-2012-644-97	97	cloud	1489	CLOUD
Bowern-2012-644-98	98	cluck		
Bowern-2012-644-99	99	cockroach ('black beetle')	1575	COCKROACH
Bowern-2012-644-100	100	cold	2483	COLD (OF WEATHER)
Bowern-2012-644-101	101	cold water		
Bowern-2012-644-102	102	come (to)	1446	COME
Bowern-2012-644-103	103	coot (fulica atra)		
Bowern-2012-644-104	104	cormorant	840	CORMORANT
Bowern-2012-644-105	105	corpse	767	CORPSE
Bowern-2012-644-106	106	country	1300	COUNTRY
Bowern-2012-644-107	107	cousin	1643	COUSIN
Bowern-2012-644-108	108	crab	2348	CRAB
Bowern-2012-644-109	109	crooked	297	CROOKED
Bowern-2012-644-110	110	crow	913	CROW
Bowern-2012-644-111	111	cry (to)	1839	CRY
Bowern-2012-644-112	112	currijong		
Bowern-2012-644-113	113	cut (to)	1432	CUT
Bowern-2012-644-114	114	cuttlefish	2814	CUTTLEFISH
Bowern-2012-644-115	115	dance (to)	1879	DANCE
Bowern-2012-644-116	116	day	1260	DAY (24 HOURS)
Bowern-2012-644-117	117	dead	1625	DEAD
Bowern-2012-644-118	118	dead man's house		
Bowern-2012-644-119	119	deaf	996	DEAF
Bowern-2012-644-120	120	deception	13	DECEIT
Bowern-2012-644-121	121	deep	1593	DEEP
Bowern-2012-644-122	122	defecate (to)	676	SHIT (DEFECATE)
Bowern-2012-644-123	123	descend	2014	GO DOWN (DESCEND)
Bowern-2012-644-124	124	devil	1973	DEMON
Bowern-2012-644-125	125	dialect	2815	DIALECT
Bowern-2012-644-126	126	dig (to)	1418	DIG
Bowern-2012-644-127	127	dirt	25	DIRT
Bowern-2012-644-128	128	disembowel (to)		
Bowern-2012-644-129	129	distant	1406	FAR
Bowern-2012-644-130	130	dive (to)	119	DIVE
Bowern-2012-644-131	131	dog	2009	DOG
Bowern-2012-644-132	132	dogwood [melaleuca group]		
Bowern-2012-644-133	133	dogwood [pomaderris--bedfordia group]		
Bowern-2012-644-134	134	dolphin ('porpoise')	1479	DOLPHIN
Bowern-2012-644-135	135	dotterel' (mutton-bird)		
Bowern-2012-644-136	136	draw a design in charcoal (to)		
Bowern-2012-644-137	137	dream (to)	1920	DREAM (SOMETHING)
Bowern-2012-644-138	138	dress skin (to)		
Bowern-2012-644-139	139	drink (to)	1401	DRINK
