ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TBL_ID
Hill-2017-240-160	160	round	1395	ROUND	990
Hill-2017-240-161	161	the salt	1274	SALT	61
Hill-2017-240-162	162	salty	1091	SALTY	1076
Hill-2017-240-163	163	the sand	671	SAND	44
Hill-2017-240-164	164	to scratch	1436	SCRATCH	1530
Hill-2017-240-165	165	the sea	1474	SEA	32
Hill-2017-240-166	166	to see	1409	SEE	1471
Hill-2017-240-167	167	the seed	714	SEED	405
Hill-2017-240-168	168	seven	1704	SEVEN	803
Hill-2017-240-169	169	sharp	1396	SHARP	1020
Hill-2017-240-170	170	the sheep	1331	SHEEP	275
Hill-2017-240-171	171	to shoot (an arrow)	1172	SHOOT	1611
Hill-2017-240-172	172	short	1645	SHORT	973
Hill-2017-240-173	173	the shoulder	1482	SHOULDER	90
Hill-2017-240-174	174	shy	487	SHY	1365
Hill-2017-240-175	175	the sickle	341	SICKLE	624
Hill-2017-240-176	176	to sing	1261	SING	1184
Hill-2017-240-177	177	six	1703	SIX	802
Hill-2017-240-178	178	the skin	763	SKIN	120
Hill-2017-240-179	179	the sky	1732	SKY	1
Hill-2017-240-180	180	to sleep	1585	SLEEP	1646
Hill-2017-240-181	181	small	1246	SMALL	965
Hill-2017-240-182	182	to smell (perceive odor) [transitive]	1586	SMELL (PERCEIVE)	1707
Hill-2017-240-183	183	the smoke	778	SMOKE (EXHAUST)	19
Hill-2017-240-184	184	smooth	1234	SMOOTH	1037
Hill-2017-240-185	185	the snake	730	SNAKE	347
Hill-2017-240-186	186	the snow	784	SNOW	12
Hill-2017-240-187	187	soft	1856	SOFT	1035
Hill-2017-240-188	188	the son	1620	SON	220
Hill-2017-240-189	189	the sparrow	1854	SPARROW	336
Hill-2017-240-190	190	the spider	843	SPIDER	361
Hill-2017-240-191	191	to spit	1440	SPIT	1688
Hill-2017-240-192	192	to stand	1442	STAND	1784
Hill-2017-240-193	193	the star	1430	STAR	5
Hill-2017-240-194	194	to steal	713	STEAL	1686
Hill-2017-240-195	195	the stick	1295	STICK	586
Hill-2017-240-196	196	the stone (a piece of)	857	STONE	379
Hill-2017-240-197	197	straight	1404	STRAIGHT	1003
Hill-2017-240-198	198	the sun	1343	SUN	2
Hill-2017-240-199	199	the tail	1220	TAIL	267
Hill-2017-240-200	200	ten	1515	TEN	806
Hill-2017-240-201	201	that	78	THAT	947
Hill-2017-240-202	202	there	1937	THERE	950
Hill-2017-240-203	203	thick	1244	THICK	980
Hill-2017-240-204	204	the thigh	800	THIGH	100
Hill-2017-240-205	205	to think (reflect)	1415	THINK (REFLECT)	1726
Hill-2017-240-206	206	this	1214	THIS	942
Hill-2017-240-207	207	thou [second person singular]	1215	THOU	931
Hill-2017-240-208	208	three	492	THREE	799
Hill-2017-240-209	209	to throw	1456	THROW	1687
Hill-2017-240-210	210	the thunder	1150	THUNDER	8
Hill-2017-240-211	211	the tiger	846	TIGER	304
Hill-2017-240-212	212	today	1283	TODAY	738
Hill-2017-240-213	213	tomorrow	1329	TOMORROW	742
Hill-2017-240-214	214	the tongue	1205	TONGUE	139
Hill-2017-240-215	215	the tooth (front)	1380	TOOTH	137
Hill-2017-240-216	216	the tree	906	TREE	372
Hill-2017-240-217	217	twenty	1710	TWENTY	816
Hill-2017-240-218	218	two	1498	TWO	798
Hill-2017-240-219	219	to vomit	1278	VOMIT	1535
Hill-2017-240-220	220	to walk	1443	WALK	1815
Hill-2017-240-221	221	the water	948	WATER	47
Hill-2017-240-222	222	we [first person plural inclusive]	1131	WE (INCLUSIVE)	930
Hill-2017-240-223	223	wet	1726	WET	1029
Hill-2017-240-224	224	what	1236	WHAT	954
Hill-2017-240-225	225	the wheat	1077	WHEAT	410
Hill-2017-240-226	226	where	1237	WHERE	955
Hill-2017-240-227	227	white	1335	WHITE	1006
Hill-2017-240-228	228	who	1235	WHO	953
Hill-2017-240-229	229	the wife	1199	WIFE	248
Hill-2017-240-230	230	the wind	960	WIND	9
Hill-2017-240-231	231	the wing	1257	WING	298
Hill-2017-240-232	232	to wipe	1454	WIPE	1163
Hill-2017-240-233	233	the wolf	522	WOLF	324
Hill-2017-240-234	234	the woman	962	WOMAN	174
Hill-2017-240-235	235	the wood (material)	1803	WOOD	511
Hill-2017-240-236	236	the year	1226	YEAR	777
Hill-2017-240-237	237	yellow	1424	YELLOW	1008
Hill-2017-240-238	238	yesterday	1174	YESTERDAY	739
Hill-2017-240-239	239	you [second person plural]	1213	YOU	933
Hill-2017-240-240	240	young	1207	YOUNG	1059
