ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Clark-2008-757-116	116	heel	980	HEEL
Clark-2008-757-117	117	navel	1838	NAVEL
Clark-2008-757-118	118	hair	1040	HAIR
Clark-2008-757-119	119	forehead	123	FOREHEAD
Clark-2008-757-120	120	eyebrow	1173	EYEBROW
Clark-2008-757-121	121	eyelid	17	EYELID
Clark-2008-757-122	122	cheek	1730	CHEEK
Clark-2008-757-123	123	ear	1247	EAR
Clark-2008-757-124	124	tooth	1380	TOOTH
Clark-2008-757-125	125	gums	139	GUMS
Clark-2008-757-126	126	intestines	1991	INTESTINES
Clark-2008-757-127	127	elbow	981	ELBOW
Clark-2008-757-128	128	armpit	1886	ARMPIT
Clark-2008-757-129	129	palm	1183	PALM OF HAND
Clark-2008-757-130	130	buttocks	834	BUTTOCKS
Clark-2008-757-131	131	knee	1371	KNEE
Clark-2008-757-132	132	calf	498	CALF OF LEG
Clark-2008-757-133	133	shin	186	SHIN
Clark-2008-757-134	134	foot	1301	FOOT
Clark-2008-757-135	135	rib	801	RIB
Clark-2008-757-136	136	flesh	2615	FLESH OR MEAT
Clark-2008-757-137	137	sweat	125	SWEAT (SUBSTANCE)
Clark-2008-757-138	138	arm	1673	ARM
Clark-2008-757-139	139	belly	1251	BELLY
Clark-2008-757-140	140	body	1480	BODY
Clark-2008-757-141	141	butt	834	BUTTOCKS
Clark-2008-757-142	142	chest	1592	CHEST
Clark-2008-757-143	143	cockcmbi		
Clark-2008-757-144	144	corpse	767	CORPSE
Clark-2008-757-145	145	ears	1247	EAR
Clark-2008-757-146	146	eyebrows	1173	EYEBROW
Clark-2008-757-147	147	foot (surface)	1301	FOOT
Clark-2008-757-148	148	hair of body	189	HAIR (BODY)
Clark-2008-757-149	149	hair of body2	189	HAIR (BODY)
Clark-2008-757-150	150	hair of head	2648	HAIR (HEAD)
Clark-2008-757-151	151	hip	1745	HIP
Clark-2008-757-152	152	intestine	1991	INTESTINES
Clark-2008-757-153	153	mucus	208	NASAL MUCUS (SNOT)
Clark-2008-757-154	154	neck	1333	NECK
Clark-2008-757-155	155	nest	539	NEST
Clark-2008-757-156	156	ribs	801	RIB
Clark-2008-757-157	157	shoulder	1482	SHOULDER
Clark-2008-757-158	158	tears	1651	TEAR (OF EYE)
Clark-2008-757-159	159	toe	1389	TOE
Clark-2008-757-160	160	tusk	3280	TUSK
Clark-2008-757-161	161	boil/ulcer	1189	ULCER
Clark-2008-757-162	162	waist	1681	WAIST
Clark-2008-757-163	163	dream	2374	DREAM
Clark-2008-757-164	164	price	657	PRICE
Clark-2008-757-165	165	white	1335	WHITE
Clark-2008-757-166	166	right side	1019	RIGHT
Clark-2008-757-167	167	red	156	RED
Clark-2008-757-168	168	green	1425	GREEN
Clark-2008-757-169	169	cool	2483	COLD (OF WEATHER)
Clark-2008-757-170	170	black	163	BLACK
Clark-2008-757-171	171	yellow	1424	YELLOW
Clark-2008-757-172	172	dry	1398	DRY
Clark-2008-757-173	173	to be dirty	1230	DIRTY
Clark-2008-757-174	174	to be new	1231	NEW
Clark-2008-757-175	175	to be old	1229	OLD
Clark-2008-757-176	176	to be dark	706	DARK
Clark-2008-757-177	177	to be bright	679	BRIGHT
Clark-2008-757-178	178	to be sweet	717	SWEET
Clark-2008-757-179	179	to be sour	1906	SOUR
Clark-2008-757-180	180	to be bitter	887	BITTER
Clark-2008-757-181	181	to be spicy, hot	544	SPICY
Clark-2008-757-182	182	to be rotten	1728	ROTTEN
Clark-2008-757-183	183	to be ripe	178	RIPE
Clark-2008-757-184	184	to be dry	1398	DRY
Clark-2008-757-185	185	to be wet	1726	WET
Clark-2008-757-186	186	to be hot	1286	HOT
Clark-2008-757-187	187	to be cold	1287	COLD
Clark-2008-757-188	188	to be sharp	1396	SHARP
Clark-2008-757-189	189	to be blunt	379	BLUNT
Clark-2008-757-190	190	to be heavy	1210	HEAVY
Clark-2008-757-191	191	to be hard	1884	HARD
Clark-2008-757-192	192	to be smooth	1234	SMOOTH
Clark-2008-757-193	193	to be fast	1631	FAST
Clark-2008-757-194	194	to be slow	701	SLOW
Clark-2008-757-195	195	to be strong	785	STRONG
Clark-2008-757-196	196	to be strong	785	STRONG
Clark-2008-757-197	197	to be weak	1601	WEAK
Clark-2008-757-198	198	to be blind	1653	BLIND
Clark-2008-757-199	199	to be deaf	996	DEAF
Clark-2008-757-200	200	bald	1125	BALD
Clark-2008-757-201	201	naked	590	NAKED
Clark-2008-757-202	202	to be good	1035	GOOD
Clark-2008-757-203	203	to be bad	1292	BAD
Clark-2008-757-204	204	to be correct	1725	CORRECT (RIGHT)
Clark-2008-757-205	205	to be wrong	1390	WRONG
Clark-2008-757-206	206	warm	1232	WARM
Clark-2008-757-207	207	difficult	584	DIFFICULT
Clark-2008-757-208	208	easy	686	EASY
Clark-2008-757-209	209	loose	2506	LOOSE
Clark-2008-757-210	210	wide	1243	WIDE
Clark-2008-757-211	211	wet	1726	WET
Clark-2008-757-212	212	sweet	717	SWEET
Clark-2008-757-213	213	sticky	3703	STICKY
Clark-2008-757-214	214	spicy	544	SPICY
Clark-2008-757-215	215	sour	1906	SOUR
Clark-2008-757-216	216	soft	1856	SOFT
Clark-2008-757-217	217	smelly	42	STINKING
Clark-2008-757-218	218	slick		
Clark-2008-757-219	219	short	1645	SHORT
Clark-2008-757-220	220	salty	1091	SALTY
Clark-2008-757-221	221	rotten	1728	ROTTEN
Clark-2008-757-222	222	ripe	178	RIPE
Clark-2008-757-223	223	raw	1959	RAW
Clark-2008-757-224	224	old	2113	OLD (USED)
Clark-2008-757-225	225	new	1231	NEW
Clark-2008-757-226	226	near	1942	NEAR
Clark-2008-757-227	227	narrow	1267	NARROW
Clark-2008-757-228	228	low	3348	LOW (POSITION OR HEIGHT)
Clark-2008-757-229	229	light weight	1052	LIGHT (WEIGHT)
Clark-2008-757-230	230	left	244	LEFT
Clark-2008-757-231	231	late	477	LATE
Clark-2008-757-232	232	inside	1606	INSIDE
Clark-2008-757-233	233	hot	1286	HOT
Clark-2008-757-234	234	high	1265	HIGH
Clark-2008-757-235	235	heavy	1210	HEAVY
Clark-2008-757-236	236	hard	1884	HARD
Clark-2008-757-237	237	good	1035	GOOD
Clark-2008-757-238	238	full	1429	FULL
Clark-2008-757-239	239	fragrant	376	FRAGRANT
Clark-2008-757-240	240	fishy		
Clark-2008-757-241	241	far	1406	FAR
Clark-2008-757-242	242	early	672	EARLY
Clark-2008-757-243	243	dead	1625	DEAD
Clark-2008-757-244	244	cold	1287	COLD
Clark-2008-757-245	245	blind	1653	BLIND
Clark-2008-757-246	246	bitter	887	BITTER
