ID	NUMBER	MITTERHOFER_2013_300	MITTERHOFER_2013_92	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-355-50	50	50		child	2099	CHILD
Mitterhofer-2013-355-51	51	51	14	son/boy	2391	BOY OR SON
Mitterhofer-2013-355-52	52	52	33	daughter/girl	2392	DAUGHTER OR GIRL
Mitterhofer-2013-355-53	53	53		twins	1005	TWINS
Mitterhofer-2013-355-54	54	54		chief	301	CHIEFTAIN
Mitterhofer-2013-355-55	55	55		God	1944	GOD
Mitterhofer-2013-355-56	56	56		sickness	1986	DISEASE
Mitterhofer-2013-355-57	57	57		sore	51	SORE
Mitterhofer-2013-355-58	58	58		medicine	1372	MEDICINE
Mitterhofer-2013-355-59	59	59		body (human)	1480	BODY
Mitterhofer-2013-355-60	60	60		name	1405	NAME
Mitterhofer-2013-355-61	61	61		wild animal	958	WILD ANIMAL
Mitterhofer-2013-355-62	62	62		dog	2009	DOG
Mitterhofer-2013-355-63	63	63	16	cat	1208	CAT
Mitterhofer-2013-355-64	64	64	24	elephant	1290	ELEPHANT
Mitterhofer-2013-355-65	65	65	55	lion	1386	LION
Mitterhofer-2013-355-66	66	66		bat	1793	BAT
Mitterhofer-2013-355-67	67	67		butterfly	1791	BUTTERFLY
Mitterhofer-2013-355-68	68	68	34	goat	1502	GOAT
Mitterhofer-2013-355-69	69	69	21	cow	1007	COW
Mitterhofer-2013-355-70	70	70		bull	1008	BULL
Mitterhofer-2013-355-71	71	71		calf	1989	CALF
Mitterhofer-2013-355-72	72	72	18	chicken	1318	CHICKEN
Mitterhofer-2013-355-73	73	73		cock/roooster	1878	COCK
Mitterhofer-2013-355-74	74	74		bird	937	BIRD
Mitterhofer-2013-355-75	75	75		snake	730	SNAKE
Mitterhofer-2013-355-76	76	76		fish	227	FISH
Mitterhofer-2013-355-77	77	77	9	bee	665	BEE
Mitterhofer-2013-355-78	78	78		head louse	310	HEAD LOUSE
Mitterhofer-2013-355-79	79	79	81	tree	906	TREE
Mitterhofer-2013-355-80	80	80	6	bark (of tree)	1204	BARK
Mitterhofer-2013-355-81	81	81	54	leaf	628	LEAF
Mitterhofer-2013-355-82	82	82		branch (of tree)	1531	BRANCH
Mitterhofer-2013-355-83	83	83		shade (of tree)	1388	SHADE
Mitterhofer-2013-355-84	84	84		walking stick	1296	WALKING STICK
Mitterhofer-2013-355-85	85	85		root (of tree)	670	ROOT
Mitterhofer-2013-355-86	86	86	69	seed	714	SEED
Mitterhofer-2013-355-87	87	87		grass	606	GRASS
Mitterhofer-2013-355-88	88	88		flowers	239	FLOWER
Mitterhofer-2013-355-89	89	89		thorn	124	THORN
Mitterhofer-2013-355-90	90	90	28	field	212	FIELD
Mitterhofer-2013-355-91	91	91	43	house	1252	HOUSE
Mitterhofer-2013-355-92	92	92		wall	933	WALL (OF HOUSE)
Mitterhofer-2013-355-93	93	93		village	930	VILLAGE
Mitterhofer-2013-355-94	94	94		path	2252	PATH
Mitterhofer-2013-355-95	95	95		thing/object	738	THING
Mitterhofer-2013-355-96	96	96		rope	1218	ROPE
Mitterhofer-2013-355-97	97	97		thread	1161	THREAD
Mitterhofer-2013-355-98	98	98		knot	760	KNOT
Mitterhofer-2013-355-99	99	99	17	chair	1476	CHAIR
Mitterhofer-2013-355-100	100	100	75	stool	2058	STOOL
Mitterhofer-2013-355-101	101	101		salt	1274	SALT
Mitterhofer-2013-355-102	102	102		finger millet	931	MILLET
Mitterhofer-2013-355-103	103	103		gruel	1167	GRUEL
Mitterhofer-2013-355-104	104	104	46	hunger	1864	HUNGER
Mitterhofer-2013-355-105	105	105		thirst	848	THIRST
Mitterhofer-2013-355-106	106	106		utensil	738	THING
Mitterhofer-2013-355-107	107	107	66	cooking pot (clay)		
Mitterhofer-2013-355-108	108	108		burden, load (carried on head)	1679	LOAD
Mitterhofer-2013-355-109	109	109		iron/metal	621	IRON
Mitterhofer-2013-355-110	110	110		hoe	284	HOE
Mitterhofer-2013-355-111	111	111	52	knife	1352	KNIFE
Mitterhofer-2013-355-112	112	112		big knife		
Mitterhofer-2013-355-113	113	113		dull (knife)	379	BLUNT
Mitterhofer-2013-355-114	114	114		sharp (knife)	1396	SHARP
Mitterhofer-2013-355-115	115	115		axe	677	AXE
Mitterhofer-2013-355-116	116	116		spear	945	SPEAR
Mitterhofer-2013-355-117	117	117		arrow	977	ARROW
Mitterhofer-2013-355-118	118	118		hole	1667	HOLE
Mitterhofer-2013-355-119	119	119		enemy	1358	ENEMY
Mitterhofer-2013-355-120	120	120		war	935	WAR
Mitterhofer-2013-355-121	121	121		fire (for cooking)/heat	221	FIRE
Mitterhofer-2013-355-122	122	122		firewood	10	FIREWOOD
Mitterhofer-2013-355-123	123	123		smoke	778	SMOKE (EXHAUST)
Mitterhofer-2013-355-124	124	124	3	ash(es) (ma)	646	ASH
Mitterhofer-2013-355-125	125	125	61	night (time)	1233	NIGHT
Mitterhofer-2013-355-126	126	126		darkness	11	DARKNESS
Mitterhofer-2013-355-127	127	127		moon	1313	MOON
Mitterhofer-2013-355-128	128	128		month	1370	MONTH
Mitterhofer-2013-355-129	129	129		star	1430	STAR
Mitterhofer-2013-355-130	130	130		sun	1343	SUN
Mitterhofer-2013-355-131	131	131		daytime	1225	DAY (NOT NIGHT)
Mitterhofer-2013-355-132	132	132		today	1283	TODAY
Mitterhofer-2013-355-133	133	133		yesterday	1174	YESTERDAY
Mitterhofer-2013-355-134	134	134		tomorrow	1329	TOMORROW
Mitterhofer-2013-355-135	135	135	83	sky	1732	SKY
Mitterhofer-2013-355-136	136	136		clouds	1489	CLOUD
Mitterhofer-2013-355-137	137	137		wind (N)	960	WIND
Mitterhofer-2013-355-138	138	138		rain (N)	658	RAIN (PRECIPITATION)
Mitterhofer-2013-355-139	139	139		water	948	WATER
Mitterhofer-2013-355-140	140	140		river	666	RIVER
Mitterhofer-2013-355-141	141	141	53	lake	624	LAKE
Mitterhofer-2013-355-142	142	142		dew	1977	DEW
Mitterhofer-2013-355-143	143	143		ice	617	ICE
Mitterhofer-2013-355-144	144	144		mountain	639	MOUNTAIN
Mitterhofer-2013-355-145	145	145	68	stone (fistsized)/rock	2125	STONE OR ROCK
Mitterhofer-2013-355-146	146	146		earth (soil)	1228	EARTH (SOIL)
Mitterhofer-2013-355-147	147	147		sand	671	SAND
Mitterhofer-2013-355-148	148	148		dust	2	DUST
Mitterhofer-2013-355-149	149	149		year	1226	YEAR
Mitterhofer-2013-355-150	150	150		one (thing)	1493	ONE
Mitterhofer-2013-355-151	151	151		two (things)	1498	TWO
Mitterhofer-2013-355-152	152	152		three	492	THREE
Mitterhofer-2013-355-153	153	153		four	1500	FOUR
Mitterhofer-2013-355-154	154	154		five	493	FIVE
Mitterhofer-2013-355-155	155	155		six	1703	SIX
Mitterhofer-2013-355-156	156	156		seven	1704	SEVEN
Mitterhofer-2013-355-157	157	157		eight	1705	EIGHT
Mitterhofer-2013-355-158	158	158		nine	1483	NINE
Mitterhofer-2013-355-159	159	159		ten	1515	TEN
Mitterhofer-2013-355-160	160	160	39	hot (weather)	1286	HOT
Mitterhofer-2013-355-161	161	161	19	cold (weather)	2483	COLD (OF WEATHER)
Mitterhofer-2013-355-162	162	162		long (thing)	1203	LONG
Mitterhofer-2013-355-163	163	163		short (thing)	1645	SHORT
Mitterhofer-2013-355-164	164	164		big (thing)	1202	BIG
Mitterhofer-2013-355-165	165	165		small (thing)	1246	SMALL
Mitterhofer-2013-355-166	166	166		wide (path)	1243	WIDE
Mitterhofer-2013-355-167	167	167		narrow (path)	1267	NARROW
Mitterhofer-2013-355-168	168	168		heavy (thing)	1210	HEAVY
Mitterhofer-2013-355-169	169	169		light (weight)	1052	LIGHT (WEIGHT)
Mitterhofer-2013-355-170	170	170		difficult (test)	584	DIFFICULT
Mitterhofer-2013-355-171	171	171		easy (test)	686	EASY
Mitterhofer-2013-355-172	172	172		good (thing)	1035	GOOD
Mitterhofer-2013-355-173	173	173		bad (thing)	1292	BAD
Mitterhofer-2013-355-174	174	174		left (side)	244	LEFT
Mitterhofer-2013-355-175	175	175		right (side)	1019	RIGHT
Mitterhofer-2013-355-176	176	176		inside	1606	INSIDE
Mitterhofer-2013-355-177	177	177		outside	762	OUTSIDE
Mitterhofer-2013-355-178	178	178		far	1406	FAR
Mitterhofer-2013-355-179	179	179	60	near	1942	NEAR
Mitterhofer-2013-355-180	180	180		new (thing)	1231	NEW
Mitterhofer-2013-355-181	181	181		all (things)	98	ALL
Mitterhofer-2013-355-182	182	182		many (things)	1198	MANY
Mitterhofer-2013-355-183	183	183		few (things)	1242	FEW
Mitterhofer-2013-355-184	184	184		red (thing)	156	RED
Mitterhofer-2013-355-185	185	185		black (thing)	163	BLACK
Mitterhofer-2013-355-186	186	186		white (thing)	1335	WHITE
Mitterhofer-2013-355-187	187	187		who?	1235	WHO
Mitterhofer-2013-355-188	188	188		why?	1270	WHY
Mitterhofer-2013-355-189	189	189		what?	1236	WHAT
Mitterhofer-2013-355-190	190	190		dirty (clothes)	1230	DIRTY
Mitterhofer-2013-355-191	191	191		rotten (fruit)	1728	ROTTEN
Mitterhofer-2013-355-192	192	192		dry (cloth)	1398	DRY
Mitterhofer-2013-355-193	193	193		wet (cloth)	1726	WET
Mitterhofer-2013-355-194	194	194		full (bottle)	1429	FULL
Mitterhofer-2013-355-195	195	195		sit	1416	SIT
Mitterhofer-2013-355-196	196	196a	73a	stand up (3rd Sg)	570	STAND UP
Mitterhofer-2013-355-197	197	196b	73b	stand up (Imp)	570	STAND UP
Mitterhofer-2013-355-198	198	197		sleep	1585	SLEEP
Mitterhofer-2013-355-199	199	198		awaken	825	AWAKE
Mitterhofer-2013-355-200	200	199		ask for sthg.		
Mitterhofer-2013-355-201	201	200		bring	692	BRING
Mitterhofer-2013-355-202	202	201		get/obtain	694	GET
Mitterhofer-2013-355-203	203	202		take	1749	TAKE
Mitterhofer-2013-355-204	204	203		carry (child on back)	465	CARRY ON BACK
Mitterhofer-2013-355-205	205	204		hold	1448	HOLD
Mitterhofer-2013-355-206	206	205		sell	1571	SELL
Mitterhofer-2013-355-207	207	206		buy	1869	BUY
Mitterhofer-2013-355-208	208	207		fear (V)	1419	FEAR (BE AFRAID)
Mitterhofer-2013-355-209	209	208		give (him)	1447	GIVE
Mitterhofer-2013-355-210	210	209		send (him)	1127	SEND
Mitterhofer-2013-355-211	211	210		bite (V)	1403	BITE
Mitterhofer-2013-355-212	212	211		eat	1336	EAT
Mitterhofer-2013-355-213	213	212		drink (V)	1401	DRINK
Mitterhofer-2013-355-214	214	213		boil (water)	792	BOIL (OF LIQUID)
Mitterhofer-2013-355-215	215	214		pour	1487	POUR
Mitterhofer-2013-355-216	216	215		vomit	1278	VOMIT
Mitterhofer-2013-355-217	217	216		cough	879	COUGH
Mitterhofer-2013-355-218	218	217		sneeze	1621	SNEEZE
Mitterhofer-2013-355-219	219	218		breathe	1407	BREATHE
Mitterhofer-2013-355-220	220	219		suck (baby)	1421	SUCK
Mitterhofer-2013-355-221	221	220		spit	1440	SPIT
Mitterhofer-2013-355-222	222	221		blow (wind)	175	BLOW (OF WIND)
Mitterhofer-2013-355-223	223	222		blow (person)	176	BLOW (WITH MOUTH)
Mitterhofer-2013-355-224	224	223		whistle (V)	1025	WHISTLE
Mitterhofer-2013-355-225	225	224		yawn	1028	YAWN
Mitterhofer-2013-355-226	226	225		sing	1261	SING
Mitterhofer-2013-355-227	227	226		play (child)	1413	PLAY
Mitterhofer-2013-355-228	228	227		dance	1879	DANCE
Mitterhofer-2013-355-229	229	228		laugh	1355	LAUGH
Mitterhofer-2013-355-230	230	229		cry (child)	1839	CRY
Mitterhofer-2013-355-231	231	230		bark (dog)	1206	BARKING
Mitterhofer-2013-355-232	232	231		say	1458	SAY
Mitterhofer-2013-355-233	233	232		ask (question)	1309	ASK (INQUIRE)
Mitterhofer-2013-355-234	234	233		look	1819	LOOK
Mitterhofer-2013-355-235	235	234		show (V)	1039	SHOW
Mitterhofer-2013-355-236	236	235		hear	1408	HEAR
Mitterhofer-2013-355-237	237	236		die	1494	DIE
Mitterhofer-2013-355-238	238	237		know	1410	KNOW (SOMETHING)
Mitterhofer-2013-355-239	239	238		count (V)	1420	COUNT
Mitterhofer-2013-355-240	240	239		want/like	1784	WANT
Mitterhofer-2013-355-241	241	240		help (V)	1897	HELP
Mitterhofer-2013-355-242	242	241		walk (V)	1443	WALK
Mitterhofer-2013-355-243	243	242		run (V)	1519	RUN
Mitterhofer-2013-355-244	244	243		pull (rope)	1455	PULL
Mitterhofer-2013-355-245	245	244		come	1446	COME
Mitterhofer-2013-355-246	246	245		leave (V)	1752	LEAVE
Mitterhofer-2013-355-247	247	246		fall (V)	2234	FALL (OF SNOW AND RAIN)
Mitterhofer-2013-355-248	248	247		turn (V)	1588	TURN
Mitterhofer-2013-355-249	249	248		burn (sthg)	141	BURN (SOMETHING)
Mitterhofer-2013-355-250	250	249		bury (people)	1719	BURY
Mitterhofer-2013-355-251	251	250		dig (in the field)	1418	DIG
Mitterhofer-2013-355-252	252	251		weed (V-by hand)		
Mitterhofer-2013-355-253	253	252		plant (V)	1486	PLANT (SOMETHING)
Mitterhofer-2013-355-254	254	253		harvest (V)	611	HARVEST
Mitterhofer-2013-355-255	255	254		grind	1033	GRIND
Mitterhofer-2013-355-256	256	255		hunt (V)	1435	HUNT
Mitterhofer-2013-355-257	257	256		cultivate	1541	CULTIVATE
Mitterhofer-2013-355-258	258	257		work (V)	984	WORK (LABOUR)
Mitterhofer-2013-355-259	259	258		build (house)	1840	BUILD
Mitterhofer-2013-355-260	260	259		push (V)	1452	PUSH
Mitterhofer-2013-355-261	261	260		make	734	MAKE
Mitterhofer-2013-355-262	262	261		sew	1457	SEW
Mitterhofer-2013-355-263	263	262		throw	1456	THROW
Mitterhofer-2013-355-264	264	263		hit (V)	1433	HIT
Mitterhofer-2013-355-265	265	264		slaughter (V)	1796	SLAUGHTER
Mitterhofer-2013-355-266	266	265		cut (horizontally, e.g., a tree)	1432	CUT
Mitterhofer-2013-355-267	267	266		wash (V)	1453	WASH
Mitterhofer-2013-355-268	268	267		hide (V)	602	HIDE (CONCEAL)
Mitterhofer-2013-355-269	269	268		marry (of man)	2164	MARRY (AS MAN)
Mitterhofer-2013-355-270	270	269		steal	713	STEAL
Mitterhofer-2013-355-271	271	270		kill (V)	1417	KILL
Mitterhofer-2013-355-272	272	271		stab	1434	STAB
Mitterhofer-2013-355-273	273	272		fly (of bird)	1441	FLY (MOVE THROUGH AIR)
Mitterhofer-2013-355-274	274	273		go in	749	ENTER
Mitterhofer-2013-355-275	275	274		go out	1107	GO OUT
Mitterhofer-2013-355-276	276	275		move (V)	765	MOVE
Mitterhofer-2013-355-277	277	276		return (V)	581	COME BACK
Mitterhofer-2013-355-278	278	277		dream (V)	1920	DREAM (SOMETHING)
Mitterhofer-2013-355-279	279	278		coagulate (of blood)	2395	CONGEAL (BLOOD)
Mitterhofer-2013-355-280	280	279		make offerings to the dead	1103	SACRIFICE
Mitterhofer-2013-355-281	281	280		mix (V)	2017	MIX
Mitterhofer-2013-355-282	282	281		open (V)	1156	OPEN
Mitterhofer-2013-355-283	283	282		close (V)	1046	SHUT
Mitterhofer-2013-355-284	284	283		remember	707	REMEMBER
Mitterhofer-2013-355-285	285	284		forget	1523	FORGET
Mitterhofer-2013-355-286	286	285		answer (V)	1275	ANSWER
Mitterhofer-2013-355-287	287	286		break (V)	680	BREAK (DESTROY OR GET DESTROYED)
Mitterhofer-2013-355-288	288	287		cover (up)	761	COVER
Mitterhofer-2013-355-289	289	288		bring up a child	501	LIFT
Mitterhofer-2013-355-290	290	289		follow	1085	FOLLOW
Mitterhofer-2013-355-291	291	290		get lost	423	GET LOST
Mitterhofer-2013-355-292	292	291		stir (V)	696	STIR
Mitterhofer-2013-355-293	293	292		knock (V)	2396	KNOCK
Mitterhofer-2013-355-294	294	293		take leave		
Mitterhofer-2013-355-295	295	294		swallow (V)	897	SWALLOW
Mitterhofer-2013-355-296	296	295		lick	319	LICK
Mitterhofer-2013-355-297	297	296		sniff	375	SNIFF
Mitterhofer-2013-355-298	298	297		kneel	66	KNEEL
Mitterhofer-2013-355-299	299	298		bathe	138	BATHE
Mitterhofer-2013-355-300	300	299		stop doing	1928	CEASE
Mitterhofer-2013-355-301	301	300		scratch oneself	1436	SCRATCH
Mitterhofer-2013-355-302	302		1	ant	587	ANT
Mitterhofer-2013-355-303	303		4	ball	1845	BALL
Mitterhofer-2013-355-304	304		5	bamboo	1927	BAMBOO
Mitterhofer-2013-355-305	305		7	basket	1539	BASKET
Mitterhofer-2013-355-306	306		8	bean	832	BEAN
Mitterhofer-2013-355-307	307		11	begin	1806	BEGIN
Mitterhofer-2013-355-308	308		13	book	963	BOOK
Mitterhofer-2013-355-309	309		15	case	1465	BOX
Mitterhofer-2013-355-310	310		20	corn	506	MAIZE
Mitterhofer-2013-355-311	311		22	door	1567	DOOR
Mitterhofer-2013-355-312	312		27	eyelid	17	EYELID
Mitterhofer-2013-355-313	313		30	(n) forest	420	FOREST
Mitterhofer-2013-355-314	314		31	fox	1312	FOX
Mitterhofer-2013-355-315	315		32	frog	503	FROG
Mitterhofer-2013-355-316	316		35	goodness	1035	GOOD
Mitterhofer-2013-355-317	317		36	grandmother	1496	GRANDMOTHER
Mitterhofer-2013-355-318	318		37	happiness	1495	HAPPY
Mitterhofer-2013-355-319	319		38	hate	1607	HATE
Mitterhofer-2013-355-320	320		40	help (N)	1897	HELP
Mitterhofer-2013-355-321	321		41	herd	1143	OVEN
Mitterhofer-2013-355-322	322		42	here	136	HERE
Mitterhofer-2013-355-323	323		44	hundred	1634	HUNDRED
Mitterhofer-2013-355-324	324		45	thousand	1843	THOUSAND
Mitterhofer-2013-355-325	325		48	insect	620	INSECT
Mitterhofer-2013-355-326	326		49	journey	2393	JOURNEY
Mitterhofer-2013-355-327	327		50	Bena		
Mitterhofer-2013-355-328	328		51	grain bin		
Mitterhofer-2013-355-329	329		56	locust	810	LOCUST
Mitterhofer-2013-355-330	330		58	money	1559	MONEY
Mitterhofer-2013-355-331	331		59	mosquito	1509	MOSQUITO
Mitterhofer-2013-355-332	332		62	Njombe		
Mitterhofer-2013-355-333	333		64	pain	1783	PAIN
Mitterhofer-2013-355-334	334		65	pity	1141	PITY
Mitterhofer-2013-355-335	335		67	potato	593	POTATO
Mitterhofer-2013-355-336	336		70	sheep	1331	SHEEP
Mitterhofer-2013-355-337	337		71	shoe	1381	SHOE
Mitterhofer-2013-355-338	338		72	us	2310	US (OBLIQUE CASE OF WE)
Mitterhofer-2013-355-339	339		73	song	1096	SONG
Mitterhofer-2013-355-340	340		76	sunflower	1956	SUNFLOWER
Mitterhofer-2013-355-341	341		77	sweet potato	159	SWEET POTATO
Mitterhofer-2013-355-342	342		78	teacher	1038	TEACHER
Mitterhofer-2013-355-343	343		79	trick (V)	3230	DECEIVE
Mitterhofer-2013-355-344	344		80	town	1391	TOWN
Mitterhofer-2013-355-345	345		82	truth	1638	TRUTH
Mitterhofer-2013-355-346	346		85	wasp	1517	WASP
Mitterhofer-2013-355-347	347		86	you can		
Mitterhofer-2013-355-348	348		87	all the people		
Mitterhofer-2013-355-349	349		88	our cow		
Mitterhofer-2013-355-350	350		89	our fields	212	FIELD
Mitterhofer-2013-355-351	351		90	our chair		
Mitterhofer-2013-355-352	352		91	our chairs	1476	CHAIR
Mitterhofer-2013-355-353	353		92	our trees	906	TREE
Mitterhofer-2013-355-354	354		93	this my chair		
Mitterhofer-2013-355-355	355		94	up	1591	UP
