ID	NUMBER	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_POS	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN	GERMAN_POTENCY_MEAN	GERMAN_AUTHORITY_MEAN	GERMAN_COMMUNITY_MEAN
Schauenburg-2015-858-170	170	dekadent	decadent			adjective	4.216	5.703	4.838	6	3.458
Schauenburg-2015-858-171	171	Demokratie	democracy			noun	7.063	3.419	6.6	2.75	7.25
Schauenburg-2015-858-172	172	Demonstrant	demonstrator			noun	4.667	6.733	6	3.65	6.3
Schauenburg-2015-858-173	173	Demut	humility			noun	4	5.091	4.273	5.478	5.13
Schauenburg-2015-858-174	174	demütig	humble	4069	HUMBLE	adjective	3.5	4.889	3.694	6.417	4.833
Schauenburg-2015-858-175	175	demütigen	to humiliate			verb	2.231	7.077	5.846	7.783	4.304
Schauenburg-2015-858-176	176	der Erbe*	heir			noun	5.306	5.111	5.167	6.083	4.917
Schauenburg-2015-858-177	177	Designer	designer			noun	5.833	5.354	5	5.571	3.143
Schauenburg-2015-858-178	178	Despot	despot			noun	2.486	6.865	6.405	7.87	3.435
Schauenburg-2015-858-179	179	despotisch	despotic			adjective	2.917	6.771	6.688	7.917	3.25
Schauenburg-2015-858-180	180	deutsch	German			adjective	5.8	4.345	6	5.944	5.111
Schauenburg-2015-858-181	181	devot	obedient			adjective	4.027	5.081	3.892	6.174	4.565
Schauenburg-2015-858-182	182	die Gang*	gang			noun	3.19	6.833	6.19	6.647	6.118
Schauenburg-2015-858-183	183	Dieb	thief	1160	THIEF	noun	3.034	6.69	5.414	5.227	3.682
Schauenburg-2015-858-184	184	dienen	to serve	3648	SERVE (SOMEONE)	verb	3.833	5.317	4.881	7.478	5.348
Schauenburg-2015-858-185	185	Diener	servant	255	SERVANT	noun	4.36	4.32	3.44	7.304	4.217
Schauenburg-2015-858-186	186	Diktator	dictator			noun	1.881	7.833	8.071	7.833	3.5
Schauenburg-2015-858-187	187	Direktor	director			noun	4.438	5.75	6.71	7.211	4.895
Schauenburg-2015-858-188	188	diskriminieren	to discriminate			verb	2.258	7.323	6.29	7.857	5.571
Schauenburg-2015-858-189	189	Diskussion	discussion			noun	5.939	6.333	6.219	3.267	5.867
Schauenburg-2015-858-190	190	Disziplin	discipline	3962	DISCIPLINE	noun	5.351	4.73	6.919	7.13	4.957
Schauenburg-2015-858-191	191	DJ	DJ (disc joeckey)			noun	5.097	6.452	5.097	5.667	4.667
Schauenburg-2015-858-192	192	dominant	dominant			adjective	3.278	6.571	7.8	8.087	3.304
Schauenburg-2015-858-193	193	Dominanz	dominance			noun	3.886	6.629	7.629	8.13	4.087
Schauenburg-2015-858-194	194	dreist	bold			adjective	3.474	6.842	5.947	5.609	3.478
Schauenburg-2015-858-195	195	Droge	drug			noun	3.528	6.143	6.4	4.174	4.391
Schauenburg-2015-858-196	196	Drogenmilieu	drugs scene			noun	2.543	7.2	5.8	5.692	4.538
Schauenburg-2015-858-197	197	drohen	to threaten			verb	2.182	7.25	6.341	7.652	4.391
Schauenburg-2015-858-198	198	Druck	pressure			noun	3.361	7.167	7.25	7.636	5.045
Schauenburg-2015-858-199	199	durchsetzen	to enforce			verb	5.475	5.95	6.975	7.091	3.182
Schauenburg-2015-858-200	200	edel	noble			adjective	6.552	4.241	6	4.783	4.174
Schauenburg-2015-858-201	201	Egoist	egoist			noun	2.842	6.921	6.5	6.542	1.708
Schauenburg-2015-858-202	202	egoistisch	egoistic			adjective	3.39	6.512	6.488	5.957	2.348
Schauenburg-2015-858-203	203	Ehrgeiz	ambition			noun	5.176	6.412	6.765	6.182	2.591
Schauenburg-2015-858-204	204	ehrgeizig	ambitious			adjective	6.028	6.472	6.694	5.591	3.5
Schauenburg-2015-858-205	205	ehrlich	honest	1120	HONEST	adjective	7.917	2.806	6.944	3.917	4.958
Schauenburg-2015-858-206	206	eifrig	eager			adjective	6.111	5.37	6.074	5.348	3.913
Schauenburg-2015-858-207	207	eigensinnig	headstrong			adjective	4.684	6.132	6.105	5.5	2.208
Schauenburg-2015-858-208	208	Einfluss	influence			noun	5.517	5.759	7.207	6.077	4.231
Schauenburg-2015-858-209	209	einflussreich	influential			adjective	5.441	5.324	7	6.81	3.762
Schauenburg-2015-858-210	210	eingeschüchtert	intimidated			adjective	2.818	5.545	3.409	7	4.4
Schauenburg-2015-858-211	211	eingesperrt	confined			adjective	2.257	7.343	5.057	7.733	4.467
Schauenburg-2015-858-212	212	Einheit	unity			noun	6.281	3.5	6.656	4.6	7
Schauenburg-2015-858-213	213	einhellig	unanimous			adjective	5.789	4.526	5.447	4.688	6.25
Schauenburg-2015-858-214	214	einsam	lonely			adjective	2.846	5.179	4.872	5.348	2.739
Schauenburg-2015-858-215	215	einsperren	to imprison			verb	2.206	7.265	6.441	8.667	4.889
Schauenburg-2015-858-216	216	Einzelkind	singleton			noun	4.594	5.719	4.719	5.25	3.063
Schauenburg-2015-858-217	217	einzeln	single			adjective	4.944	5.278	4.583	5.6	2.467
Schauenburg-2015-858-218	218	eiskalt	ice cold			adjective	3.059	6.029	6.697	6.348	3.435
Schauenburg-2015-858-219	219	eitel	peacocky			adjective	3.5	5.407	5.148	5.909	2.545
Schauenburg-2015-858-220	220	elegant	elegant			adjective	6.571	4.643	5.607	5.167	3.5
Schauenburg-2015-858-221	221	Elektriker	electrician			noun	5.146	5.073	4.846	5.231	4.615
Schauenburg-2015-858-222	222	elitär	elite			adjective	3.514	5.919	6.054	7.96	4.08
Schauenburg-2015-858-223	223	Elite	elite			noun	4.686	5.629	6.971	6.789	3.737
Schauenburg-2015-858-224	224	Eltern	parents	505	PARENTS	noun	6.571	3.971	6.457	5.345	6.276
Schauenburg-2015-858-225	225	Emotion	emotion	2573	FEELING (EMOTION)	noun	6.9	6.5	7.433	4.591	4
Schauenburg-2015-858-226	226	energisch	vigorous			adjective	5.818	6.837	6.977	6.217	4.217
Schauenburg-2015-858-227	227	eng Vertrauter*	close confident			noun	7.265	2.647	6.412	3.5	5.125
Schauenburg-2015-858-228	228	entlassen	to fire			verb	3.194	6.645	5.742	6.625	4.417
Schauenburg-2015-858-229	229	entmachtet	deprived of power			adjective	4	5.793	4.241	5.111	6.333
Schauenburg-2015-858-230	230	entscheiden	to decide	685	DECIDE	verb	5.909	5.97	6.879	5.571	4.286
Schauenburg-2015-858-231	231	enttäuscht	disappointed			adjective	2.769	6.205	4.513	5.375	4.167
Schauenburg-2015-858-232	232	Erbe	heritage			noun	5.848	4.848	5.636	5.364	4.727
Schauenburg-2015-858-233	233	erfahren sein*	to be experienced	2218	EXPERIENCED	verb	7.395	3.368	6.789	5.063	3.313
Schauenburg-2015-858-234	234	Erfolg	success			noun	7.412	5.333	7	5.435	3.696
Schauenburg-2015-858-235	235	erniedrigen	to debase			verb	1.676	7.351	4.784	7.962	3.615
Schauenburg-2015-858-236	236	Eroberer	conqueror			noun	4	6.944	6.833	7.563	3.313
Schauenburg-2015-858-237	237	Erwachsener	adult (grownup)	3635	ADULT	noun	5.579	4.763	6.132	5.909	3.727
Schauenburg-2015-858-238	238	Erzfeind	arch enemy			noun	2.487	7.564	6.821	6.462	4.077
Schauenburg-2015-858-239	239	erziehen	educate			noun	5.171	5.2	6.229	6.818	5.273
Schauenburg-2015-858-240	240	Erzieherin	educator			noun	5.636	4.939	5.333	6.538	6
Schauenburg-2015-858-241	241	Erziehung	education			noun	5.633	5.2	6.433	5.864	6.045
Schauenburg-2015-858-242	242	erzkonservativ	archconservative			adjective	2.781	6.097	6.323	6.786	4.357
Schauenburg-2015-858-243	243	esoterisch	esoteric			adjective	4.364	4.182	3.727	3.882	3.941
Schauenburg-2015-858-244	244	Establishment	establishment			noun	4.375	4.763	5.897	6.118	4.824
Schauenburg-2015-858-245	245	Ethik	ethics			noun	6.324	3.649	6.027	3.875	7.083
Schauenburg-2015-858-246	246	etw leisten*	to contribute			verb	6.974	4.949	6.692	5.826	4.261
Schauenburg-2015-858-247	247	etw anpassen*	to adjust sth.			verb	4.917	4.833	5.125	5.5	6
Schauenburg-2015-858-248	248	europäisch	European			adjective	6	4.452	5.524	4.056	6.889
Schauenburg-2015-858-249	249	Exfrau	exwife			noun	4.03	6.091	5.303	5.25	3.313
Schauenburg-2015-858-250	250	Exmann	exhusband			noun	3.825	6.474	5.205	5.15	3.85
Schauenburg-2015-858-251	251	Experte	expert (male)			noun	6.39	4.537	6.8	5.5	3.5
Schauenburg-2015-858-252	252	Expertin	expert (female)			noun	6.659	4.159	6.932	6.313	3.25
Schauenburg-2015-858-253	253	Extremist	extremist			noun	2.382	7.182	6.794	6.263	4.474
Schauenburg-2015-858-254	254	extremistisch	extremist			adjective	2.094	7.438	7.563	7.167	3.833
Schauenburg-2015-858-255	255	Facharbeiter	skilled worker			noun	5.341	4.487	4.675	5.526	5.316
Schauenburg-2015-858-256	256	fachkundig	expert (adjective)			adjective	7.439	3.976	6.707	5.5	4.7
Schauenburg-2015-858-257	255	fähig	capable			adjective	6.97	4	6.303	5.333	3.278
Schauenburg-2015-858-258	258	Familie	family	194	FAMILY	noun	6.806	3.839	7	5.167	7
Schauenburg-2015-858-259	259	Familienleben	family life			noun	7	4.051	6.553	3.944	7.889
Schauenburg-2015-858-260	260	Familienmitglied	family member			noun	6.976	3.951	5.927	4.353	5.941
Schauenburg-2015-858-261	261	Fan	fan			noun	5.045	6.341	5.636	4.368	6
Schauenburg-2015-858-262	262	Fanclub	fan club			noun	4.7	6.05	5	4.5	7.188
Schauenburg-2015-858-263	263	faul	lazy	1564	LAZY	adjective	3.423	4.962	3.885	5.929	3.214
Schauenburg-2015-858-264	264	Faulenzer	bum			noun	3.808	5.077	4.269	5.154	3.308
Schauenburg-2015-858-265	265	Feiertag	holiday			noun	7.234	3.532	5.696	4.944	6.722
Schauenburg-2015-858-266	266	Feigling	coward	1319	COWARD	noun	2.946	6.297	3.297	5.652	3.565
Schauenburg-2015-858-267	267	Fernsehmechaniker	television technician			noun	4.902	4.634	4.512	4.895	4.368
Schauenburg-2015-858-268	268	fesseln	to bound	1917	TIE	verb	3.641	7.128	6.256	7.688	3.813
Schauenburg-2015-858-269	269	Fest	celebration			noun	6.971	6.265	5.676	3.833	8.167
