ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	IDS_ID	ENGLISH	RELATION	PWN_WORD_SENSE_ID	PWN_DEFINITION	PWN_SYNSET	PWN_POS	OMW_URL
Borin-2015-1532-11	749	ENTER	11	S10.570	to enter	ss	enter%2:38:00::	to come or go into; &quot;the boat entered an area of shallow marshes&quot;	v02016523	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02016523-v
Borin-2015-1532-12	1352	KNIFE	12	S05.380	the knife(1)	ss	knife%1:06:00::	edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle	n03623556	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03623556-n
Borin-2015-1532-13	1655	BLINK	13	S04.215	to blink	ss	blink%2:29:00::	briefly shut the eyes; &quot;The TV announcer never seems to blink&quot;	v00007739	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00007739-v
Borin-2015-1532-14	718	PAY	14	S11.650	to pay	ss	pay%2:40:00::	give money, usually in exchange for goods or services; &quot;I paid four dollars for this sandwich&quot;; &quot;Pay the waitress, please&quot;	v02251743	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02251743-v
Borin-2015-1532-15	267	NIT	15	S03.812	the nit	ss	nit%1:05:00::	egg or young of an insect parasitic on mammals especially a sucking louse; often attached to a hair or item of clothing	n01461146	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01461146-n
Borin-2015-1532-16	747	BICYCLE	16	S23.1300	the bicycle	ss	bicycle%1:06:00::	a wheeled vehicle that has two wheels and is moved by foot pedals	n02834778	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02834778-n
Borin-2015-1532-17	1278	VOMIT	17	S04.570	to vomit	ss	vomit%2:29:00::	eject the contents of the stomach through the mouth; &quot;After drinking too much, the students vomited&quot;; &quot;He purged continuously&quot;; &quot;The patient regurgitated the food we gave him last night&quot;	v00076400	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00076400-v
Borin-2015-1532-18	1124	PIPE	18	S08.691	the pipe	ss	pipe%1:06:01::	a tube with a small bowl at one end; used for smoking tobacco	n03945167	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03945167-n
Borin-2015-1532-19	1596	LOCK	19	S07.230	the lock	ss	lock%1:06:00::	a fastener fitted to a door or drawer to keep it firmly closed	n03682487	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03682487-n
Borin-2015-1532-20	768	LUNCH	20	S05.430	the lunch	ss	lunch%1:13:00::	a midday meal	n07575076	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07575076-n
Borin-2015-1532-21	860	CAUSE	21	S17.420	the cause	ss	cause%1:11:00::	events that provide the generative force that is the origin of something; &quot;they are trying to determine the cause of the crash&quot;	n07326557	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07326557-n
Borin-2015-1532-22	1259	WEDDING	22	S02.340	the wedding	ss	wedding%1:04:00::	the act of marrying; the nuptial ceremony; &quot;their marriage was conducted in the chapel&quot;	n01036996	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01036996-n
Borin-2015-1532-23	1405	NAME	23	S18.280	the name	ss	name%1:10:00::	a language unit by which a person or thing is known; &quot;his name really is George Washington&quot;; &quot;those are two names for the same thing&quot;	n06333653	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=06333653-n
Borin-2015-1532-24	1103	SACRIFICE	24	S22.150	the sacrifice	ss	sacrifice%1:04:00::	the act of killing (an animal or person) in order to propitiate a deity	n00227595	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00227595-n
Borin-2015-1532-25	804	WOMB	25	S04.470	the womb	ss	womb%1:08:00::	a hollow muscular organ in the pelvic cavity of females; contains the developing fetus	n05519085	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=05519085-n
Borin-2015-1532-26	1039	SHOW	26	S15.550	to show	ui	show%2:32:01::	v00923793	indicate a place, direction, person, or thing; either spatially or figuratively; &quot;I showed the customer the glove section&quot;; &quot;He pointed to the empty parking space&quot;; &quot;he indicated his opponents&quot;	v00923793	v
Borin-2015-1532-27	174	PROUD	27	S16.480	proud	ss	proud%3:00:00::	feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride; &quot;proud parents&quot;; &quot;proud of his accomplishments&quot;; &quot;a proud moment&quot;; &quot;proud to serve his country&quot;; &quot;a proud name&quot;; &quot;proud princes&quot;	a01889256	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01889256-a
Borin-2015-1532-28	199	FAMINE	28	S05.141	the famine	ss	famine%1:11:00::	a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death	n07315790	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07315790-n
Borin-2015-1532-29	142	RETURN HOME	29	S10.5800	to go or return home	ss	go_home%2:38:00::	return home; &quot;After the movie, we went home&quot;	v02005496	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02005496-v
Borin-2015-1532-30	1558	SIMILAR	30	S12.920	similar	ss	similar%3:00:00::	marked by correspondence or resemblance; &quot;similar food at similar prices&quot;; &quot;problems similar to mine&quot;; &quot;they wore similar coats&quot;	a02071420	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02071420-a
Borin-2015-1532-31	1034	DEFENDANT	31	S21.220	the defendant	ss	defendant%1:18:00::	a person or institution against whom an action is brought in a court of law; the person being sued or accused	n09762101	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=09762101-n
Borin-2015-1532-32	740	SHIP	32	S10.810	the ship	ss	ship%1:06:00::	a vessel that carries passengers or freight	n04194289	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=04194289-n
Borin-2015-1532-33	478	LIP	33	S04.250	the lip	ss	lip%1:08:00::	either of two fleshy folds of tissue that surround the mouth and play a role in speaking	n05305806	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=05305806-n
Borin-2015-1532-34	1970	CANOE	34	S10.831	the canoe	ss	canoe%1:06:00::	small and light boat; pointed at both ends; propelled with a paddle	n02951358	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02951358-n
Borin-2015-1532-35	1427	BEAUTIFUL	35	S16.810	beautiful	ss	beautiful%3:00:00::	delighting the senses or exciting intellectual or emotional admiration; &quot;a beautiful child&quot;; &quot;beautiful country&quot;; &quot;a beautiful painting&quot;; &quot;a beautiful theory&quot;; &quot;a beautiful party&quot;	a00217728	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00217728-a
Borin-2015-1532-36	1781	THUMB	36	S04.342	the thumb	ss	thumb%1:08:00::	the thick short innermost digit of the forelimb	n05567217	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=05567217-n
Borin-2015-1532-37	420	FOREST	37	S01.410	the woods or forest	ui	forest%1:14:00::	the trees and other plants in a large densely wooded area	n08438533	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=08438533-n
Borin-2015-1532-38	1829	JUMP	38	S10.430	to jump	ss	jump%2:38:00::	move forward by leaps and bounds; &quot;The horse bounded across the meadow&quot;; &quot;The child leapt across the puddle&quot;; &quot;Can you jump over the fence?&quot;	v01963942	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01963942-v
Borin-2015-1532-39	845	MURDER	39	S21.420	the murder	ss	murder%1:04:00::	unlawful premeditated killing of a human being by a human being	n00220522	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00220522-n
Borin-2015-1532-40	759	SILVER	40	S09.650	the silver	ss	silver%1:27:00::	a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography	n14654954	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=14654954-n
Borin-2015-1532-41	1044	PILLOW	41	S07.421	the pillow	ss	pillow%1:06:00::	a cushion to support the head of a sleeping person	n03938244	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03938244-n
Borin-2015-1532-42	481	DISH	42	S05.310	the dish	ss	dish%1:06:00::	a piece of dishware normally used as a container for holding or serving food; &quot;we gave them a set of dishes for a wedding present&quot;	n03206908	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03206908-n
Borin-2015-1532-43	273	DOUGH	43	S05.530	the dough	ss	dough%1:13:00::	a flour mixture stiff enough to knead or roll	n07860988	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07860988-n
Borin-2015-1532-44	1305	CHIMNEY	44	S07.330	the chimney	ss	chimney%1:06:00::	a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building	n03017428	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03017428-n
Borin-2015-1532-45	1395	ROUND	45	S12.810	round	ss	round%3:00:00::	having a circular shape	a02040652	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02040652-a
Borin-2015-1532-46	1470	FOLD	46	S09.150	to fold	ss	fold%2:35:00::	bend or lay so that one part covers the other; &quot;fold up the newspaper&quot;; &quot;turn up your collar&quot;	v01277974	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01277974-v
Borin-2015-1532-47	934	BUFFALO	47	S03.9170	the buffalo	ss	buffalo%1:05:01::	any of several Old World animals resembling oxen including, e.g., water buffalo; Cape buffalo	n02407959	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02407959-n
Borin-2015-1532-48	1281	PRISON	48	S21.390	the prison	ss	prison%1:06:00::	a correctional institution where persons are confined while on trial or for punishment	n04005630	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=04005630-n
Borin-2015-1532-49	654	PLASTIC	49	S23.5700	the plastic	ss	plastic%1:27:00::	generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives	n14592610	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=14592610-n
Borin-2015-1532-50	644	OAK	50	S08.610	the oak	ss	oak%1:20:00::	a deciduous tree of the genus Quercus; has acorns and lobed leaves; &quot;great oaks grow from little acorns&quot;	n12268246	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=12268246-n
Borin-2015-1532-51	1289	BABY	51	S02.280	the baby	ss	baby%1:18:00::	a very young child (birth to 1 year) who has not yet begun to walk or talk; &quot;the baby began to cry again&quot;; &quot;she held the baby in her arms&quot;; &quot;it sounds simple, but when you have your own baby it is all so different&quot;	n09827683	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=09827683-n
Borin-2015-1532-52	1333	NECK	52	S04.280	the neck	ss	neck%1:08:00::	the part of an organism (human or animal) that connects the head to the rest of the body; &quot;he admired her long graceful neck&quot;; &quot;the horse won by a neck&quot;	n05546540	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=05546540-n
Borin-2015-1532-53	1849	ROW	53	S10.852	to row	ss	row%2:38:00::	propel with oars; &quot;row the boat across the lake&quot;	v01946996	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01946996-v
Borin-2015-1532-54	1484	OIL	54	S05.790	the oil	ss	oil%1:27:00::	a slippery or viscous liquid or liquefiable substance not miscible with water	n14966667	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=14966667-n
Borin-2015-1532-55	1821	BRUSH	55	S06.920	the brush	ss	brush%1:06:00::	an implement that has hairs or bristles firmly set into a handle	n02908217	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02908217-n
Borin-2015-1532-56	1754	BRACELET	56	S06.740	the bracelet	ss	bracelet%1:06:00::	jewelry worn around the wrist for decoration	n02887970	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02887970-n
Borin-2015-1532-57	1471	WINTER	57	S14.740	the winter	ss	winter%1:28:00::	the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox	n15237782	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=15237782-n
Borin-2015-1532-58	2019	HAMMOCK	58	S07.6600	the hammock	ss	hammock%1:06:00::	a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily	n03482252	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03482252-n
Borin-2015-1532-59	1202	BIG	59	S12.550	big	ss	big%3:00:01::	above average in size or number or quantity or magnitude or extent; &quot;a large city&quot;; &quot;set out for the big city&quot;; &quot;a large sum&quot;; &quot;a big (or large) barn&quot;; &quot;a large family&quot;; &quot;big businesses&quot;; &quot;a big expenditure&quot;; &quot;a large number of newspapers&quot;; &quot;a big group of scientists&quot;; &quot;large areas of the world&quot;	a01382086	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01382086-a
Borin-2015-1532-60	1982	WHIRLPOOL	60	S01.362	the whirlpool	ss	whirlpool%1:11:00::	a powerful circular current of water (usually the result of conflicting tides)	n07433145	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07433145-n
Borin-2015-1532-61	1019	RIGHT	61	S12.410	right(1)	ui	right%4:02:03::	toward or on the right; also used figuratively; &quot;he looked right and left&quot;; &quot;the party has moved right&quot;	r00387828	r	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00387828-r
Borin-2015-1532-62	1530	BOWL	62	S05.330	the bowl	ss	bowl%1:06:01::	a round vessel that is open at the top; used chiefly for holding food or liquids;	n02881193	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02881193-n
Borin-2015-1532-63	1122	WAGES	63	S11.780	the wages	ss	wages%1:11:00::	a recompense for worthy acts or retribution for wrongdoing; &quot;the wages of sin is death&quot;; &quot;virtue is its own reward&quot;	n07295629	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07295629-n
Borin-2015-1532-64	1994	COLLARBONE	64	S04.302	the collarbone	ss	collarbone%1:08:00::	bone linking the scapula and sternum	n05274105	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=05274105-n
Borin-2015-1532-65	1898	SPECTACLES	65	S23.2400	the spectacles/glasses	ui	glasses%1:06:00::	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision	n04272054	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=04272054-n
Borin-2015-1532-66	117	IMITATE	66	S17.172	to imitate	ss	imitate%2:36:00::	reproduce someone's behavior or looks; &quot;The mime imitated the passers-by&quot;; &quot;Children often copy their parents or older siblings&quot;	v01742886	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01742886-v
Borin-2015-1532-67	307	HAWK	67	S03.585	the hawk	ss	hawk%1:05:00::	diurnal bird of prey typically having short rounded wings and a long tail	n01605630	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01605630-n
Borin-2015-1532-68	590	NAKED	68	S04.990	naked	ss	naked%5:00:00:unclothed:00	completely unclothed; &quot;bare bodies&quot;; &quot;naked from the waist up&quot;; &quot;a nude model&quot;	a00457998	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00457998-a
Borin-2015-1532-69	1252	HOUSE	69	S07.120	the house	ss	house%1:06:00::	a dwelling that serves as living quarters for one or more families; &quot;he has a house on Cape Cod&quot;; &quot;she felt she had to get out of the house&quot;	n03544360	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03544360-n
Borin-2015-1532-70	40	ENVY	70	S16.440	the envy or jealousy	ui	jealousy%1:12:00::	a feeling of jealous envy (especially of a rival)	n07550079	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07550079-n
Borin-2015-1532-71	882	PARROT	71	S03.592	the parrot	ss	parrot%1:05:00::	usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds	n01816887	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01816887-n
Borin-2015-1532-72	2131	TORCH OR LAMP	72	S07.450	the lamp or torch	ui	torch%1:06:02::	a light usually carried in the hand; consists of some flammable substance	n04456115	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=04456115-n
Borin-2015-1532-73	301	CHIEFTAIN	73	S19.240	the chieftain	ss	chieftain%1:18:00::	the head of a tribe or clan	n10164025	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=10164025-n
Borin-2015-1532-74	1675	PROMISE	74	S18.360	to promise	ss	promise%2:32:00::	make a promise or commitment	v00884011	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00884011-v
Borin-2015-1532-75	1082	MERCHANT	75	S11.840	the merchant	ss	merchant%1:18:00::	a businessperson engaged in retail trade	n10309896	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=10309896-n
Borin-2015-1532-76	1539	BASKET	76	S09.760	the basket	ss	basket%1:06:00::	a container that is usually woven and has handles	n02801938	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02801938-n
Borin-2015-1532-77	1640	SIBLING	77	S02.456	the sibling	ss	sibling%1:18:00::	a person's brother or sister	n10595164	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=10595164-n
Borin-2015-1532-78	1091	SALTY	78	S15.360	salty	ss	salty%5:00:00:tasty:00	one of the four basic taste sensations; like the taste of sea water	a02398773	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02398773-a
Borin-2015-1532-79	1026	LOW TIDE	79	S01.353	the low tide	ss	low_tide%1:11:00::	the lowest (farthest) ebb of the tide	n07402271	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07402271-n
Borin-2015-1532-80	1462	POT	80	S05.260	the pot	ss	pot%1:06:00::	metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid	n03990474	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03990474-n
Borin-2015-1532-81	181	ANTEATER	81	S03.8900	the anteater	ss	anteater%1:05:00::	any of several tropical American mammals of the family Myrmecophagidae which lack teeth and feed on ants and termites	n02460009	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02460009-n
Borin-2015-1532-82	210	LIFE	82	S04.7410	the life	ss	life%1:26:00::	the condition of living or the state of being alive; &quot;while there's life there's hope&quot;; &quot;life depends on many chemical and physical processes&quot;	n13961642	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=13961642-n
Borin-2015-1532-83	1747	CUSTOM	83	S19.610	the custom	ss	custom%1:04:00::	accepted or habitual practice	n00413239	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00413239-n
Borin-2015-1532-84	1547	SOUP	84	S05.640	the soup	ss	soup%1:13:00::	liquid food especially of meat or fish or vegetable stock often containing pieces of solid food	n07583197	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07583197-n
Borin-2015-1532-85	1390	WRONG	85	S16.740	wrong	ui	wrong%5:00:00:inaccurate:00	characterized by errors; not agreeing with a model or not following established rules; &quot;he submitted a faulty report&quot;; &quot;an incorrect transcription&quot;; the wrong side of the road&quot;	a00023854	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00023854-a
Borin-2015-1532-86	1697	MONDAY	86	S14.630	Monday	ss	monday%1:28:00::	the second day of the week; the first working day	n15163979	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=15163979-n
Borin-2015-1532-87	649	PASTURE	87	S03.160	the pasture	ss	pasture%1:15:00::	a field covered with grass or herbage and suitable for grazing by livestock	n08616050	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=08616050-n
Borin-2015-1532-88	1802	SCREW	88	S23.5500	the screw	ss	screw%1:06:00::	a fastener with a tapered threaded shank and a slotted head	n04153751	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=04153751-n
Borin-2015-1532-89	1548	UGLY	89	S16.820	ugly	ss	ugly%3:00:00::	displeasing to the senses; &quot;an ugly face&quot;; &quot;ugly furniture&quot;	a00220956	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=00220956-a
Borin-2015-1532-90	1500	FOUR	90	S13.0400	four	ss	four%5:00:00:cardinal:00	being one more than three	a02186665	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02186665-a
Borin-2015-1532-91	777	FLUTE	91	S18.710	the flute	ss	flute%1:06:00::	a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown	n03372029	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03372029-n
Borin-2015-1532-92	1594	FLOUR	92	S05.550	the flour	ss	flour%1:13:00::	fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain	n07569106	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=07569106-n
Borin-2015-1532-93	380	WRINKLED	93	S15.890	wrinkled	ss	wrinkled%3:00:00::	marked by wrinkles; &quot;tired travelers in wrinkled clothes&quot;	a01360413	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01360413-a
Borin-2015-1532-94	205	TROUGH	94	S07.480	the trough	ss	trough%1:06:01::	a container (usually in a barn or stable) from which cattle or horses feed	n03717131	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03717131-n
Borin-2015-1532-95	626	LAND	95	S01.210	the land	ss	land%1:17:00::	the solid part of the earth's surface; &quot;the plane turned away from the sea and moved back over land&quot;; &quot;the earth shook for several minutes&quot;; &quot;he dropped the logs on the ground&quot;	n09334396	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=09334396-n
Borin-2015-1532-96	1161	THREAD	96	S06.380	the thread	ss	thread%1:06:00::	a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving	n04426788	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=04426788-n
Borin-2015-1532-97	161	MISS (A TARGET)	97	S20.630	to miss	ss	miss%2:35:00::	fail to reach; &quot;The arrow missed the target&quot;	v01237901	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01237901-v
Borin-2015-1532-98	1662	CAPE	98	S01.343	the cape	ss	cape%1:17:00::	a strip of land projecting into a body of water	n09233715	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=09233715-n
Borin-2015-1532-99	1352	KNIFE	99	S09.230	the knife(2)	ss	knife%1:06:00::	edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle	n03623556	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03623556-n
Borin-2015-1532-100	261	ARCTIC LIGHTS	100	S01.7710	the arctic lights	ss	northern_lights%1:19:00::	northern lights/n	the aurora of the northern hemisphere	n11427619	n
