ID	NUMBER	GLOSS	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	REMARK
Zhang-2019-308-84	84	the intestine	intestine	1991	INTESTINES	
Zhang-2019-308-85	85	the jaw, chin	jaw//chin	1510	CHIN	
Zhang-2019-308-86	86	the joint	joint	999	JOINT	
Zhang-2019-308-87	87	be late	late	425	BE LATE	
Zhang-2019-308-88	88	the louse	louse	1392	LOUSE	
Zhang-2019-308-89	89	the milk, nipple	milk//nipple	2129	BREAST OR MILK	
Zhang-2019-308-90	90	the millet	millet	931	MILLET	
Zhang-2019-308-91	91	the millet or rice grains	millet or rice grains			
Zhang-2019-308-92	92	the mother's brother	mother's brother	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	
Zhang-2019-308-93	93	the mushroom	mushroom	641	MUSHROOM	
Zhang-2019-308-94	94	the nail	nail	502	NAIL (TOOL)	
Zhang-2019-308-95	95	the name	name	1405	NAME	
Zhang-2019-308-96	96	be near	near	1942	NEAR	
Zhang-2019-308-97	97	the needle	needle	1382	NEEDLE (FOR SEWING)	
Zhang-2019-308-98	98	the night	night	1233	NIGHT	
Zhang-2019-308-99	99	nine	nine	1483	NINE	
Zhang-2019-308-100	100	not to be	not be	1240	NOT	
Zhang-2019-308-101	101	one	one	1493	ONE	
Zhang-2019-308-102	102	the onion	onion	2366	ONION	
Zhang-2019-308-103	103	the owl	owl	735	OWL	
Zhang-2019-308-104	104	the ox	ox	1169	OX	
Zhang-2019-308-105	105	to peel off	peel off	275	PEEL	
Zhang-2019-308-106	106	the pig	pig	1337	PIG	
Zhang-2019-308-107	107	the pillow	pillow	1044	PILLOW	
Zhang-2019-308-108	108	the plant root	plant root	670	ROOT	
Zhang-2019-308-109	109	the pliers	pliers	4003	PLIERS	
Zhang-2019-308-110	110	the poison	poison	655	POISON	
Zhang-2019-308-111	111	the pulse, beans	pulse//beans	832	BEAN	
Zhang-2019-308-112	112	the rabbit, hare	rabbit//hare	2345	LEPORID (RABBIT OR HARE)	
Zhang-2019-308-113	113	be rich	rich	712	RICH	
Zhang-2019-308-114	114	the rope	rope	1218	ROPE	
Zhang-2019-308-115	115	the segment	segment	594	PIECE	
Zhang-2019-308-116	116	seven	seven	1704	SEVEN	
Zhang-2019-308-117	117	the shame	shame	1776	SHAME	
Zhang-2019-308-118	118	the sheep	sheep	1331	SHEEP	
Zhang-2019-308-119	119	the shell	shell	598	SHELL	
Zhang-2019-308-120	120	the shoulder	shoulder	1482	SHOULDER	
Zhang-2019-308-121	121	the shoulder blade	shoulder blade	172	SHOULDERBLADE	
Zhang-2019-308-122	122	be single	single	1493	ONE	"It is actually ""one"" in Sino-Tibetan."
Zhang-2019-308-123	123	six	six	1703	SIX	
Zhang-2019-308-124	124	the snake brood	snake brood			
Zhang-2019-308-125	125	the son-in-law	son-in-law	1056	SON-IN-LAW	
Zhang-2019-308-126	126	be sour	sour	1906	SOUR	
Zhang-2019-308-127	127	the sovereign, queen	sovereign//queen	1306	QUEEN	
Zhang-2019-308-128	128	be stiff	stiff			
Zhang-2019-308-129	129	to strike	strike	353	STRIKE	
Zhang-2019-308-130	130	the string, cord	string//cord	362	STRING	
Zhang-2019-308-131	131	be strong, hard	strong//hard	1884	HARD	
Zhang-2019-308-132	132	to suffer defeat	suffer defeat	3535	BE DEFEATED	
Zhang-2019-308-133	133	the tail	tail	1220	TAIL	
Zhang-2019-308-134	134	there is no X such that X...	there is no X such that X...			don't know what to do with this one
Zhang-2019-308-135	135	the thighbone	thighbone	471	UPPER LEG (THIGH)	
Zhang-2019-308-136	136	be thin	thin	2249	THIN (OF SHAPE OF OBJECT)	
Zhang-2019-308-137	137	thou	thou	1215	THOU	
Zhang-2019-308-138	138	three	three	492	THREE	
Zhang-2019-308-139	139	to beat	to beat	2133	STRIKE OR BEAT	
Zhang-2019-308-140	140	to bend	to bend	2224	BEND (SOMETHING)	
Zhang-2019-308-141	141	to break (vi)	to break (vi)	680	BREAK (DESTROY OR GET DESTROYED)	
Zhang-2019-308-142	142	to break (vt)	to break (vt)	2558	BREAK (CLEAVE)	
Zhang-2019-308-143	143	to carry water on back	to carry water on back			too specific to map
Zhang-2019-308-144	144	to chase	to chase	1047	PURSUE	
Zhang-2019-308-145	145	to chew	to chew	321	CHEW	
Zhang-2019-308-146	146	to confer	to confer			
Zhang-2019-308-147	147	to curve	to curve	2224	BEND (SOMETHING)	
Zhang-2019-308-148	148	to defeat	to defeat	782	DEFEAT	
Zhang-2019-308-149	149	to descend	to descend	2014	GO DOWN (DESCEND)	
Zhang-2019-308-150	150	to destroy	to destroy	681	DESTROY	
Zhang-2019-308-151	151	to die	to die	1494	DIE	
Zhang-2019-308-152	152	to dig out (earth)	to dig out (earth)	1418	DIG	
Zhang-2019-308-153	153	to drop, drop	to drop//drop	808	DRIP (FALL IN GLOBULES)	
Zhang-2019-308-154	154	to extinguish	to extinguish	127	EXTINGUISH	
Zhang-2019-308-155	155	to fall	to fall	1280	FALL	
Zhang-2019-308-156	156	to fall (from hand)	to fall (from hand)			
Zhang-2019-308-157	157	to fry, roast	to fry//roast	2146	ROAST OR FRY	
Zhang-2019-308-158	158	to give	to give	1447	GIVE	
Zhang-2019-308-159	159	to hit	to hit	1433	HIT	
Zhang-2019-308-160	160	to itch	to itch	3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)	
Zhang-2019-308-161	161	to kill	to kill	1417	KILL	
Zhang-2019-308-162	162	to lose	to lose	1660	LOSE	
Zhang-2019-308-163	163	to oppose, disturb	to oppose//disturb			
Zhang-2019-308-164	164	to peck	to peck	3684	PECK	
Zhang-2019-308-165	165	to plant	to plant	1486	PLANT (SOMETHING)	
Zhang-2019-308-166	166	to press	to press	1913	PRESS	
Zhang-2019-308-167	167	to revive	to revive			
Zhang-2019-308-168	168	to scoop water	to scoop water			
Zhang-2019-308-169	169	to scrape	to scrape	1767	SCRAPE	
Zhang-2019-308-170	170	to scratch	to scratch	1436	SCRATCH	
Zhang-2019-308-171	171	to shout	to shout	715	SHOUT	
Zhang-2019-308-172	172	to sit	to sit	1416	SIT	
Zhang-2019-308-173	173	to slip	to slip	1324	SLIP	
Zhang-2019-308-174	174	to smoke	to smoke	1689	SMOKE (INHALE)	
Zhang-2019-308-175	175	to stand	to stand	1442	STAND	
Zhang-2019-308-176	176	to take care of, protect	to take care of//protect			
Zhang-2019-308-177	177	to take off	to take off	3538	TAKE OFF	
Zhang-2019-308-178	178	to think	to think	2271	THINK	
Zhang-2019-308-179	179	to wear	to wear	976	WEAR	
Zhang-2019-308-180	180	to weave	to weave	133	WEAVE	
Zhang-2019-308-181	181	the tree	tree	906	TREE	
Zhang-2019-308-182	182	to twist, to spin	twist//spin	430	TWIST	
Zhang-2019-308-183	183	two	two	1498	TWO	
Zhang-2019-308-184	184	the udder	udder	154	UDDER	
Zhang-2019-308-185	185	to vomit	vomit	1278	VOMIT	
Zhang-2019-308-186	186	the wild onion	wild onion			
Zhang-2019-308-187	187	the worm	worm	1219	WORM	
Zhang-2019-308-188	188	your	your	732	YOUR (SINGULAR)	
Zhang-2019-308-189	189	seven	七	1704	SEVEN	
Zhang-2019-308-190	190	three	三	492	THREE	
Zhang-2019-308-191	191	descend	下	2014	GO DOWN (DESCEND)	
Zhang-2019-308-192	192	your	乃	732	YOUR (SINGULAR)	
Zhang-2019-308-193	193	nine	九	1483	NINE	
Zhang-2019-308-194	194	the breast	乳	1402	BREAST	
Zhang-2019-308-195	195	two	二	1498	TWO	
Zhang-2019-308-196	196	five	五	493	FIVE	
Zhang-2019-308-197	197	to protect	保	2900	PROTECT	
Zhang-2019-308-198	198	the child	兒	2099	CHILD	
Zhang-2019-308-199	199	the rabbit, hare	兔	2345	LEPORID (RABBIT OR HARE)	
Zhang-2019-308-200	200	eight	八	1705	EIGHT	
Zhang-2019-308-201	201	six	六	1703	SIX	
Zhang-2019-308-202	202	the ice	冰	617	ICE	
Zhang-2019-308-203	203	to scrape	刮	1767	SCRAPE	
Zhang-2019-308-204	204	be hard	剛	1884	HARD	
Zhang-2019-308-205	205	the root	參	670	ROOT	
Zhang-2019-308-206	206	to command	号	1998	COMMAND	
Zhang-2019-308-207	207	the name	名	1405	NAME	
Zhang-2019-308-208	208	the sovereign, queen	后	1306	QUEEN	
Zhang-2019-308-209	209	I	吾	1209	I	
Zhang-2019-308-210	210	to chew	咀	321	CHEW	
Zhang-2019-308-211	211	to peck	啄	3684	PECK	
Zhang-2019-308-212	212	to vomit	嘔	1278	VOMIT	
Zhang-2019-308-213	213	to sit	坐	1416	SIT	
Zhang-2019-308-214	214	the night	夜	1233	NIGHT	
Zhang-2019-308-215	215	the dream	夢	2374	DREAM	
Zhang-2019-308-216	216	to lose	失	1660	LOSE	
Zhang-2019-308-217	217	the dead mother	妣			
Zhang-2019-308-218	218	the son	子	1620	SON	
Zhang-2019-308-219	219	be eldest, greatest	孟			
Zhang-2019-308-220	220	be rich	富	712	RICH	
Zhang-2019-308-221	221	the tail	尾	1220	TAIL	
Zhang-2019-308-222	222	be curved	局	1698	CURVED	
Zhang-2019-308-223	223	the excrement	屎	675	FAECES (EXCREMENT)	
Zhang-2019-308-224	224	the hat	帽	771	HAT	
Zhang-2019-308-225	225	after	後	1685	AFTER	
Zhang-2019-308-226	226	to think	想	2271	THINK	
Zhang-2019-308-227	227	be evil	慝	3764	BAD OR EVIL	
Zhang-2019-308-228	228	to dig out (earth)	掘	1418	DIG	
Zhang-2019-308-229	229	to strike	撞	353	STRIKE	
Zhang-2019-308-230	230	to oppose, disturb	攘			
Zhang-2019-308-231	231	to defeat	敗	782	DEFEAT	
Zhang-2019-308-232	232	the axe	斧	677	AXE	
Zhang-2019-308-233	233	be new	新	1231	NEW	
Zhang-2019-308-234	234	be dusk, dark	昏			
Zhang-2019-308-235	235	be late	晚	425	BE LATE	
Zhang-2019-308-236	236	to bend	曲	2224	BEND (SOMETHING)	
Zhang-2019-308-237	237	pillow	枕	1044	PILLOW	
Zhang-2019-308-238	238	the owl	梟	735	OWL	
Zhang-2019-308-239	239	to die	死	1494	DIE	
Zhang-2019-308-240	240	to kill	殺	1417	KILL	
Zhang-2019-308-241	241	the shell	殼	598	SHELL	
Zhang-2019-308-242	242	the poison	毒	655	POISON	
Zhang-2019-308-243	243	to scoop water	汲			
Zhang-2019-308-244	244	to float	浮	1574	FLOAT	
Zhang-2019-308-245	245	to destroy	滅	681	DESTROY	
Zhang-2019-308-246	246	to drop, drop	滴	808	DRIP (FALL IN GLOBULES)	
Zhang-2019-308-247	247	the fire	火	221	FIRE	
Zhang-2019-308-248	248	the bear	熊	1820	BEAR	
Zhang-2019-308-249	249	to smoke	熏	1689	SMOKE (INHALE)	
Zhang-2019-308-250	250	to fry, roast	熬	2146	ROAST OR FRY	
Zhang-2019-308-251	251	the claw	爪	72	CLAW	
Zhang-2019-308-252	252	the father	父	1217	FATHER	
Zhang-2019-308-253	253	the bovine	牛	3044	BOVINE	
Zhang-2019-308-254	254	the field	田	212	FIELD	
Zhang-2019-308-255	255	to give	畀	1447	GIVE	
Zhang-2019-308-256	256	be stiff	痹			
Zhang-2019-308-257	257	to itch	癢	3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)	
Zhang-2019-308-258	258	hundred	百	1634	HUNDRED	
Zhang-2019-308-259	259	the eye	目	1248	EYE	
Zhang-2019-308-260	260	the eyebrow	眉	1173	EYEBROW	
Zhang-2019-308-261	261	the arrow	矢	977	ARROW	
Zhang-2019-308-262	262	to stand	立	1442	STAND	
Zhang-2019-308-263	263	the joint	節	999	JOINT	
Zhang-2019-308-264	264	the rice	米	926	RICE	
Zhang-2019-308-265	265	to twist, to spin	紡	430	TWIST	
Zhang-2019-308-266	266	to weave	織	133	WEAVE	
Zhang-2019-308-267	267	the string, cord	繩	362	STRING	
Zhang-2019-308-268	268	the bear	羆	1820	BEAR	
Zhang-2019-308-269	269	the sheep	羊	1331	SHEEP	
Zhang-2019-308-270	270	the ear	耳	1247	EAR	
Zhang-2019-308-271	271	the elbow	肘	981	ELBOW	
Zhang-2019-308-272	272	the armpit	胳	1886	ARMPIT	
Zhang-2019-308-273	273	to take off	脫	3538	TAKE OFF	
Zhang-2019-308-274	274	the armpit	腋	1886	ARMPIT	
Zhang-2019-308-275	275	the internal organs	腑	1334	GUTS	
Zhang-2019-308-276	276	the brain	腦	1583	BRAIN	
Zhang-2019-308-277	277	the belly	腹	1251	BELLY	
Zhang-2019-308-278	278	the shoulder blade	膊	172	SHOULDERBLADE	
Zhang-2019-308-279	279	the maternal uncle	舅	3220	MATERNAL UNCLE	
Zhang-2019-308-280	280	the colour, countenance	色	1613	COLOR	
Zhang-2019-308-281	281	there is no X such that X...	莫			
Zhang-2019-308-282	282	the pulse, beans	菽	832	BEAN	
Zhang-2019-308-283	283	be thin	薄	2249	THIN (OF SHAPE OF OBJECT)	
Zhang-2019-308-284	284	the firewood	薪	10	FIREWOOD	
Zhang-2019-308-285	285	to revive	蘇	1602	WAKE UP	
Zhang-2019-308-286	286	the snake brood	虺			
Zhang-2019-308-287	287	the earthworm	蚓	2350	EARTHWORM	
Zhang-2019-308-288	288	the louse	蝨	1392	LOUSE	
Zhang-2019-308-289	289	the fly (insect)	蠅	1504	FLY (INSECT)	
Zhang-2019-308-290	290	the fur garment	裘			
Zhang-2019-308-291	291	the horn	角	1393	HORN (ANATOMY)	
Zhang-2019-308-292	292	to press	蹙	1913	PRESS	
Zhang-2019-308-293	293	to slip	躓/疐	1324	SLIP	
Zhang-2019-308-294	294	the body	身	1480	BODY	
Zhang-2019-308-295	295	the body	軀	1480	BODY	
Zhang-2019-308-296	296	be near	邇	1942	NEAR	
Zhang-2019-308-297	297	be sour	酸	1906	SOUR	
Zhang-2019-308-298	298	the needle	針	1382	NEEDLE (FOR SEWING)	
Zhang-2019-308-299	299	be dark, cloudy	陰	2341	CLOUDY	
Zhang-2019-308-300	300	be single	隻	1493	ONE	
Zhang-2019-308-301	301	the hide	革	3326	LEATHER OR HIDE	
Zhang-2019-308-302	302	the Allium tuberosum	韭			
Zhang-2019-308-303	303	the jaw, chin	頷	1510	CHIN	
Zhang-2019-308-304	304	the face	顏	1560	FACE	
Zhang-2019-308-305	305	the horse	馬	615	HORSE	
Zhang-2019-308-306	306	the thighbone	髀			
Zhang-2019-308-307	307	be fresh	鮮	243	FRESH	
Zhang-2019-308-308	308	to cry (of birds or animals)	鳴			
