ID	NUMBER	ENGLISH	ALTERNATIVE_NAME	CONCEPTICON_ID	CONCEPTICON_GLOSS
LSDO-2019-462-168	168	arm	arm	1673	ARM
LSDO-2019-462-169	169	elbow	elbow	981	ELBOW
LSDO-2019-462-170	170	arᵐpit	armpit	1886	ARMPIT
LSDO-2019-462-171	171	palm	palm	1183	PALM OF HAND
LSDO-2019-462-172	172	finger	finger	1303	FINGER
LSDO-2019-462-173	173	finger nail	fingernail	1258	FINGERNAIL
LSDO-2019-462-174	174	leg	leg	1297	LEG
LSDO-2019-462-175	175	thigh	thigh	800	THIGH
LSDO-2019-462-176	176	knee	knee	1371	KNEE
LSDO-2019-462-177	177	calf	calf	498	CALF OF LEG
LSDO-2019-462-178	178	shin	shin	186	SHIN
LSDO-2019-462-179	179	heel	heel	980	HEEL
LSDO-2019-462-180	180	bone	bone	1394	BONE
LSDO-2019-462-181	181	joint	joint	999	JOINT
LSDO-2019-462-182	182	marrow	marrow	1835	MARROW
LSDO-2019-462-183	183	rib	rib	801	RIB
LSDO-2019-462-184	184	meat, flesh	meat/flesh (edible)	2615	FLESH OR MEAT
LSDO-2019-462-185	185	fat	fat/grease	323	FAT (ORGANIC SUBSTANCE)
LSDO-2019-462-186	186	skin	skin	763	SKIN
LSDO-2019-462-187	187	blood	blood	946	BLOOD
LSDO-2019-462-188	188	sweat	sweat	125	SWEAT (SUBSTANCE)
LSDO-2019-462-189	189	pus	pus	1808	PUS
LSDO-2019-462-190	190	excrement	excrement	675	FAECES (EXCREMENT)
LSDO-2019-462-191	191	urine	urine	1142	URINE
LSDO-2019-462-192	192	man	man	1554	MAN
LSDO-2019-462-193	193	woman	woman	962	WOMAN
LSDO-2019-462-194	194	person	person	683	PERSON
LSDO-2019-462-195	195	father	father	1217	FATHER
LSDO-2019-462-196	196	mother	mother	1216	MOTHER
LSDO-2019-462-197	197	to be old (person)	to be old (person)	1229	OLD
LSDO-2019-462-198	198	child	child (young person)	1304	CHILD (YOUNG HUMAN)
LSDO-2019-462-199	199	son	son (one’s own male child)	1620	SON
LSDO-2019-462-200	200	son-in-law	son-in-law	1056	SON-IN-LAW
LSDO-2019-462-201	201	husbanc	husband	1200	HUSBAND
LSDO-2019-462-202	202	wife	wife	1199	WIFE
LSDO-2019-462-203	203	widow	widow	1756	WIDOW
LSDO-2019-462-204	204	elder brother (of female)	brother (elder of f)	2415	OLDER BROTHER (OF WOMAN)
LSDO-2019-462-205	205	elder brother (of male)	brother (elder of m)	2414	OLDER BROTHER (OF MAN)
LSDO-2019-462-206	206	elder sister (of female)	sister (elder of f)	2419	OLDER SISTER (OF WOMAN)
LSDO-2019-462-207	207	elder sister (of male)	sister (elder of m)	2418	OLDER SISTER (OF MAN)
LSDO-2019-462-208	208	younger brother (of female)	brother (younger of f)	2417	YOUNGER BROTHER (OF WOMAN)
LSDO-2019-462-209	209	younger brother (of male)	brother (younger of m)	2416	YOUNGER BROTHER (OF MAN)
LSDO-2019-462-210	210	younger sister (of female)	sister (younger of f)	2421	YOUNGER SISTER (OF WOMAN)
LSDO-2019-462-211	211	younger sister (of male)	sister (younger of m)	2420	YOUNGER SISTER (OF MAN)
LSDO-2019-462-212	212	friend	friend	1325	FRIEND
LSDO-2019-462-213	213	name	name	1405	NAME
LSDO-2019-462-214	214	village	village	930	VILLAGE
LSDO-2019-462-215	215	road	road/path	667	ROAD
LSDO-2019-462-216	216	boat	boat	1844	BOAT
LSDO-2019-462-217	217	house	house	1252	HOUSE
LSDO-2019-462-218	218	door	door	1567	DOOR
LSDO-2019-462-219	219	roof	roof	769	ROOF
LSDO-2019-462-220	220	area under house	area under house	2632	AREA UNDER HOUSE
LSDO-2019-462-221	221	wall (house)	wall of house	933	WALL (OF HOUSE)
LSDO-2019-462-222	222	sleeping area	sleeping area	2505	BEDROOM
LSDO-2019-462-223	223	mat	mat	195	MAT
LSDO-2019-462-224	224	pillow	pillow	1044	PILLOW
LSDO-2019-462-225	225	blanket	blanket	806	BLANKET
LSDO-2019-462-226	226	clothing	clothing	1895	CLOTHES
LSDO-2019-462-227	227	to weave	to weave (cloth)	133	WEAVE
LSDO-2019-462-228	228	to dye	to dye (cloth)	157	DYE
LSDO-2019-462-229	229	sarong (M)	sarong (male)	2413	SARONG
LSDO-2019-462-230	230	sarong (F)	sarong (female)	2413	SARONG
LSDO-2019-462-231	231	trousers	trousers	809	TROUSERS
LSDO-2019-462-232	232	to sew	to sew	1457	SEW
LSDO-2019-462-233	233	needle	needle	1382	NEEDLE (FOR SEWING)
LSDO-2019-462-234	234	comb	comb	1475	COMB
LSDO-2019-462-235	235	ring	ring	1374	RING
LSDO-2019-462-236	236	pot (cooking)	pot (cooking)	1462	POT
LSDO-2019-462-237	237	mortar	mortar (for peppers)	224	MORTAR
LSDO-2019-462-238	238	pestle	pestle (for peppers)	225	PESTLE
LSDO-2019-462-239	239	spoon	spoon	1378	SPOON
LSDO-2019-462-240	240	plate	plate	480	PLATE
LSDO-2019-462-241	241	firewood	firewood	10	FIREWOOD
LSDO-2019-462-242	242	fire	fire	221	FIRE
LSDO-2019-462-243	243	to burn something	to burn something	141	BURN (SOMETHING)
LSDO-2019-462-244	244	to extinguish	to extinguish (fire)	127	EXTINGUISH
LSDO-2019-462-245	245	ashes	ashes	646	ASH
LSDO-2019-462-246	246	smoke	smoke	778	SMOKE (EXHAUST)
LSDO-2019-462-247	247	drum	drum (musical instrument)	908	DRUM
LSDO-2019-462-248	248	gongs	gong	2502	GONG
LSDO-2019-462-249	249	bow	bow	994	BOW
LSDO-2019-462-250	250	crossbow	crossbow	3193	CROSSBOW
LSDO-2019-462-251	251	arrow	arrow	977	ARROW
LSDO-2019-462-252	252	spear	spear	945	SPEAR
LSDO-2019-462-253	253	knife	knife/blade	1352	KNIFE
LSDO-2019-462-254	254	to hear	to hear	1408	HEAR
LSDO-2019-462-255	255	to listen	to listen	1608	LISTEN
LSDO-2019-462-256	256	to be smelly	to be smelly	42	STINKING
LSDO-2019-462-257	257	to smell (something)	to smell (sniff)	1586	SMELL (PERCEIVE)
LSDO-2019-462-258	258	to see	to see	1409	SEE
LSDO-2019-462-259	259	to look at	to look at	1819	LOOK
LSDO-2019-462-260	260	to weep	to weep	1839	CRY
LSDO-2019-462-261	261	to eat	to eat	1336	EAT
LSDO-2019-462-262	262	to swallow	to swallow	897	SWALLOW
LSDO-2019-462-263	263	to be hungry	to be hungry	1533	BE HUNGRY
LSDO-2019-462-264	264	to be full	to be full (after eating)	1429	FULL
LSDO-2019-462-265	265	to be thirsty	to be thirsty	3474	BE THIRSTY
LSDO-2019-462-266	266	to drink	to drink	1401	DRINK
LSDO-2019-462-267	267	to be drunk	to be drunk (alcohol)	1463	DRUNK
LSDO-2019-462-268	268	to vomit	to vomit	1278	VOMIT
LSDO-2019-462-269	269	to spit	to spit	1440	SPIT
LSDO-2019-462-270	270	to cough	to cough	879	COUGH
LSDO-2019-462-271	271	to sneeze	to sneeze	1621	SNEEZE
LSDO-2019-462-272	272	to yarwn	to yawn	1028	YAWN
LSDO-2019-462-273	273	to breathe	to breathe	1407	BREATHE
LSDO-2019-462-274	274	to blow	to blow (on the fire)	176	BLOW (WITH MOUTH)
LSDO-2019-462-275	275	to whistle	to whistle	1025	WHISTLE
LSDO-2019-462-276	276	to suck (milk)	to suck (milk)	1421	SUCK
LSDO-2019-462-277	277	to lick	to lick	319	LICK
LSDO-2019-462-278	278	to smile	to smile	1451	SMILE
LSDO-2019-462-279	279	to laugh	to laugh	1355	LAUGH
LSDO-2019-462-280	280	to speak	to speak	1623	SPEAK
LSDO-2019-462-281	281	to tell about	to tell about		
LSDO-2019-462-282	282	to shout	to shout	715	SHOUT
LSDO-2019-462-283	283	to lie, fib	to lie/fib	601	LIE (MISLEAD)
LSDO-2019-462-284	284	to sing	to sing	1261	SING
LSDO-2019-462-285	285	to think	to think	2271	THINK
LSDO-2019-462-286	286	to know	to know	1410	KNOW (SOMETHING)
LSDO-2019-462-287	287	to forget	to forget	1523	FORGET
LSDO-2019-462-288	288	to choose	to choose	1750	CHOOSE
LSDO-2019-462-289	289	to love	to love	923	LOVE
LSDO-2019-462-290	290	to hate	to hate	1607	HATE
LSDO-2019-462-291	291	to be ashamed	to be ashamed	1894	ASHAMED
LSDO-2019-462-292	292	to wait	to wait	1590	WAIT (FOR)
LSDO-2019-462-293	293	to count	to count	1420	COUNT
LSDO-2019-462-294	294	to be afraid	to be afraid	1419	FEAR (BE AFRAID)
LSDO-2019-462-295	295	to be angry	to be angry	2223	BE ANGRY
LSDO-2019-462-296	296	to sleep	to sleep	1585	SLEEP
LSDO-2019-462-297	297	to snore	to snore	1983	SNORE
LSDO-2019-462-298	298	to dream	to dream	1920	DREAM (SOMETHING)
LSDO-2019-462-299	299	to get up	to get up (from bed)	1512	RISE (ONESELF)
LSDO-2019-462-300	300	to be hurt	to be hurt (after hitting finger with hammer)	2561	HURT (SENSE PAIN)
LSDO-2019-462-301	301	medicine	medicine	1372	MEDICINE
LSDO-2019-462-302	302	to be itchy	to be itchy	149	ITCHY
LSDO-2019-462-303	303	to scratch (self)	to scratch oneself	1436	SCRATCH
LSDO-2019-462-304	304	to shiver	to shiver	52	SHIVER
LSDO-2019-462-305	305	to die	to die	1494	DIE
LSDO-2019-462-306	306	gost	ghost	1175	GHOST
LSDO-2019-462-307	307	to sit	to sit (remain)	1416	SIT
LSDO-2019-462-308	308	to stand (standing)	to stand (remain)	1442	STAND
LSDO-2019-462-309	309	to kneel	to kneel	66	KNEEL
LSDO-2019-462-310	310	to walk	to walk	1443	WALK
LSDO-2019-462-311	311	to crowl	to crawl on belly (like a snake)	96	CRAWL
LSDO-2019-462-312	312	to go	to go	695	GO
LSDO-2019-462-313	313	to come	to come	1446	COME
LSDO-2019-462-314	314	to return	to return	581	COME BACK
LSDO-2019-462-315	315	to run	to run	1519	RUN
LSDO-2019-462-316	316	to ascend	to ascend	705	GO UP (ASCEND)
LSDO-2019-462-317	317	to descend	to descend	2014	GO DOWN (DESCEND)
LSDO-2019-462-318	318	to enter	to enter (house)	749	ENTER
LSDO-2019-462-319	319	to go out	to go out / exit (house)	1107	GO OUT
LSDO-2019-462-320	320	to push	to push	1452	PUSH
LSDO-2019-462-321	321	to pull	to pull	1455	PULL
LSDO-2019-462-322	322	to kick	to kick	1135	KICK
LSDO-2019-462-323	323	to throw	to throw	1456	THROW
LSDO-2019-462-324	324	to fall	to fall (from a height)	1280	FALL
LSDO-2019-462-325	325	to swim	to swim	1439	SWIM
LSDO-2019-462-326	326	to float	to float	1574	FLOAT
LSDO-2019-462-327	327	to submerge	to submerge something		
LSDO-2019-462-328	328	to flow	to flow (river)	2003	FLOW
LSDO-2019-462-329	329	to give	to give	1447	GIVE
LSDO-2019-462-330	330	to tie	to tie (something)	1094	FASTEN
LSDO-2019-462-331	331	to wipe	to wipe	1454	WIPE
LSDO-2019-462-332	332	to rub, scrub	to rub/scrub	1449	RUB
LSDO-2019-462-333	333	to wash	to wash (hands)	1453	WASH
LSDO-2019-462-334	334	to wash (clothes)	to wash (clothes)	2503	LAUNDER (WASH CLOTHES)
LSDO-2019-462-335	335	to bathe	to bathe	138	BATHE
LSDO-2019-462-336	336	to hit, beat	to hit/beat (with force)	1433	HIT
LSDO-2019-462-337	337	to split	to split	1437	SPLIT
LSDO-2019-462-338	338	to slice	to slice/saw	2156	CUT (WITH KNIFE)
LSDO-2019-462-339	339	to cut (hair)	to cut (hair)	2155	CUT (WITH SCISSORS)
LSDO-2019-462-340	340	to stab	to stab	1434	STAB
LSDO-2019-462-341	341	to plant	to plant	1486	PLANT (SOMETHING)
LSDO-2019-462-342	342	to dig	to dig (with a tool)	1418	DIG
LSDO-2019-462-343	343	to bury	to bury (a corpse)	1719	BURY
LSDO-2019-462-344	344	to work	to work	1086	WORK (ACTIVITY)
LSDO-2019-462-345	345	to play	to play	1413	PLAY
LSDO-2019-462-346	346	to dance	to dance	1879	DANCE
LSDO-2019-462-347	347	to shoot	to shoot (gun)	1172	SHOOT
LSDO-2019-462-348	348	to hunt	to hunt	1435	HUNT
LSDO-2019-462-349	349	to kill	to kill	1417	KILL
LSDO-2019-462-350	350	to fight	to fight (hand-to-hand)	1423	FIGHT
LSDO-2019-462-351	351	to buy	to buy	1869	BUY
LSDO-2019-462-352	352	to sell	to sell	1571	SELL
LSDO-2019-462-353	353	to exchange	to exchange	2509	EXCHANGE
LSDO-2019-462-354	354	to pay	to pay	718	PAY
LSDO-2019-462-355	355	to steal	to steal	713	STEAL
LSDO-2019-462-356	356	to hide(self)	to hide oneself	2485	HIDE (ONESELF)
LSDO-2019-462-357	357	one	one (person)	1493	ONE
LSDO-2019-462-358	358	two	two (persons)	1498	TWO
LSDO-2019-462-359	359	three	three (persons)	492	THREE
LSDO-2019-462-360	360	four	four (persons)	1500	FOUR
LSDO-2019-462-361	361	five	five (persons)	493	FIVE
LSDO-2019-462-362	362	six	six (persons)	1703	SIX
LSDO-2019-462-363	363	seven	seven (persons)	1704	SEVEN
LSDO-2019-462-364	364	eight	eight (persons)	1705	EIGHT
LSDO-2019-462-365	365	nine	nine (persons)	1483	NINE
LSDO-2019-462-366	366	ten	ten (persons)	1515	TEN
LSDO-2019-462-367	367	twenty	twenty (persons)	1710	TWENTY
LSDO-2019-462-368	368	hundred	hundred (persons)	1634	HUNDRED
LSDO-2019-462-369	369	one thousand	thousand (persons)	1843	THOUSAND
LSDO-2019-462-370	370	to be many	to be many (people)	1198	MANY
LSDO-2019-462-371	371	all	all	98	ALL
LSDO-2019-462-372	372	some	some (people)	1241	SOME
LSDO-2019-462-373	373	to be few	to be few (people)	1242	FEW
LSDO-2019-462-374	374	half	half (quantity)	816	HALF
LSDO-2019-462-375	375	to be big	to be big	1202	BIG
LSDO-2019-462-376	376	to be small	to be small	1246	SMALL
LSDO-2019-462-377	377	to be long	to be long	1203	LONG
LSDO-2019-462-378	378	to be short	to be short (length)	1645	SHORT
LSDO-2019-462-379	379	to be tall	to be tall	711	TALL
LSDO-2019-462-380	380	to be short	to be short (height)	2191	LOW (HEIGHT)
LSDO-2019-462-381	381	to be thick	to be thick (thing)	1244	THICK
LSDO-2019-462-382	382	to be thin	to be thin (thing)	2308	THIN
LSDO-2019-462-383	383	to be fat	to be fat (person)	1279	FAT (OBESE)
LSDO-2019-462-384	384	to be skiny	to be skinny (person)	1400	THIN (SLIM)
LSDO-2019-462-385	385	to be wide	to be wide/broad	1243	WIDE
LSDO-2019-462-386	386	to be narrow	to be narrow	1267	NARROW
LSDO-2019-462-387	387	to be deep	to be deep	1593	DEEP
LSDO-2019-462-388	388	to be shallow	to be shallow	193	SHALLOW
LSDO-2019-462-389	389	to be round	to be round	1395	ROUND
LSDO-2019-462-390	390	to be full	to be full (container)	1429	FULL
LSDO-2019-462-391	391	right side	right side	1019	RIGHT
LSDO-2019-462-392	392	left side	left side	244	LEFT
LSDO-2019-462-393	393	to be straight	to be straight (road)	1404	STRAIGHT
LSDO-2019-462-394	394	to be far	to be far (village many miles away)	1406	FAR
LSDO-2019-462-395	395	to be near	to be near (village very near)	1942	NEAR
LSDO-2019-462-396	396	this	this	1214	THIS
LSDO-2019-462-397	397	that	that	78	THAT
LSDO-2019-462-398	398	black	black	163	BLACK
LSDO-2019-462-399	399	white	white	1335	WHITE
LSDO-2019-462-400	400	red	red	156	RED
LSDO-2019-462-401	401	green	green	1425	GREEN
LSDO-2019-462-402	402	yellow	yellow	1424	YELLOW
LSDO-2019-462-403	403	to be dirty	to be dirty (clothes)	1230	DIRTY
LSDO-2019-462-404	404	to be new	to be new (things)	1231	NEW
LSDO-2019-462-405	405	to be old	to be old (things)	1229	OLD
LSDO-2019-462-406	406	to be dark	to be dark (outside)	706	DARK
LSDO-2019-462-407	407	to shine	to shine (flashlight)	708	SHINE
LSDO-2019-462-408	408	to be the same	to be the same	200	SAME
LSDO-2019-462-409	409	to be sweet	to be sweet	717	SWEET
LSDO-2019-462-410	410	to be sour	to be sour	1906	SOUR
LSDO-2019-462-411	411	to be bitter	to be bitter	887	BITTER
LSDO-2019-462-412	412	to be spicy	to be spicy	544	SPICY
LSDO-2019-462-413	413	to be rotten	to be rotten	1728	ROTTEN
LSDO-2019-462-414	414	to be swollen	to be swollen	1573	SWELL
LSDO-2019-462-415	415	to be dry	to be dry (rice)	1398	DRY
LSDO-2019-462-416	416	to be wet	to be wet (with water)	1726	WET
LSDO-2019-462-417	417	to be sharp	to be sharp	1396	SHARP
LSDO-2019-462-418	418	to be blunt	to be blunt	379	BLUNT
LSDO-2019-462-419	419	to be heavy	to be heavy	1210	HEAVY
LSDO-2019-462-420	420	to be light	to be light	737	LIGHT (IGNITE)
LSDO-2019-462-421	421	to be hard	to be hard (rock)	1884	HARD
LSDO-2019-462-422	422	to be soft	to be soft (cotton)	1856	SOFT
LSDO-2019-462-423	423	to be smooth	to be smooth (road)	1234	SMOOTH
LSDO-2019-462-424	424	to be rough	to be rough (road)	1923	ROUGH
LSDO-2019-462-425	425	to be fast	to be fast	1631	FAST
LSDO-2019-462-426	426	to be slow	to be slow	701	SLOW
