ID	NUMBER	PARAGRAPH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Comrie-1977-207-100	100	5.2.100	many	1198	MANY
Comrie-1977-207-101	101	5.2.101	meat/flesh	2615	FLESH OR MEAT
Comrie-1977-207-102	102	5.2.102	moon	1313	MOON
Comrie-1977-207-103	103	5.2.103	mother	1216	MOTHER
Comrie-1977-207-104	104	5.2.104	mountain	639	MOUNTAIN
Comrie-1977-207-105	105	5.2.105	mouth	674	MOUTH
Comrie-1977-207-106	106	5.2.106	name	1405	NAME
Comrie-1977-207-107	107	5.2.107	narrow	1267	NARROW
Comrie-1977-207-108	108	5.2.108	near	1942	NEAR
Comrie-1977-207-109	109	5.2.109	neck	1333	NECK
Comrie-1977-207-110	110	5.2.110	new	1231	NEW
Comrie-1977-207-111	111	5.2.111	night	1233	NIGHT
Comrie-1977-207-112	112	5.2.112	nose	1221	NOSE
Comrie-1977-207-113	113	5.2.113	not	1240	NOT
Comrie-1977-207-114	114	5.2.114	old	1229	OLD
Comrie-1977-207-115	115	5.2.115	one	1493	ONE
Comrie-1977-207-116	116	5.2.116	other	197	OTHER
Comrie-1977-207-117	117	5.2.117	person	683	PERSON
Comrie-1977-207-118	118	5.2.118	play	1413	PLAY
Comrie-1977-207-119	119	5.2.119	pull	1455	PULL
Comrie-1977-207-120	120	5.2.120	push	1452	PUSH
Comrie-1977-207-121	121	5.2.121	rain	2108	RAINING OR RAIN
Comrie-1977-207-122	122	5.2.122	red	156	RED
Comrie-1977-207-123	123	5.2.123	right/correct	1725	CORRECT (RIGHT)
Comrie-1977-207-124	124	5.2.124	rightside	1019	RIGHT
Comrie-1977-207-125	125	5.2.125	river	666	RIVER
Comrie-1977-207-126	126	5.2.126	road	667	ROAD
Comrie-1977-207-127	127	5.2.127	root	670	ROOT
Comrie-1977-207-128	128	5.2.128	rope	1218	ROPE
Comrie-1977-207-129	129	5.2.129	rotten	1728	ROTTEN
Comrie-1977-207-130	130	5.2.130	round	1395	ROUND
Comrie-1977-207-131	131	5.2.131	rub	1449	RUB
Comrie-1977-207-132	132	5.2.132	salt	1274	SALT
Comrie-1977-207-133	133	5.2.133	sand	671	SAND
Comrie-1977-207-134	134	5.2.134	say	1458	SAY
Comrie-1977-207-135	135	5.2.135	scratch	1436	SCRATCH
Comrie-1977-207-136	136	5.2.136	sea	1474	SEA
Comrie-1977-207-137	137	5.2.137	see	1409	SEE
Comrie-1977-207-138	138	5.2.138	seed	714	SEED
Comrie-1977-207-139	139	5.2.139	sew	1457	SEW
Comrie-1977-207-140	140	5.2.140	sharp	1396	SHARP
Comrie-1977-207-141	141	5.2.141	short	1645	SHORT
Comrie-1977-207-142	142	5.2.142	sing	1261	SING
Comrie-1977-207-143	143	5.2.143	sit	1416	SIT
Comrie-1977-207-144	144	5.2.144	skin	763	SKIN
Comrie-1977-207-145	145	5.2.145	sky	1732	SKY
Comrie-1977-207-146	146	5.2.146	sleep	1585	SLEEP
Comrie-1977-207-147	147	5.2.147	small	1246	SMALL
Comrie-1977-207-148	148	5.2.148	smell	2124	SMELL
Comrie-1977-207-149	149	5.2.149	smoke	778	SMOKE (EXHAUST)
Comrie-1977-207-150	150	5.2.150	smooth	1234	SMOOTH
Comrie-1977-207-151	151	5.2.151	snake	730	SNAKE
Comrie-1977-207-152	152	5.2.152	snow	784	SNOW
Comrie-1977-207-153	153	5.2.153	some	1241	SOME
Comrie-1977-207-154	154	5.2.154	spit	1440	SPIT
Comrie-1977-207-155	155	5.2.155	split	1437	SPLIT
Comrie-1977-207-156	156	5.2.156	squeeze	1414	SQUEEZE
Comrie-1977-207-157	157	5.2.157	stab/pierce	1434	STAB
Comrie-1977-207-158	158	5.2.158	stand	1442	STAND
Comrie-1977-207-159	159	5.2.159	star	1430	STAR
Comrie-1977-207-160	160	5.2.160	stick	1295	STICK
Comrie-1977-207-161	161	5.2.161	stone	857	STONE
Comrie-1977-207-162	162	5.2.162	straight	1404	STRAIGHT
Comrie-1977-207-163	163	5.2.163	suck	1421	SUCK
Comrie-1977-207-164	164	5.2.164	sun	1343	SUN
Comrie-1977-207-165	165	5.2.165	swell	1573	SWELL
Comrie-1977-207-166	166	5.2.166	swim	1439	SWIM
Comrie-1977-207-167	167	5.2.167	tail	1220	TAIL
Comrie-1977-207-168	168	5.2.168	that	78	THAT
Comrie-1977-207-169	169	5.2.169	there	1937	THERE
Comrie-1977-207-170	170	5.2.170	they	817	THEY
Comrie-1977-207-171	171	5.2.171	thick	1244	THICK
Comrie-1977-207-172	172	5.2.172	thin	2308	THIN
Comrie-1977-207-173	173	5.2.173	think	2271	THINK
Comrie-1977-207-174	174	5.2.174	this	1214	THIS
Comrie-1977-207-175	175	5.2.175	thou	1215	THOU
Comrie-1977-207-176	176	5.2.176	three	492	THREE
Comrie-1977-207-177	177	5.2.177	throw	1456	THROW
Comrie-1977-207-178	178	5.2.178	tie	1917	TIE
Comrie-1977-207-179	179	5.2.179	tongue	1205	TONGUE
Comrie-1977-207-180	180	5.2.180	tooth	1380	TOOTH
Comrie-1977-207-181	181	5.2.181	tree	906	TREE
Comrie-1977-207-182	182	5.2.182	turn	1588	TURN
Comrie-1977-207-183	183	5.2.183	two	1498	TWO
Comrie-1977-207-184	184	5.2.184	vomit	1278	VOMIT
Comrie-1977-207-185	185	5.2.185	walk	1443	WALK
Comrie-1977-207-186	186	5.2.186	warm	1232	WARM
Comrie-1977-207-187	187	5.2.187	wash	1453	WASH
Comrie-1977-207-188	188	5.2.188	water	948	WATER
Comrie-1977-207-189	189	5.2.189	we	1212	WE
Comrie-1977-207-190	190	5.2.190	wet	1726	WET
Comrie-1977-207-191	191	5.2.191	what	1236	WHAT
Comrie-1977-207-192	192	5.2.192	when	1238	WHEN
Comrie-1977-207-193	193	5.2.193	where	1237	WHERE
Comrie-1977-207-194	194	5.2.194	white	1335	WHITE
Comrie-1977-207-195	195	5.2.195	who	1235	WHO
Comrie-1977-207-196	196	5.2.196	wide	1243	WIDE
Comrie-1977-207-197	197	5.2.197	wife	1199	WIFE
Comrie-1977-207-198	198	5.2.198	wind	960	WIND
Comrie-1977-207-199	199	5.2.199	wing	1257	WING
Comrie-1977-207-200	200	5.2.200	wipe	1454	WIPE
Comrie-1977-207-201	201	5.2.201	with	1340	WITH
Comrie-1977-207-202	202	5.2.202	woman	962	WOMAN
Comrie-1977-207-203	203	5.2.203	woods	420	FOREST
Comrie-1977-207-204	204	5.2.204	worm	1219	WORM
Comrie-1977-207-205	205	5.2.205	ye	1213	YOU
Comrie-1977-207-206	206	5.2.206	year	1226	YEAR
Comrie-1977-207-207	207	5.2.207	yellow	1424	YELLOW
