ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH
Blum-2024-501-78	78	602	HIDE (CONCEAL)	hide (conceal)	esconder (algo)
Blum-2024-501-79	79	606	GRASS	grass	pasto, hierba
Blum-2024-501-80	80	619	ANIMAL	animal	animal
Blum-2024-501-81	81	624	LAKE	lake	lago
Blum-2024-501-82	82	628	LEAF	leaf	hoja de árbol
Blum-2024-501-83	83	630	LIGHT (RADIATION)	light (radiation)	luz
Blum-2024-501-84	84	632	LIZARD	lizard	lagartija
Blum-2024-501-85	85	634	MEAT	meat	carne
Blum-2024-501-86	86	635	MILK	milk	leche
Blum-2024-501-87	87	639	MOUNTAIN	mountain	montaña, cerro
Blum-2024-501-88	88	640	MUD	mud	lodo
Blum-2024-501-89	89	646	ASH	ash	cenizas
Blum-2024-501-90	90	652	PLAIN	plain	llanura
Blum-2024-501-91	91	658	RAIN (PRECIPITATION)	rain (precipitation)	lluvia
Blum-2024-501-92	92	665	BEE	bee	abeja
Blum-2024-501-93	93	666	RIVER	river	río
Blum-2024-501-94	94	670	ROOT	root	ráiz
Blum-2024-501-95	95	671	SAND	sand	arena
Blum-2024-501-96	96	674	MOUTH	mouth	boca
Blum-2024-501-97	97	676	SHIT (DEFECATE)	shit (defecate)	defecar
Blum-2024-501-98	98	677	AXE	axe	hacha
Blum-2024-501-99	99	678	BEARD	beard	barba
Blum-2024-501-100	100	679	BRIGHT	bright	brillante, resplandor
Blum-2024-501-101	101	680	BREAK (DESTROY OR GET DESTROYED)	break (destroy or get destroyed)	romper
Blum-2024-501-102	102	682	SIDE	side	lado, costado
Blum-2024-501-103	103	683	PERSON	person	persona, ser humano
Blum-2024-501-104	104	688	LUNG	lung	pulmón
Blum-2024-501-105	105	689	BETWEEN	between	entre
Blum-2024-501-106	106	692	BRING	bring	traer
Blum-2024-501-107	107	694	GET	get	recibir, obtener
Blum-2024-501-108	108	695	GO	go	ir
Blum-2024-501-109	109	700	CARRY	carry	cargar
Blum-2024-501-110	110	704	CLEAN	clean	limpio
Blum-2024-501-111	111	705	GO UP (ASCEND)	go up (ascend)	subir
Blum-2024-501-112	112	706	DARK	dark	oscuro
Blum-2024-501-113	113	707	REMEMBER	remember	recordar
Blum-2024-501-114	114	708	SHINE	shine	brillar
Blum-2024-501-115	115	713	STEAL	steal	robar
Blum-2024-501-116	116	714	SEED	seed	semilla
Blum-2024-501-117	117	715	SHOUT	shout	gritar
Blum-2024-501-118	118	717	SWEET	sweet	dulce
Blum-2024-501-119	119	719	FIND	find	encontrar, hallar
Blum-2024-501-120	120	728	FIRST	first	primero
Blum-2024-501-121	121	729	DAWN	dawn	albor, amanecer, aurora, madrugada
Blum-2024-501-122	122	730	SNAKE	snake	serpiente
Blum-2024-501-123	123	731	BEVERAGE	beverage	bebida
Blum-2024-501-124	124	735	OWL	owl	lechuza
Blum-2024-501-125	125	737	LIGHT (IGNITE)	light (ignite)	encender
Blum-2024-501-126	126	738	THING	thing	cosa
Blum-2024-501-127	127	744	EGG	egg	huevo
Blum-2024-501-128	128	749	ENTER	enter	entrar
Blum-2024-501-129	129	761	COVER	cover	cubrir
Blum-2024-501-130	130	762	OUTSIDE	outside	afuera, fuera, exterior
Blum-2024-501-131	131	763	SKIN	skin	piel, cutis, pellejo
Blum-2024-501-132	132	765	MOVE	move	mover
Blum-2024-501-133	133	769	ROOF	roof	techo
Blum-2024-501-134	134	772	BELT	belt	cinturón, faja
Blum-2024-501-135	135	777	FLUTE	flute	flauta
Blum-2024-501-136	136	778	SMOKE (EXHAUST)	smoke (exhaust)	humo
Blum-2024-501-137	137	781	FEAR (FRIGHT)	fear (fright)	miedo
Blum-2024-501-138	138	797	TESTICLES	testicles	testículo
Blum-2024-501-139	139	798	JAW	jaw	mandíbula
Blum-2024-501-140	140	801	RIB	rib	costilla
Blum-2024-501-141	141	806	BLANKET	blanket	manta
Blum-2024-501-142	142	811	SOUL	soul	alma
Blum-2024-501-143	143	816	HALF	half	mitad
Blum-2024-501-144	144	817	THEY	they	ellos, ellas
Blum-2024-501-145	145	819	STOMACH	stomach	estómago
Blum-2024-501-146	146	827	ROLL	roll	rodar, arrollar, enrollar
Blum-2024-501-147	147	834	BUTTOCKS	buttocks	nalgas, trasero
Blum-2024-501-148	148	837	BLUE	blue	azul
Blum-2024-501-149	149	843	SPIDER	spider	araña
Blum-2024-501-150	150	855	SEIZE	seize	embargar
Blum-2024-501-151	151	857	STONE	stone	piedra
Blum-2024-501-152	152	864	PUMPKIN	pumpkin	zapallo, calabaza, calabazo
Blum-2024-501-153	153	879	COUGH	cough	toser
Blum-2024-501-154	154	882	PARROT	parrot	papagayo
Blum-2024-501-155	155	887	BITTER	bitter	amargo
Blum-2024-501-156	156	897	SWALLOW	swallow	tragar
Blum-2024-501-157	157	906	TREE	tree	árbol
Blum-2024-501-158	158	907	OLD WOMAN	old woman	mujer vieja
Blum-2024-501-159	159	908	DRUM	drum	tambor
Blum-2024-501-160	160	919	CHILI PEPPER	chili pepper	ají
Blum-2024-501-161	161	923	LOVE	love	querer
Blum-2024-501-162	162	925	CASSAVA	cassava	yuca
Blum-2024-501-163	163	928	EMBRACE	embrace	abrazar
Blum-2024-501-164	164	937	BIRD	bird	pájaro, ave
Blum-2024-501-165	165	942	HONEY	honey	miel
Blum-2024-501-166	166	946	BLOOD	blood	sangre
Blum-2024-501-167	167	948	WATER	water	agua
Blum-2024-501-168	168	956	FLEE	flee	huir
Blum-2024-501-169	169	960	WIND	wind	viento 
Blum-2024-501-170	170	962	WOMAN	woman	mujer
Blum-2024-501-171	171	974	TOBACCO	tobacco	tabaco
Blum-2024-501-172	172	977	ARROW	arrow	flecha
Blum-2024-501-173	173	980	HEEL	heel	talón
Blum-2024-501-174	174	981	ELBOW	elbow	codo
Blum-2024-501-175	175	994	BOW	bow	arco
Blum-2024-501-176	176	996	DEAF	deaf	sordo
Blum-2024-501-177	177	998	PUT	put	poner
Blum-2024-501-178	178	1011	BRIDGE	bridge	puente
Blum-2024-501-179	179	1019	RIGHT	right	derecho
Blum-2024-501-180	180	1025	WHISTLE	whistle	silbar, chiflar
Blum-2024-501-181	181	1033	GRIND	grind	moler
Blum-2024-501-182	182	1035	GOOD	good	bueno
Blum-2024-501-183	183	1041	INCREASE	increase	aumentar, crecer
Blum-2024-501-184	184	1046	SHUT	shut	cerrar
Blum-2024-501-185	185	1047	PURSUE	pursue	perseguir
Blum-2024-501-186	186	1084	CALL	call	llamar
Blum-2024-501-187	187	1052	LIGHT (WEIGHT)	light (weight)	liviano, ligero (que pesa poco)
Blum-2024-501-188	188	1075	TRAP (PITFALL)	trap (pitfall)	trampa
Blum-2024-501-189	189	1085	FOLLOW	follow	seguir
Blum-2024-501-190	190	1086	WORK (ACTIVITY)	work (activity)	trabajar
Blum-2024-501-191	191	1090	BE BORN	be born	nacer
Blum-2024-501-192	192	1094	FASTEN	fasten	amarrar
Blum-2024-501-193	193	1100	COOK (SOMETHING)	cook (something)	cocinar
Blum-2024-501-194	194	1107	GO OUT	go out	salir
Blum-2024-501-195	195	1109	WOUND	wound	herida, llaga
Blum-2024-501-196	196	1127	SEND	send	enviar, mandar
Blum-2024-501-197	197	1149	ORPHAN	orphan	huérfano, huérfana
Blum-2024-501-198	198	1150	THUNDER	thunder	trueno
Blum-2024-501-199	199	1156	OPEN	open	abrir
Blum-2024-501-200	200	1157	BECAUSE	because	porque
Blum-2024-501-201	201	1159	FART	fart	pedo
Blum-2024-501-202	202	1161	THREAD	thread	hilo
Blum-2024-501-203	203	1170	TRAP (CATCH)	trap (catch)	atrapar
Blum-2024-501-204	204	1172	SHOOT	shoot	disparar, tirar
Blum-2024-501-205	205	1173	EYEBROW	eyebrow	ceja
Blum-2024-501-206	206	1174	YESTERDAY	yesterday	ayer
Blum-2024-501-207	207	1175	GHOST	ghost	fantasma, espíritu
Blum-2024-501-208	208	1183	PALM OF HAND	palm of hand	palma de la mano
Blum-2024-501-209	209	1185	VULTURE	vulture	buitre
Blum-2024-501-210	210	1188	CHARCOAL	charcoal	carbón
Blum-2024-501-211	211	1195	GIVE BIRTH	give birth	dar a luz, parir
Blum-2024-501-212	212	1198	MANY	many	muchos
Blum-2024-501-213	213	1199	WIFE	wife	esposa, marida
Blum-2024-501-214	214	1200	HUSBAND	husband	marido, esposo
Blum-2024-501-215	215	1201	FEATHER	feather	pluma
Blum-2024-501-216	216	1202	BIG	big	grande
Blum-2024-501-217	217	1203	LONG	long	largo
Blum-2024-501-218	218	1204	BARK	bark	corteza
Blum-2024-501-219	219	1205	TONGUE	tongue	lengua
Blum-2024-501-220	220	1207	YOUNG	young	jóven
Blum-2024-501-221	221	1208	CAT	cat	gato
Blum-2024-501-222	222	1209	I	i	yo, mi
Blum-2024-501-223	223	1210	HEAVY	heavy	pesado
Blum-2024-501-224	224	1212	WE	we	nosotros/nosotras
Blum-2024-501-225	225	1213	YOU	you	ustedes
Blum-2024-501-226	226	1215	THOU	thou	tú, usted
Blum-2024-501-227	227	1216	MOTHER	mother	madre
Blum-2024-501-228	228	1217	FATHER	father	padre, papá
Blum-2024-501-229	229	1218	ROPE	rope	soga, cuerda
Blum-2024-501-230	230	1219	WORM	worm	lombriz, gusano
Blum-2024-501-231	231	1220	TAIL	tail	cola/rabo
Blum-2024-501-232	232	1221	NOSE	nose	nariz
Blum-2024-501-233	233	1222	PENIS	penis	pene
Blum-2024-501-234	234	1223	HEART	heart	corazón
Blum-2024-501-235	235	1224	LIVER	liver	hígado
Blum-2024-501-236	236	1225	DAY (NOT NIGHT)	day (not night)	día
Blum-2024-501-237	237	1226	YEAR	year	año
Blum-2024-501-238	238	1228	EARTH (SOIL)	earth (soil)	tierra
Blum-2024-501-239	239	1229	OLD	old	viejo
Blum-2024-501-240	240	1230	DIRTY	dirty	sucio
Blum-2024-501-241	241	1231	NEW	new	nuevo
Blum-2024-501-242	242	1233	NIGHT	night	noche
Blum-2024-501-243	243	1234	SMOOTH	smooth	liso
Blum-2024-501-244	244	1235	WHO	who	quién?
Blum-2024-501-245	245	1236	WHAT	what	qué?
Blum-2024-501-246	246	1237	WHERE	where	dónde?
Blum-2024-501-247	247	1238	WHEN	when	cuándo?
Blum-2024-501-248	248	1239	HOW	how	cómo?
Blum-2024-501-249	249	1240	NOT	not	no
Blum-2024-501-250	250	1241	SOME	some	alguno, pocos
Blum-2024-501-251	251	1242	FEW	few	pocos
Blum-2024-501-252	252	1243	WIDE	wide	ancho, amplio
Blum-2024-501-253	253	1244	THICK	thick	grueso
Blum-2024-501-254	254	1246	SMALL	small	pequeño
Blum-2024-501-255	255	1247	EAR	ear	oreja
Blum-2024-501-256	256	1248	EYE	eye	ojo
Blum-2024-501-257	257	1251	BELLY	belly	barriga, vientre
Blum-2024-501-258	258	1252	HOUSE	house	casa
Blum-2024-501-259	259	1256	HEAD	head	cabeza
Blum-2024-501-260	260	1257	WING	wing	ala
Blum-2024-501-261	261	1258	FINGERNAIL	fingernail	uña
Blum-2024-501-262	262	1261	SING	sing	cantar
Blum-2024-501-263	263	1267	NARROW	narrow	estrecho, angosto
Blum-2024-501-264	264	1268	YES	yes	sí, afirmativo
Blum-2024-501-265	265	1269	NO	no	no, negativo
Blum-2024-501-266	266	1274	SALT	salt	sal
Blum-2024-501-267	267	1277	HAND	hand	mano
Blum-2024-501-268	268	1278	VOMIT	vomit	vomitar, arrojar
Blum-2024-501-269	269	1280	FALL	fall	caer
Blum-2024-501-270	270	1286	HOT	hot	caliente
Blum-2024-501-271	271	1287	COLD	cold	frío
Blum-2024-501-272	272	1289	BABY	baby	bebé
Blum-2024-501-273	273	1291	BACK	back	espalda
Blum-2024-501-274	274	1292	BAD	bad	malo
Blum-2024-501-275	275	1297	LEG	leg	pierna
Blum-2024-501-276	276	1301	FOOT	foot	pie
Blum-2024-501-277	277	1303	FINGER	finger	dedo de la mano
Blum-2024-501-278	278	1304	CHILD (YOUNG HUMAN)	child (young human)	niño
Blum-2024-501-279	279	1307	LANGUAGE	language	lengua, idioma
Blum-2024-501-280	280	1309	ASK (INQUIRE)	ask (inquire)	preguntar
Blum-2024-501-281	281	1313	MOON	moon	luna
Blum-2024-501-282	282	1318	CHICKEN	chicken	gallina
Blum-2024-501-283	283	1324	SLIP	slip	resbalar
Blum-2024-501-284	284	1325	FRIEND	friend	amigo, compañero
Blum-2024-501-285	285	1329	TOMORROW	tomorrow	mañana
Blum-2024-501-286	286	1333	NECK	neck	cuello
Blum-2024-501-287	287	1335	WHITE	white	blanco
Blum-2024-501-288	288	1336	EAT	eat	comer
Blum-2024-501-289	289	1337	PIG	pig	cerdo, chancho, puerco
Blum-2024-501-290	290	1339	MORNING	morning	mañana
Blum-2024-501-291	291	1342	SUMMER	summer	verano
Blum-2024-501-292	292	1343	SUN	sun	sol
Blum-2024-501-293	293	1346	THROAT	throat	garganta
Blum-2024-501-294	294	1355	LAUGH	laugh	reír
Blum-2024-501-295	295	1358	ENEMY	enemy	enemigo
Blum-2024-501-296	296	1359	SEPARATE	separate	separar, apartar
Blum-2024-501-297	297	1360	DUCK	duck	pato
Blum-2024-501-298	298	1366	BOY	boy	niño (chico)
Blum-2024-501-299	299	1371	KNEE	knee	rodilla
Blum-2024-501-300	300	1372	MEDICINE	medicine	medicina, remedio
Blum-2024-501-301	301	1374	RING	ring	anillo, sortija
Blum-2024-501-302	302	1376	NOW	now	ahora
Blum-2024-501-303	303	1380	TOOTH	tooth	dientes
Blum-2024-501-304	304	1382	NEEDLE (FOR SEWING)	needle (for sewing)	aguja
Blum-2024-501-305	305	1387	ARRIVE	arrive	llegar, alcanzar
Blum-2024-501-306	306	1388	SHADE	shade	sombra
Blum-2024-501-307	307	1392	LOUSE	louse	piojo
Blum-2024-501-308	308	1393	HORN (ANATOMY)	horn (anatomy)	cuerno
Blum-2024-501-309	309	1394	BONE	bone	hueso
Blum-2024-501-310	310	1396	SHARP	sharp	afilado, aguzado, filoso
Blum-2024-501-311	311	1398	DRY	dry	seco
Blum-2024-501-312	312	1401	DRINK	drink	beber, tomar
Blum-2024-501-313	313	1402	BREAST	breast	teta, seno, pechos
Blum-2024-501-314	314	1403	BITE	bite	morder
Blum-2024-501-315	315	1404	STRAIGHT	straight	recto
Blum-2024-501-316	316	1405	NAME	name	nombre
Blum-2024-501-317	317	1406	FAR	far	lejos
Blum-2024-501-318	318	1407	BREATHE	breathe	respirar
Blum-2024-501-319	319	1408	HEAR	hear	oír
Blum-2024-501-320	320	1409	SEE	see	ver
Blum-2024-501-321	321	1410	KNOW (SOMETHING)	know (something)	saber
Blum-2024-501-322	322	1413	PLAY	play	jugar
Blum-2024-501-323	323	1414	SQUEEZE	squeeze	exprimir
Blum-2024-501-324	324	1415	THINK (REFLECT)	think (reflect)	pensar
Blum-2024-501-325	325	1416	SIT	sit	sentado
Blum-2024-501-326	326	1417	KILL	kill	matar
Blum-2024-501-327	327	1418	DIG	dig	cavar, excavar
Blum-2024-501-328	328	1421	SUCK	suck	chupar, mamar
Blum-2024-501-329	329	1423	FIGHT	fight	pelear
Blum-2024-501-330	330	1424	YELLOW	yellow	amarillo
Blum-2024-501-331	331	1425	GREEN	green	verde (color)
Blum-2024-501-332	332	1428	BURNING	burning	arder
Blum-2024-501-333	333	1429	FULL	full	lleno
Blum-2024-501-334	334	1430	STAR	star	estrella
Blum-2024-501-335	335	1432	CUT	cut	cortar
Blum-2024-501-336	336	1433	HIT	hit	golpear
Blum-2024-501-337	337	1435	HUNT	hunt	cazar
Blum-2024-501-338	338	1437	SPLIT	split	hender, partir
Blum-2024-501-339	339	1439	SWIM	swim	nadar
Blum-2024-501-340	340	1440	SPIT	spit	escupir
Blum-2024-501-341	341	1441	FLY (MOVE THROUGH AIR)	fly (move through air)	volar
Blum-2024-501-342	342	1442	STAND	stand	estar de pie
Blum-2024-501-343	343	1443	WALK	walk	caminar, andar
Blum-2024-501-344	344	1444	TURN AROUND	turn around	voltear, dar vuelta
Blum-2024-501-345	345	1446	COME	come	venir
Blum-2024-501-346	346	1447	GIVE	give	dar
Blum-2024-501-347	347	1449	RUB	rub	frotar, enjugar
Blum-2024-501-348	348	1452	PUSH	push	empujar
Blum-2024-501-349	349	1453	WASH	wash	lavar
Blum-2024-501-350	350	1455	PULL	pull	jalar
Blum-2024-501-351	351	1456	THROW	throw	tirar
Blum-2024-501-352	352	1457	SEW	sew	coser
Blum-2024-501-353	353	1458	SAY	say	decir
Blum-2024-501-354	354	1463	DRUNK	drunk	borracho, ebrio
Blum-2024-501-355	355	1468	LOOK FOR	look for	buscar (mirar)
Blum-2024-501-356	356	1475	COMB	comb	peine
Blum-2024-501-357	357	1476	CHAIR	chair	silla
Blum-2024-501-358	358	1480	BODY	body	cuerpo
Blum-2024-501-359	359	1482	SHOULDER	shoulder	hombro
Blum-2024-501-360	360	1485	BELOW OR UNDER	below or under	debajo
Blum-2024-501-361	361	1486	PLANT (SOMETHING)	plant (something)	plantar, sembrar
Blum-2024-501-362	362	1489	CLOUD	cloud	nube
Blum-2024-501-363	363	1491	MOUSE	mouse	ratón
Blum-2024-501-364	364	1493	ONE	one	uno
Blum-2024-501-365	365	1494	DIE	die	morir
Blum-2024-501-366	366	1498	TWO	two	dos
Blum-2024-501-367	367	1504	FLY (INSECT)	fly (insect)	mosca
Blum-2024-501-368	368	1507	FRUIT	fruit	fruto
Blum-2024-501-369	369	1509	MOSQUITO	mosquito	zancudo
Blum-2024-501-370	370	1517	WASP	wasp	avispa
Blum-2024-501-371	371	1519	RUN	run	correr
Blum-2024-501-372	372	1523	FORGET	forget	olvidar
Blum-2024-501-373	373	1539	BASKET	basket	cesto, canasto, canasta
Blum-2024-501-374	374	1540	EYELASH	eyelash	pestaña
Blum-2024-501-375	375	1543	SNAIL	snail	caracol
Blum-2024-501-376	376	1554	MAN	man	varón, hombre
Blum-2024-501-377	377	1560	FACE	face	cara
Blum-2024-501-378	378	1564	LAZY	lazy	perezoso
Blum-2024-501-379	379	1567	DOOR	door	puerta
Blum-2024-501-380	380	1571	SELL	sell	vender
Blum-2024-501-381	381	1574	FLOAT	float	flotar
Blum-2024-501-382	382	1576	PILE UP	pile up	amontonar
Blum-2024-501-383	383	1580	ONLY	only	solo, solamente
Blum-2024-501-384	384	1583	BRAIN	brain	cerebro, sesos
Blum-2024-501-385	385	1585	SLEEP	sleep	dormir
Blum-2024-501-386	386	1586	SMELL (PERCEIVE)	smell (perceive)	oler, olfatear
Blum-2024-501-387	387	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal
Blum-2024-501-388	388	1590	WAIT (FOR)	wait (for)	esperar
Blum-2024-501-389	389	1591	UP	up	arriba, encima
Blum-2024-501-390	390	1592	CHEST	chest	pecho
Blum-2024-501-391	391	1593	DEEP	deep	profundo, hondo
Blum-2024-501-392	392	1594	FLOUR	flour	harina
Blum-2024-501-393	393	1602	WAKE UP	wake up	despertarse
Blum-2024-501-394	394	1606	INSIDE	inside	adentro, dentro
Blum-2024-501-395	395	1616	CLOTH	cloth	tela
Blum-2024-501-396	396	1621	SNEEZE	sneeze	estornudar
Blum-2024-501-397	397	1623	SPEAK	speak	hablar
Blum-2024-501-398	398	1624	EMPTY	empty	vacío
Blum-2024-501-399	399	1625	DEAD	dead	muerto
Blum-2024-501-400	400	1629	EVENING	evening	tarde
Blum-2024-501-401	401	1631	FAST	fast	ágil
Blum-2024-501-402	402	1633	FLAT	flat	llano, plano, chato
Blum-2024-501-403	403	1644	RELATIVES	relatives	parientes, parentela
Blum-2024-501-404	404	1645	SHORT	short	corto
Blum-2024-501-405	405	1646	GIRL	girl	niña
Blum-2024-501-406	406	1649	SIT DOWN	sit down	sentarse
Blum-2024-501-407	407	1651	TEAR (OF EYE)	tear (of eye)	lágrima
Blum-2024-501-408	408	1654	LIGHTNING	lightning	relámpago
Blum-2024-501-409	409	1657	TRUE	true	verdadero
Blum-2024-501-410	410	1666	MUTE	mute	mudo
Blum-2024-501-411	411	1667	HOLE	hole	hueco, agujero
Blum-2024-501-412	412	1672	WRITE	write	escribir
Blum-2024-501-413	413	1673	ARM	arm	brazo
Blum-2024-501-414	414	1686	BEHIND	behind	atrás, detrás
Blum-2024-501-415	415	1689	SMOKE (INHALE)	smoke (inhale)	fumar
Blum-2024-501-416	416	1711	TELL	tell	contar, narrar
Blum-2024-501-417	417	1719	BURY	bury	enterrar, sepultar
Blum-2024-501-418	418	1726	WET	wet	mojado
Blum-2024-501-419	419	1728	ROTTEN	rotten	podrido
Blum-2024-501-420	420	1730	CHEEK	cheek	mejilla
Blum-2024-501-421	421	1732	SKY	sky	cielo
Blum-2024-501-422	422	1733	RAINBOW	rainbow	arcoiris
Blum-2024-501-423	423	1735	TEAR (SHRED)	tear (shred)	romper, rasgar
Blum-2024-501-424	424	1743	JOIN	join	unirse
Blum-2024-501-425	425	1750	CHOOSE	choose	escoger, elegir
Blum-2024-501-426	426	1752	LEAVE	leave	salir, marcharse, irse, quitarse
Blum-2024-501-427	427	1758	OLDER SISTER	older sister	hermana mayor
Blum-2024-501-428	428	1759	OLDER BROTHER	older brother	hermano mayor
Blum-2024-501-429	429	1760	YOUNGER BROTHER	younger brother	hermano menor
Blum-2024-501-430	430	1761	YOUNGER SISTER	younger sister	hermana menor
Blum-2024-501-431	431	1766	FINISH	finish	acabar, terminar
Blum-2024-501-432	432	1767	SCRAPE	scrape	raspar, rallar
Blum-2024-501-433	433	1778	APPROACH	approach	acercarse
Blum-2024-501-434	434	1783	PAIN	pain	dolor
Blum-2024-501-435	435	1784	WANT	want	desear (querer)
Blum-2024-501-436	436	1791	BUTTERFLY	butterfly	mariposa
Blum-2024-501-437	437	1793	BAT	bat	murciélago
Blum-2024-501-438	438	1803	WOOD	wood	madera
Blum-2024-501-439	439	1808	PUS	pus	pus
Blum-2024-501-440	440	1819	LOOK	look	mirar, contemplar
Blum-2024-501-441	441	1828	ASK (REQUEST)	ask (request)	pedir
Blum-2024-501-442	442	1829	JUMP	jump	saltar
Blum-2024-501-443	443	1831	MEET	meet	reunirse
Blum-2024-501-444	444	1836	VAGINA	vagina	vagina
Blum-2024-501-445	445	1837	VULVA	vulva	vulva
Blum-2024-501-446	446	1838	NAVEL	navel	ombligo
Blum-2024-501-447	447	1839	CRY	cry	llorar
Blum-2024-501-448	448	1847	SICK	sick	estar enfermo
Blum-2024-501-449	449	1850	COTTON	cotton	algodón
Blum-2024-501-450	450	1856	SOFT	soft	suave
Blum-2024-501-451	451	1864	HUNGER	hunger	hambre
Blum-2024-501-452	452	1869	BUY	buy	comprar
Blum-2024-501-453	453	1879	DANCE	dance	bailar
Blum-2024-501-454	454	1884	HARD	hard	duro
Blum-2024-501-455	455	1886	ARMPIT	armpit	axila, sobaco
Blum-2024-501-456	456	1892	TOUCH	touch	tocar
