ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	WOLD_ID	URL	IDS_ID	DESCRIPTION	CONTEXT	PART_OF_SPEECH	SEMANTIC_FIELD	AGE_SCORE	BORROWING_SCORE	SIMPLICITY_SCORE	REPRESENTATION	RANK
Haspelmath-2009-1460-44	1150	THUNDER	44	the thunder	1-56	http://wold.clld.org/meaning/1-56	1.56	-	The thunder was deafening.	Noun	1	0.8297297297	0.1042471042	0.8233590734	47	619
Haspelmath-2009-1460-45	2007	BOLT (OF LIGHTNING)	45	the bolt of lightning	1-57	http://wold.clld.org/meaning/1-57	1.57	'a flash of lightning and a noise of thunder together, which hits something'	-	Noun	1	0.8534090909	0.2556818182	0.7954545455	42	302
Haspelmath-2009-1460-46	858	STORM	46	the storm	1-58	http://wold.clld.org/meaning/1-58	1.58	-	It's more than just rain-it's a real storm!	Noun	1	0.7861313869	0.2354014599	0.8047445255	48	1209
Haspelmath-2009-1460-47	1733	RAINBOW	47	the rainbow	1-59	http://wold.clld.org/meaning/1-59	1.59	-	After the storm, a rainbow appeared in the sky.	Noun	1	0.8409090909	0.1363636364	0.7897727273	44	446
Haspelmath-2009-1460-48	630	LIGHT (RADIATION)	48	the light	1-61	http://wold.clld.org/meaning/1-61	1.61	-	The fire gave a bright light.	Noun	1	0.8882978723	0.208632835	0.8867883841	49	64
Haspelmath-2009-1460-49	11	DARKNESS	49	the darkness	1-62	http://wold.clld.org/meaning/1-62	1.62	-	After the sunset, darkness quickly fell.	Noun	1	0.868	0.1472727273	0.7436363636	49	164
Haspelmath-2009-1460-50	1388	SHADE	50	the shade or shadow	1-63	http://wold.clld.org/meaning/1-63	1.63	-	-	Noun	1	0.9029411765	0.112745098	0.931372549	52	19
Haspelmath-2009-1460-51	1977	DEW	51	the dew	1-64	http://wold.clld.org/meaning/1-64	1.64	-	The trees were wet from the morning dew.	Noun	1	0.866894198	0.1638225256	0.9027303754	50	176
Haspelmath-2009-1460-52	27	AIR	52	the air	1-71	http://wold.clld.org/meaning/1-71	1.71	-	The air is cool and fresh here in the mountains.	Noun	1	0.9150485437	0.4757281553	0.9417475728	42	12
Haspelmath-2009-1460-53	960	WIND	53	the wind	1-72	http://wold.clld.org/meaning/1-72	1.72	-	The wind blew so hard it knocked down the tree.	Noun	1	0.9095652174	0.1717391304	0.9869565217	45	14
Haspelmath-2009-1460-54	1489	CLOUD	54	the cloud	1-73	http://wold.clld.org/meaning/1-73	1.73	-	There were white clouds in the blue sky.	Noun	1	0.8929411765	0.1647058824	0.9411764706	45	47
Haspelmath-2009-1460-55	249	FOG	55	the fog	1-74	http://wold.clld.org/meaning/1-74	1.74	-	The fog is so thick I can't see the road.	Noun	1	0.8555147059	0.140625	0.90625	48	273
Haspelmath-2009-1460-56	658	RAIN (PRECIPITATION)	56	the rain	1-75	http://wold.clld.org/meaning/1-75	1.75	-	After the rain, the sun appeared again.	Noun	1	0.905785124	0.083677686	0.9504132231	43	17
Haspelmath-2009-1460-57	784	SNOW	57	the snow	1-76	http://wold.clld.org/meaning/1-76	1.76	-	Snow fell all night and covered the city.	Noun	1	0.8897959184	0.237244898	0.9336734694	36	58
Haspelmath-2009-1460-58	617	ICE	58	the ice	1-77	http://wold.clld.org/meaning/1-77	1.77	-	A layer of ice formed over the lake.	Noun	1	0.8299595142	0.2307692308	0.9048582996	45	617
Haspelmath-2009-1460-59	952	WEATHER	59	the weather	1-78	http://wold.clld.org/meaning/1-78	1.78	-	I hope that tomorrow the weather will be nicer than today.	Noun	1	0.8252777778	0.3631944444	0.85	39	678
Haspelmath-2009-1460-60	221	FIRE	60	the fire	1-81	http://wold.clld.org/meaning/1-81	1.81	‘a fire lit deliberately for heating or cooking’	The fire is brightly burning in the fireplace.	Noun	1	0.9409035195	0.0354578883	0.9947469795	42	1
Haspelmath-2009-1460-61	889	FLAME	61	the flame	1-82	http://wold.clld.org/meaning/1-82	1.82	-	The flames were so high they reached the helicopter.	Noun	1	0.8820270825	0.1800369307	0.762002462	45	87
Haspelmath-2009-1460-62	778	SMOKE (EXHAUST)	62	the smoke	1-83	http://wold.clld.org/meaning/1-83	1.83	-	Heavy smoke billowed from the burning house.	Noun	1	0.836637931	0.0840517241	0.9288793103	44	504
Haspelmath-2009-1460-63	646	ASH	63	the ash	1-84	http://wold.clld.org/meaning/1-84	1.84	-	He let the cigarette ash fall on the floor.	Noun	1	0.8729411765	0.1470588235	0.9205882353	43	137
Haspelmath-2009-1460-64	67	EMBERS	64	the embers	1-841	http://wold.clld.org/meaning/1-841	1.841	'pieces of wood or coal in a fire that are no longer burning but are still red and very hot'	-	Noun	1	0.8012396694	0.2479338843	0.8254132231	44	1035
Haspelmath-2009-1460-65	141	BURN (SOMETHING)	65	to burn(1)	1-851	http://wold.clld.org/meaning/1-851	1.851	'partially or fully destroy with fire'	She burnt all her ex-boyfriend's old letters.	Verb	1	0.8858369099	0.0997854077	0.7768240343	47	74
Haspelmath-2009-1460-66	1428	BURNING	66	to burn(2)	1-852	http://wold.clld.org/meaning/1-852	1.852	'be on fire, be consumed by fire'	Our house is burning! Call the fire fighters!	Verb	1	0.850617284	0.049382716	0.8888888889	44	332
Haspelmath-2009-1460-67	737	LIGHT (IGNITE)	67	to light	1-86	http://wold.clld.org/meaning/1-86	1.86	'make something burn'	She lit a match.	Verb	1	0.8202072539	0.0621761658	0.768566494	53	746
Haspelmath-2009-1460-68	127	EXTINGUISH	68	to extinguish	1-861	http://wold.clld.org/meaning/1-861	1.861	-	The fire fighters extinguished the fire.	Verb	1	0.8883430475	0.1475853455	0.7647793505	45	63
Haspelmath-2009-1460-69	1133	MATCH	69	the match	1-87	http://wold.clld.org/meaning/1-87	1.87	'a small wooden stick used to light a fire'	-	Noun	1	0.73828125	0.6689453125	0.873046875	52	1434
Haspelmath-2009-1460-70	10	FIREWOOD	70	the firewood	1-88	http://wold.clld.org/meaning/1-88	1.88	-	The boys collected firewood and built a bonfire.	Noun	1	0.8901551891	0.0491028128	0.8399612027	42	57
Haspelmath-2009-1460-71	1188	CHARCOAL	71	the charcoal	1-89	http://wold.clld.org/meaning/1-89	1.89	-	This fireplace is lit by charcoal, not wood.	Noun	1	0.8788235294	0.2588235294	0.8794117647	46	107
Haspelmath-2009-1460-72	683	PERSON	72	the person	2-1	http://wold.clld.org/meaning/2-1	2.1	‘human being’	This table can be lifted by one person.	Noun	2	0.9299270073	0.3229927007	0.9343065693	51	6
Haspelmath-2009-1460-73	1554	MAN	73	the man	2-21	http://wold.clld.org/meaning/2-21	2.21	(vs. woman)	The man had a long beard.	Noun	2	0.8863109049	0.096287703	0.8805104408	52	72
Haspelmath-2009-1460-74	962	WOMAN	74	the woman	2-22	http://wold.clld.org/meaning/2-22	2.22	-	The woman wore a pretty dress.	Noun	2	0.8236953456	0.1574988246	0.8906911142	53	697
Haspelmath-2009-1460-75	2263	MALE (OF ANIMAL)	75	male(1)	2-23	http://wold.clld.org/meaning/2-23	2.23	(of humans, cf. 3.12)	I have ten male and twelve female students.	Adjective	2	0.8678621992	0.189476168	0.8298725814	44	166
Haspelmath-2009-1460-76	2260	FEMALE (OF PERSON)	76	female(1)	2-24	http://wold.clld.org/meaning/2-24	2.24	(of humans, cf. 3.13)	I have ten male and twelve female students.	Adjective	2	0.8553417386	0.1575978766	0.8473788985	44	275
Haspelmath-2009-1460-77	1366	BOY	77	the boy	2-25	http://wold.clld.org/meaning/2-25	2.25	-	One day this boy will grow to be a man.	Noun	2	0.8642857143	0.1696428571	0.7380952381	49	201
Haspelmath-2009-1460-78	76	YOUNG MAN	78	the young man	2-251	http://wold.clld.org/meaning/2-251	2.251	-	The young man was not married.	Noun	2	0.865631068	0.2432038835	0.7398058252	51	189
Haspelmath-2009-1460-79	1646	GIRL	79	the girl	2-26	http://wold.clld.org/meaning/2-26	2.26	-	One day this girl will grow to be a woman.	Noun	2	0.8794050343	0.1424485126	0.76201373	48	103
Haspelmath-2009-1460-80	77	YOUNG WOMAN	80	the young woman	2-261	http://wold.clld.org/meaning/2-261	2.261	-	The young woman was not married.	Noun	2	0.851037851	0.1709401709	0.7578347578	49	325
Haspelmath-2009-1460-81	1304	CHILD (YOUNG HUMAN)	81	the child(1)	2-27	http://wold.clld.org/meaning/2-27	2.27	'young human' (not kinship term) (cf. 2.43)	Many children were playing in the water.	Noun	2	0.8485639687	0.1546997389	0.8929503916	51	351
Haspelmath-2009-1460-82	1289	BABY	82	the baby	2-28	http://wold.clld.org/meaning/2-28	2.28	‘very young human that cannot walk yet’	She's still a baby and can only have milk.	Noun	2	0.7963031423	0.2218114603	0.8059149723	50	1100
Haspelmath-2009-1460-83	1200	HUSBAND	83	the husband	2-31	http://wold.clld.org/meaning/2-31	2.31	-	She married her husband last year.	Noun	2	0.8766932784	0.1998454803	0.8990471285	57	115
Haspelmath-2009-1460-84	1199	WIFE	84	the wife	2-32	http://wold.clld.org/meaning/2-32	2.32	-	He married his wife last year.	Noun	2	0.8466107617	0.1834381551	0.8445143256	59	375
Haspelmath-2009-1460-85	203	MARRY	85	to marry	2-33	http://wold.clld.org/meaning/2-33	2.33	-	She married a man 10 years her junior.	Verb	2	0.8089918256	0.1396457766	0.6934604905	68	924
Haspelmath-2009-1460-86	1259	WEDDING	86	the wedding	2-34	http://wold.clld.org/meaning/2-34	2.34	-	When we were married, a thousand people came to the wedding.	Noun	2	0.8	0.2528089888	0.7584269663	46	1050
Haspelmath-2009-1460-87	1134	DIVORCE	87	the divorce	2-341	http://wold.clld.org/meaning/2-341	2.341	-	After the divorce, he married another woman.	Noun	2	0.7933673469	0.2487244898	0.6492346939	40	1132
Haspelmath-2009-1460-88	1217	FATHER	88	the father	2-35	http://wold.clld.org/meaning/2-35	2.35	-	My father came home late last night.	Noun	2	0.855101035	0.2516017743	0.9637752587	53	276
Haspelmath-2009-1460-89	1216	MOTHER	89	the mother	2-36	http://wold.clld.org/meaning/2-36	2.36	-	My mother came home late last night.	Noun	2	0.8737833595	0.1946624804	0.9481946625	57	130
Haspelmath-2009-1460-90	505	PARENTS	90	the parents	2-37	http://wold.clld.org/meaning/2-37	2.37	-	My parents live in the village.	Noun	2	0.8444444444	0.1172839506	0.6296296296	42	402
Haspelmath-2009-1460-91	424	MARRIED MAN	91	the married man	2-38	http://wold.clld.org/meaning/2-38	2.38	-	As a married man he had more privileges.	Noun	2	0.798615917	0.0467128028	0.615916955	29	1068
Haspelmath-2009-1460-92	426	MARRIED WOMAN	92	the married woman	2-39	http://wold.clld.org/meaning/2-39	2.39	-	As a married woman she had more privileges.	Noun	2	0.7721179625	0.0100536193	0.591152815	30	1310
Haspelmath-2009-1460-93	1620	SON	93	the son	2-41	http://wold.clld.org/meaning/2-41	2.41	-	I have one son and one daughter.	Noun	2	0.8783216783	0.1118881119	0.8671328671	48	110
Haspelmath-2009-1460-94	1357	DAUGHTER	94	the daughter	2-42	http://wold.clld.org/meaning/2-42	2.42	-	I have one son and one daughter.	Noun	2	0.8643478261	0.1173913043	0.847826087	48	200
Haspelmath-2009-1460-95	1479	DOLPHIN	95	the porpoise or dolphin	3-662	http://wold.clld.org/meaning/3-662	3.662	-	-	Noun	3	0.8130434783	0.5543478261	0.9565217391	23	860
Haspelmath-2009-1460-96	1801	CHILD (DESCENDANT)	96	the child(2)	2-43	http://wold.clld.org/meaning/2-43	2.43	‘immediate descendant, son or daughter’ (kinship term) (cf. 2.27)	I have two children, a son and a daughter.	Noun	2	0.8783783784	0.0709459459	0.9297297297	49	109
Haspelmath-2009-1460-97	1262	BROTHER	97	the brother	2-44	http://wold.clld.org/meaning/2-44	2.44	-	I have two brothers, one younger and one older than me.	Noun	2	0.8729418394	0.063270832	0.8088962624	48	136
Haspelmath-2009-1460-98	1759	OLDER BROTHER	98	the older brother	2-444	http://wold.clld.org/meaning/2-444	2.444	-	My older brother is married, but my younger brother still lives at home.	Noun	2	0.8499337304	0.0628418214	0.7863378072	44	336
Haspelmath-2009-1460-99	1760	YOUNGER BROTHER	99	the younger brother	2-445	http://wold.clld.org/meaning/2-445	2.445	-	My older brother is married, but my younger brother still lives at home.	Noun	2	0.8433402405	0.0308275019	0.7309599837	40	418
Haspelmath-2009-1460-100	1263	SISTER	100	the sister	2-45	http://wold.clld.org/meaning/2-45	2.45	-	I have two sisters, one younger and one older than me.	Noun	2	0.8091277949	0.1175146039	0.8148254726	48	922
Haspelmath-2009-1460-101	1758	OLDER SISTER	101	the older sister	2-454	http://wold.clld.org/meaning/2-454	2.454	-	My older sister is married, but my younger sister still lives at home.	Noun	2	0.8221718634	0.0550241773	0.7123736187	43	716
Haspelmath-2009-1460-102	1761	YOUNGER SISTER	102	the younger sister	2-455	http://wold.clld.org/meaning/2-455	2.455	-	My older sister is married, but my younger sister still lives at home.	Noun	2	0.7890636843	0.0111165384	0.6803995217	39	1175
Haspelmath-2009-1460-103	1640	SIBLING	103	the sibling	2-456	http://wold.clld.org/meaning/2-456	2.456	-	I have two siblings, one brother and one sister.	Noun	2	0.846022674	0.1360442237	0.6598894406	39	382
Haspelmath-2009-1460-104	1005	TWINS	104	the twins	2-458	http://wold.clld.org/meaning/2-458	2.458	-	-	Noun	2	0.806374502	0.2300796813	0.7569721116	43	956
Haspelmath-2009-1460-105	1383	GRANDFATHER	105	the grandfather	2-46	http://wold.clld.org/meaning/2-46	2.46	-	My grandfather is 80 years old.	Noun	2	0.8262411348	0.2668439716	0.8271276596	58	666
Haspelmath-2009-1460-106	406	OLD MAN	106	the old man	2-461	http://wold.clld.org/meaning/2-461	2.461	-	That old man looks like my grandfather.	Noun	2	0.8149171271	0.2295119705	0.7536832413	45	828
