"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"RonaTas-2011-512-178"	178	"pelican, Pelicanus"	472	"PELICAN"
"RonaTas-2011-512-179"	179	"polecat, Putorius foetidus"		
"RonaTas-2011-512-180"	180	"polecat, Putorius foetidus"		
"RonaTas-2011-512-181"	181	"matchmaker"		
"RonaTas-2011-512-182"	182	"gleaner mouse, Mus spicilegus"		
"RonaTas-2011-512-183"	183	"to abuse, calumniate"	1953	"ABUSE"
"RonaTas-2011-512-184"	184	"drag-net, a kind of fishing net"		
"RonaTas-2011-512-185"	185	"suspicion, mistrust"	3197	"SUSPICION"
"RonaTas-2011-512-186"	186	"wool"	964	"WOOL"
"RonaTas-2011-512-187"	187	"cotton"	1850	"COTTON"
"RonaTas-2011-512-188"	188	"to increase, to put on weight, to grow stronger"	1041	"INCREASE"
"RonaTas-2011-512-189"	189	"to increase, to put on weight, to grow stronger"	1041	"INCREASE"
"RonaTas-2011-512-190"	190	"poor, frail, feeble"	1674	"POOR"
"RonaTas-2011-512-191"	191	"to produce, build, fabricate"	2886	"PRODUCE"
"RonaTas-2011-512-192"	192	"mourning, bereavement"	3673	"MOURNING"
"RonaTas-2011-512-193"	193	"bulrush, Typha latifolia / angustifolia; matting made of bulrushes"		
"RonaTas-2011-512-194"	194	"weak, feeble"	1601	"WEAK"
"RonaTas-2011-512-195"	195	"rein"		
"RonaTas-2011-512-196"	196	"borderland, hedge"		
"RonaTas-2011-512-197"	197	"lawn,grass-(plot)"	606	"GRASS"
"RonaTas-2011-512-198"	198	"child"	2099	"CHILD"
"RonaTas-2011-512-199"	199	"child"	2099	"CHILD"
"RonaTas-2011-512-200"	200	"candle"	1273	"CANDLE"
"RonaTas-2011-512-201"	201	"hornbeam, Carpinus betulus"		
"RonaTas-2011-512-202"	202	"murder, killer"	845	"MURDER"
"RonaTas-2011-512-203"	203	"weed"	3288	"WEED"
"RonaTas-2011-512-204"	204	"stomach"	819	"STOMACH"
"RonaTas-2011-512-205"	205	"to confess (sins)"		
"RonaTas-2011-512-206"	206	"to confess (sins)"		
"RonaTas-2011-512-207"	207	"cudweed, Gnaphalium; Edelweiss"		
"RonaTas-2011-512-208"	208	"pearl"	3325	"PEARL"
"RonaTas-2011-512-209"	209	"to torture, to make suffer"	1952	"TORTURE"
"RonaTas-2011-512-210"	210	"to conquer (somebody, something), triumph (over somebody, something), gain victory"	3849	"TRIUMPH"
"RonaTas-2011-512-211"	211	"to catch fire, be kindled, to be ignited"		
"RonaTas-2011-512-212"	212	"to knead, pug"	274	"KNEAD"
"RonaTas-2011-512-213"	213	"to assemble, gather"	7	"GATHER"
"RonaTas-2011-512-214"	214	"to collect,gather something"		
"RonaTas-2011-512-215"	215	"to hate"	1607	"HATE"
"RonaTas-2011-512-216"	216	"fruit"	1507	"FRUIT"
"RonaTas-2011-512-217"	217	"hawthorn, a plant similar to the whitethorn, or elder"	1168	"HAWTHORN"
"RonaTas-2011-512-218"	218	"a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea"		
"RonaTas-2011-512-219"	219	"ring"	1374	"RING"
