ID	NUMBER	DUTCH	ENGLISH	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS	TYPE	DUTCH_CATEGORY	DUTCH_AROUSAL_MEAN	DUTCH_VALENCE_MEAN	DUTCH_TABOO_GENERAL_MEAN	DUTCH_TABOO_PERSONAL_MEAN	DUTCH_INSULT_MEAN
Roest-2018-672-55	55	cruise	cruise	cruise			N	Positive	pos low arousal	2.66	4.98	1	01.03	1
Roest-2018-672-56	56	dapper	brave/ courageous	dapper	3	BRAVE	A	Positive	pos high arousal	3.14	5.53	01.08	1	1
Roest-2018-672-57	57	debiel	moron/ mentally retarded	debiel			A	Taboo	taboo	3.73	2.44	2.75	2.29	3.59
Roest-2018-672-58	58	degelijk	solid/well-made	degelijk	3003	SOLID	A	Positive	pos low arousal	2.32	4.16	1.13	01.06	1.18
Roest-2018-672-59	59	depressief	depressed	depressief	3973	DEPRESSED	A	Negative	neg low arousal	2.95	2.12	3.23	2.16	1.92
Roest-2018-672-60	60	dictator	dictator	dictator			N	Negative	neg high arousal	3.5	2.3	2.61	2.15	2.92
Roest-2018-672-61	61	diefstal	theft	diefstal			N	Negative	neg high arousal	3.32	2.37	2.36	2.1	1.49
Roest-2018-672-62	62	dikke pad	lit. fat toad	dikke pad			A	Taboo	taboo	3	2.98	02.05	1.85	2.84
Roest-2018-672-63	63	dikzak	approx. fatty/ fatso/ fatguy/ lit. fat sack	dikzak			N	Taboo	taboo	3.77	2.14	03.03	2.66	4.34
Roest-2018-672-64	64	dildo	dildo	dildo			N	Taboo	taboo	04.05	3.56	4.26	3.22	1.69
Roest-2018-672-65	65	doden	to kill/ killing	doden	1417	KILL	V	Negative	neg high arousal	4	02.02	03.08	2.51	1.84
Roest-2018-672-66	66	dolgraag	very willingly/ very gladly	dolgraag			A	Positive	pos high arousal	3.52	5.74	01.09	01.03	01.02
Roest-2018-672-67	67	dom	dumb/ stupid	dom	1518	STUPID	A	Taboo	taboo	3.2	2.84	2.24	1.91	3.62
Roest-2018-672-68	68	dood	death/ dead	dood	1625	DEAD	A	Negative	neg low arousal	3.59	1.81	3	2.25	1.76
Roest-2018-672-69	69	doodsangst	agony/ mortal fear	doodsangst			N	Negative	neg high arousal	4	2.14	2.17	1.89	1.2
Roest-2018-672-70	70	doodskist	coffin	doodskist	2011	COFFIN	N	Negative	neg low arousal	3.11	2.28	2.37	1.99	1.33
Roest-2018-672-71	71	doof	deaf	doof	996	DEAF	A	Negative	neg low arousal	2.5	3.14	1.54	1.32	1.53
Roest-2018-672-72	72	doofpot	cover-up (lit. deaf pot/ extinguish pot)	doofpot			N	Negative	neg low arousal	2.68	3.28	1.92	1.68	1.33
Roest-2018-672-73	73	dor	barren	dor			A	Negative	neg low arousal	2.16	3.3	1.2	1.16	1.31
Roest-2018-672-74	74	down	down	down	1326	DOWN	A	Negative	neg low arousal	2.5	2.74	2.11	1.72	2.21
Roest-2018-672-75	75	drol	turd	drol			N	Taboo	taboo	03.02	3.3	2.3	1.87	1.74
Roest-2018-672-76	76	duivel	devil	duivel	3917	DEVIL	N	Negative	neg high arousal	3.55	2.44	2.83	02.01	2.64
Roest-2018-672-77	77	dwang	coercion/ forced	dwang			N	Negative	neg high arousal	3.27	2.58	02.08	1.95	1.57
Roest-2018-672-78	78	eenzaam	lonely	eenzaam			A	Negative	neg low arousal	2.64	2.42	2.52	02.07	1.77
Roest-2018-672-79	79	eikel	dickhead/ acorn/ glans penis	eikel			N	Taboo	taboo	3.32	2.28	2.82	2.14	3.37
Roest-2018-672-80	80	energie	energy	energie			N	Positive	pos high arousal	3.52	4.91	01.03	01.01	01.01
Roest-2018-672-81	81	energiek	energetic	energiek	3972	EXCITED	A	Positive	pos high arousal	3.48	5.3	01.02	1	01.01
Roest-2018-672-82	82	engel	angel	engel			N	Positive	pos low arousal	2.34	5.35	1.3	01.08	01.06
Roest-2018-672-83	83	enthousiast	enthusiastic/ eager	enthousiast	3972	EXCITED	A	Positive	pos high arousal	3.91	5.88	1	1	01.03
Roest-2018-672-84	84	erectie	erection	erectie			N	Taboo	taboo	04.05	4.21	3.84	2.78	1.32
Roest-2018-672-85	85	erotisch	erotic	erotisch			A	Taboo	taboo	04.02	4.67	3.44	2.43	1.23
Roest-2018-672-86	86	evenwichtig	well-balanced	evenwichtig			A	Positive	pos low arousal	2.23	4.6	01.03	01.01	01.01
Roest-2018-672-87	87	executie	execution	executie			N	Negative	neg high arousal	04.05	02.02	3.21	2.76	1.69
Roest-2018-672-88	88	ezel	donkey	ezel	1862	DONKEY	N	Neutral	mammal	2.52	3.7	1.31	1.21	2.23
Roest-2018-672-89	89	fazant	pheasant	fazant	3060	PHEASANT	N	Neutral	bird	2.27	4.14	01.01	01.01	01.03
Roest-2018-672-90	90	feest	party	feest	131	FESTIVAL	N	Positive	pos high arousal	3.86	5.91	1.1	01.05	1
Roest-2018-672-91	91	feesten	to party	feesten			N	Positive	pos high arousal	3.89	5.77	1.14	01.09	01.06
Roest-2018-672-92	92	fiets	bicycle	fiets	747	BICYCLE	N	Neutral	vehicle	2.52	4.14	1	1	1
Roest-2018-672-93	93	flauw	bland/ faint/ dull	flauw			A	Negative	neg low arousal	2.3	3.42	1.2	1.1	1.49
Roest-2018-672-94	94	fles	bottle	fles	1321	BOTTLE	N	Neutral	kitchen	2.16	4.12	01.03	01.01	01.01
Roest-2018-672-95	95	flikker	faggot	flikker			N	Taboo	taboo	04.05	2.19	04.03	3.11	4.53
Roest-2018-672-96	96	fluweel	velvet	fluweel			N	Positive	pos low arousal	2.25	4.63	01.01	01.03	01.05
Roest-2018-672-97	97	fobie	phobia	fobie			N	Negative	neg high arousal	3.5	2.95	2.38	1.63	1.34
Roest-2018-672-98	98	fornuis	stove/ furnace	fornuis	859	STOVE	N	Neutral	kitchen	2.14	4.14	01.03	1	01.01
Roest-2018-672-99	99	framboos	raspberry	framboos	3803	RASPBERRY	N	Neutral	fruit	2.2	4.74	1	1	1
Roest-2018-672-100	100	freak	freak	freak			N	Taboo	taboo	3.57	2.65	2.37	2.14	3.62
Roest-2018-672-101	101	frustratie	frustration	frustratie			N	Negative	neg high arousal	3.36	2.93	1.54	1.38	1.21
Roest-2018-672-102	102	fuck	fuck	fuck	549	COPULATE	A	Taboo	taboo	3.84	3.12	3.15	1.92	1.94
Roest-2018-672-103	103	fuckface	fuckface	fuckface			N	Taboo	taboo	4	2.26	3.98	03.09	4.13
Roest-2018-672-104	104	futloos	drained/ no energy	futloos			A	Negative	neg low arousal	1.95	03.02	1.34	1.25	1.66
Roest-2018-672-105	105	futon	futon/ couch	futon	3099	SOFA	N	Neutral	livingroom	2.23	04.09	01.07	01.06	01.06
Roest-2018-672-106	106	garde	whisk/ guard	garde			N	Neutral	kitchen	2.3	04.09	01.05	01.05	01.02
Roest-2018-672-107	107	gay	gay	gay			N	Taboo	taboo	3.55	3.14	3.75	2	3.36
Roest-2018-672-108	108	gebak	cake/ pastry	gebak	2408	CAKE	N	Positive	pos low arousal	2.64	4.98	1	1	1
Roest-2018-672-109	109	geboorte	birth	geboorte	2805	BIRTH (ACCOUCHEMENT)	N	Positive	pos high arousal	3.18	5.65	1.22	01.09	1
Roest-2018-672-110	110	geduldig	patient	geduldig	3884	PATIENT	A	Positive	pos low arousal	1.98	5.19	01.01	1	1
Roest-2018-672-111	111	geil	horny	geil			A	Taboo	taboo	4.52	4.44	3.92	2.76	1.59
Roest-2018-672-112	112	geitenneuker	lit. goat fucker	geitenneuker			N	Taboo	taboo	04.05	1.79	4.85	04.06	05.06
Roest-2018-672-113	113	gejuich	cheering	gejuich			N	Positive	pos high arousal	3.45	5.37	01.05	01.01	1
Roest-2018-672-114	114	gevaar	danger	gevaar	1810	DANGER	N	Negative	neg high arousal	3.41	2.81	1.44	1.34	1.21
Roest-2018-672-115	115	gier	vulture	gier	1185	VULTURE	N	Neutral	bird	2.75	3.26	1.61	1.47	02.07
Roest-2018-672-116	116	giraf	giraffe	giraf	3089	GIRAFFE	N	Neutral	mammal	2.57	4.23	1	01.01	1.11
Roest-2018-672-117	117	glas	glas	glas			N	Neutral	kitchen	2.2	04.05	1	1	1
Roest-2018-672-118	118	gleuf	lit. trench/ slit/ also used as slang for vagina	gleuf			N	Taboo	taboo	2.86	3.93	1.79	1.6	1.17
Roest-2018-672-119	119	godver	god damn	godver			N	Taboo	taboo	3.75	2.47	3.38	2.51	2.51
Roest-2018-672-120	120	godverdomme	god damnit	godverdomme			A	Taboo	taboo	3.82	2.12	3.69	2.64	2.91
Roest-2018-672-121	121	golf	golf (sport)/ wave	golf			N	Neutral	sport	2.41	04.09	01.01	1	01.01
Roest-2018-672-122	122	gordijn	curtain	gordijn	2621	CURTAIN	N	Neutral	livingroom	2.16	04.09	1	1	01.03
Roest-2018-672-123	123	graf	grave	graf	1773	GRAVE	N	Negative	neg low arousal	03.09	2.42	1.86	1.66	1.38
Roest-2018-672-124	124	grafhoer	lit. grave whore	grafhoer			N	Taboo	taboo	4.86	1.56	5.14	4.55	5.76
Roest-2018-672-125	125	grafzooi	lit. grave mess	grafzooi			N	Taboo	taboo	3.8	2.26	2.86	2.43	2.61
Roest-2018-672-126	126	grapefruit	grapefruit	grapefruit	3804	GRAPEFRUIT OR POMELO	N	Neutral	fruit	2.16	4.28	1	1	1
Roest-2018-672-127	127	grasmaaier	lawn mower	grasmaaier			N	Neutral	tool	2.36	04.07	01.01	01.01	01.08
Roest-2018-672-128	128	grauw	bleak	grauw			A	Negative	neg low arousal	2.18	2.98	1.3	1.18	1.57
Roest-2018-672-129	129	greppelslet	lit. ditch slut	greppelslet			N	Taboo	taboo	4.57	1.58	4.86	4.1	5.49
Roest-2018-672-130	130	griezel	creep	griezel			N	Taboo	taboo	3.57	2.88	02.02	1.74	2.95
Roest-2018-672-131	131	gruwel	abomination/ horror	gruwel			N	Negative	neg high arousal	3.25	2.65	1.69	1.56	1.95
Roest-2018-672-132	132	haan	rooster	haan	1511	ROOSTER	N	Neutral	bird	2.43	3.98	01.01	1	01.05
Roest-2018-672-133	133	haat	hate	haat	1607	HATE	V	Negative	neg high arousal	3.84	2.35	2.26	1.99	1.99
Roest-2018-672-134	134	halvezool	idiot/ lit. half sole	halvezool			A	Taboo	taboo	3.18	3	02.07	1.7	2.89
Roest-2018-672-135	135	hamer	hammer	hamer	1481	HAMMER	N	Neutral	tool	2.23	3.88	01.03	1	1
Roest-2018-672-136	136	hamster	hamster	hamster	3147	HAMSTER	N	Neutral	mammal	2.61	4.35	1	1	1.13
Roest-2018-672-137	137	handbal	handball	handbal			N	Neutral	sport	2.84	4.12	01.01	1	1
Roest-2018-672-138	138	handdoek	towel	handdoek	1021	TOWEL	N	Neutral	kitchen	2	4.12	1	1	1
Roest-2018-672-139	139	hardlopen	to jog/to run	hardlopen	1519	RUN	V	Neutral	sport	3.16	4.23	01.06	01.07	01.01
Roest-2018-672-140	140	hartstocht	passion	hartstocht			N	Positive	pos high arousal	3.7	5.35	1.32	1.2	01.01
Roest-2018-672-141	141	hartstochtelijk	passionate	hartstochtelijk	1880	PASSIONATE	A	Positive	pos high arousal	3.75	5.4	1.37	1.28	01.08
Roest-2018-672-142	142	heilzaam	beneficial	heilzaam			A	Positive	pos low arousal	2.45	4.4	01.09	01.03	1
Roest-2018-672-143	143	hel	hell	hel	878	HELL	N	Negative	neg high arousal	3.43	2.14	2.71	1.74	1.77
Roest-2018-672-144	144	held	hero	held			N	Positive	pos high arousal	3.23	5.6	01.03	01.01	1
Roest-2018-672-145	145	helikopter	helicopter	helikopter	2580	HELICOPTER	N	Neutral	vehicle	2.5	4.16	1	1	1
Roest-2018-672-146	146	helpen	to help	helpen	1897	HELP	V	Positive	pos high arousal	2.86	5.56	1.14	01.01	1
Roest-2018-672-147	147	hemd	undershirt/ tanktop	hemd			N	Neutral	clothing	2.25	4.12	01.03	01.03	1
Roest-2018-672-148	148	hero•nehoer	lit. heroin whore	heroïnehoer			N	Taboo	taboo	4.55	1.56	5.3	4.59	5.71
Roest-2018-672-149	149	herpes	herpes	herpes			N	Taboo	taboo	3.91	2.19	4.46	3.47	2.61
Roest-2018-672-150	150	hert	deer	hert	1936	DEER	N	Neutral	mammal	2.55	4.37	1	1	01.01
Roest-2018-672-151	151	hielenlikker	bootlicker/ ass kisser	hielenlikker			N	Taboo	taboo	3.39	2.37	2.77	2.34	3.8
Roest-2018-672-152	152	hitsig	horny/ heated	hitsig			A	Taboo	taboo	4	04.07	03.03	2.34	1.62
Roest-2018-672-153	153	hoed	hate	hoed	3749	HATE (LOATHING)	N	Neutral	clothing	2.27	04.09	1	1	1
Roest-2018-672-154	154	hoer	whore	hoer	1610	PROSTITUTE	N	Taboo	taboo	4.43	1.91	4.78	3.69	5.23
Roest-2018-672-155	155	homo	homosexual	homo			N	Taboo	taboo	3.48	3.53	3.53	1.62	03.07
Roest-2018-672-156	156	homofiel	homosexualĘ	homofiel			A	Taboo	taboo	3.55	3.28	3.84	2.29	03.09
Roest-2018-672-157	157	hond	dog	hond	2009	DOG	N	Neutral	mammal	2.84	4.84	01.06	01.01	1.41
Roest-2018-672-158	158	hondelul	lit. dog penis approx. bastard	hondelul			N	Taboo	taboo	3.93	2.23	3.66	2.99	4.22
Roest-2018-672-159	159	houtklem	clamp	houtklem			N	Neutral	tool	2.14	4	01.06	1	1
Roest-2018-672-160	160	houweel	pickaxe	houweel			N	Neutral	tool	2.36	3.98	01.01	1	1
Roest-2018-672-161	161	hovercraft	hovercraft	hovercraft			N	Neutral	vehicle	2.98	4.26	1.16	1.14	01.09
Roest-2018-672-162	162	hufter	approx. asshole	hufter			N	Taboo	taboo	3.84	2.28	2.8	2.37	3.87
Roest-2018-672-163	163	humor	humour	humor			N	Positive	pos high arousal	3.48	5.98	01.02	1	1
Roest-2018-672-164	164	huppelkut	lit. frolicing vagina	huppelkut			N	Taboo	taboo	3.91	2.28	3.53	2.75	04.02
Roest-2018-672-165	165	huwelijk	wedding	huwelijk	1259	WEDDING	N	Positive	pos high arousal	3.2	5.42	1.17	1.15	01.03
Roest-2018-672-166	166	idioot	idiot	idioot			A	Taboo	taboo	3.39	2.74	2.37	02.02	3.24
Roest-2018-672-167	167	ijshockey	ice hockey	ijshockey			N	Neutral	sport	2.89	4.3	01.06	01.03	1
Roest-2018-672-168	168	imbiciel	imbecile	imbiciel			N	Taboo	taboo	3.68	2.16	03.01	2.54	4.16
Roest-2018-672-169	169	inbraak	burglary	inbraak			N	Negative	neg high arousal	3.7	2.51	02.01	1.72	1.28
Roest-2018-672-170	170	incest	incest	incest			N	Taboo	taboo	4.41	1.77	5.51	4.63	03.09
Roest-2018-672-171	171	incompetent	incompetent	incompetent			A	Negative	neg low arousal	3	2.6	2.68	2.17	2.97
Roest-2018-672-172	172	intiem	intimate	intiem			A	Positive	pos high arousal	04.02	5.35	2.17	1.51	1.1
Roest-2018-672-173	173	invalide	invalid	invalide			A	Negative	neg low arousal	2.73	3	1.91	1.41	2.17
Roest-2018-672-174	174	jaloers	jealous	jaloers	2821	JEALOUS	A	Negative	neg high arousal	3.55	2.88	2.45	2.12	02.09
Roest-2018-672-175	175	jaloezie	jealousy	jaloezie	2016	JEALOUSY	N	Negative	neg high arousal	3.41	2.56	2.53	02.01	1.79
Roest-2018-672-176	176	jas	coat	jas	603	COAT	N	Neutral	clothing	2.32	4.14	1	1	1
Roest-2018-672-177	177	jasmijn	jasmine	jasmijn			N	Positive	pos low arousal	2.18	4.47	01.09	01.08	1
Roest-2018-672-178	178	jeans	jeans	jeans			N	Neutral	clothing	2.34	4.37	01.01	1	1
Roest-2018-672-179	179	jeep	jeep	jeep			N	Neutral	vehicle	2.48	04.09	01.03	1	1
Roest-2018-672-180	180	jezus	jezus	jezus			N	Taboo	taboo	3.3	3.86	2.17	1.54	1.72
Roest-2018-672-181	181	jogging	jogging	jogging			N	Neutral	clothing	2.66	4.23	01.01	1	1
Roest-2018-672-182	182	judo	judo	judo			N	Neutral	sport	2.8	04.09	01.06	1	01.05
Roest-2018-672-183	183	juichen	to cheer	juichen			V	Positive	pos high arousal	3.5	5.51	01.07	01.01	1
Roest-2018-672-184	184	jurk	dress	jurk	474	DRESS	N	Neutral	clothing	2.55	4.56	01.03	1	01.02
Roest-2018-672-185	185	kabinet	cabinet/ government	kabinet			N	Neutral	livingroom	2.5	3.86	1.11	01.02	1
Roest-2018-672-186	186	kalkoen	turkey	kalkoen	2386	TURKEY	N	Neutral	bird	2.43	4.19	01.07	01.01	1.15
Roest-2018-672-187	187	kalm	calm	kalm	258	CALM	A	Positive	pos low arousal	1.64	4.81	01.09	01.02	01.02
Roest-2018-672-188	188	kampioen	champion	kampioen			N	Positive	pos high arousal	3.2	5.67	1	01.02	1
Roest-2018-672-189	189	kanarie	canary	kanarie			N	Neutral	bird	2.34	4.19	1	1	01.02
Roest-2018-672-190	190	kangoeroe	kangaroo	kangoeroe	164	KANGAROO	N	Neutral	mammal	2.57	4.42	01.02	01.03	01.06
Roest-2018-672-191	191	kanker	cancer	kanker			N	Taboo	taboo	4.95	1.35	4.67	4.29	4.59
Roest-2018-672-192	192	kankerhoer	lit. cancer whore	kankerhoer			N	Taboo	taboo	5.41	1.19	5.87	5.66	6.48
Roest-2018-672-193	193	kankerkind	lit. cancer child	kankerkind			N	Taboo	taboo	5.52	01.07	5.99	5.66	6.55
Roest-2018-672-194	194	kankerlijer	lit. to have cancer/ person with cancer	kankerlijer			N	Taboo	taboo	5.59	1.28	5.93	5.6	6.3
Roest-2018-672-195	195	kapstok	coat stand	kapstok			N	Neutral	livingroom	02.09	04.09	1	1	1
Roest-2018-672-196	196	kar	cart	kar	122	CART	N	Neutral	vehicle	2.32	04.02	01.02	1	01.01
Roest-2018-672-197	197	karkas	carcass	karkas	1770	CARCASS	N	Negative	neg low arousal	2.93	3.33	1.57	1.38	1.31
Roest-2018-672-198	198	kast	closet/ cabinet	kast	3357	CUPBOARD	N	Neutral	livingroom	2.2	4.14	01.05	01.07	1
Roest-2018-672-199	199	kat	cat	kat	1208	CAT	N	Neutral	mammal	2.7	4.49	01.08	01.07	01.07
Roest-2018-672-200	200	kerkhof	cemetery	kerkhof	3284	GRAVEYARD	N	Negative	neg low arousal	3.14	2.72	1.8	1.6	1.21
Roest-2018-672-201	201	kernbom	nuclear bomb	kernbom			N	Negative	neg high arousal	3.93	02.07	2.75	2.3	1.43
Roest-2018-672-202	202	kers	cherry	kers	2765	CHERRY	N	Neutral	fruit	2.16	4.44	1	1	1
Roest-2018-672-203	203	kinky	kinky	kinky			A	Taboo	taboo	3.93	04.05	3.78	2.68	1.47
Roest-2018-672-204	204	kip	chicken	kip	1318	CHICKEN	N	Neutral	bird	2.52	4.23	01.08	01.03	1.1
Roest-2018-672-205	205	kist	chest	kist	3150	BOX OR CHEST	N	Neutral	livingroom	2.32	3.7	1.3	1.25	01.06
Roest-2018-672-206	206	kiwi	kiwi	kiwi	3247	KIWIFRUIT	N	Neutral	fruit	02.07	4.33	1	1	01.02
Roest-2018-672-207	207	klaarkomen	climaxing (sexually)	klaarkomen			V	Taboo	taboo	4.43	4.77	3.99	2.86	1.22
Roest-2018-672-208	208	kleed	carpet/ rug	kleed	292	RUG	V	Neutral	livingroom	02.09	4.12	01.03	1	1
Roest-2018-672-209	209	klerelijer	person with cholera	klerelijer			N	Taboo	taboo	4.3	02.07	3.82	3.2	4.7
Roest-2018-672-210	210	kleurloos	colorless	kleurloos			A	Negative	neg low arousal	2.18	3.51	1.2	1.14	1.56
Roest-2018-672-211	211	klote	approx. shit/ this sucks	klote			A	Taboo	taboo	3.39	2.74	2.57	1.84	2.13
Roest-2018-672-212	212	knoflook	garlic	knoflook	2368	GARLIC	N	Neutral	vegetable	2.34	4.12	1.17	01.05	1
Roest-2018-672-213	213	knus	cozy	knus			A	Positive	pos low arousal	2.86	5.42	01.03	01.02	01.03
Roest-2018-672-214	214	koe	cow	koe	1007	COW	N	Neutral	mammal	2.39	04.07	01.02	01.02	1.72
Roest-2018-672-215	215	koekoek	cuckoo	koekoek	2934	CUCKOO	N	Neutral	bird	2.66	4.28	1.14	01.06	1.34
Roest-2018-672-216	216	koelkast	refrigerator	koelkast	3952	REFRIGERATOR	N	Neutral	kitchen	2.25	4.26	1	01.08	1
Roest-2018-672-217	217	koets	coach	koets			N	Neutral	vehicle	2.55	4.4	01.06	01.03	1
Roest-2018-672-218	218	koevoet	crowbar	koevoet			N	Neutral	tool	2.36	3.77	1.16	01.06	01.03
Roest-2018-672-219	219	koffiezetapparaat	coffee machine	koffiezetapparaat			N	Neutral	kitchen	2.2	4.21	01.02	1	1
