ID	NUMBER	BASQUE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Forni-2013-201-58	58	izar	star	1430	STAR
Forni-2013-201-59	59	jakin	to know	1410	KNOW (SOMETHING)
Forni-2013-201-60	60	jan	to eat	1336	EAT
Forni-2013-201-61	61	jaugin	to come	1446	COME
Forni-2013-201-62	62	ja(i)tsi / jau(t)si / jeutsi	to fall, descend	2014	GO DOWN, DESCEND
Forni-2013-201-63	63	joan	to go	695	GO
Forni-2013-201-64	64	lo	sleep	1585	SLEEP
Forni-2013-201-65	65	lur	earth, land, soil, dirt	1228	EARTH (SOIL)
Forni-2013-201-66	66	mehe	thin	1400	THIN (SLIM)
Forni-2013-201-67	67	mendi	mountain	639	MOUNTAIN
Forni-2013-201-68	68	neska	girl	1646	GIRL
Forni-2013-201-69	69	ni	I	1209	I
Forni-2013-201-70	70	no-	interrogative stem		
Forni-2013-201-71	71	on	good	1035	GOOD
Forni-2013-201-72	72	oro	all	98	ALL
Forni-2013-201-73	73	oso	total, whole, entire	2277	WHOLE
Forni-2013-201-74	74	hotz	cold	1287	COLD
Forni-2013-201-75	75	sehi / sein	boy, child	2391	BOY OR SON
Forni-2013-201-76	76	sei	six	1703	SIX
Forni-2013-201-77	77	su	fire	221	FIRE
Forni-2013-201-78	78	sudur	nose	1221	NOSE
Forni-2013-201-79	79	txori / xori	bird	937	BIRD
Forni-2013-201-80	80	ur	water	948	WATER
Forni-2013-201-81	81	zazpi	seven	1704	SEVEN
Forni-2013-201-82	82	zingira	lake, swamp	624	LAKE
Forni-2013-201-83	83	zorri	louse	1392	LOUSE
Forni-2013-201-84	84	zu	you	1213	YOU
Forni-2013-201-85	85	zulo	hole	1667	HOLE
Forni-2013-201-86	86	zur	wood	1803	WOOD
Forni-2013-201-87	87	hatz	paw, footprint, finger	1303	FINGER
Forni-2013-201-88	88	haur	child	2099	CHILD
Forni-2013-201-89	89	ile / ule	hair, fur, wool	2381	FEATHER OR FUR OR HAIR
Forni-2013-201-90	90	larru	skin	763	SKIN
Forni-2013-201-91	91	lau(r)	four	1500	FOUR
Forni-2013-201-92	92	luze	long	1203	LONG
Forni-2013-201-93	93	oin	foot, leg	2098	LEG OR FOOT
Forni-2013-201-94	94	alu	vulva, vagina	1837	VULVA
Forni-2013-201-95	95	orri	leaf	628	LEAF
Forni-2013-201-96	96	ama	mother	1216	MOTHER
Forni-2013-201-97	97	argal	thin	2308	THIN
Forni-2013-201-98	98	arrats	early evening, late afternoon	1629	EVENING
Forni-2013-201-99	99	atso	old woman	907	OLD WOMAN
Forni-2013-201-100	100	eke / ke(i)	smoke	778	SMOKE (EXHAUST)
Forni-2013-201-101	101	ele	word, conversation	1599	WORD
Forni-2013-201-102	102	erle	bee	665	BEE
Forni-2013-201-103	103	eho / erho / ero	to kill	1417	KILL
Forni-2013-201-104	104	handi	big	1202	BIG
Forni-2013-201-105	105	herio	death	910	DEATH
Forni-2013-201-106	106	hil	dead; to die, kill	1494	DIE
Forni-2013-201-107	107	hilabete / hilargi / ilargi	month / moon	2463	MOON OR MONTH
Forni-2013-201-108	108	labur	short	1645	SHORT
Forni-2013-201-109	109	uzki	anus	1935	ANUS
Forni-2013-201-110	110	egun	day, today	1283	TODAY
Forni-2013-201-111	111	hamar	ten	1515	TEN
Forni-2013-201-112	112	mi, mihi, min	tongue	1205	TONGUE
Forni-2013-201-113	113	behe	below, bottom	690	BOTTOM
Forni-2013-201-114	114	es(e)ne / ezne	milk	635	MILK (FLUID)
Forni-2013-201-115	115	min	pain	1783	PAIN
Forni-2013-201-116	116	ugatz	female breast	1402	BREAST
Forni-2013-201-117	117	hi	thou	1215	THOU
Forni-2013-201-118	118	hiru(r)	three	492	THREE
Forni-2013-201-119	119	adar	horn	1393	HORN (KERATINIZED SKIN)
Forni-2013-201-120	120	buru	head	1256	HEAD
Forni-2013-201-121	121	eri	sick, ill	1847	SICK
Forni-2013-201-122	122	euli	fly (noun)	1504	FLY (INSECT)
Forni-2013-201-123	123	haserre	angry; anger	2223	BE ANGRY
Forni-2013-201-124	124	hau(-) / hon-	this	1214	THIS
Forni-2013-201-125	125	haie- / har- / hor- / hura	that	78	THAT
Forni-2013-201-126	126	odol	blood	946	BLOOD
Forni-2013-201-127	127	alaba	daughter	1357	DAUGHTER
Forni-2013-201-128	128	arreba	sister (of a man)	562	SISTER (OF WOMAN)
Forni-2013-201-129	129	barrabil	testicle	797	TESTICLES
Forni-2013-201-130	130	bearri / beharri / belarri	ear	1247	EAR
Forni-2013-201-131	131	neba	brother of a woman	559	BROTHER (OF MAN)
Forni-2013-201-132	132	andere	lady, woman	962	WOMAN
Forni-2013-201-133	133	belaun	knee	1371	KNEE
Forni-2013-201-134	134	eri	finger	1303	FINGER
Forni-2013-201-135	135	gazte	young; young person	1207	YOUNG
Forni-2013-201-136	136	gordin	raw	1959	RAW
Forni-2013-201-137	137	inurri / zinaurri	ant	587	ANT
Forni-2013-201-138	138	izaba / ize(b)a / izoa	aunt	1272	AUNT
Forni-2013-201-139	139	motz, mutx-, mutz-	vulva	1837	VULVA
Forni-2013-201-140	140	osaba, ose(b)a	uncle	1327	UNCLE
Forni-2013-201-141	141	sartu	to go in, enter, insert	749	ENTER
Forni-2013-201-142	142	sortu	to be born	1090	BE BORN
Forni-2013-201-143	143	ahizpa / aizpa, aizta	sister (of a woman)	562	SISTER (OF WOMAN)
Forni-2013-201-144	144	baso	woods, forest	420	FOREST
Forni-2013-201-145	145	bat / bede-	one	1493	ONE
Forni-2013-201-146	146	begi / bet-	eye	1248	EYE
Forni-2013-201-147	147	bete	to fill	2006	FILL
Forni-2013-201-148	148	bihotz	heart	1223	HEART
Forni-2013-201-149	149	bortz, bost	five	493	FIVE
Forni-2013-201-150	150	egosi	to boil, cook	1100	COOK (SOMETHING)
Forni-2013-201-151	151	esku	hand	1277	HAND
Forni-2013-201-152	152	euskara	Basque language	1307	LANGUAGE
Forni-2013-201-153	153	haize	wind	960	WIND
Forni-2013-201-154	154	haritz	oak	644	OAK
Forni-2013-201-155	155	ega(l) / hega(l)	wing	1257	WING
Forni-2013-201-156	156	er(t)ze / este / her(t)ze	intestine	1991	INTESTINES
Forni-2013-201-157	157	huts	mistake, absence	1293	MISTAKE
Forni-2013-201-158	158	izeki	to burn	2102	BURN
Forni-2013-201-159	159	izen / uzen	name	1405	NAME
Forni-2013-201-160	160	lan	work	984	WORK (CRAFT, LABOUR)
Forni-2013-201-161	161	mamutz	insect	620	INSECT
Forni-2013-201-162	162	ortzi, ortze / ost-	sky, storm, thunder; sky god	1732	SKY
Forni-2013-201-163	163	oste	back	1291	BACK
Forni-2013-201-164	164	uko	forearm	446	LOWER ARM
Forni-2013-201-165	165	-kume / ume	child / offspring	1801	CHILD (DESCENDANT)
Forni-2013-201-166	166	zahar	old	1229	OLD
Forni-2013-201-167	167	ze- / zer-	interrogative stem		
Forni-2013-201-168	168	arrai(n)	fish	227	FISH
Forni-2013-201-169	169	azal	skin, bark	2127	SKIN OR BARK
Forni-2013-201-170	170	azpi	bottom; below	690	BOTTOM
Forni-2013-201-171	171	barne / barru	inside	1606	INSIDE
Forni-2013-201-172	172	bedar / belar / berar	grass	606	GRASS
Forni-2013-201-173	173	beldur	fear	781	FEAR (FRIGHT)
Forni-2013-201-174	174	bihur	crooked, curved	297	CROOKED
Forni-2013-201-175	175	bizkar	back	1291	BACK
Forni-2013-201-176	176	bular	female breast	1402	BREAST
Forni-2013-201-177	177	eder	beautiful	1427	BEAUTIFUL
Forni-2013-201-178	178	erdi	middle, centre	1093	MIDDLE
Forni-2013-201-179	179	ezpain	lip	478	LIP
Forni-2013-201-180	180	gau	night	1233	NIGHT
Forni-2013-201-181	181	guti	little, few	1246	SMALL
Forni-2013-201-182	182	guzi / guzti	all	98	ALL
Forni-2013-201-183	183	hagin	tooth (molar)	1380	TOOTH
Forni-2013-201-184	184	aar / har	worm	1219	WORM
Forni-2013-201-185	185	haragi	meat	634	MEAT
Forni-2013-201-186	186	higuin	disgust	2465	DISGUST
Forni-2013-201-187	187	hodei	cloud	1489	CLOUD
Forni-2013-201-188	188	irri	malignant smile, laugh	1355	LAUGH
Forni-2013-201-189	189	itzal	shade, shadow, shady	1388	SHADE
Forni-2013-201-190	190	jo	to hit, strike, beat	1433	HIT
Forni-2013-201-191	191	nahi	desire	2117	DESIRE
Forni-2013-201-192	192	oihan	forest	420	FOREST
Forni-2013-201-193	193	suge	snake	730	SNAKE
Forni-2013-201-194	194	uh(a)in	wave	978	WAVE
Forni-2013-201-195	195	usain	smell	2124	SMELL
Forni-2013-201-196	196	zabal	wide	1243	WIDE
Forni-2013-201-197	197	zakil	penis	1222	PENIS
Forni-2013-201-198	198	ze(he)	small, tiny	1246	SMALL
Forni-2013-201-199	199	zikin	dirty, filth	1230	DIRTY
Forni-2013-201-200	200	zortzi	eight	1705	EIGHT
Forni-2013-201-201	201	zuri	white	1335	WHITE
