ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	LEXIBANK_GLOSS
Marrison-1967-917-215	215	each	3416	EVERY (EACH)	each
Marrison-1967-917-216	216	eagle	1905	EAGLE	eagle
Marrison-1967-917-217	217	ear	1247	EAR	ear
Marrison-1967-917-218	218	early	672	EARLY	early
Marrison-1967-917-219	219	earring	770	EARRING	earring
Marrison-1967-917-220	220	earth	965	WORLD	earth
Marrison-1967-917-221	221	earthquake	6	EARTHQUAKE	earthquake
Marrison-1967-917-222	222	east	1877	EAST	east
Marrison-1967-917-223	223	easy	686	EASY	easy
Marrison-1967-917-224	224	to eat	1336	EAT	eat//to eat
Marrison-1967-917-225	225	egg	744	EGG	egg//egg ("bird-egg")//hen's egg
Marrison-1967-917-226	226	eight	1705	EIGHT	eight
Marrison-1967-917-227	227	eighteen	1713	EIGHTEEN	eighteen
Marrison-1967-917-228	228	eighty	1722	EIGHTY	eighty
Marrison-1967-917-229	229	elbow	981	ELBOW	elbow
Marrison-1967-917-230	230	elephant	1290	ELEPHANT	elephant
Marrison-1967-917-231	231	eleven	1706	ELEVEN	eleven//elevent
Marrison-1967-917-232	232	empty	1624	EMPTY	empty
Marrison-1967-917-233	233	end	742	END (OF SPACE)	end
Marrison-1967-917-234	234	enemy	1358	ENEMY	enemy
Marrison-1967-917-235	235	enough	1881	ENOUGH	enough
Marrison-1967-917-236	236	to enter	749	ENTER	enter//to enter
Marrison-1967-917-237	237	evening	1629	EVENING	evening
Marrison-1967-917-238	238	every	98	ALL	every
Marrison-1967-917-239	239	to extinguish	127	EXTINGUISH	extinguish//to extinguish
Marrison-1967-917-240	240	eye	1248	EYE	eye
Marrison-1967-917-241	241	face	1560	FACE	face
Marrison-1967-917-242	242	faith			faith
Marrison-1967-917-243	243	to fall	1280	FALL	fall//to fall
Marrison-1967-917-244	244	false	3069	FALSE	false
Marrison-1967-917-245	245	far	1406	FAR	far
Marrison-1967-917-246	246	fast (quick)	1631	FAST	fast (quick)
Marrison-1967-917-247	247	to fast	303	ABSTAIN FROM FOOD	fast//to fast
Marrison-1967-917-248	248	fat (noun)	2095	FAT (FOR NOURISHMENT)	fat//fat (noun)
Marrison-1967-917-249	249	fat (adj.)	1279	FAT (OBESE)	fat//fat (adj.)
Marrison-1967-917-250	250	father	1217	FATHER	father
Marrison-1967-917-251	251	to fear	1419	FEAR (BE AFRAID)	fear//to fear
Marrison-1967-917-252	252	feather	1201	FEATHER	feather
Marrison-1967-917-253	253	to fell	355	CUT DOWN	fell//to fell
Marrison-1967-917-254	254	fence	1690	FENCE	fence
Marrison-1967-917-255	255	fern	3802	FERN	fern
Marrison-1967-917-256	256	fever	1534	FEVER	fever
Marrison-1967-917-257	257	few	3451	FEW PIECES	few
Marrison-1967-917-258	258	field	212	FIELD	field
Marrison-1967-917-259	259	fifteen	1709	FIFTEEN	fifteen
Marrison-1967-917-260	260	fifty	1717	FIFTY	fifty
Marrison-1967-917-261	261	fig	322	FIG	fig
Marrison-1967-917-262	262	to fight	1423	FIGHT	fight//to fight
Marrison-1967-917-263	263	to fill	2006	FILL	fill//to fill
Marrison-1967-917-264	264	to find	719	FIND	find//to find
Marrison-1967-917-265	265	finger	1303	FINGER	finger
Marrison-1967-917-266	266	to finish	1766	FINISH	finish//to finish
Marrison-1967-917-267	267	fire	221	FIRE	fire
Marrison-1967-917-268	268	first	728	FIRST	first
Marrison-1967-917-269	269	fish	227	FISH	fish
Marrison-1967-917-270	270	five	493	FIVE	five
Marrison-1967-917-271	271	flat	1633	FLAT	flat
Marrison-1967-917-272	272	flea	232	FLEA	flea
Marrison-1967-917-273	273	flesh	2259	FLESH	flesh
Marrison-1967-917-274	274	flood	613	HIGH TIDE	flood
Marrison-1967-917-275	275	floor	1632	FLOOR	floor
Marrison-1967-917-276	276	flour	1594	FLOUR	flour
Marrison-1967-917-277	277	to flow	2003	FLOW	flow//to flow
Marrison-1967-917-278	278	flower	239	FLOWER	flower
Marrison-1967-917-279	279	flute	777	FLUTE	flute
Marrison-1967-917-280	280	a fly	1504	FLY (INSECT)	fly//a fly
Marrison-1967-917-281	281	to fly	1441	FLY (MOVE THROUGH AIR)	fly//to fly
Marrison-1967-917-282	282	to follow	1085	FOLLOW	follow//to follow
Marrison-1967-917-283	283	food	256	FOOD	food
Marrison-1967-917-284	284	fool	1438	FOOL	fool
Marrison-1967-917-285	285	foot	1301	FOOT	foot
Marrison-1967-917-286	286	ford	2818	FORD (CROSSING)	ford
Marrison-1967-917-287	287	forehead	123	FOREHEAD	forehead
Marrison-1967-917-288	288	foreigner			foreigner
Marrison-1967-917-289	289	forest	420	FOREST	forest
Marrison-1967-917-290	290	to forget	1523	FORGET	forget//to forget
Marrison-1967-917-291	291	to forgive	1528	FORGIVE	forgive//to forgive
Marrison-1967-917-292	292	forty	1716	FORTY	forty
Marrison-1967-917-293	293	four	1500	FOUR	four
Marrison-1967-917-294	294	fourteen	2451	FOURTEEN	fourteen
Marrison-1967-917-295	295	free (at liberty)	2316	FREE	free (at liberty)
Marrison-1967-917-296	296	friend	1325	FRIEND	friend
Marrison-1967-917-297	297	frog	503	FROG	frog
Marrison-1967-917-298	298	from	693	FROM	from
Marrison-1967-917-299	299	fruit	1507	FRUIT	fruit
Marrison-1967-917-300	300	full	1429	FULL	full
Marrison-1967-917-301	301	garden	586	GARDEN	garden
Marrison-1967-917-302	302	garlic	2368	GARLIC	garlic
Marrison-1967-917-303	303	to gather	7	GATHER	gather//to gather
Marrison-1967-917-304	304	to get	694	GET	get//to get
Marrison-1967-917-305	305	ginger	2500	GINGER	ginger
Marrison-1967-917-306	306	girl	1646	GIRL	girl
Marrison-1967-917-307	307	to give	1447	GIVE	give//to give
Marrison-1967-917-308	308	glad (to be)	1495	HAPPY	glad//glad (to be)
Marrison-1967-917-309	309	to go	695	GO	go//to go
Marrison-1967-917-310	310	to go out	1107	GO OUT	go out//to go out
Marrison-1967-917-311	311	goat	1502	GOAT	goat
Marrison-1967-917-312	312	God	1944	GOD	God
Marrison-1967-917-313	313	gold	1369	GOLD	gold
Marrison-1967-917-314	314	good	1035	GOOD	good
Marrison-1967-917-315	315	gourd	411	GOURD	gourd
Marrison-1967-917-316	316	grandchild	1617	GRANDCHILD	grandchild
Marrison-1967-917-317	317	grandfather	1383	GRANDFATHER	grandfather
Marrison-1967-917-318	318	grandmother	1496	GRANDMOTHER	grandmother
Marrison-1967-917-319	319	grass	606	GRASS	grass
Marrison-1967-917-320	320	grasshopper	607	GRASSHOPPER	grasshopper
Marrison-1967-917-321	321	a grave	1773	GRAVE	grave//a grave
Marrison-1967-917-322	322	great	1202	BIG	great
Marrison-1967-917-323	323	green (colour)	1425	GREEN	green//green (colour)//grreen
Marrison-1967-917-324	324	to grind	1033	GRIND	grind//to grind
Marrison-1967-917-325	325	to grow	479	GROW	grow//to grow
Marrison-1967-917-326	326	gum (of tree)			gum (of tree)
Marrison-1967-917-327	327	gun	1566	GUN	gun
Marrison-1967-917-328	328	hair (of head)	2648	HAIR (HEAD)	hair (of head)//hair
Marrison-1967-917-329	329	hair (of body)	189	HAIR (BODY)	hair (of body)
Marrison-1967-917-330	330	half	816	HALF	half
Marrison-1967-917-331	331	hand	1277	HAND	hand
Marrison-1967-917-332	332	hard	1884	HARD	hard
Marrison-1967-917-333	333	hat,helmet	1680	HELMET	hat, helmet//hat / helmet
Marrison-1967-917-334	334	to hate	1607	HATE	hate//to hate
Marrison-1967-917-335	335	hawk	307	HAWK	hawk
Marrison-1967-917-336	336	he	1211	HE	he
Marrison-1967-917-337	337	head	1256	HEAD	head
Marrison-1967-917-338	338	to heal	499	CURE	heal//to heal
Marrison-1967-917-339	339	to hear	1408	HEAR	hear//to hear
Marrison-1967-917-340	340	heart	1223	HEART	heart
Marrison-1967-917-341	341	hearth	185	FIREPLACE	hearth
Marrison-1967-917-342	342	heavy	1210	HEAVY	heavy
Marrison-1967-917-343	343	heddle			heddle
Marrison-1967-917-344	344	heel	980	HEEL	"heel (""foot-chicken-egg"")"
Marrison-1967-917-345	345	to help	1897	HELP	help//to help
Marrison-1967-917-346	346	hen	1514	HEN	hen
Marrison-1967-917-347	347	here	136	HERE	here
Marrison-1967-917-348	348	to hide	2486	HIDE	hide//to hide
Marrison-1967-917-349	349	high	2790	HIGH OR TALL	high
Marrison-1967-917-350	350	hill	614	HILL	hill
Marrison-1967-917-351	351	hip	1745	HIP	hip
Marrison-1967-917-352	352	to hit	1433	HIT	hit//to hit
Marrison-1967-917-353	353	hoe	284	HOE	hoe
Marrison-1967-917-354	354	to hold	1448	HOLD	hold//to hold
Marrison-1967-917-355	355	hole	1667	HOLE	hole
Marrison-1967-917-356	356	honey	942	HONEY	honey
Marrison-1967-917-357	357	hoof	152	HOOF	hoof
Marrison-1967-917-358	358	hook	1071	HOOK	hook
Marrison-1967-917-359	359	to hop			hop//to hop
Marrison-1967-917-360	360	to hope	3212	HOPE (SOMETHING)	hope//to hope
Marrison-1967-917-361	361	horn	1393	HORN (ANATOMY)	horn
Marrison-1967-917-362	362	hornbill	3260	HORNBILL	hornbill
Marrison-1967-917-363	363	hornet	3261	HORNET	hornet
Marrison-1967-917-364	364	horse	615	HORSE	horse
Marrison-1967-917-365	365	hot	1286	HOT	hot
Marrison-1967-917-366	366	house	1252	HOUSE	house
Marrison-1967-917-367	367	how	1239	HOW	how
Marrison-1967-917-368	368	hundred	1634	HUNDRED	hundred//hudnred
Marrison-1967-917-369	369	hungry	1533	BE HUNGRY	hungry
Marrison-1967-917-370	370	to hunt	1435	HUNT	hunt//to hunt
Marrison-1967-917-371	371	husband	1200	HUSBAND	husband
Marrison-1967-917-372	372	husk	2501	RICE HUSK	husk
Marrison-1967-917-373	373	I	1209	I	I
Marrison-1967-917-374	374	if	1459	IF	if
Marrison-1967-917-375	375	in	1460	IN	in
Marrison-1967-917-376	376	ink	2643	INK	ink
Marrison-1967-917-377	377	insect	620	INSECT	insect
Marrison-1967-917-378	378	intestines	1991	INTESTINES	intestines
Marrison-1967-917-379	379	iron	621	IRON	iron
Marrison-1967-917-380	380	ivory	3800	IVORY	ivory
Marrison-1967-917-381	381	jackal	3313	JACKAL	jackal
Marrison-1967-917-382	382	jaw	798	JAW	jaw
Marrison-1967-917-383	383	Jaw's harp			jewsharp//Jew's harp
Marrison-1967-917-384	384	Job's tears(coix)			Job's tears (coix)//jobs tears//jobs tears (coix)
Marrison-1967-917-385	385	to join	1743	JOIN	join//to join
Marrison-1967-917-386	386	judgment	1067	JUDGMENT	judgment
Marrison-1967-917-387	387	juice	1499	JUICE	juice
Marrison-1967-917-388	388	to jump	1829	JUMP	jump//to jump
Marrison-1967-917-389	389	jungle	3808	JUNGLE	jungle
Marrison-1967-917-390	390	to keep	1477	KEEP	keep//to keep
Marrison-1967-917-391	391	key	1472	KEY	key
Marrison-1967-917-392	392	to kick	1135	KICK	kick//to kick
Marrison-1967-917-393	393	kidney	489	KIDNEY	kidney
Marrison-1967-917-394	394	to kill	1417	KILL	kill//to kill
Marrison-1967-917-395	395	kind (sort)	844	KIND (THING)	kind (sort)
Marrison-1967-917-396	396	king	1508	KING	king
Marrison-1967-917-397	397	to kiss	578	KISS	kiss//to kiss//kiss; sniff
Marrison-1967-917-398	398	kitchen	1365	KITCHEN	kitchen
Marrison-1967-917-399	399	knee	1371	KNEE	knee
Marrison-1967-917-400	400	knife	1352	KNIFE	knife
Marrison-1967-917-401	401	to knock	2396	KNOCK	knock//to knock
Marrison-1967-917-402	402	knot (in string)	760	KNOT	knot (in string)
Marrison-1967-917-403	403	to know	3626	KNOW	know//to know
Marrison-1967-917-404	404	ladder	1464	LADDER	ladder
Marrison-1967-917-405	405	ladle	2657	LADLE	ladle
Marrison-1967-917-406	406	lake	624	LAKE	lake
Marrison-1967-917-407	407	lame	320	LAME	lame
Marrison-1967-917-408	408	lamp	625	LAMP	lamp
Marrison-1967-917-409	409	land	626	LAND	land
Marrison-1967-917-410	410	language	1307	LANGUAGE	language
Marrison-1967-917-411	411	last (adj.)	1529	LAST (FINAL)	last (adj.)
Marrison-1967-917-412	412	late	477	LATE	late
Marrison-1967-917-413	413	to laugh	1355	LAUGH	laugh//to laugh
Marrison-1967-917-414	414	law	1062	LAW	law
Marrison-1967-917-415	415	lazy	1564	LAZY	lazy
Marrison-1967-917-416	416	to lead	43	LEAD (GUIDE)	lead//to lead
Marrison-1967-917-417	417	leaf	628	LEAF	leaf
Marrison-1967-917-418	418	to learn	504	LEARN	learn//to learn
Marrison-1967-917-419	419	leather	629	LEATHER	leather
Marrison-1967-917-420	420	leech	2273	LEECH	leech
Marrison-1967-917-421	421	Left-hand	2182	LEFT HAND	left-hand
Marrison-1967-917-422	422	leg	1297	LEG	leg
Marrison-1967-917-423	423	lemon	3091	LEMON	lemon
Marrison-1967-917-424	424	leopard	1139	LEOPARD	leopard
Marrison-1967-917-425	425	leper			leper
Marrison-1967-917-426	426	letter	1612	LETTER	letter
Marrison-1967-917-427	427	to lick	319	LICK	lick//to lick
Marrison-1967-917-428	428	to lie down	215	LIE DOWN	lie down//to lie down
Marrison-1967-917-429	429	to lie (to deceive)	601	LIE (MISLEAD)	lie (deceive)//to lie (to deceive)
Marrison-1967-917-430	430	life	210	LIFE	life
Marrison-1967-917-431	431	to lift	501	LIFT	lift//to lift
Marrison-1967-917-432	432	light (bright)	679	BRIGHT	light (bright)
Marrison-1967-917-433	433	light (of weight)	1052	LIGHT (WEIGHT)	light (of weight)
Marrison-1967-917-434	434	to light (ignite)	737	LIGHT (IGNITE)	light (ignite)//to light (ignite)
Marrison-1967-917-435	435	lightning	1654	LIGHTNING	lightning
Marrison-1967-917-436	436	like (as)	1558	SIMILAR	like (as)
Marrison-1967-917-437	437	lip	478	LIP	lip//lip (lower)
Marrison-1967-917-438	438	to listen	1608	LISTEN	listen//to listen
Marrison-1967-917-439	439	a little	2924	A LITTLE	little//a little
Marrison-1967-917-440	440	to live (to be alive)	1422	BE ALIVE	live (to be alive)//to live (to be alive)
