ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY
BirketSmith-1928-510-190	190	Toe	1389	TOE	Man and the Human Body
BirketSmith-1928-510-191	191	Tooth	1380	TOOTH	Man and the Human Body
BirketSmith-1928-510-192	192	Woman	962	WOMAN	Man and the Human Body
BirketSmith-1928-510-193	193	Airhole in the house			Dwellings and Furniture
BirketSmith-1928-510-194	194	Camp, settlement			Dwellings and Furniture
BirketSmith-1928-510-195	195	Door-opening			Dwellings and Furniture
BirketSmith-1928-510-196	196	Drying frame			Dwellings and Furniture
BirketSmith-1928-510-197	197	Fire drill	517	FIREDRILL	Dwellings and Furniture
BirketSmith-1928-510-198	198	Fire stone			Dwellings and Furniture
BirketSmith-1928-510-199	199	House, stone			Dwellings and Furniture
BirketSmith-1928-510-200	200	House, snow	2592	IGLOO	Dwellings and Furniture
BirketSmith-1928-510-201	201	Lamp	625	LAMP	Dwellings and Furniture
BirketSmith-1928-510-202	202	Meat tray			Dwellings and Furniture
BirketSmith-1928-510-203	203	Platform, main			Dwellings and Furniture
BirketSmith-1928-510-204	204	Platform, room beneath			Dwellings and Furniture
BirketSmith-1928-510-205	205	Platform, lamp			Dwellings and Furniture
BirketSmith-1928-510-206	206	Porch	3269	PORCH	Dwellings and Furniture
BirketSmith-1928-510-207	207	Porch, inner part of			Dwellings and Furniture
BirketSmith-1928-510-208	208	Pot	1462	POT	Dwellings and Furniture
BirketSmith-1928-510-209	209	Snow beater			Dwellings and Furniture
BirketSmith-1928-510-210	210	Snow knife			Dwellings and Furniture
BirketSmith-1928-510-211	211	Snow probe			Dwellings and Furniture
BirketSmith-1928-510-212	212	Snow shovel			Dwellings and Furniture
BirketSmith-1928-510-213	213	Soup ladle	2657	LADLE	Dwellings and Furniture
BirketSmith-1928-510-214	214	Spoon	1378	SPOON	Dwellings and Furniture
BirketSmith-1928-510-215	215	Tent	1316	TENT	Dwellings and Furniture
BirketSmith-1928-510-216	216	Urine bucket			Dwellings and Furniture
BirketSmith-1928-510-217	217	Window	1375	WINDOW	Dwellings and Furniture
BirketSmith-1928-510-218	218	Wall, back			Dwellings and Furniture
BirketSmith-1928-510-219	219	Water bucket			Dwellings and Furniture
BirketSmith-1928-510-220	220	Water dipper			Dwellings and Furniture
BirketSmith-1928-510-221	221	Boot, deerskin			Dress
BirketSmith-1928-510-222	222	Boot, sealskin			Dress
BirketSmith-1928-510-223	223	Comb	1475	COMB	Dress
BirketSmith-1928-510-224	224	Combination dress			Dress
BirketSmith-1928-510-225	225	Frock, birdskin			Dress
BirketSmith-1928-510-226	226	Frock, deerskin (outer)			Dress
BirketSmith-1928-510-227	227	Frock, deerskin (inner)			Dress
BirketSmith-1928-510-228	228	Frock, foxskin			Dress
BirketSmith-1928-510-229	229	Frock, sealskin			Dress
BirketSmith-1928-510-230	230	Hood			Dress
BirketSmith-1928-510-231	231	Mitten	867	GLOVE	Dress
BirketSmith-1928-510-232	232	Pantaloons			Dress
BirketSmith-1928-510-233	233	Sandals, against wear			Dress
BirketSmith-1928-510-234	234	Sandals, for hunting on the ice			Dress
BirketSmith-1928-510-235	235	Shoe	1381	SHOE	Dress
BirketSmith-1928-510-236	236	Snow goggles			Dress
BirketSmith-1928-510-237	237	Sock	1522	SOCK	Dress
BirketSmith-1928-510-238	238	Stocking	329	STOCKING	Dress
BirketSmith-1928-510-239	239	Trousers, man's			Dress
